epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9737,1.61422,5.37797,1.81419,0.45986,0.5625,0.50507,0.21344,1.79732,5.8277,2.27402,0.000541775,0.000541775,0.000541775
2,69.6561,1.75336,4.16429,1.83397,0.41149,0.3875,0.32209,0.13647,2.05403,4.6742,2.64779,0.00104312,0.00104312,0.00104312
3,93.908,1.67279,3.20526,1.80105,0.05668,0.0875,0.02108,0.00422,2.53912,6.62224,3.38719,0.00148945,0.00148945,0.00148945
4,116.796,1.80698,2.98156,1.87899,0.26604,0.375,0.24778,0.11246,1.92672,9.83554,2.43014,0.00141945,0.00141945,0.00141945
5,139.743,1.799,2.51898,1.89111,0.11697,0.2125,0.07702,0.02485,2.66363,50.2655,2.91806,0.00133693,0.00133693,0.00133693
6,162.73,1.67677,2.2975,1.80252,0.54781,0.4625,0.40919,0.23494,1.53601,1.84337,1.7922,0.00125442,0.00125442,0.00125442
7,185.858,1.63327,2.03986,1.71453,0.48595,0.5375,0.47508,0.25076,1.51121,5.11577,1.79408,0.0011719,0.0011719,0.0011719
8,208.302,1.59727,2.00586,1.69284,0.73694,0.52528,0.58178,0.30826,1.6114,1.63289,1.81692,0.00108938,0.00108938,0.00108938
9,231.076,1.54924,1.80482,1.62074,0.53199,0.5875,0.52474,0.23164,1.84931,1.83585,2.06725,0.00100687,0.00100687,0.00100687
10,254.262,1.53981,1.72885,1.62493,0.57585,0.6875,0.6178,0.38317,1.31282,7.43137,1.51276,0.000924352,0.000924352,0.000924352
11,275.798,1.37381,1.59167,1.60661,0.68492,0.65218,0.70319,0.42719,1.2546,2.81707,1.49453,0.000841835,0.000841835,0.000841835
12,297.066,1.37229,1.46363,1.60247,0.79217,0.57179,0.68947,0.38219,1.48035,1.53754,1.65857,0.000759318,0.000759318,0.000759318
13,317.299,1.32982,1.4029,1.59035,0.72118,0.67902,0.75457,0.46386,1.32403,1.07704,1.51077,0.000676802,0.000676802,0.000676802
14,338.25,1.27354,1.21129,1.52147,0.76256,0.7375,0.80787,0.52737,1.22162,0.95139,1.46029,0.000594286,0.000594286,0.000594286
15,358.907,1.20794,1.2301,1.47956,0.82272,0.8,0.85373,0.59376,1.13981,0.85699,1.40283,0.000511769,0.000511769,0.000511769
16,379.63,1.19289,1.15725,1.47826,0.81781,0.7875,0.85391,0.56223,1.1685,0.83571,1.42625,0.000429253,0.000429253,0.000429253
17,402.931,1.2002,1.06582,1.44088,0.84207,0.79982,0.88974,0.59201,1.13354,0.79594,1.36822,0.000346736,0.000346736,0.000346736
18,424.755,1.10272,1.00593,1.40084,0.80436,0.85,0.87928,0.59896,1.11645,0.90314,1.39214,0.00026422,0.00026422,0.00026422
19,446.928,1.117,0.98373,1.40862,0.80935,0.85,0.88473,0.59779,1.1182,0.73464,1.38544,0.000181703,0.000181703,0.000181703
20,467.465,1.09297,0.99769,1.37827,0.87123,0.8,0.89454,0.61817,1.10076,0.72768,1.36388,9.91865e-05,9.91865e-05,9.91865e-05
