epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9425,1.64661,5.19978,1.79508,0.00218,0.98592,0.36778,0.14578,1.51149,6.07309,1.98657,0.000541775,0.000541775,0.000541775
2,70.3384,1.67918,4.03855,1.76516,0.41597,0.46479,0.38904,0.18466,1.73517,7.08196,2.09829,0.00104312,0.00104312,0.00104312
3,95.0961,1.73912,3.34876,1.81681,0.06662,0.12676,0.0186,0.00428,3.15247,8.79506,4.15395,0.00148945,0.00148945,0.00148945
4,120.012,1.82153,3.00197,1.87164,0.02096,0.21127,0.01049,0.00342,3.01758,254.318,3.61298,0.00141945,0.00141945,0.00141945
5,143.817,1.733,2.50079,1.78077,0.34904,0.60563,0.44623,0.22529,1.71168,10.8117,2.016,0.00133693,0.00133693,0.00133693
6,168.404,1.65902,2.18567,1.70573,0.53173,0.42254,0.47184,0.20173,1.97542,4.71534,2.31644,0.00125442,0.00125442,0.00125442
7,191.252,1.6632,2.02573,1.69872,0.62565,0.59155,0.64088,0.28729,1.72865,2.65947,1.90139,0.0011719,0.0011719,0.0011719
8,214.789,1.59423,1.97169,1.6607,0.69482,0.64789,0.7071,0.34295,1.68225,1.97118,1.80743,0.00108938,0.00108938,0.00108938
9,238.267,1.51933,1.71927,1.58486,0.70476,0.66197,0.72045,0.4143,1.45937,1.45791,1.64044,0.00100687,0.00100687,0.00100687
10,261.722,1.4974,1.71396,1.56765,0.56579,0.64238,0.62804,0.3086,1.7393,4.76229,1.8852,0.000924352,0.000924352,0.000924352
11,283.03,1.39179,1.68688,1.59749,0.53795,0.73239,0.66844,0.36712,1.41631,1.6088,1.61494,0.000841835,0.000841835,0.000841835
12,304.279,1.41031,1.57704,1.6319,0.7996,0.69014,0.79323,0.50176,1.22512,1.42241,1.41888,0.000759318,0.000759318,0.000759318
13,326.219,1.31248,1.36217,1.54096,0.76028,0.80408,0.84698,0.48992,1.40307,1.13521,1.62879,0.000676802,0.000676802,0.000676802
14,347.394,1.28915,1.32697,1.51458,0.76317,0.77158,0.8014,0.46781,1.329,2.30506,1.56108,0.000594286,0.000594286,0.000594286
15,369.238,1.26592,1.2278,1.48466,0.81257,0.73273,0.83302,0.47392,1.41455,1.08248,1.58464,0.000511769,0.000511769,0.000511769
16,391.316,1.24216,1.26567,1.50385,0.75314,0.78873,0.85277,0.53738,1.16546,1.03181,1.39401,0.000429253,0.000429253,0.000429253
17,414.144,1.19469,1.17928,1.45869,0.74538,0.82466,0.85997,0.55341,1.17956,0.97469,1.41699,0.000346736,0.000346736,0.000346736
18,436.904,1.12247,1.10621,1.42292,0.83607,0.7902,0.87807,0.5583,1.17044,0.9202,1.42334,0.00026422,0.00026422,0.00026422
19,458.365,1.12478,1.06174,1.42832,0.84649,0.77666,0.88312,0.58415,1.11313,0.83351,1.37573,0.000181703,0.000181703,0.000181703
20,479.678,1.08052,1.00345,1.3449,0.84418,0.78873,0.90381,0.62879,1.08258,0.85359,1.33696,9.91865e-05,9.91865e-05,9.91865e-05
