epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5787,2.0379,4.76641,2.31466,0.00223,0.5122,0.00244,0.00076,2.53163,inf,9.50056,0.000548721,0.000548721,0.000548721
2,105.197,2.54169,3.27072,2.75484,0,0,0,0,nan,nan,nan,0.00104972,0.00104972,0.00104972
3,140.277,2.54104,3.46661,2.79263,0.00012,0.03659,6e-05,1e-05,nan,nan,nan,0.00149571,0.00149571,0.00149571
4,174.87,2.38011,3.38339,2.68975,0.01044,0.07317,0.00473,0.00121,2.65249,19.1078,3.04359,0.00141945,0.00141945,0.00141945
5,226.671,2.33986,2.92964,2.71232,0.14438,0.18293,0.05122,0.01069,2.97714,3.54633,6.11938,0.00133693,0.00133693,0.00133693
6,278.671,2.20916,2.87469,2.57328,0.16933,0.30488,0.13594,0.03994,2.27962,9.27891,2.89145,0.00125442,0.00125442,0.00125442
7,311.73,2.21198,2.96158,2.56395,0.16239,0.19512,0.09665,0.02599,2.49661,2.6685,2.85361,0.0011719,0.0011719,0.0011719
8,344.571,2.11145,2.66232,2.52799,0.2565,0.23171,0.24664,0.07042,2.32932,3.03706,2.88018,0.00108938,0.00108938,0.00108938
9,378.928,2.13452,2.62221,2.51652,0.14731,0.35366,0.09729,0.02968,2.23843,2.38855,2.70897,0.00100687,0.00100687,0.00100687
10,412.18,2.04095,2.55448,2.43986,0.15718,0.15854,0.09342,0.02769,2.00499,31.7241,2.52985,0.000924352,0.000924352,0.000924352
11,445.575,1.97619,2.77091,2.58474,0.25716,0.40244,0.18504,0.06122,2.00894,2.00293,2.47696,0.000841835,0.000841835,0.000841835
12,478.333,2.01898,2.47685,2.67701,0.23449,0.45122,0.20359,0.07059,2.20615,2.37045,2.76016,0.000759318,0.000759318,0.000759318
13,515.24,1.9361,2.6081,2.58324,0.31635,0.37805,0.28788,0.08493,1.90563,10.3329,2.51767,0.000676802,0.000676802,0.000676802
14,548.137,1.85522,2.48533,2.52124,0.34908,0.45122,0.3449,0.11818,1.89893,1.90804,2.41951,0.000594286,0.000594286,0.000594286
15,585.021,1.85225,2.24427,2.50596,0.41348,0.31707,0.32076,0.10994,1.91274,2.1226,2.42016,0.000511769,0.000511769,0.000511769
16,617.67,1.93545,2.27887,2.58552,0.36527,0.42683,0.36483,0.13211,1.78656,1.83557,2.34435,0.000429253,0.000429253,0.000429253
17,650.695,1.82734,2.21672,2.46453,0.39332,0.5,0.38453,0.14409,1.82182,1.84673,2.38639,0.000346736,0.000346736,0.000346736
18,684.114,1.72885,2.15156,2.46014,0.3872,0.5122,0.36814,0.14703,1.86131,2.05993,2.43812,0.00026422,0.00026422,0.00026422
19,728.228,1.745,2.23039,2.46852,0.38551,0.52439,0.38498,0.16278,1.65938,1.86983,2.30945,0.000181703,0.000181703,0.000181703
20,761.682,1.71711,2.09128,2.38981,0.4375,0.37943,0.39562,0.16368,1.66391,1.80487,2.25385,9.91865e-05,9.91865e-05,9.91865e-05
