epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8386,2.16654,5.18373,2.4837,0.0002,0.01408,0.0001,2e-05,3.60081,inf,60.2475,0.000548721,0.000548721,0.000548721
2,147.545,2.37897,3.11402,2.73397,0,0,0,0,nan,nan,nan,0.00109892,0.00109892,0.00109892
3,212.065,2.45394,3.24747,2.80267,0,0,0,0,nan,nan,nan,0.00164362,0.00164362,0.00164362
4,274.553,2.4106,3.3499,2.77347,0.00334,0.4507,0.00239,0.00066,nan,nan,nan,0.00164225,0.00164225,0.00164225
5,338.538,2.39016,3.15112,2.79692,0.00221,0.83099,0.00216,0.00066,1.95653,1244.09,2.74514,0.00163399,0.00163399,0.00163399
6,402.298,2.22175,2.91629,2.62478,0.22612,0.3662,0.23851,0.0692,1.94033,6.10813,2.6769,0.00162574,0.00162574,0.00162574
7,464.927,2.18901,2.81381,2.5972,0.12173,0.3662,0.11989,0.04363,1.81763,3.59312,2.63872,0.00161749,0.00161749,0.00161749
8,524.176,2.11371,2.79578,2.55688,0.36309,0.30986,0.2471,0.0729,1.72167,5.05375,2.51768,0.00160924,0.00160924,0.00160924
9,585.396,2.05149,2.66031,2.49778,0.18326,0.02817,0.02778,0.01033,2.45391,4.20232,2.79229,0.00160099,0.00160099,0.00160099
10,643.633,2.08321,2.64846,2.54617,0.2184,0.33803,0.22879,0.07229,1.6393,12.5521,2.36381,0.00159274,0.00159274,0.00159274
11,700.963,2.05269,2.70278,2.53373,0.18833,0.4507,0.17532,0.06394,1.78375,3.40685,2.5463,0.00158448,0.00158448,0.00158448
12,760.099,2.06448,2.63195,2.50058,0.2193,0.36399,0.2105,0.07183,1.85586,2.93368,2.59076,0.00157623,0.00157623,0.00157623
13,820.567,1.96913,2.59568,2.45509,0.4086,0.33803,0.36553,0.11432,1.55863,2.16798,2.30549,0.00156798,0.00156798,0.00156798
14,880.1,2.00759,2.48271,2.44378,0.27415,0.35211,0.27464,0.08787,1.40513,5.30575,2.20018,0.00155973,0.00155973,0.00155973
15,941.095,1.96285,2.51834,2.41394,0.31111,0.46479,0.27966,0.09114,1.81028,2.0214,2.56126,0.00155148,0.00155148,0.00155148
