epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.129,2.27587,5.67791,2.55235,0.00202,0.69014,0.00293,0.00079,nan,nan,nan,0.000548721,0.000548721,0.000548721
2,63.2796,2.60293,3.56768,2.83723,0,0,0,0,nan,nan,nan,0.00109892,0.00109892,0.00109892
3,93.1007,2.61112,3.57557,2.89374,0,0,0,0,nan,nan,nan,0.00164362,0.00164362,0.00164362
4,122.921,2.42483,3.6185,2.75526,0.02267,0.14085,0.0153,0.00316,nan,nan,nan,0.00164225,0.00164225,0.00164225
5,152.874,2.56892,3.63298,2.87413,0.24041,0.29577,0.19321,0.04276,1.94793,9.32705,2.59573,0.00163399,0.00163399,0.00163399
6,182.794,2.40978,3.29066,2.73123,0.04317,0.09859,0.01409,0.00253,2.72246,7.99653,3.20157,0.00162574,0.00162574,0.00162574
7,212.711,2.32921,3.27644,2.64512,0.11635,0.29577,0.09569,0.02434,2.06917,6.8538,2.48332,0.00161749,0.00161749,0.00161749
8,242.942,2.29475,3.09539,2.64491,0.13352,0.30986,0.10176,0.02489,1.80766,7.82279,2.40499,0.00160924,0.00160924,0.00160924
9,273.294,2.26185,3.06423,2.57364,0.08852,0.12676,0.05804,0.01935,2.07357,2.80532,2.40539,0.00160099,0.00160099,0.00160099
10,303.162,2.27265,3.10726,2.59672,0.11015,0.30986,0.11122,0.03325,1.80092,5.42091,2.37275,0.00159274,0.00159274,0.00159274
11,333.031,2.21147,3.03881,2.54148,0.15402,0.35131,0.10564,0.03242,1.83632,2.85391,2.38173,0.00158448,0.00158448,0.00158448
12,362.974,2.18698,2.95156,2.47526,0.2866,0.54885,0.32898,0.10983,1.87669,7.55444,2.16824,0.00157623,0.00157623,0.00157623
13,392.874,2.1465,2.89808,2.49806,0.13159,0.25352,0.11393,0.02987,1.76061,9.32901,2.36188,0.00156798,0.00156798,0.00156798
14,423.075,2.13068,2.76077,2.44363,0.14193,0.21127,0.10685,0.03065,1.70187,9.99569,2.12546,0.00155973,0.00155973,0.00155973
15,453.264,2.1086,2.83029,2.41577,0.2629,0.53521,0.27128,0.08448,1.84562,2.57609,2.21976,0.00155148,0.00155148,0.00155148
16,483.529,2.02526,2.76613,2.37405,0.1269,0.29577,0.11688,0.03576,1.72334,2.99851,2.14077,0.00154323,0.00154323,0.00154323
17,514.289,2.08612,2.84092,2.38214,0.18663,0.57746,0.18313,0.05715,1.68862,5.09238,2.11859,0.00153497,0.00153497,0.00153497
18,545.04,2.1303,2.78496,2.4573,0.26674,0.497,0.29831,0.09128,1.86128,3.21439,2.21557,0.00152672,0.00152672,0.00152672
19,574.926,2.06439,2.77355,2.3881,0.19163,0.20036,0.15711,0.03136,2.06913,5.61335,2.78178,0.00151847,0.00151847,0.00151847
20,604.905,2.01853,2.91231,2.3511,0.3269,0.52113,0.34039,0.09906,1.89169,8.09156,2.23779,0.00151022,0.00151022,0.00151022
21,634.643,2.0473,2.81063,2.35693,0.19692,0.71831,0.31953,0.10805,1.80226,2.12755,2.06194,0.00150197,0.00150197,0.00150197
22,664.435,2.08195,2.7695,2.33843,0.10202,0.19718,0.09773,0.03012,1.60387,8.23076,2.13074,0.00149372,0.00149372,0.00149372
23,694.624,2.06579,2.81736,2.37843,0.26827,0.26761,0.19393,0.04898,2.01386,4.07956,2.78355,0.00148546,0.00148546,0.00148546
24,725.25,2.012,2.61984,2.32958,0.14663,0.56338,0.13505,0.04646,1.68701,4.82054,2.11,0.00147721,0.00147721,0.00147721
25,756.386,1.95602,2.6399,2.26877,0.17734,0.46479,0.13725,0.04093,2.02396,3.16343,2.24597,0.00146896,0.00146896,0.00146896
26,787.122,2.00246,2.58511,2.29203,0.18035,0.77786,0.22827,0.08255,1.71619,3.79746,2.07253,0.00146071,0.00146071,0.00146071
27,818.06,1.9795,2.64316,2.27493,0.2938,0.70423,0.43053,0.17571,1.71007,1.84206,1.94848,0.00145246,0.00145246,0.00145246
28,848.807,1.90628,2.51372,2.22684,0.22345,0.60563,0.24851,0.09725,1.72633,2.31947,2.01767,0.00144421,0.00144421,0.00144421
29,878.627,1.97824,2.62923,2.27297,0.23933,0.30986,0.18227,0.05986,1.9222,2.30302,2.31646,0.00143595,0.00143595,0.00143595
30,908.697,1.98074,2.5507,2.26137,0.39807,0.4507,0.41105,0.1631,1.79401,2.26047,2.04627,0.0014277,0.0014277,0.0014277
31,938.467,1.96486,2.56071,2.24404,0.42571,0.49296,0.42439,0.15007,1.79672,1.82765,1.96814,0.00141945,0.00141945,0.00141945
32,968.287,1.90566,2.53472,2.19855,0.33328,0.71831,0.46246,0.18924,1.61838,2.80093,1.83349,0.0014112,0.0014112,0.0014112
33,998.279,1.91346,2.51895,2.2022,0.54292,0.6338,0.60194,0.25607,1.68104,2.30303,1.90335,0.00140295,0.00140295,0.00140295
34,1028.23,1.95128,2.52153,2.20914,0.25122,0.60563,0.23802,0.0943,1.71956,2.01206,2.05907,0.0013947,0.0013947,0.0013947
35,1058.03,1.89011,2.48513,2.19899,0.16681,0.78873,0.40169,0.16946,1.66696,2.22382,1.86039,0.00138644,0.00138644,0.00138644
36,1088.49,1.97541,2.53973,2.27104,0.45401,0.5493,0.44509,0.18613,1.62891,1.81872,1.88693,0.00137819,0.00137819,0.00137819
37,1118.45,1.90183,2.46096,2.2191,0.20492,0.52113,0.23156,0.07945,1.55185,8.01844,1.96369,0.00136994,0.00136994,0.00136994
