epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2639,1.62148,5.59923,1.90278,1,0.10885,0.52769,0.2701,1.27215,7.35063,1.59117,0.00329167,0.00329167,0.00329167
2,81.8206,1.67819,5.03055,1.76145,0.1354,0.0875,0.05549,0.02346,2.08958,7.98125,2.45346,0.00662369,0.00662369,0.00662369
3,104.06,1.73188,3.89887,1.81674,0.03326,0.05,0.02492,0.00403,2.46144,23.2507,3.5803,0.00995439,0.00995439,0.00995439
4,126.428,1.91911,3.45229,2.02097,0.0008,0.0375,9e-05,1e-05,2.61295,46.2789,4.3728,0.00999406,0.00999406,0.00999406
5,152.325,1.94489,3.05641,2.0057,0.14134,0.525,0.25109,0.08604,1.79869,136.141,2.23635,0.00999208,0.00999208,0.00999208
6,174.785,2.03109,2.70639,2.0588,0.20266,0.2125,0.1038,0.04194,2.08863,4.58355,2.44032,0.0099901,0.0099901,0.0099901
7,196.606,2.0451,2.49652,2.06682,0.31099,0.4625,0.34626,0.13332,1.93372,2.1143,2.19153,0.00998812,0.00998812,0.00998812
8,218.696,1.90685,2.35832,1.94845,0.46006,0.4,0.35792,0.1494,1.66538,2.08676,1.90618,0.00998614,0.00998614,0.00998614
9,240.42,1.88984,2.3109,1.90242,0.45478,0.36496,0.32353,0.14645,1.64378,1.8934,1.90776,0.00998416,0.00998416,0.00998416
10,262.238,1.91636,2.30122,1.97218,0.54047,0.55,0.49135,0.23513,1.494,4.6242,1.78912,0.00998218,0.00998218,0.00998218
11,284.034,1.86507,2.2109,1.94211,0.57701,0.5625,0.58351,0.26094,1.60513,2.10798,1.77408,0.0099802,0.0099802,0.0099802
12,305.732,1.85418,2.12514,1.87722,0.56199,0.55,0.50385,0.19223,1.60959,1.72121,1.99174,0.00997822,0.00997822,0.00997822
13,327.504,1.80313,2.13036,1.8753,0.65942,0.425,0.45943,0.2028,1.591,3.70517,1.83264,0.00997624,0.00997624,0.00997624
14,349.052,1.87706,2.18945,1.93149,0.70067,0.55598,0.61402,0.30822,1.49678,1.40766,1.72707,0.00997426,0.00997426,0.00997426
15,370.702,1.76553,1.96841,1.81583,0.61351,0.57544,0.58548,0.27912,1.66179,1.84731,1.90419,0.00997228,0.00997228,0.00997228
16,392.366,1.76107,2.22756,1.85717,0.56768,0.2875,0.31112,0.13768,1.76468,2.23471,2.18754,0.0099703,0.0099703,0.0099703
17,413.922,1.7854,2.0567,1.84384,0.75168,0.3875,0.42163,0.22129,1.74787,1.80306,2.06705,0.00996832,0.00996832,0.00996832
18,435.818,1.75679,2.04257,1.88978,0.63045,0.5875,0.63477,0.32118,1.43342,1.28075,1.72194,0.00996634,0.00996634,0.00996634
19,457.686,1.82554,2.03926,1.86605,0.60196,0.625,0.6003,0.31833,1.52641,1.53113,1.75195,0.00996436,0.00996436,0.00996436
20,479.651,1.74167,2.04824,1.83702,0.65949,0.55686,0.60186,0.29661,1.55366,3.0442,1.81334,0.00996238,0.00996238,0.00996238
21,501.3,1.72503,1.97094,1.82623,0.59828,0.5,0.56182,0.27758,1.41838,1.59508,1.67884,0.0099604,0.0099604,0.0099604
22,523.302,1.70712,1.87351,1.80196,0.76348,0.6375,0.68856,0.33752,1.37192,1.35602,1.62118,0.00995842,0.00995842,0.00995842
23,545.259,1.66271,1.97084,1.7591,0.69478,0.6,0.6521,0.35161,1.40583,1.41883,1.69752,0.00995644,0.00995644,0.00995644
24,567.002,1.7193,1.95676,1.74977,0.87937,0.5875,0.72274,0.37794,1.50311,1.20239,1.72101,0.00995446,0.00995446,0.00995446
25,589.015,1.65007,2.1022,1.75413,0.72311,0.575,0.66187,0.29916,1.46318,1.64198,1.66871,0.00995248,0.00995248,0.00995248
26,610.652,1.71964,1.79469,1.78287,0.83572,0.69951,0.74432,0.42646,1.26614,1.54928,1.56432,0.0099505,0.0099505,0.0099505
27,632.58,1.61953,1.76965,1.73687,0.48707,0.3625,0.40538,0.21107,1.41641,8.58646,1.69068,0.00994852,0.00994852,0.00994852
28,654.242,1.62801,1.8049,1.71616,0.71421,0.7,0.68124,0.35263,1.43127,1.22474,1.70734,0.00994654,0.00994654,0.00994654
