fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.30133,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.19711,0.01145,0.01,0.86364,0.0005,3.50548,0.69021,7.5,0.5243,1.5,0.00981,0.7,0.40855,0.0,0.1,0.5,0.0,0.0,0.0,0.50213,0.0,1.0,0.0,0.0,0.0,10
0.35352,0.01026,0.01,0.937,0.0005,4.71822,0.8,7.61678,0.48499,1.59236,0.0212,0.7,0.34348,0.0,0.12747,0.5,0.0,0.0,0.0,0.37417,0.0,1.0,0.0,0.0,0.0,10
0.33737,0.0102,0.01,0.98,0.0005,5.0,0.95,7.60547,0.5017,1.52876,0.01588,0.7,0.45189,0.0,0.10051,0.50546,0.0,0.0,0.0,0.41778,0.0,1.0,0.0,0.0,0.0,10
0.40723,0.00658,0.01,0.98,0.0005,4.05888,0.73307,6.59414,0.51807,1.51472,0.01377,0.7,0.37119,0.0,0.1227,0.50144,0.0,0.0,0.0,0.38954,0.0,1.0,0.0,0.0,0.0,10
0.39051,0.00796,0.01027,0.97371,0.0005,4.80653,0.64554,6.51197,0.51377,1.49463,0.01525,0.7,0.42719,0.0,0.12665,0.49928,0.0,0.0,0.0,0.38019,0.0,1.0,0.0,0.0,0.0,10
0.32791,0.00974,0.00998,0.96507,0.0005,3.73465,0.91508,7.06903,0.48375,1.5785,0.01107,0.7,0.37075,0.0,0.11429,0.5034,0.0,0.0,0.0,0.56663,0.0,0.91654,0.0,0.0,0.0,10
0.42923,0.00534,0.0077,0.87537,0.0005,3.63417,0.86225,6.67615,0.50038,1.45225,0.01982,0.8749,0.33782,0.0,0.14453,0.50256,0.0,0.0,0.0,0.48514,0.0,0.95363,0.0,0.0,0.0,10
0.18481,0.01171,0.00782,0.74634,0.0005,3.91991,0.88838,8.4345,0.47522,1.21478,0.01206,0.88823,0.41821,0.0,0.131,0.50654,0.0,0.0,0.0,0.45494,0.0,0.98036,0.0,0.0,0.0,10
0.30735,0.01116,0.00864,0.94424,0.00036,4.25745,0.85799,9.84806,0.50659,1.46297,0.01667,0.66704,0.4416,0.0,0.14623,0.63336,0.0,0.0,0.0,0.35744,0.0,0.85079,0.0,0.0,0.0,10
0.22775,0.01123,0.00992,0.89481,0.00044,5.0,0.82407,8.43538,0.75483,1.59957,0.01658,0.86706,0.46891,0.0,0.18364,0.44689,0.0,0.0,0.0,0.51118,0.0,0.95416,0.0,0.0,0.0,10
0.33481,0.01113,0.00727,0.97066,0.00048,4.08362,0.66948,10.11419,0.51849,1.5795,0.01182,0.7626,0.38241,0.0,0.15758,0.46677,0.0,0.0,0.0,0.37445,0.0,0.84392,0.0,0.0,0.0,10
0.33522,0.00915,0.00854,0.91355,0.00044,5.0,0.95,7.74956,0.48462,1.57363,0.01794,0.67344,0.30481,0.0,0.12973,0.39529,0.0,0.0,0.0,0.4226,0.0,0.96716,0.0,0.0,0.0,10
0.33681,0.00919,0.00806,0.90078,0.00062,3.54393,0.63124,7.38093,0.49736,1.3544,0.01824,0.89778,0.4105,0.0,0.1497,0.4713,0.0,0.0,0.0,0.36539,0.0,1.0,0.0,0.0,0.0,10
0.42453,0.00637,0.00785,0.98,0.00049,4.13189,0.63239,7.59013,0.52431,1.06002,0.02443,0.75,0.34409,0.0,0.12553,0.47009,0.0,0.0,0.0,0.46845,0.0,0.94112,0.0,0.0,0.0,10
0.18263,0.01197,0.01,0.96983,0.00049,4.437,0.89098,6.34279,0.46708,1.18954,0.01934,0.76662,0.42239,0.0,0.14571,0.47985,0.0,0.0,0.0,0.41793,0.0,0.96661,0.0,0.0,0.0,10
0.31852,0.00842,0.00809,0.98,0.0005,3.10534,0.95,7.37798,0.35103,1.62917,0.01783,0.76458,0.38418,0.0,0.13802,0.50289,0.0,0.0,0.0,0.44402,0.0,1.0,0.0,0.0,0.0,10
0.32317,0.00863,0.00797,0.84261,0.00044,3.66599,0.80197,6.86424,0.50871,1.31231,0.02047,0.70534,0.42014,0.0,0.15623,0.46671,0.0,0.0,0.0,0.3326,0.0,1.0,0.0,0.0,0.0,10
0.40141,0.00574,0.00788,0.87787,0.00039,3.58774,0.9071,6.77048,0.51094,0.98177,0.01442,0.77969,0.3932,0.0,0.12083,0.48688,0.0,0.0,0.0,0.40947,0.0,0.93669,0.0,0.0,0.0,8
0.32887,0.00803,0.0105,0.90626,0.00046,3.0643,0.66501,6.40103,0.52382,0.97342,0.01877,0.81374,0.42242,0.0,0.19026,0.50614,0.0,0.0,0.0,0.43823,0.0,0.94154,0.0,0.0,0.0,6
0.45713,0.00537,0.00981,0.96893,0.00025,5.0,0.63019,7.3403,0.50096,1.18095,0.00733,0.69219,0.39269,0.0,0.13931,0.49056,0.0,0.0,0.0,0.49032,0.0,0.99633,0.0,0.0,0.0,9
0.44286,0.00545,0.00956,0.95616,0.00047,4.33732,0.68908,7.43024,0.55674,1.14431,0.0126,0.9,0.54093,0.0,0.1365,0.49433,0.0,0.0,0.0,0.41353,0.0,0.95085,0.0,0.0,0.0,9
0.3335,0.00678,0.00873,0.86409,0.00017,4.23799,0.88954,10.35636,0.49631,1.36527,0.01787,0.68937,0.47404,0.0,0.12843,0.49891,0.0,0.0,0.0,0.49791,0.0,0.79315,0.0,0.0,0.0,9
0.2847,0.01211,0.00756,0.98,0.00023,4.07215,0.78666,7.4959,0.63872,1.59086,0.02164,0.9,0.32447,0.0,0.17602,0.54541,0.0,0.0,0.0,0.40753,0.0,0.96364,0.0,0.0,0.0,10
0.35706,0.00901,0.00906,0.95902,0.00036,3.69234,0.92485,7.58336,0.46174,1.19084,0.01675,0.82271,0.32871,0.0,0.14385,0.42979,0.0,0.0,0.0,0.30292,0.0,0.93815,0.0,0.0,0.0,8
0.33931,0.00876,0.01087,0.90848,0.00052,2.47536,0.73978,7.04371,0.52258,1.63508,0.00825,0.72875,0.39435,0.0,0.12933,0.63498,0.0,0.0,0.0,0.72761,0.0,1.0,0.0,0.0,0.0,10
0.39911,0.00569,0.01418,0.87828,0.00038,4.31281,0.68116,9.3197,0.47017,0.89519,0.01271,0.82009,0.38333,0.0,0.12365,0.65739,0.0,0.0,0.0,0.4349,0.0,1.0,0.0,0.0,0.0,8
0.43561,0.00516,0.0074,0.891,0.00022,5.0,0.74212,7.4524,0.55931,1.50285,0.01587,0.67304,0.32491,0.0,0.14258,0.47953,0.0,0.0,0.0,0.49718,0.0,0.9248,0.0,0.0,0.0,10
0.39496,0.00603,0.00522,0.84281,0.00069,4.22947,0.87589,7.99573,0.4941,1.41472,0.01652,0.82963,0.39537,0.0,0.09567,0.56394,0.0,0.0,0.0,0.39228,0.0,0.95202,0.0,0.0,0.0,8
0.37036,0.00652,0.00798,0.95079,0.00039,3.37539,0.72173,7.40221,0.43328,0.75898,0.02007,0.75624,0.37,0.0,0.14733,0.5114,0.0,0.0,0.0,0.42426,0.0,1.0,0.0,0.0,0.0,10
0.37442,0.00637,0.0088,0.85601,0.00031,3.35875,0.7972,7.53717,0.6306,0.9498,0.02087,0.60186,0.2967,0.0,0.13187,0.52735,0.0,0.0,0.0,0.39751,0.0,1.0,0.0,0.0,0.0,9
0.41762,0.00638,0.0067,0.98,0.00052,4.20355,0.67839,7.54427,0.52777,1.39666,0.00847,0.72321,0.44756,0.0,0.12104,0.50561,0.0,0.0,0.0,0.43539,0.0,1.0,0.0,0.0,0.0,9
0.34306,0.00672,0.00886,0.87186,0.00029,3.95386,0.86329,3.94541,0.54526,1.41516,0.01237,0.74965,0.47871,0.0,0.15499,0.80727,0.0,0.0,0.0,0.42141,0.0,0.92758,0.0,0.0,0.0,9
0.40327,0.00563,0.00655,0.95324,0.00029,4.60702,0.69769,7.42967,0.51609,1.28053,0.01015,0.58677,0.37207,0.0,0.15831,0.58153,0.0,0.0,0.0,0.47543,0.0,0.96661,0.0,0.0,0.0,10
0.21974,0.00618,0.00872,0.85668,0.00022,5.0,0.93702,7.53133,0.4936,1.09005,0.01952,0.82916,0.59387,0.0,0.1074,0.46727,0.0,0.0,0.0,0.46136,0.0,0.94707,0.0,0.0,0.0,6
0.42904,0.00548,0.00705,0.9067,0.00052,3.0609,0.63406,7.30668,0.51493,1.41177,0.00819,0.9,0.38114,0.0,0.18029,0.49335,0.0,0.0,0.0,0.44759,0.0,1.0,0.0,0.0,0.0,10
0.361,0.00709,0.00806,0.98,0.00031,4.97786,0.65332,10.47406,0.4948,1.21762,0.01059,0.9,0.52336,0.0,0.11312,0.47689,0.0,0.0,0.0,0.45124,0.0,0.92552,0.0,0.0,0.0,10
0.4004,0.00637,0.00973,0.97153,0.00019,4.90374,0.70429,6.91919,0.4376,1.11719,0.01431,0.82413,0.33319,0.0,0.12289,0.50173,0.0,0.0,0.0,0.43279,0.0,1.0,0.0,0.0,0.0,10
0.41824,0.006,0.00844,0.97326,0.00044,4.05069,0.62711,6.56024,0.51295,1.43007,0.01262,0.78105,0.58645,0.0,0.18515,0.50236,0.0,0.0,0.0,0.31628,0.0,1.0,0.0,0.0,0.0,9
0.40491,0.00525,0.00801,0.91815,0.00051,4.03196,0.64561,7.59092,0.52343,1.30823,0.02474,0.87221,0.54674,0.0,0.13317,0.50054,0.0,0.0,0.0,0.53646,0.0,0.92611,0.0,0.0,0.0,10
