epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8144,1.85288,4.78409,1.54392,0.00309,0.89474,0.25888,0.13059,1.50437,4.32658,1.31052,0.00342105,0.00342105,0.00342105
2,51.4253,1.64941,3.61156,1.24687,0.00256,0.64474,0.18151,0.06038,2.72772,4.96317,2.14566,0.00692982,0.00692982,0.00692982
3,67.0539,1.76199,3.09977,1.30303,0.23644,0.26485,0.14625,0.05658,2.56266,3.96729,1.99333,0.01,0.01,0.01
4,82.6222,2.07467,3.17386,1.50573,0.01642,0.39474,0.01406,0.0042,2.96193,230.474,3.19035,0.00999999,0.00999999,0.00999999
5,98.2532,2.15236,2.75444,1.58986,0.04511,0.07895,0.02028,0.00565,2.78756,163.241,3.22244,0.00999998,0.00999998,0.00999998
6,113.68,2.15485,2.50594,1.5657,0.21192,0.42105,0.15433,0.05051,2.36267,127.321,2.2768,0.00999998,0.00999998,0.00999998
7,129.183,2.04541,2.34289,1.53994,0.3299,0.25267,0.22192,0.08884,2.63811,3.70585,2.25343,0.00999996,0.00999996,0.00999996
8,144.744,2.05391,2.29033,1.56339,0.28456,0.53947,0.29741,0.12465,2.00739,10.8848,1.62226,0.00999995,0.00999995,0.00999995
9,160.261,2.04459,2.25413,1.5335,0.56241,0.55263,0.47519,0.19881,1.96404,4.81968,1.57679,0.00999994,0.00999994,0.00999994
10,175.641,2.0256,2.08499,1.50224,0.10083,0.35526,0.0615,0.01858,2.9884,13.0363,2.25358,0.00999992,0.00999992,0.00999992
11,190.914,2.03633,2.05297,1.52351,0.62723,0.44737,0.46448,0.21069,2.09537,3.47575,1.55773,0.0099999,0.0099999,0.0099999
12,205.432,2.0103,2.03468,1.49959,0.62027,0.40789,0.45205,0.2057,1.94436,5.35075,1.46205,0.00999988,0.00999988,0.00999988
13,220.531,1.99986,2.0883,1.4897,0.17956,0.32895,0.15439,0.0608,2.10314,3.46121,1.61307,0.00999986,0.00999986,0.00999986
14,235.737,1.96819,2.0108,1.47975,0.45378,0.39353,0.3664,0.16588,2.19664,3.52651,1.67275,0.00999983,0.00999983,0.00999983
15,251.473,1.87358,1.88894,1.41606,0.24933,0.27632,0.18149,0.07506,2.17265,3.83699,1.69774,0.00999981,0.00999981,0.00999981
