epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.074,1.13767,11.9732,2.10149,0.00322,0.84211,0.39662,0.18885,0.98384,11.2764,2.26855,0.0026,0.0026,0.0026
2,51.6455,1.01479,7.78281,1.74274,0.71248,0.61953,0.6742,0.40356,0.8012,6.48312,1.53785,0.00526667,0.00526667,0.00526667
3,67.1335,0.95755,6.70892,1.66704,0.59759,0.59211,0.55776,0.31729,0.85193,6.402,1.62946,0.00793333,0.00793333,0.00793333
4,82.2959,1.05675,6.32086,1.726,0.55102,0.51678,0.50035,0.21406,1.09869,9.2767,1.97731,0.00999999,0.00999999,0.00999999
5,97.6682,1.0208,5.62415,1.70933,0.70273,0.40441,0.49835,0.25809,1.02025,5.31992,1.79177,0.00999998,0.00999998,0.00999998
6,115.228,1.01066,5.05864,1.71288,0.67965,0.46053,0.55449,0.31296,1.04229,6.82977,1.84167,0.00999998,0.00999998,0.00999998
7,132.383,1.02589,4.98229,1.72563,0.59672,0.58413,0.59081,0.30402,1.10004,4.40799,1.974,0.00999996,0.00999996,0.00999996
8,147.913,0.97158,4.62566,1.68623,0.59228,0.60526,0.64818,0.35798,0.93868,3.8861,1.78347,0.00999995,0.00999995,0.00999995
9,163.017,0.98636,4.45073,1.68468,0.70348,0.51316,0.59603,0.34041,0.93161,4.08261,1.72164,0.00999994,0.00999994,0.00999994
10,179.403,0.9471,4.19905,1.66686,0.5865,0.60526,0.56849,0.30296,0.9978,5.90803,1.8768,0.00999992,0.00999992,0.00999992
11,196.73,0.98875,4.16855,1.68521,0.67107,0.65789,0.75592,0.45501,0.95248,2.84593,1.77748,0.0099999,0.0099999,0.0099999
12,211.976,0.98632,4.17028,1.68288,0.54928,0.35526,0.32618,0.18983,1.11908,5.52374,2.18345,0.00999988,0.00999988,0.00999988
13,227.386,0.95265,3.82795,1.66055,0.68534,0.54456,0.59887,0.3637,0.94947,3.87241,1.73906,0.00999986,0.00999986,0.00999986
14,243.015,0.98211,3.81882,1.68293,0.79447,0.44737,0.52575,0.29674,1.07423,4.53879,2.00881,0.00999983,0.00999983,0.00999983
15,259.396,0.94647,3.70445,1.64755,0.59426,0.60526,0.58668,0.29458,0.97194,4.24818,1.73721,0.00999981,0.00999981,0.00999981
16,276.008,1.0078,3.81538,1.71034,0.83598,0.52632,0.60762,0.36203,0.96695,3.37391,1.76372,0.00999978,0.00999978,0.00999978
17,294.004,0.97323,3.81309,1.70199,0.71481,0.71053,0.71943,0.44575,0.88854,3.0136,1.7074,0.00999975,0.00999975,0.00999975
18,310.504,0.94213,3.59086,1.65633,0.70554,0.68421,0.6929,0.43186,0.84477,3.04945,1.61188,0.00999972,0.00999972,0.00999972
19,326.381,0.97505,3.48047,1.69467,0.66266,0.72368,0.74356,0.47384,0.79127,2.69548,1.56476,0.00999968,0.00999968,0.00999968
20,341.851,0.93857,3.52708,1.65153,0.76392,0.68421,0.75906,0.48505,0.83565,2.58385,1.63818,0.00999965,0.00999965,0.00999965
21,357.22,0.96965,3.49242,1.66055,0.77165,0.63158,0.65906,0.41547,0.83295,2.95463,1.64495,0.00999961,0.00999961,0.00999961
22,373.602,0.95915,3.40929,1.6683,0.66516,0.70577,0.75655,0.44741,0.98935,2.92602,1.87484,0.00999957,0.00999957,0.00999957
23,391.751,0.93069,3.35597,1.63281,0.71602,0.64474,0.67276,0.41477,0.85912,3.75917,1.631,0.00999953,0.00999953,0.00999953
24,406.865,0.9074,3.13817,1.60448,0.77771,0.63158,0.77272,0.46439,0.9283,2.72205,1.70256,0.00999948,0.00999948,0.00999948
25,422.984,0.93407,3.26572,1.62532,0.70754,0.67105,0.74972,0.46764,0.91621,2.60383,1.7583,0.00999944,0.00999944,0.00999944
26,437.359,0.92549,3.21852,1.61624,0.67253,0.37837,0.48547,0.27839,1.11052,5.44813,2.05728,0.00999939,0.00999939,0.00999939
27,451.964,0.89126,3.07165,1.58444,0.69691,0.69587,0.7488,0.47732,0.80898,2.52483,1.59705,0.00999934,0.00999934,0.00999934
28,466.996,0.9348,3.20755,1.60505,0.73435,0.43651,0.51177,0.33057,0.93511,4.47328,1.82177,0.00999929,0.00999929,0.00999929
29,482.35,0.90604,3.22012,1.59497,0.62848,0.63158,0.61889,0.36547,0.91264,4.33827,1.74706,0.00999923,0.00999923,0.00999923
30,497.26,0.92981,3.17413,1.61488,0.78969,0.6423,0.72353,0.48294,0.82545,2.6296,1.67501,0.00999918,0.00999918,0.00999918
31,512.187,0.90173,3.1501,1.58873,0.76455,0.61842,0.73887,0.48373,0.81158,2.52426,1.59678,0.00999912,0.00999912,0.00999912
32,526.829,0.92663,3.07022,1.64121,0.54786,0.38158,0.43571,0.2429,0.97503,5.33459,1.78879,0.00999906,0.00999906,0.00999906
33,541.699,0.90774,2.92065,1.59287,0.75376,0.56392,0.6937,0.38814,1.02805,3.47404,1.78798,0.009999,0.009999,0.009999
34,556.448,0.91842,3.09943,1.61083,0.73125,0.68421,0.75429,0.50113,0.81379,3.94005,1.58065,0.00999893,0.00999893,0.00999893
35,570.969,0.94511,3.08644,1.64223,0.87379,0.56579,0.69989,0.39575,0.96182,3.47442,1.8118,0.00999887,0.00999887,0.00999887
36,585.952,0.91346,3.04933,1.61215,0.64134,0.67105,0.69101,0.44524,0.83589,2.7336,1.642,0.0099988,0.0099988,0.0099988
37,600.497,0.91952,3.08569,1.63231,0.72577,0.59211,0.642,0.41727,0.83862,3.11344,1.60924,0.00999873,0.00999873,0.00999873
38,615.122,0.9311,3.06374,1.6331,0.76254,0.64474,0.74638,0.42106,0.97546,2.40425,1.80924,0.00999866,0.00999866,0.00999866
39,630.006,0.95775,3.2262,1.66346,0.68409,0.75,0.75045,0.43733,0.91877,2.53779,1.74825,0.00999859,0.00999859,0.00999859
40,644.982,0.90958,2.98352,1.59903,0.61676,0.53947,0.52042,0.3059,1.01931,6.76996,1.94233,0.00999851,0.00999851,0.00999851
41,659.509,0.89446,2.95541,1.58309,0.73671,0.64474,0.7453,0.4806,0.81618,2.37596,1.63646,0.00999843,0.00999843,0.00999843
