epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5603,1.70072,5.46462,1.87266,0.0018,0.95522,0.21909,0.10322,1.69249,6.05801,2.02757,0.000541775,0.000541775,0.000541775
2,70.8797,1.69095,3.89994,1.74101,0.12513,0.38806,0.11599,0.03595,2.3805,11.2473,3.25524,0.00104312,0.00104312,0.00104312
3,95.0972,1.74742,3.28722,1.77443,0.17394,0.58209,0.29669,0.10238,2.18684,41.0668,3.07099,0.00148945,0.00148945,0.00148945
4,119.987,1.80437,2.72525,1.79306,0.28533,0.31343,0.22287,0.07897,1.85387,5.89883,2.21377,0.00141945,0.00141945,0.00141945
5,143.752,1.75742,2.40147,1.74779,0.65694,0.38806,0.47039,0.24119,1.6953,2.05201,1.95875,0.00133693,0.00133693,0.00133693
6,167.83,1.67863,2.19501,1.69778,0.5323,0.61194,0.55521,0.25544,1.83337,5.80624,1.99543,0.00125442,0.00125442,0.00125442
7,190.347,1.60646,1.97216,1.6296,0.55822,0.52239,0.48638,0.19944,1.81059,2.09363,1.98583,0.0011719,0.0011719,0.0011719
8,213.83,1.57061,1.84589,1.6438,0.60384,0.47775,0.57954,0.2692,1.78203,1.77122,2.03448,0.00108938,0.00108938,0.00108938
9,237.479,1.52684,1.72935,1.58431,0.60706,0.59701,0.65057,0.32002,1.69904,1.85106,1.90037,0.00100687,0.00100687,0.00100687
10,260.99,1.48079,1.63199,1.53249,0.5304,0.69121,0.59854,0.34409,1.584,2.33015,1.80431,0.000924352,0.000924352,0.000924352
11,282.987,1.40343,1.63442,1.64304,0.59505,0.49254,0.56616,0.29322,1.71611,1.68357,1.89844,0.000841835,0.000841835,0.000841835
12,304.274,1.35325,1.46958,1.57956,0.53082,0.68657,0.67066,0.37434,1.45914,2.0034,1.6994,0.000759318,0.000759318,0.000759318
13,326.494,1.35802,1.4295,1.60122,0.8057,0.61899,0.73156,0.45544,1.32486,1.2022,1.55576,0.000676802,0.000676802,0.000676802
14,347.355,1.29522,1.27391,1.54549,0.75628,0.8806,0.86887,0.49568,1.33648,1.17298,1.55078,0.000594286,0.000594286,0.000594286
15,368.878,1.25356,1.22282,1.53186,0.65194,0.83582,0.83288,0.50809,1.22869,1.00222,1.48938,0.000511769,0.000511769,0.000511769
16,389.826,1.22811,1.17714,1.47539,0.64916,0.88375,0.85375,0.54357,1.26605,1.06483,1.51006,0.000429253,0.000429253,0.000429253
17,412.295,1.14369,1.09456,1.37563,0.73615,0.76119,0.80384,0.53045,1.29125,0.90787,1.56511,0.000346736,0.000346736,0.000346736
18,433.945,1.08813,1.04334,1.37892,0.71314,0.77612,0.82902,0.55845,1.28376,0.93144,1.53673,0.00026422,0.00026422,0.00026422
19,455.523,1.12436,0.98466,1.41558,0.82825,0.79174,0.87918,0.55681,1.27461,0.96523,1.46331,0.000181703,0.000181703,0.000181703
20,477.305,1.06163,0.94926,1.35332,0.81739,0.79104,0.88963,0.56899,1.2721,0.93626,1.48645,9.91865e-05,9.91865e-05,9.91865e-05
