epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8402,2.19403,5.05772,2.57744,0.00147,0.62857,0.00205,0.00042,3.36291,inf,145.688,0.000548721,0.000548721,0.000548721
2,147.552,2.51132,3.3083,2.86208,0,0,0,0,nan,nan,nan,0.00109892,0.00109892,0.00109892
3,212.108,2.51681,3.32828,2.8605,0.00901,0.1,0.01069,0.0016,nan,nan,nan,0.00164362,0.00164362,0.00164362
4,274.577,2.56106,3.60518,2.96646,0.02825,0.25714,0.0228,0.00606,2.30519,518.416,4.90303,0.00164225,0.00164225,0.00164225
5,338.55,2.45529,3.33176,2.87301,0.06245,0.61429,0.06973,0.01834,2.15323,428.947,3.13444,0.00163399,0.00163399,0.00163399
6,402.301,2.33944,3.23919,2.74748,0.01433,0.44286,0.01189,0.00446,nan,nan,nan,0.00162574,0.00162574,0.00162574
7,463.679,2.34669,2.98629,2.76504,0.11622,0.2,0.07181,0.01907,2.16264,2.56184,2.87494,0.00161749,0.00161749,0.00161749
8,523.618,2.25753,3.07562,2.71931,0.10941,0.38571,0.12489,0.03904,1.87499,2.33125,2.61244,0.00160924,0.00160924,0.00160924
9,583.353,2.18965,2.90095,2.60446,0.18602,0.3,0.15935,0.04899,1.84199,9.8006,2.53787,0.00160099,0.00160099,0.00160099
10,640.295,2.21716,2.98784,2.62953,0.08966,0.15714,0.05462,0.01488,1.93711,11.5627,2.63549,0.00159274,0.00159274,0.00159274
11,696.537,2.10506,2.85812,2.54064,0.17154,0.44286,0.1665,0.04928,1.78165,2.3159,2.49207,0.00158448,0.00158448,0.00158448
12,754.696,2.10502,2.80609,2.58167,0.10415,0.25714,0.07923,0.02394,1.84387,4.80576,2.56793,0.00157623,0.00157623,0.00157623
13,816.458,2.06385,2.86174,2.547,0.1444,0.22905,0.14532,0.04809,1.77333,2.23728,2.48821,0.00156798,0.00156798,0.00156798
14,871.938,2.04453,2.62596,2.46205,0.14404,0.45714,0.15348,0.04796,1.67526,3.02715,2.4299,0.00155973,0.00155973,0.00155973
