epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9181,2.40573,5.34185,2.70935,9e-05,0.01493,0.00254,0.00025,nan,nan,nan,0.000548721,0.000548721,0.000548721
2,86.9208,2.74261,3.39499,2.83962,0.00038,0.07463,0.00025,9e-05,nan,nan,nan,0.00109892,0.00109892,0.00109892
3,117.449,2.53417,3.2663,2.88177,0.02228,0.25373,0.00975,0.00303,nan,nan,nan,0.00164362,0.00164362,0.00164362
4,147.424,2.43773,3.27847,2.87491,0,0,0,0,nan,nan,nan,0.00164225,0.00164225,0.00164225
5,177.847,2.50926,3.24368,2.8052,0.00192,0.38806,0.00411,0.00113,nan,nan,nan,0.00163399,0.00163399,0.00163399
6,208.354,2.33123,3.13105,2.66064,0.21775,0.1164,0.08977,0.02497,2.09031,2.55351,2.72641,0.00162574,0.00162574,0.00162574
7,238.216,2.31317,3.22596,2.71478,0.09685,0.31343,0.06893,0.0189,2.03835,4.74489,2.75085,0.00161749,0.00161749,0.00161749
8,268.177,2.2564,3.04744,2.63506,0.20641,0.20896,0.10933,0.03019,1.88124,7.91294,2.65775,0.00160924,0.00160924,0.00160924
9,297.905,2.27846,3.07193,2.64661,0.08771,0.31343,0.08694,0.02566,1.87484,7.25706,2.62705,0.00160099,0.00160099,0.00160099
10,327.467,2.23975,3.03253,2.5999,0.2274,0.19403,0.14219,0.0461,1.92299,5.32004,2.65992,0.00159274,0.00159274,0.00159274
11,357.223,2.2648,3.0669,2.59611,0.13005,0.26866,0.13241,0.03645,1.86536,8.67022,2.61803,0.00158448,0.00158448,0.00158448
12,387.33,2.15118,2.86116,2.58121,0.05851,0.68657,0.15557,0.04522,1.91076,2.52839,2.42252,0.00157623,0.00157623,0.00157623
13,417.539,2.22098,2.88473,2.55687,0.20375,0.20896,0.13322,0.04563,1.85961,4.27646,2.47629,0.00156798,0.00156798,0.00156798
14,447.717,2.16472,2.88509,2.5506,0.20184,0.1791,0.17285,0.05004,1.71119,4.98956,2.48898,0.00155973,0.00155973,0.00155973
15,477.649,2.09708,2.81984,2.48484,0.1887,0.23881,0.17345,0.05608,1.56705,2.15956,2.27956,0.00155148,0.00155148,0.00155148
16,507.455,2.10006,2.86152,2.4597,0.17642,0.25373,0.18516,0.06548,1.68336,2.7147,2.39126,0.00154323,0.00154323,0.00154323
