epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8665,1.62686,5.8119,1.92222,0.53416,0.26866,0.41371,0.15056,1.41772,5.9301,1.66552,0.00329167,0.00329167,0.00329167
2,80.6643,1.55735,4.5278,1.71105,0.41057,0.47825,0.35851,0.15532,1.60468,5.53658,1.88305,0.00662369,0.00662369,0.00662369
3,102.072,1.75818,3.78167,1.88085,0.03591,0.04478,0.00993,0.00289,1.99014,4.62243,2.60091,0.00995439,0.00995439,0.00995439
4,123.355,1.909,3.16868,1.99289,0.06727,0.07463,0.01869,0.0042,2.99174,11.6125,3.5313,0.00999406,0.00999406,0.00999406
5,147.76,1.97773,2.77962,2.03035,0.40392,0.34388,0.29943,0.09677,1.96106,7.58274,2.38232,0.00999208,0.00999208,0.00999208
6,170.277,1.9164,2.54038,1.98424,0.46599,0.37313,0.40412,0.15656,1.85153,6.43799,2.09503,0.0099901,0.0099901,0.0099901
7,191.625,1.97469,2.49878,2.03981,0.60015,0.38092,0.42094,0.12625,2.21444,3.10269,2.59008,0.00998812,0.00998812,0.00998812
8,213.077,1.99713,2.36929,2.05074,0.3867,0.47761,0.3901,0.1599,2.00858,9.19676,2.17086,0.00998614,0.00998614,0.00998614
9,234.178,1.90017,2.65538,1.96175,0.41194,0.34328,0.27446,0.09613,2.06387,2.28413,2.40057,0.00998416,0.00998416,0.00998416
10,255.296,1.88374,2.32116,1.94872,0.37956,0.39267,0.3567,0.14419,1.79984,3.52131,2.02251,0.00998218,0.00998218,0.00998218
11,276.437,1.90175,2.26012,1.95138,0.38653,0.44776,0.37026,0.14969,1.50977,3.38689,1.77781,0.0099802,0.0099802,0.0099802
12,297.774,1.85355,2.22191,1.91322,0.42885,0.46269,0.37481,0.15445,1.85271,2.39122,2.16484,0.00997822,0.00997822,0.00997822
13,318.889,1.83237,2.11723,1.90958,0.58226,0.56175,0.61527,0.24252,1.74294,2.1937,1.90933,0.00997624,0.00997624,0.00997624
14,339.937,1.76049,2.05525,1.83149,0.53007,0.47761,0.50259,0.19158,1.67427,1.75336,1.89272,0.00997426,0.00997426,0.00997426
15,360.993,1.82744,2.09051,1.88888,0.76257,0.47761,0.66616,0.2993,1.4547,2.8871,1.71035,0.00997228,0.00997228,0.00997228
16,382.06,1.83677,2.18335,1.86318,0.47239,0.52239,0.51325,0.21957,1.63152,2.13324,1.87085,0.0099703,0.0099703,0.0099703
17,402.935,1.81784,2.01137,1.88749,0.65438,0.50868,0.58882,0.26569,1.55787,1.44237,1.75986,0.00996832,0.00996832,0.00996832
18,424.135,1.81134,2.11056,1.87445,0.73559,0.59701,0.67824,0.32321,1.61056,1.45156,1.83127,0.00996634,0.00996634,0.00996634
