epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6349,1.70276,4.86169,1.86669,0.00288,1,0.64375,0.27974,1.37773,4.40755,1.50875,0.00325,0.00325,0.00325
2,63.2446,1.59513,3.53562,1.64224,0.60717,0.34328,0.50589,0.24462,1.66472,3.84364,1.83526,0.00658333,0.00658333,0.00658333
3,77.2478,1.68202,3.14181,1.66723,0.39473,0.52239,0.40844,0.19279,1.7477,10.5101,1.90074,0.00991666,0.00991666,0.00991666
4,91.5499,1.77168,2.84974,1.82525,0.01037,0.29851,0.00462,0.00114,3.37625,118.591,12.2634,0.00999999,0.00999999,0.00999999
5,105.701,1.91004,2.69049,1.93371,0.02228,0.1791,0.01522,0.00516,2.2931,31.5729,2.79703,0.00999998,0.00999998,0.00999998
6,119.445,1.89875,2.44228,1.97097,0.21476,0.46269,0.30941,0.11278,2.08234,16.9722,2.31323,0.00999998,0.00999998,0.00999998
7,133.175,1.88623,2.29501,1.90274,0.02219,0.22388,0.01652,0.00337,3.00011,113.225,3.67911,0.00999996,0.00999996,0.00999996
8,147.019,1.81444,2.24005,1.82942,0.26972,0.19403,0.11334,0.02594,3.06468,8.48038,2.91524,0.00999995,0.00999995,0.00999995
9,160.716,1.81165,2.15301,1.84642,0.29826,0.43284,0.2551,0.09619,2.09471,7.90752,2.42205,0.00999994,0.00999994,0.00999994
10,174.396,1.83752,2.13637,1.86807,0.19172,0.32836,0.15383,0.06351,1.83078,9.5313,2.00256,0.00999992,0.00999992,0.00999992
11,188.07,1.76844,1.95979,1.80034,0.36873,0.28358,0.23974,0.08756,2.54537,3.02561,2.69369,0.0099999,0.0099999,0.0099999
12,201.857,1.81337,2.00569,1.82378,0.35146,0.40444,0.31217,0.0986,2.1417,4.0805,2.22012,0.00999988,0.00999988,0.00999988
13,215.626,1.83032,2.08857,1.85134,0.24485,0.29041,0.15621,0.03797,3.24644,2.39869,3.27588,0.00999986,0.00999986,0.00999986
14,229.32,1.75861,1.93243,1.77243,0.45959,0.52239,0.45355,0.18008,1.99608,1.93457,2.07201,0.00999983,0.00999983,0.00999983
15,243.02,1.70509,1.8973,1.73782,0.50962,0.61194,0.61234,0.26935,1.7613,2.75767,1.77563,0.00999981,0.00999981,0.00999981
16,257.391,1.73689,1.90589,1.74099,0.566,0.62687,0.64572,0.29753,1.77563,2.06404,1.78106,0.00999978,0.00999978,0.00999978
17,271.634,1.69101,1.81616,1.72569,0.58944,0.53731,0.52651,0.21576,1.80009,1.90476,1.83387,0.00999975,0.00999975,0.00999975
18,285.868,1.74586,1.93312,1.77985,0.38478,0.36411,0.28673,0.1229,1.71967,6.60671,1.84263,0.00999972,0.00999972,0.00999972
19,299.955,1.71673,1.80906,1.78093,0.6133,0.66284,0.68401,0.32662,1.65909,4.82618,1.69324,0.00999968,0.00999968,0.00999968
20,314.28,1.69248,1.82691,1.73519,0.38839,0.61194,0.39912,0.17469,1.69969,3.41116,1.76239,0.00999965,0.00999965,0.00999965
21,328.351,1.66645,1.77183,1.71969,0.58193,0.56716,0.55221,0.26926,1.92497,1.88804,2.02904,0.00999961,0.00999961,0.00999961
22,342.473,1.70597,1.79254,1.70769,0.60729,0.64179,0.64277,0.33454,1.58986,1.47006,1.5661,0.00999957,0.00999957,0.00999957
23,356.59,1.61384,1.75254,1.64767,0.53161,0.61194,0.62317,0.31808,1.79838,1.49521,1.79219,0.00999953,0.00999953,0.00999953
24,370.98,1.6591,1.68274,1.66418,0.69607,0.46269,0.55511,0.27653,1.87113,1.74402,1.9649,0.00999948,0.00999948,0.00999948
25,385.229,1.64396,1.71354,1.6773,0.65405,0.50746,0.60728,0.28726,1.76342,1.63412,1.83988,0.00999944,0.00999944,0.00999944
26,399.228,1.64596,1.7441,1.69618,0.52372,0.73134,0.61005,0.29127,1.80464,1.632,1.83299,0.00999939,0.00999939,0.00999939
27,413.394,1.65746,1.67343,1.65788,0.29772,0.49254,0.27276,0.12754,1.77407,5.68102,1.76857,0.00999934,0.00999934,0.00999934
28,427.427,1.66752,1.73315,1.68059,0.73064,0.49254,0.63712,0.33438,1.65952,1.34381,1.71501,0.00999929,0.00999929,0.00999929
29,441.631,1.59382,1.72284,1.63109,0.70793,0.73134,0.73907,0.3836,1.6093,1.39191,1.7154,0.00999923,0.00999923,0.00999923
30,455.81,1.64601,1.71479,1.69165,0.63338,0.67164,0.65234,0.30907,1.60482,1.56492,1.67721,0.00999918,0.00999918,0.00999918
31,469.89,1.59117,1.68536,1.64451,0.77846,0.67164,0.7413,0.35392,1.83069,1.2001,1.85995,0.00999912,0.00999912,0.00999912
32,484.041,1.57549,1.655,1.6319,0.69341,0.64139,0.7288,0.31126,1.86587,1.58937,1.91299,0.00999906,0.00999906,0.00999906
33,498.145,1.57509,1.59505,1.63004,0.66514,0.70149,0.7401,0.37912,1.60249,1.25908,1.6574,0.009999,0.009999,0.009999
34,512.236,1.5958,1.60721,1.63986,0.74662,0.59701,0.67097,0.35354,1.63787,1.5225,1.721,0.00999894,0.00999894,0.00999894
35,526.243,1.57791,1.57921,1.61724,0.67481,0.67164,0.67836,0.36101,1.495,1.31584,1.55804,0.00999887,0.00999887,0.00999887
36,540.303,1.5309,1.58503,1.56596,0.84761,0.64179,0.74929,0.37029,1.66149,1.30943,1.6873,0.0099988,0.0099988,0.0099988
37,554.288,1.54859,1.50661,1.59281,0.73059,0.76119,0.78013,0.42412,1.45019,1.1095,1.49053,0.00999873,0.00999873,0.00999873
38,568.394,1.52503,1.53299,1.58355,0.74454,0.8209,0.83966,0.43469,1.57321,1.07319,1.59853,0.00999866,0.00999866,0.00999866
39,582.394,1.5825,1.70091,1.63193,0.61516,0.5249,0.57584,0.25071,1.95687,1.73558,1.99839,0.00999859,0.00999859,0.00999859
