epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1309,2.3463,3.88049,2.40596,0.00082,0.43966,0.00056,0.00013,4.14817,inf,9.89032,0.0703191,0.00329787,0.00329787
2,37.9624,2.47706,3.0973,2.45569,0.00053,0.41379,0.00093,0.00028,3.89203,inf,27.2954,0.0402973,0.00660932,0.00660932
3,45.6832,2.47688,2.95989,2.38192,0.00718,0.80172,0.00635,0.00195,3.17346,inf,4.19756,0.0102534,0.00989877,0.00989877
4,53.1603,2.38166,2.82616,2.31338,0.02997,0.12069,0.01809,0.00416,3.07008,21.3215,2.99603,0.009901,0.009901,0.009901
5,60.8743,2.34345,2.76601,2.32495,0.00668,0.17241,0.00376,0.00106,3.21535,91.1787,3.46494,0.009868,0.009868,0.009868
6,68.2081,2.30221,2.81965,2.28258,0.09022,0.77586,0.24358,0.0782,2.29627,181.345,2.51274,0.009835,0.009835,0.009835
7,75.5014,2.21566,2.64268,2.13726,0.1449,0.22414,0.0744,0.01998,2.92322,5.26944,3.04607,0.009802,0.009802,0.009802
8,82.8316,2.22567,2.70369,2.16225,0.00794,0.03448,0.0011,0.00025,4.60186,14.0366,5.80559,0.009769,0.009769,0.009769
9,89.988,2.13223,2.57179,2.1005,0.22071,0.12069,0.07001,0.01805,3.16075,3.5026,3.15438,0.009736,0.009736,0.009736
10,97.4036,2.17055,2.68307,2.1204,0.28622,0.41379,0.2604,0.08985,2.33058,35.7282,2.48275,0.009703,0.009703,0.009703
11,104.815,2.18382,2.65451,2.10561,0.23591,0.31897,0.16023,0.04538,2.98871,6.54721,3.13453,0.00967,0.00967,0.00967
12,112.179,2.08669,2.52161,1.99672,0.24852,0.37069,0.24043,0.06932,2.50751,3.86516,2.63166,0.009637,0.009637,0.009637
13,119.664,2.0847,2.39362,1.98126,0.23875,0.39655,0.28312,0.08342,2.40427,15.1506,2.52082,0.009604,0.009604,0.009604
14,127.021,2.0447,2.46603,1.98707,0.28248,0.40517,0.22377,0.07716,2.30342,3.90373,2.56286,0.009571,0.009571,0.009571
15,134.407,1.97885,2.33677,1.94758,0.28876,0.43966,0.27352,0.0962,2.10115,6.19398,2.34514,0.009538,0.009538,0.009538
16,141.754,2.06462,2.40945,1.99371,0.2673,0.42241,0.2379,0.0808,2.24759,2.90525,2.39236,0.009505,0.009505,0.009505
17,149.113,1.98473,2.24564,1.90064,0.35991,0.5,0.31767,0.10384,2.164,3.13432,2.30355,0.009472,0.009472,0.009472
18,156.492,2.00742,2.17782,1.91584,0.32465,0.56897,0.35074,0.12247,2.14322,2.88437,2.29885,0.009439,0.009439,0.009439
19,163.854,1.90628,2.15578,1.8631,0.39294,0.40517,0.29506,0.09441,2.39289,2.42256,2.5426,0.009406,0.009406,0.009406
20,171.214,1.95734,2.19827,1.89928,0.23068,0.44828,0.18778,0.06114,2.68686,6.0016,2.91104,0.009373,0.009373,0.009373
21,178.758,1.94999,2.32217,1.88321,0.40427,0.56034,0.45157,0.15706,2.18997,2.53255,2.49814,0.00934,0.00934,0.00934
22,186.138,1.93886,2.34588,1.91091,0.43923,0.44828,0.42388,0.15196,2.09003,4.86148,2.36712,0.009307,0.009307,0.009307
23,193.5,1.83887,2.13006,1.83435,0.38446,0.49138,0.37754,0.14109,2.00853,5.1976,2.22441,0.009274,0.009274,0.009274
24,200.767,1.88935,2.09486,1.87337,0.46176,0.33621,0.3498,0.14161,2.22699,2.37328,2.43544,0.009241,0.009241,0.009241
25,208.122,1.91792,2.09017,1.87822,0.50414,0.52586,0.51861,0.20481,1.84668,2.02888,2.10708,0.009208,0.009208,0.009208
26,215.499,1.90574,2.17543,1.86522,0.21067,0.33621,0.16123,0.05039,2.628,3.61038,2.68548,0.009175,0.009175,0.009175
27,222.854,1.87152,2.17279,1.82871,0.48348,0.57759,0.48729,0.19545,1.97433,2.89777,2.15603,0.009142,0.009142,0.009142
28,230.192,1.85852,2.32526,1.81697,0.31405,0.56034,0.32573,0.12953,1.89807,3.18348,2.0827,0.009109,0.009109,0.009109
29,237.523,1.82767,2.05969,1.78818,0.51821,0.60345,0.52852,0.19541,2.0043,2.22938,2.21496,0.009076,0.009076,0.009076
30,244.848,1.8075,2.08421,1.78115,0.321,0.56897,0.2812,0.08975,2.40743,6.45169,2.57176,0.009043,0.009043,0.009043
31,252.177,1.8663,2.05817,1.8086,0.46196,0.62931,0.50717,0.19679,1.92126,4.083,2.1812,0.00901,0.00901,0.00901
32,259.477,1.85125,2.10682,1.82838,0.41138,0.50862,0.3666,0.14642,2.02875,4.22706,2.22759,0.008977,0.008977,0.008977
33,266.795,1.77193,1.92832,1.73656,0.42028,0.62069,0.41387,0.15229,2.11702,2.93804,2.39798,0.008944,0.008944,0.008944
34,274.065,1.74472,1.96448,1.73636,0.40175,0.5431,0.39043,0.17089,1.88137,2.51054,2.18869,0.008911,0.008911,0.008911
35,281.602,1.74498,1.98751,1.73857,0.55157,0.59483,0.58832,0.23437,1.92678,2.52987,2.11485,0.008878,0.008878,0.008878
36,288.956,1.79443,2.04579,1.7761,0.49612,0.59483,0.49364,0.20095,1.9805,2.76051,2.19688,0.008845,0.008845,0.008845
37,296.328,1.76306,2.02671,1.76457,0.37121,0.53448,0.36903,0.15779,1.88674,2.26826,2.12295,0.008812,0.008812,0.008812
38,303.702,1.74398,1.94297,1.71627,0.4383,0.53448,0.41641,0.16789,2.08408,2.63445,2.31644,0.008779,0.008779,0.008779
39,311.084,1.81125,1.90601,1.77611,0.63389,0.60345,0.57348,0.22231,2.06883,3.32633,2.22098,0.008746,0.008746,0.008746
40,318.444,1.75246,1.8782,1.71603,0.55075,0.61207,0.523,0.23636,1.84555,2.52656,2.01545,0.008713,0.008713,0.008713
41,325.845,1.7519,1.89973,1.74436,0.59486,0.52586,0.51334,0.21366,1.96751,1.86186,2.1669,0.00868,0.00868,0.00868
