epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8351,2.2267,3.56694,2.22649,0.0043,0.27586,0.00273,0.00069,3.93857,inf,8.37792,0.0822311,0.0020183,0.0020183
2,38.673,2.29347,2.71976,2.26871,0.00162,0.76724,0.00178,0.00053,3.19867,inf,5.07107,0.0641371,0.00392437,0.00392437
3,46.2445,2.30618,2.75712,2.34028,0.01955,0.31034,0.01728,0.00569,2.87284,44.3239,3.07832,0.0459086,0.00569581,0.00569581
4,53.7248,2.19824,2.69379,2.24173,0.02678,0.2069,0.01642,0.0042,2.9902,10.8543,3.2601,0.0275454,0.00733261,0.00733261
5,61.2613,2.10237,2.50141,2.15704,0.33612,0.4569,0.30256,0.07016,2.7197,7.69931,3.088,0.00904753,0.00883476,0.00883476
6,68.58,2.1315,2.51373,2.20559,0.32824,0.47414,0.29592,0.10435,2.4054,15.7958,2.80837,0.008517,0.008517,0.008517
7,75.7111,2.06124,2.35556,2.09338,0.32807,0.48825,0.32843,0.12006,2.26892,3.24967,2.53332,0.0081804,0.0081804,0.0081804
8,82.9129,2.10052,2.39162,2.085,0.43894,0.5,0.39748,0.14975,2.08369,9.47427,2.37955,0.0078438,0.0078438,0.0078438
9,90.1167,1.96831,2.29964,2.01024,0.30935,0.52586,0.33044,0.1063,2.28087,4.77097,2.52378,0.0075072,0.0075072,0.0075072
10,97.2784,1.96549,2.40953,2.00978,0.4506,0.51724,0.4371,0.17588,1.97557,4.25448,2.18309,0.0071706,0.0071706,0.0071706
11,104.61,2.01075,2.34224,2.04587,0.42986,0.56547,0.42957,0.15721,1.99653,8.89977,2.22914,0.006834,0.006834,0.006834
12,111.848,1.99673,2.3276,1.9923,0.33707,0.55172,0.35051,0.13976,1.9985,3.14043,2.25811,0.0064974,0.0064974,0.0064974
13,119.174,1.96221,2.25315,1.97719,0.40189,0.62931,0.43461,0.16797,2.04534,4.44531,2.26532,0.0061608,0.0061608,0.0061608
14,126.435,1.93041,2.31286,1.96981,0.42383,0.51724,0.39792,0.14433,2.04557,3.26203,2.24904,0.0058242,0.0058242,0.0058242
15,133.526,1.83748,2.13522,1.88377,0.47811,0.58442,0.46203,0.17644,2.05901,1.9101,2.3384,0.0054876,0.0054876,0.0054876
16,140.667,1.86807,2.18515,1.92745,0.5032,0.64655,0.48523,0.19196,1.99857,2.33913,2.20354,0.005151,0.005151,0.005151
17,147.812,1.80034,2.05363,1.84947,0.52026,0.62069,0.55469,0.24677,1.95203,2.08678,2.17627,0.0048144,0.0048144,0.0048144
18,155.084,1.87625,1.94421,1.87534,0.49869,0.50862,0.48722,0.19887,2.03424,1.92734,2.42395,0.0044778,0.0044778,0.0044778
19,162.357,1.7172,1.92112,1.78773,0.53648,0.56897,0.52639,0.2225,1.97725,2.41339,2.19053,0.0041412,0.0041412,0.0041412
20,169.796,1.77947,1.95044,1.79148,0.51646,0.56034,0.55861,0.22984,1.95654,1.94317,2.19613,0.0038046,0.0038046,0.0038046
21,177.564,1.69582,2.11657,1.86479,0.57632,0.65517,0.57618,0.2811,1.81424,1.96334,2.03948,0.003468,0.003468,0.003468
22,184.824,1.63559,1.85674,1.81153,0.56664,0.5431,0.55496,0.22704,1.9673,1.85872,2.18595,0.0031314,0.0031314,0.0031314
23,192.012,1.66312,1.71803,1.86362,0.56855,0.63793,0.59189,0.28978,1.6523,2.21759,1.97026,0.0027948,0.0027948,0.0027948
24,199.239,1.62739,1.70756,1.81161,0.56091,0.66379,0.6135,0.27183,1.73019,2.25429,1.9974,0.0024582,0.0024582,0.0024582
25,206.439,1.56451,1.69153,1.79177,0.68091,0.60709,0.65561,0.3094,1.7128,1.81761,1.98857,0.0021216,0.0021216,0.0021216
26,213.671,1.60201,1.57342,1.81569,0.55883,0.65517,0.57636,0.26,1.83755,1.87611,2.16936,0.001785,0.001785,0.001785
27,220.858,1.58825,1.55441,1.7743,0.63455,0.70352,0.64826,0.33,1.71938,1.86698,2.02313,0.0014484,0.0014484,0.0014484
28,228.138,1.54531,1.48236,1.75798,0.65734,0.65517,0.62116,0.30302,1.70894,2.21524,2.03474,0.0011118,0.0011118,0.0011118
29,235.272,1.49724,1.48519,1.74029,0.67363,0.65517,0.67092,0.33737,1.73076,1.87071,2.01098,0.0007752,0.0007752,0.0007752
30,242.501,1.47624,1.48311,1.69442,0.63194,0.71552,0.65139,0.32739,1.62358,1.81812,1.9587,0.0004386,0.0004386,0.0004386
