fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.52113,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.52141,0.01,0.01,0.90701,0.00049,2.5716,0.75794,6.7908,0.62783,1.60434,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.39985,0.0,1.0,0.0,0.0,0.0,10
0.52835,0.01,0.00793,0.95078,0.00049,2.5716,0.75794,6.7908,0.62783,1.2409,0.01241,0.71231,0.51176,0.0,0.0862,0.4018,0.0,0.0,0.0,0.30331,0.0,1.0,0.0,0.0,0.0,8
0.52486,0.01,0.00793,0.95078,0.00051,2.5716,0.69992,7.40856,0.64385,0.9147,0.01271,0.71231,0.51176,0.0,0.0862,0.43704,0.0,0.0,0.0,0.27769,0.0,0.65294,0.0,0.0,0.0,6
0.53974,0.00965,0.00793,0.95078,0.00049,3.29015,0.70396,6.96647,0.50718,0.92386,0.01199,0.6252,0.5884,0.0,0.0862,0.34919,0.0,0.0,0.0,0.30516,0.0,0.90031,0.0,0.0,0.0,7
0.5247,0.0119,0.00678,0.98,0.0005,3.44425,0.65127,6.48041,0.48083,0.9139,0.01251,0.67476,0.45742,0.0,0.0862,0.47968,0.0,0.0,0.0,0.30662,0.0,0.77594,0.0,0.0,0.0,10
0.51989,0.01042,0.00562,0.96447,0.00051,2.82984,0.63074,7.49809,0.43565,0.90045,0.0127,0.66657,0.45124,0.0,0.0862,0.36765,0.0,0.0,0.0,0.30194,0.0,0.65542,0.0,0.0,0.0,7
0.51432,0.01189,0.00616,0.95047,0.0005,2.02903,0.72546,6.62118,0.55256,1.12548,0.01242,0.61284,0.56856,0.0,0.0862,0.49181,0.0,0.0,0.0,0.30819,0.0,0.7006,0.0,0.0,0.0,7
0.56006,0.00652,0.00984,0.90691,0.00041,2.34174,0.72073,6.83256,0.88247,1.44758,0.01729,0.71485,0.42576,0.0,0.08472,0.41755,0.0,0.0,0.0,0.29691,0.0,1.0,0.0,0.0,0.0,10
0.53198,0.00715,0.01033,0.98,0.00043,3.08218,0.61634,7.4963,0.47723,1.47036,0.01746,0.69046,0.51957,0.0,0.07016,0.42512,0.0,0.0,0.0,0.20391,0.0,0.47171,0.0,0.0,0.0,6
0.51067,0.00974,0.0101,0.98,0.00032,2.08464,0.74492,7.21929,0.58369,1.22188,0.01644,0.72583,0.43164,0.0,0.08596,0.42507,0.0,0.0,0.0,0.32993,0.0,0.46888,0.0,0.0,0.0,9
0.53632,0.0069,0.00905,0.84108,0.00061,3.06108,0.71118,6.78155,0.49562,1.28469,0.01496,0.72034,0.49562,0.0,0.08454,0.40474,0.0,0.0,0.0,0.29677,0.0,1.0,0.0,0.0,0.0,7
0.52947,0.01001,0.00936,0.86878,0.00041,2.37809,0.64528,6.96767,0.91978,1.0589,0.01165,0.77497,0.33889,0.0,0.11933,0.3795,0.0,0.0,0.0,0.30774,0.0,0.90097,0.0,0.0,0.0,5
0.55338,0.00586,0.01039,0.96346,0.00046,2.92042,0.67584,8.04667,0.52146,1.41785,0.01544,0.73787,0.57912,0.0,0.10991,0.35494,0.0,0.0,0.0,0.20068,0.0,0.6155,0.0,0.0,0.0,5
0.52607,0.00701,0.01031,0.93597,0.00047,2.45184,0.70605,9.57384,0.45268,1.6975,0.01449,0.65515,0.50386,0.0,0.10213,0.47725,0.0,0.0,0.0,0.31933,0.0,1.0,0.0,0.0,0.0,8
0.51454,0.01057,0.0086,0.98,0.00067,2.75986,0.77596,7.04293,0.71928,1.2569,0.01253,0.70766,0.76576,0.0,0.06296,0.37894,0.0,0.0,0.0,0.21355,0.0,0.98148,0.0,0.0,0.0,4
0.53679,0.00585,0.00873,0.85471,0.00051,2.82414,0.80733,7.04427,0.58681,1.44793,0.01873,0.709,0.6074,0.0,0.09637,0.43054,0.0,0.0,0.0,0.18302,0.0,0.84366,0.0,0.0,0.0,4
0.54189,0.00583,0.00675,0.9003,0.0004,3.11623,0.57299,7.81542,0.68293,1.03242,0.01927,0.7226,0.59217,0.0,0.12169,0.40135,0.0,0.0,0.0,0.26545,0.0,0.63057,0.0,0.0,0.0,7
0.55708,0.00718,0.00842,0.96785,0.00039,2.69133,0.72851,6.69791,0.46288,1.40655,0.0103,0.7256,0.47801,0.0,0.08012,0.41503,0.0,0.0,0.0,0.30457,0.0,0.96452,0.0,0.0,0.0,8
0.52899,0.00634,0.00659,0.91899,0.00045,2.21546,0.65497,7.0904,0.55471,0.81445,0.01324,0.464,0.40218,0.0,0.09875,0.32326,0.0,0.0,0.0,0.14922,0.0,0.76691,0.0,0.0,0.0,8
0.52268,0.00739,0.01128,0.84554,0.00038,3.27459,0.86291,6.89667,0.72602,0.83474,0.0156,0.61033,0.36348,0.0,0.08116,0.34012,0.0,0.0,0.0,0.23098,0.0,0.69926,0.0,0.0,0.0,10
0.55067,0.00697,0.0082,0.96796,0.00045,2.75067,0.83036,8.1656,0.9538,1.43498,0.01051,0.66929,0.64199,0.0,0.09106,0.29004,0.0,0.0,0.0,0.16729,0.0,0.86605,0.0,0.0,0.0,10
0.52176,0.01141,0.00815,0.94724,0.00054,2.27996,0.80869,7.61869,0.81382,1.63852,0.01821,0.62023,0.63114,0.0,0.1102,0.28613,0.0,0.0,0.0,0.26381,0.0,1.0,0.0,0.0,0.0,9
0.54875,0.00673,0.01022,0.95236,0.00038,3.17101,0.81544,10.87888,0.75129,1.23268,0.01047,0.62438,0.54999,0.0,0.12222,0.29273,0.0,0.0,0.0,0.21596,0.0,0.78268,0.0,0.0,0.0,7
0.52833,0.0063,0.01251,0.88833,0.00036,3.471,0.82079,6.33847,0.55552,1.26653,0.01122,0.67226,0.59374,0.0,0.10586,0.28238,0.0,0.0,0.0,0.22403,0.0,0.87829,0.0,0.0,0.0,10
0.55023,0.00714,0.00767,0.8918,0.00039,1.86535,0.84406,7.9373,0.395,0.96398,0.02279,0.77485,0.6346,0.0,0.11527,0.43563,0.0,0.0,0.0,0.25338,0.0,0.93658,0.0,0.0,0.0,8
