fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.59003,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.58304,0.00842,0.00771,0.937,0.00042,3.59347,0.63621,7.5,0.37536,2.1205,0.01443,0.54562,0.44454,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.58655,0.01,0.01,0.937,0.00041,2.95697,0.8,7.5,0.56536,1.5,0.015,0.7,0.37235,0.0,0.0817,0.57196,0.0,0.0,0.0,0.34334,0.0,1.0,0.0,0.0,0.0,9
0.57534,0.01,0.01,0.89526,0.00055,2.97425,0.8,7.24335,0.48899,1.5,0.015,0.6217,0.33977,0.0,0.08772,0.57898,0.0,0.0,0.0,0.35502,0.0,0.79117,0.0,0.0,0.0,10
0.60404,0.00819,0.00513,0.937,0.00049,3.63662,0.76512,7.5,0.47963,1.88918,0.01889,0.69023,0.30767,0.0,0.07438,0.50207,0.0,0.0,0.0,0.36976,0.0,1.0,0.0,0.0,0.0,10
0.58524,0.00925,0.00949,0.937,0.00047,2.96622,0.67992,6.58351,0.47366,1.82155,0.01689,0.65223,0.3617,0.0,0.1316,0.61903,0.0,0.0,0.0,0.35155,0.0,1.0,0.0,0.0,0.0,10
0.57307,0.00936,0.00595,0.937,0.00043,2.97085,0.67537,4.47598,0.53958,2.52841,0.0152,0.67387,0.3486,0.0,0.16096,0.51027,0.0,0.0,0.0,0.64713,0.0,0.83741,0.0,0.0,0.0,8
0.60832,0.00943,0.00486,0.85282,0.00041,2.88025,0.68976,7.29478,1.0236,1.77346,0.01474,0.9,0.47892,0.0,0.10324,0.63827,0.0,0.0,0.0,0.50447,0.0,1.0,0.0,0.0,0.0,10
0.6061,0.00795,0.00453,0.91915,0.00056,2.81529,0.75402,5.68225,0.80355,1.42432,0.01494,0.67248,0.33894,0.0,0.08608,0.6604,0.0,0.0,0.0,0.33666,0.0,0.96086,0.0,0.0,0.0,8
0.60331,0.01057,0.00741,0.90161,0.00049,4.87723,0.75488,5.71428,0.60042,1.97582,0.01399,0.61522,0.28772,0.0,0.10511,0.56969,0.0,0.0,0.0,0.58455,0.0,0.98746,0.0,0.0,0.0,7
