epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3118,1.10565,13.1436,2.10422,0.00274,1,0.59988,0.32855,0.83383,10.717,1.75048,0.0026,0.0026,0.0026
2,32.038,1.05566,8.74469,1.86018,0.60373,0.70886,0.66524,0.40511,0.78798,7.5841,1.53896,0.00526667,0.00526667,0.00526667
3,46.7774,0.9925,7.34648,1.72645,0.65195,0.50633,0.54018,0.30019,0.90943,7.09911,1.76062,0.00793333,0.00793333,0.00793333
4,61.3144,1.0089,6.48758,1.74681,0.38234,0.50633,0.34669,0.13991,1.1681,9.45598,2.15737,0.00999999,0.00999999,0.00999999
5,76.1239,1.07617,6.48582,1.74714,0.62481,0.54812,0.5638,0.25466,1.06672,9.16361,1.8768,0.00999998,0.00999998,0.00999998
6,90.9843,1.00526,5.41125,1.72182,0.60814,0.63291,0.64949,0.33996,1.04469,4.38023,1.94281,0.00999998,0.00999998,0.00999998
7,105.637,1.01341,5.14166,1.75199,0.42463,0.37372,0.36394,0.21978,0.92132,7.66789,1.74481,0.00999996,0.00999996,0.00999996
8,120.65,1.00506,4.88604,1.72295,0.69015,0.70886,0.71821,0.38538,0.88665,4.71678,1.71403,0.00999995,0.00999995,0.00999995
9,135.629,0.98478,4.51033,1.70034,0.687,0.73418,0.74612,0.41789,0.89721,3.12014,1.76806,0.00999994,0.00999994,0.00999994
10,150.376,0.96966,4.30991,1.70462,1,0.04249,0.09556,0.02481,1.30403,10.1473,2.92291,0.00999992,0.00999992,0.00999992
11,165.341,0.94766,4.25102,1.66205,0.7498,0.53165,0.64626,0.4025,0.9214,3.54401,1.75392,0.0099999,0.0099999,0.0099999
12,180.1,0.98366,4.19909,1.70316,0.67685,0.42428,0.57726,0.32201,1.06129,3.70129,1.84176,0.00999988,0.00999988,0.00999988
13,194.561,0.96067,3.8521,1.67805,0.43207,0.3038,0.27777,0.08976,1.46581,6.4646,2.66292,0.00999986,0.00999986,0.00999986
14,209.649,0.9376,3.68643,1.63247,0.40323,0.07595,0.09016,0.04488,1.79498,7.53977,3.3562,0.00999983,0.00999983,0.00999983
15,224.622,0.97384,3.75159,1.68955,0.75407,0.68354,0.77408,0.44731,0.89338,2.91297,1.69008,0.00999981,0.00999981,0.00999981
16,239.154,0.96753,3.85925,1.68088,0.66806,0.73418,0.76843,0.46134,0.84611,3.15304,1.60528,0.00999978,0.00999978,0.00999978
17,253.509,0.97953,3.56181,1.67616,0.78277,0.37975,0.56569,0.30843,0.9978,3.83179,1.83538,0.00999975,0.00999975,0.00999975
18,268.336,0.95546,3.59252,1.66168,0.6563,0.50633,0.54228,0.27815,1.10733,3.84481,1.89094,0.00999972,0.00999972,0.00999972
19,283.093,0.96658,3.72032,1.69604,0.55547,0.40506,0.45407,0.26299,1.00791,4.63035,1.85259,0.00999968,0.00999968,0.00999968
20,297.845,0.97935,3.67905,1.65763,0.74112,0.60759,0.7305,0.43445,0.91854,3.14296,1.74059,0.00999965,0.00999965,0.00999965
21,312.486,0.94261,3.41141,1.62387,0.69688,0.65823,0.71659,0.44624,0.83914,3.58602,1.61814,0.00999961,0.00999961,0.00999961
22,326.764,0.99115,3.60838,1.6814,0.74911,0.67089,0.74615,0.45523,0.84214,2.75342,1.60422,0.00999957,0.00999957,0.00999957
23,341.673,0.93885,3.36502,1.61906,0.74398,0.79747,0.83707,0.48557,0.8976,3.72865,1.74952,0.00999953,0.00999953,0.00999953
24,356.582,0.94134,3.48483,1.63938,0.63139,0.65823,0.65368,0.36503,0.95492,3.00746,1.76811,0.00999948,0.00999948,0.00999948
25,371.321,0.94095,3.32864,1.65382,0.68583,0.69085,0.66888,0.35519,1.13576,3.25966,1.94338,0.00999944,0.00999944,0.00999944
26,386.067,0.91282,3.29912,1.63404,0.54375,0.35443,0.40086,0.1794,1.4207,5.57898,2.42863,0.00999939,0.00999939,0.00999939
27,401.116,0.92222,3.21486,1.59796,0.77188,0.63291,0.73114,0.43588,0.94988,2.79564,1.73814,0.00999934,0.00999934,0.00999934
28,416.103,0.9392,3.19765,1.62337,0.73504,0.60759,0.66957,0.38434,1.00335,3.10052,1.78092,0.00999929,0.00999929,0.00999929
29,431.015,0.94636,3.39372,1.65426,0.78462,0.67089,0.75536,0.4198,0.92416,2.88395,1.70233,0.00999923,0.00999923,0.00999923
30,445.725,0.9649,3.16794,1.64988,0.72995,0.48101,0.57829,0.37632,0.82714,3.9589,1.65818,0.00999918,0.00999918,0.00999918
31,460.594,0.91828,3.3669,1.61701,0.81389,0.71966,0.80022,0.49686,0.82568,2.36403,1.60953,0.00999912,0.00999912,0.00999912
32,475.563,0.89281,3.11293,1.55379,0.79395,0.63291,0.77418,0.48363,0.90254,2.50797,1.67421,0.00999906,0.00999906,0.00999906
33,490.037,0.93994,3.29404,1.63035,0.72778,0.54151,0.61211,0.37795,0.85227,3.99793,1.68054,0.009999,0.009999,0.009999
34,504.594,0.95559,3.26148,1.63711,0.79158,0.6962,0.75951,0.47544,0.89464,2.4542,1.68192,0.00999893,0.00999893,0.00999893
35,518.997,0.90486,3.12037,1.61025,0.56393,0.70886,0.70475,0.41383,0.87768,3.14625,1.63604,0.00999887,0.00999887,0.00999887
36,533.33,0.93974,3.13869,1.63633,0.84475,0.72152,0.80597,0.48566,0.87886,2.45945,1.73188,0.0099988,0.0099988,0.0099988
37,547.514,0.91214,3.19692,1.63354,0.73463,0.67089,0.77911,0.49256,0.7815,2.66413,1.53298,0.00999873,0.00999873,0.00999873
38,561.898,0.92116,3.05878,1.60969,0.73033,0.89873,0.86137,0.53994,0.80293,2.44122,1.55902,0.00999866,0.00999866,0.00999866
39,576.092,0.91661,3.08895,1.61802,0.72272,0.5939,0.66314,0.34042,1.02301,3.1707,1.81596,0.00999859,0.00999859,0.00999859
40,590.568,0.90046,2.9869,1.61242,0.63353,0.56897,0.61157,0.35675,1.00043,2.93768,1.82119,0.00999851,0.00999851,0.00999851
41,604.889,0.92196,3.12058,1.61123,0.67248,0.80575,0.75045,0.46537,0.89798,2.5863,1.68389,0.00999843,0.00999843,0.00999843
42,619.245,0.95505,3.11621,1.674,0.71432,0.60142,0.63112,0.38626,0.91349,3.19603,1.80793,0.00999835,0.00999835,0.00999835
43,633.74,0.9018,3.02674,1.62124,0.65804,0.75949,0.7589,0.49082,0.81142,2.67345,1.58136,0.00999827,0.00999827,0.00999827
44,647.864,0.89147,2.82276,1.58648,0.76805,0.65823,0.73432,0.42354,0.90378,2.9118,1.64349,0.00999819,0.00999819,0.00999819
45,662.158,0.88849,2.87323,1.57504,0.67964,0.78481,0.80719,0.48591,0.88931,2.43283,1.70048,0.0099981,0.0099981,0.0099981
46,676.821,0.93228,2.92026,1.61161,0.68755,0.72424,0.74976,0.41273,0.89342,2.83149,1.63145,0.00999802,0.00999802,0.00999802
47,691.44,0.91922,2.94212,1.59656,0.83738,0.72152,0.84116,0.5247,0.95688,2.0895,1.71662,0.00999793,0.00999793,0.00999793
48,705.85,0.88046,2.9121,1.58998,0.78591,0.70886,0.78601,0.48158,0.89992,3.44535,1.71028,0.00999784,0.00999784,0.00999784
49,720.465,0.88565,2.97797,1.61277,0.70023,0.74684,0.79083,0.47765,0.87698,2.04386,1.65311,0.00999774,0.00999774,0.00999774
50,734.828,0.91251,2.86137,1.60805,0.78717,0.64557,0.74796,0.45009,0.87798,2.82017,1.64956,0.00999765,0.00999765,0.00999765
51,749.458,0.90605,2.96436,1.59635,0.66074,0.73963,0.68968,0.35316,1.0607,2.67201,1.80708,0.00999755,0.00999755,0.00999755
52,764.071,0.88932,2.87553,1.5944,0.83352,0.64557,0.7521,0.47067,0.90749,2.43248,1.62928,0.00999745,0.00999745,0.00999745
53,778.687,0.87567,2.96991,1.56266,0.74458,0.68354,0.75471,0.43456,0.9116,2.24917,1.7257,0.00999735,0.00999735,0.00999735
54,793.606,0.89805,2.87164,1.57059,0.66023,0.67089,0.73861,0.491,0.81347,3.30226,1.61664,0.00999725,0.00999725,0.00999725
55,808.671,0.88464,2.76647,1.54769,0.40602,0.68354,0.52524,0.29569,0.99278,7.41155,1.82461,0.00999715,0.00999715,0.00999715
56,823.909,0.85786,2.81604,1.54335,0.78894,0.68354,0.80185,0.50991,0.8155,2.28665,1.56566,0.00999704,0.00999704,0.00999704
57,839.291,0.8697,2.72918,1.56739,0.69926,0.76526,0.73188,0.45884,0.86106,2.35878,1.64544,0.00999693,0.00999693,0.00999693
58,854.527,0.87437,2.79712,1.55664,0.80881,0.68354,0.80146,0.47602,1.00344,2.52564,1.71815,0.00999682,0.00999682,0.00999682
59,869.647,0.84972,2.76317,1.51915,0.75705,0.65823,0.72882,0.46237,0.8535,2.92051,1.57589,0.00999671,0.00999671,0.00999671
60,884.554,0.87187,2.69533,1.5753,0.74254,0.74684,0.81469,0.47871,0.96321,2.08584,1.73865,0.00999659,0.00999659,0.00999659
61,899.078,0.8465,2.76355,1.52376,0.87245,0.69269,0.82636,0.52932,0.79885,2.138,1.55433,0.00999648,0.00999648,0.00999648
62,913.726,0.87108,2.70593,1.5437,0.73416,0.62928,0.68724,0.4249,0.86583,2.66166,1.6517,0.00999636,0.00999636,0.00999636
63,928.442,0.88931,2.71807,1.5395,0.74446,0.70886,0.77566,0.49238,0.87414,2.23904,1.64726,0.00999624,0.00999624,0.00999624
64,942.529,0.8469,2.72792,1.53502,0.82683,0.74684,0.81488,0.53715,0.79731,2.07763,1.59197,0.00999611,0.00999611,0.00999611
65,957.08,0.86547,2.75254,1.55313,0.71431,0.65823,0.73861,0.43048,0.99147,2.33077,1.84359,0.00999599,0.00999599,0.00999599
66,971.737,0.85427,2.61274,1.53194,0.69838,0.53165,0.60094,0.36004,0.99757,3.24478,1.88534,0.00999586,0.00999586,0.00999586
67,986.605,0.85436,2.68855,1.54699,0.82502,0.5372,0.70828,0.45341,0.86963,3.02814,1.59586,0.00999574,0.00999574,0.00999574
68,1001.24,0.86229,2.6255,1.5166,0.74684,0.6962,0.79828,0.49934,0.83937,2.43564,1.54573,0.00999561,0.00999561,0.00999561
69,1015.79,0.84666,2.60915,1.52195,0.70286,0.5443,0.65247,0.38193,0.91131,2.61095,1.66657,0.00999547,0.00999547,0.00999547
70,1030.95,0.89708,2.82591,1.59826,0.64273,0.70595,0.66821,0.43646,0.80196,2.67977,1.5917,0.00999534,0.00999534,0.00999534
71,1045.48,0.84651,2.62271,1.53962,0.79807,0.75048,0.84804,0.53872,0.81464,1.95421,1.63388,0.0099952,0.0099952,0.0099952
72,1060.3,0.863,2.68733,1.54503,0.76513,0.81013,0.84186,0.53797,0.75452,2.32528,1.50834,0.00999507,0.00999507,0.00999507
73,1075.12,0.85635,2.75969,1.51665,0.72368,0.82278,0.83109,0.50953,0.87346,2.09926,1.65502,0.00999493,0.00999493,0.00999493
74,1089.56,0.84116,2.56591,1.51846,0.77742,0.58228,0.74094,0.46732,0.79622,2.55813,1.51597,0.00999478,0.00999478,0.00999478
75,1104.28,0.8718,2.68918,1.55279,0.7648,0.81013,0.85486,0.55562,0.81833,1.90981,1.56988,0.00999464,0.00999464,0.00999464
76,1119.08,0.82158,2.54524,1.48579,0.78639,0.37975,0.60855,0.38837,0.95021,5.27629,1.71847,0.00999449,0.00999449,0.00999449
77,1133.67,0.83888,2.5665,1.50062,0.6787,0.72196,0.77126,0.49139,0.833,2.08927,1.60185,0.00999435,0.00999435,0.00999435
78,1148.02,0.87287,2.72273,1.55199,0.73882,0.75199,0.79706,0.48781,0.85754,2.2594,1.61491,0.0099942,0.0099942,0.0099942
79,1162.74,0.85275,2.61597,1.51886,0.77883,0.7578,0.81758,0.53906,0.75391,2.12531,1.51692,0.00999404,0.00999404,0.00999404
80,1177.09,0.82369,2.46314,1.48139,0.68997,0.72152,0.73472,0.43896,0.8809,2.5674,1.66926,0.00999389,0.00999389,0.00999389
81,1191.34,0.85911,2.65217,1.53397,0.80473,0.63291,0.7659,0.49359,0.87399,2.52927,1.59418,0.00999374,0.00999374,0.00999374
82,1205.64,0.86253,2.67451,1.55683,0.75782,0.67338,0.78528,0.47066,0.87945,2.42408,1.65378,0.00999358,0.00999358,0.00999358
83,1219.96,0.83939,2.57237,1.514,0.82788,0.59494,0.71799,0.42105,0.92794,2.69849,1.70402,0.00999342,0.00999342,0.00999342
84,1234.14,0.84797,2.55297,1.53017,0.74799,0.73418,0.77167,0.48267,0.82689,2.2704,1.56508,0.00999326,0.00999326,0.00999326
85,1248.29,0.82583,2.52414,1.48499,0.81169,0.72152,0.81603,0.5421,0.80891,2.05168,1.57914,0.00999309,0.00999309,0.00999309
86,1262.52,0.80846,2.41368,1.47076,0.79522,0.72152,0.82819,0.53996,0.80838,2.05918,1.57374,0.00999293,0.00999293,0.00999293
87,1276.71,0.85402,2.63649,1.5483,0.78647,0.77215,0.8297,0.543,0.82613,1.86128,1.62749,0.00999276,0.00999276,0.00999276
88,1291.27,0.85392,2.58459,1.54498,0.81078,0.77215,0.84343,0.51973,0.84138,2.06151,1.59116,0.00999259,0.00999259,0.00999259
