epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.266,1.3177,1.66888,1.38455,0.33384,0.40302,0.36097,0.27233,0.85264,1.05956,0.98991,0.0032,0.0032,0.0032
2,48.6216,1.18002,1.16302,1.29659,0.85562,0.41164,0.45249,0.3471,0.83487,0.91176,0.97268,0.0065,0.0065,0.0065
3,63.1937,1.13134,1.10832,1.26355,0.90827,0.35492,0.43053,0.32761,0.83671,0.75883,0.9915,0.0098,0.0098,0.0098
4,77.7763,1.07539,1.03063,1.22532,0.90344,0.37819,0.4328,0.32065,0.85645,0.78963,1.00327,0.00999999,0.00999999,0.00999999
5,92.0038,1.096,1.05031,1.22296,0.88889,0.40086,0.68481,0.52585,0.82009,0.72378,1.01142,0.00999998,0.00999998,0.00999998
6,106.323,1.08578,1.0223,1.22696,0.92645,0.38147,0.44356,0.33455,0.81857,0.7168,0.98709,0.00999998,0.00999998,0.00999998
7,120.594,1.06759,1.01358,1.20995,0.82066,0.41379,0.41037,0.30828,0.91228,0.82229,1.0302,0.00999996,0.00999996,0.00999996
8,135.329,1.04687,1.00901,1.19357,0.88227,0.3779,0.43483,0.32604,0.86525,0.7412,1.006,0.00999995,0.00999995,0.00999995
9,149.7,1.02806,0.97844,1.19486,0.9018,0.37919,0.44018,0.33503,0.85241,0.7827,0.9823,0.00999994,0.00999994,0.00999994
10,164.017,1.02797,0.9786,1.19634,0.87073,0.40175,0.59072,0.4027,0.89671,0.80305,1.0207,0.00999992,0.00999992,0.00999992
11,178.373,1.0391,1.0048,1.19626,0.8619,0.42241,0.43972,0.33821,0.85706,0.73174,1.0052,0.0099999,0.0099999,0.0099999
12,192.592,1.03152,0.98694,1.18894,0.89481,0.39871,0.46085,0.34155,0.86116,0.7448,0.99986,0.00999988,0.00999988,0.00999988
13,206.766,1.04561,0.97204,1.19916,0.88531,0.41164,0.44906,0.33428,0.89576,0.72124,1.01266,0.00999986,0.00999986,0.00999986
14,220.863,1.02775,0.99478,1.18045,0.8898,0.41929,0.51379,0.3949,0.78574,0.74436,0.96504,0.00999983,0.00999983,0.00999983
15,234.643,1.02773,1.00065,1.19398,0.89321,0.38793,0.43607,0.32004,0.90099,0.77885,1.03746,0.00999981,0.00999981,0.00999981
16,248.975,1.02934,0.96381,1.18696,0.87539,0.42851,0.44087,0.33577,0.86519,0.71516,1.01312,0.00999978,0.00999978,0.00999978
17,262.982,1.00731,0.96945,1.17462,0.87164,0.43055,0.44433,0.34427,0.77994,0.68651,0.96115,0.00999975,0.00999975,0.00999975
18,277.151,0.99948,0.93985,1.17131,0.89001,0.40948,0.45069,0.33976,0.83383,0.67218,0.98815,0.00999972,0.00999972,0.00999972
19,291.639,0.99563,0.95415,1.16703,0.88577,0.42215,0.44867,0.33362,0.89061,0.72086,1.04556,0.00999968,0.00999968,0.00999968
20,306.048,0.99484,0.95869,1.1732,0.86429,0.41379,0.43859,0.32715,0.85688,0.72889,1.04299,0.00999965,0.00999965,0.00999965
21,320.361,0.98332,0.95869,1.15409,0.9012,0.41132,0.45041,0.33952,0.84446,0.7133,1.01635,0.00999961,0.00999961,0.00999961
22,334.858,1.01481,0.94836,1.1758,0.89794,0.39494,0.44334,0.34492,0.79971,0.69388,0.96564,0.00999957,0.00999957,0.00999957
23,349.002,1.00341,0.9366,1.15725,0.90624,0.39655,0.45268,0.33602,0.87251,0.79464,1.03664,0.00999953,0.00999953,0.00999953
24,363.198,0.98933,0.93509,1.16077,0.87858,0.40948,0.44168,0.33765,0.81407,0.71546,0.96527,0.00999948,0.00999948,0.00999948
25,376.97,0.98707,0.93196,1.1622,0.90571,0.40517,0.45799,0.3587,0.78514,0.66692,0.93802,0.00999944,0.00999944,0.00999944
26,390.608,0.98555,0.91163,1.15925,0.87646,0.39403,0.43818,0.32612,0.86764,0.81501,1.00459,0.00999939,0.00999939,0.00999939
27,404.627,0.97028,0.91656,1.15153,0.89003,0.40733,0.45896,0.34261,0.82118,0.70208,0.985,0.00999934,0.00999934,0.00999934
28,418.732,0.99404,0.9086,1.16144,0.89017,0.40733,0.45073,0.33904,0.86496,0.81114,0.9935,0.00999929,0.00999929,0.00999929
29,432.813,0.99441,0.89689,1.16504,0.88249,0.40733,0.44676,0.32543,0.9104,0.73056,1.03553,0.00999923,0.00999923,0.00999923
30,447.225,0.95715,0.88794,1.15492,0.8575,0.39224,0.43093,0.32398,0.85425,0.78024,1.00019,0.00999918,0.00999918,0.00999918
31,461.327,0.99877,0.90199,1.16466,0.89301,0.39583,0.44495,0.34187,0.82884,0.69646,0.97029,0.00999912,0.00999912,0.00999912
32,475.682,1.00161,0.93455,1.1663,0.89755,0.375,0.44651,0.34394,0.819,0.70974,0.99361,0.00999906,0.00999906,0.00999906
33,489.8,0.95844,0.90627,1.14315,0.89319,0.42048,0.45348,0.35289,0.80487,0.67089,0.97088,0.009999,0.009999,0.009999
34,503.758,0.94223,0.91368,1.13444,0.88722,0.39958,0.44348,0.33659,0.81905,0.72278,0.97254,0.00999894,0.00999894,0.00999894
35,517.675,0.94498,0.89281,1.13854,0.91196,0.40733,0.46667,0.35887,0.80282,0.669,0.97121,0.00999887,0.00999887,0.00999887
36,531.901,0.94326,0.90807,1.14444,0.88874,0.40664,0.44838,0.34626,0.78775,0.66607,0.95429,0.0099988,0.0099988,0.0099988
37,545.754,0.95603,0.88375,1.1318,0.89204,0.42241,0.47076,0.34854,0.84143,0.68585,1.00758,0.00999873,0.00999873,0.00999873
38,559.494,0.9651,0.87548,1.13863,0.90789,0.40085,0.51237,0.3761,0.93404,0.82058,1.03677,0.00999866,0.00999866,0.00999866
39,573.355,0.9593,0.90789,1.15236,0.91097,0.38798,0.47961,0.36413,0.80549,0.79311,0.97003,0.00999859,0.00999859,0.00999859
