epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9454,1.23919,1.39528,1.31422,0.37924,0.41253,0.41674,0.29665,1.05102,0.72743,1.16227,0.00331111,0.00331111,0.00331111
2,124.905,1.17074,1.27158,1.27038,0.87875,0.42373,0.43792,0.30711,1.08785,0.72199,1.16972,0.00664444,0.00664444,0.00664444
3,173.779,1.19297,1.29919,1.28017,0.8934,0.40254,0.50122,0.33582,1.07519,0.74438,1.15373,0.00997777,0.00997777,0.00997777
4,224.043,1.23684,1.33872,1.30665,0.89822,0.41449,0.47893,0.31987,1.08228,0.73,1.19626,0.00999999,0.00999999,0.00999999
5,274.13,1.22001,1.34383,1.28482,0.86216,0.38771,0.4224,0.29327,1.01609,0.8135,1.11499,0.00999998,0.00999998,0.00999998
6,325.042,1.2285,1.3391,1.28879,0.87996,0.37556,0.52682,0.37124,1.01428,0.73152,1.10011,0.00999998,0.00999998,0.00999998
7,376.86,1.21367,1.31936,1.27848,0.87259,0.43991,0.43209,0.29717,1.01054,0.73949,1.10522,0.00999996,0.00999996,0.00999996
8,425.346,1.19339,1.3257,1.27637,0.87865,0.41949,0.45213,0.3171,1.05752,0.74949,1.12046,0.00999995,0.00999995,0.00999995
9,473.982,1.2039,1.32626,1.28251,0.87509,0.41525,0.43061,0.29306,1.0672,0.77732,1.16905,0.00999994,0.00999994,0.00999994
10,521.45,1.2161,1.29199,1.29137,0.86897,0.41102,0.42802,0.29833,1.08773,0.78844,1.18091,0.00999992,0.00999992,0.00999992
11,570.564,1.18883,1.30578,1.26988,0.88041,0.41525,0.47792,0.32299,1.03949,0.70333,1.15259,0.0099999,0.0099999,0.0099999
12,620.696,1.19343,1.2958,1.26991,0.89182,0.41525,0.4437,0.3144,0.98034,0.72328,1.0921,0.00999988,0.00999988,0.00999988
13,668.796,1.17276,1.25746,1.26118,0.8867,0.3905,0.44438,0.31765,1.02004,0.7272,1.13133,0.00999986,0.00999986,0.00999986
14,716.999,1.17193,1.29603,1.26383,0.90099,0.40331,0.43493,0.30854,1.0527,0.81285,1.17097,0.00999983,0.00999983,0.00999983
15,767.879,1.17609,1.29639,1.266,0.90227,0.39407,0.44713,0.32262,0.9341,0.7078,1.06007,0.00999981,0.00999981,0.00999981
16,818.541,1.17398,1.26963,1.25861,0.88634,0.39619,0.43235,0.30671,1.02847,0.79821,1.11669,0.00999978,0.00999978,0.00999978
17,866.8,1.17199,1.2995,1.2678,0.89244,0.40195,0.44189,0.32237,0.94983,0.71697,1.05558,0.00999975,0.00999975,0.00999975
18,914.541,1.16071,1.24916,1.25955,0.9295,0.3614,0.43761,0.31236,1.01894,0.74437,1.12139,0.00999972,0.00999972,0.00999972
19,963.152,1.15089,1.20787,1.24593,0.88747,0.40678,0.51765,0.34624,0.96079,0.69349,1.07101,0.00999968,0.00999968,0.00999968
20,1012.76,1.16326,1.25647,1.25992,0.88027,0.39407,0.42582,0.31317,0.92336,0.77026,1.05974,0.00999965,0.00999965,0.00999965
21,1062.11,1.13572,1.22747,1.22889,0.85785,0.4428,0.46775,0.31825,1.04263,0.74268,1.12753,0.00999961,0.00999961,0.00999961
22,1111.39,1.13705,1.20467,1.23465,0.88721,0.42914,0.44772,0.32561,0.94799,0.72297,1.0672,0.00999957,0.00999957,0.00999957
23,1161.78,1.13304,1.24285,1.24124,0.90755,0.40042,0.44637,0.32766,0.95688,0.69145,1.07558,0.00999953,0.00999953,0.00999953
24,1210.96,1.13354,1.22126,1.2378,0.89305,0.41267,0.43491,0.30807,1.0206,0.75248,1.14733,0.00999948,0.00999948,0.00999948
25,1262.62,1.13037,1.23673,1.23796,0.86542,0.43432,0.43411,0.31546,0.92926,0.74022,1.06289,0.00999944,0.00999944,0.00999944
26,1312.36,1.13473,1.23765,1.23849,0.8848,0.41102,0.44936,0.3332,0.91255,0.69272,1.02948,0.00999939,0.00999939,0.00999939
27,1363.75,1.13014,1.19749,1.24247,0.90323,0.39195,0.43936,0.31182,1.02766,0.73887,1.14625,0.00999934,0.00999934,0.00999934
28,1414.43,1.16595,1.20673,1.26354,0.86327,0.41949,0.445,0.31682,0.96904,0.71842,1.07527,0.00999929,0.00999929,0.00999929
29,1464.77,1.14948,1.25375,1.25397,0.91669,0.36653,0.43191,0.31195,0.90532,0.76456,1.03608,0.00999923,0.00999923,0.00999923
30,1513.56,1.15348,1.21947,1.24635,0.89263,0.38983,0.44304,0.31561,1.00806,0.7289,1.0727,0.00999918,0.00999918,0.00999918
31,1562.56,1.16646,1.25722,1.25594,0.87494,0.43008,0.44607,0.32327,1.01459,0.69856,1.11539,0.00999912,0.00999912,0.00999912
