epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.259,1.23093,1.43124,1.32046,0.85401,0.81001,0.90629,0.68554,0.92586,0.68528,1.12051,0.00328205,0.00328205,0.00328205
2,68.0768,1.18687,1.25403,1.32017,0.90621,0.8,0.92368,0.69405,0.97751,0.67469,1.16796,0.00661538,0.00661538,0.00661538
3,92.1908,1.20736,1.28562,1.30585,0.8913,0.81538,0.90152,0.65406,1.00769,0.69619,1.17622,0.00994871,0.00994871,0.00994871
4,116.34,1.22614,1.3055,1.32737,0.86618,0.8,0.89424,0.62162,1.07587,0.73301,1.23953,0.00999999,0.00999999,0.00999999
5,141.101,1.22095,1.345,1.3163,0.78588,0.73412,0.85239,0.62261,1.03936,0.89912,1.18786,0.00999998,0.00999998,0.00999998
6,165.674,1.26097,1.26991,1.33156,0.84948,0.86154,0.91008,0.68175,0.98473,0.7622,1.1482,0.00999998,0.00999998,0.00999998
7,189.947,1.19621,1.22474,1.30264,0.90674,0.86154,0.92738,0.69756,0.93913,0.70542,1.10758,0.00999996,0.00999996,0.00999996
8,214.11,1.23868,1.23964,1.31117,0.78372,0.78051,0.87611,0.65659,0.95051,0.79449,1.1125,0.00999995,0.00999995,0.00999995
9,238.665,1.23307,1.2978,1.32535,0.73566,0.89917,0.88337,0.67075,0.93731,0.75011,1.12297,0.00999994,0.00999994,0.00999994
10,263.472,1.17197,1.24234,1.28109,0.82407,0.86481,0.92092,0.704,0.90197,0.677,1.09609,0.00999992,0.00999992,0.00999992
11,288.112,1.20649,1.32033,1.30777,0.7825,0.83025,0.87364,0.63791,0.98765,0.84479,1.15737,0.0099999,0.0099999,0.0099999
12,312.405,1.17355,1.22039,1.28889,0.91458,0.75385,0.90242,0.61818,1.07391,0.80254,1.207,0.00999988,0.00999988,0.00999988
13,336.499,1.16853,1.28498,1.27663,0.88037,0.84615,0.92251,0.68392,0.96477,0.70387,1.11538,0.00999986,0.00999986,0.00999986
14,361.037,1.16641,1.18779,1.28073,0.88689,0.86154,0.89446,0.63576,1.06012,0.76158,1.20186,0.00999983,0.00999983,0.00999983
15,385.643,1.23111,1.27717,1.28791,0.81562,0.90769,0.91647,0.62779,1.08936,0.7421,1.20115,0.00999981,0.00999981,0.00999981
16,410.761,1.22703,1.2876,1.30921,0.83417,0.89231,0.89389,0.66188,0.93989,0.66609,1.11432,0.00999978,0.00999978,0.00999978
17,435.249,1.14007,1.18891,1.2599,0.87108,0.87692,0.93282,0.66976,0.98307,0.74005,1.13382,0.00999975,0.00999975,0.00999975
18,459.697,1.14633,1.20141,1.26348,0.79183,0.83077,0.89343,0.66313,0.94304,0.71655,1.11558,0.00999972,0.00999972,0.00999972
19,484.53,1.15146,1.17452,1.26544,0.87106,0.83146,0.93711,0.69265,0.95451,0.68018,1.11354,0.00999968,0.00999968,0.00999968
20,509.536,1.1763,1.17217,1.27604,0.85986,0.84958,0.92162,0.63967,0.99487,0.73501,1.17106,0.00999965,0.00999965,0.00999965
21,534.269,1.12632,1.12264,1.26229,0.87126,0.84615,0.93272,0.65711,0.98071,0.73512,1.12152,0.00999961,0.00999961,0.00999961
22,558.793,1.18616,1.20432,1.29261,0.88971,0.8,0.90613,0.68415,0.991,0.70445,1.15987,0.00999957,0.00999957,0.00999957
23,583.451,1.14447,1.09563,1.26881,0.86388,0.90769,0.95079,0.68932,0.92455,0.71895,1.13007,0.00999953,0.00999953,0.00999953
24,607.966,1.15408,1.13642,1.25406,0.86685,0.90152,0.9299,0.70968,0.87265,0.68881,1.06639,0.00999948,0.00999948,0.00999948
25,631.756,1.11389,1.28277,1.26823,0.88453,0.87692,0.9379,0.71719,0.93057,0.65065,1.08782,0.00999944,0.00999944,0.00999944
26,656.245,1.1581,1.16681,1.25638,0.89121,0.86154,0.91787,0.69569,0.94789,0.65624,1.07901,0.00999939,0.00999939,0.00999939
