epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3481,1.36133,11.7868,1.56134,0.59304,0.71144,0.66243,0.47922,1.17038,3.74888,1.28825,0.00330986,0.00330986,0.00330986
2,141.829,1.26972,6.25379,1.42555,0.62768,0.74722,0.68827,0.4741,1.17067,7.12783,1.36951,0.00664316,0.00664316,0.00664316
3,197.467,1.42683,4.27747,1.56665,0.44895,0.7027,0.52988,0.28084,1.52911,18.6688,1.97811,0.00997633,0.00997633,0.00997633
4,253.445,1.53501,3.80188,1.65424,0.46726,0.76577,0.63202,0.38884,1.36337,14.377,1.59766,0.00999955,0.00999955,0.00999955
5,308.36,1.46729,3.84019,1.61749,0.67688,0.70905,0.72132,0.36842,1.73367,3.48195,1.86445,0.0099992,0.0099992,0.0099992
6,364.116,1.41081,3.34805,1.58164,0.53841,0.76577,0.6897,0.46371,1.30309,3.02619,1.49979,0.00999875,0.00999875,0.00999875
7,419.792,1.37465,3.12496,1.53221,0.67353,0.82236,0.7669,0.47423,1.4145,2.66415,1.45263,0.00999821,0.00999821,0.00999821
8,475.373,1.29383,2.9256,1.49286,0.68467,0.8673,0.81553,0.53029,1.27179,2.44443,1.36155,0.00999756,0.00999756,0.00999756
9,531.161,1.33363,2.95668,1.52283,0.69763,0.89972,0.82883,0.5734,1.26944,2.19494,1.36532,0.00999681,0.00999681,0.00999681
10,586.548,1.27179,2.83417,1.44885,0.74716,0.83333,0.81855,0.54629,1.32552,2.13542,1.4158,0.00999596,0.00999596,0.00999596
11,642.068,1.26635,2.6962,1.45713,0.71734,0.89189,0.82856,0.56805,1.17431,2.37773,1.27994,0.00999502,0.00999502,0.00999502
12,697.891,1.20827,2.55203,1.42322,0.71678,0.86486,0.81053,0.54822,1.24482,2.08182,1.35639,0.00999397,0.00999397,0.00999397
13,753.833,1.20176,2.60072,1.41886,0.7016,0.79149,0.72607,0.49434,1.30235,2.45469,1.39766,0.00999282,0.00999282,0.00999282
14,809.839,1.17886,2.50023,1.38221,0.72053,0.82432,0.80897,0.57116,1.15709,2.26973,1.28201,0.00999158,0.00999158,0.00999158
15,865.079,1.18256,2.52081,1.38976,0.72591,0.81532,0.82748,0.57863,1.17573,2.01254,1.26997,0.00999023,0.00999023,0.00999023
16,921.015,1.14747,2.44495,1.37204,0.71608,0.83039,0.81901,0.57052,1.23,1.9539,1.30334,0.00998879,0.00998879,0.00998879
17,976.481,1.15555,2.42876,1.37071,0.74584,0.87832,0.82185,0.61123,1.07122,1.84709,1.22245,0.00998724,0.00998724,0.00998724
18,1032.31,1.11416,2.34857,1.33107,0.73774,0.82691,0.7915,0.54742,1.22605,1.99944,1.30317,0.0099856,0.0099856,0.0099856
19,1088.14,1.12949,2.40268,1.33746,0.767,0.87838,0.83203,0.61315,1.03528,1.91974,1.20219,0.00998386,0.00998386,0.00998386
20,1144.59,1.10191,2.37759,1.33061,0.75683,0.83333,0.74623,0.54591,1.11363,2.1528,1.23731,0.00998201,0.00998201,0.00998201
21,1200.56,1.07987,2.25542,1.3117,0.73398,0.8698,0.83006,0.62166,1.0802,1.77662,1.22006,0.00998007,0.00998007,0.00998007
22,1256.76,1.10124,2.18407,1.32288,0.76072,0.87838,0.8456,0.63363,1.02571,1.80687,1.20203,0.00997803,0.00997803,0.00997803
23,1312.32,1.0849,2.20214,1.32031,0.72492,0.89189,0.8215,0.61056,1.04968,1.74437,1.20281,0.00997589,0.00997589,0.00997589
24,1367.84,1.09195,2.24767,1.30837,0.77967,0.83784,0.85346,0.66041,0.98214,1.6852,1.15136,0.00997365,0.00997365,0.00997365
25,1423.68,1.06245,2.24645,1.30168,0.75545,0.87013,0.79396,0.5751,1.06331,1.71292,1.18617,0.00997131,0.00997131,0.00997131
26,1479.83,1.02496,2.12789,1.27324,0.73923,0.87387,0.84294,0.62142,1.09059,1.71774,1.20876,0.00996888,0.00996888,0.00996888
27,1536.1,1.06558,2.21218,1.30401,0.75802,0.87351,0.80529,0.6058,1.08465,1.75465,1.20387,0.00996634,0.00996634,0.00996634
28,1591.72,1.02319,2.04135,1.26645,0.71482,0.8639,0.81071,0.63452,0.95671,1.88409,1.1209,0.0099637,0.0099637,0.0099637
29,1647.74,1.06563,2.16521,1.30157,0.71799,0.81081,0.76727,0.59362,1.02914,1.9015,1.17385,0.00996097,0.00996097,0.00996097
30,1703.62,1.0539,2.06785,1.29751,0.70524,0.88161,0.80487,0.61743,0.96232,1.83575,1.16106,0.00995813,0.00995813,0.00995813
31,1758.87,1.04639,2.11926,1.28866,0.80161,0.82432,0.85226,0.62915,1.10988,1.78606,1.23283,0.0099552,0.0099552,0.0099552
32,1813.64,1.03823,2.0956,1.2775,0.70703,0.87387,0.80308,0.60894,1.01419,1.69007,1.18499,0.00995217,0.00995217,0.00995217
33,1868.7,1.03101,2.02254,1.26743,0.73523,0.81532,0.77965,0.6023,0.95525,1.88319,1.17452,0.00994904,0.00994904,0.00994904
34,1924.96,1.033,1.9818,1.27285,0.74333,0.88288,0.8415,0.63378,1.08407,1.74833,1.2034,0.00994581,0.00994581,0.00994581
35,1980.62,1.02548,1.95639,1.26025,0.76238,0.86477,0.8403,0.6329,1.02994,1.65814,1.18644,0.00994248,0.00994248,0.00994248
36,2035.89,0.98619,1.96332,1.23242,0.74357,0.84603,0.80162,0.62616,1.01598,1.72593,1.2121,0.00993906,0.00993906,0.00993906
37,2091.14,1.01976,2.09099,1.24968,0.73735,0.83784,0.7838,0.60755,0.98852,1.84959,1.15373,0.00993553,0.00993553,0.00993553
38,2146.5,1.01347,1.96684,1.25955,0.76046,0.83784,0.81103,0.60484,1.05271,1.79817,1.17517,0.00993191,0.00993191,0.00993191
39,2201.87,0.99646,1.94504,1.2528,0.75569,0.86364,0.85526,0.64004,1.07078,1.73159,1.18458,0.00992819,0.00992819,0.00992819
40,2258.12,0.97136,1.92493,1.22785,0.73529,0.88288,0.8326,0.6584,0.93868,1.67644,1.13313,0.00992437,0.00992437,0.00992437
41,2313.63,1.0041,1.95448,1.25961,0.74538,0.85974,0.81212,0.63333,0.98124,1.75174,1.17385,0.00992045,0.00992045,0.00992045
42,2368.47,0.99744,1.96221,1.24653,0.7834,0.81982,0.82909,0.64864,0.97802,1.60302,1.15625,0.00991644,0.00991644,0.00991644
43,2423.58,1.00643,1.89407,1.24948,0.7972,0.83784,0.85099,0.64519,1.04971,1.6883,1.17106,0.00991232,0.00991232,0.00991232
44,2479.5,1.01047,1.91379,1.26272,0.75955,0.84017,0.84273,0.6623,0.96116,1.82553,1.14621,0.00990811,0.00990811,0.00990811
45,2535.22,0.97876,1.94685,1.23654,0.74635,0.84234,0.83541,0.63637,1.00216,1.7569,1.16882,0.0099038,0.0099038,0.0099038
46,2591.24,0.98317,1.96522,1.2253,0.75657,0.88619,0.82841,0.62494,1.01075,1.792,1.17849,0.00989939,0.00989939,0.00989939
47,2647.14,0.97181,1.90169,1.22315,0.73755,0.89093,0.8551,0.66898,0.9627,1.79743,1.12973,0.00989489,0.00989489,0.00989489
48,2702.68,0.98614,1.88352,1.2465,0.74812,0.82883,0.81231,0.63075,0.94628,1.78756,1.0866,0.00989029,0.00989029,0.00989029
49,2757.47,0.97077,1.87188,1.23,0.79875,0.85889,0.8603,0.68372,0.93551,1.55662,1.10632,0.00988559,0.00988559,0.00988559
50,2813.4,0.95443,1.85424,1.2152,0.74573,0.88721,0.82298,0.62777,0.99506,1.66339,1.14308,0.00988079,0.00988079,0.00988079
51,2869.73,0.96835,1.84981,1.24681,0.75583,0.8836,0.85409,0.66349,0.93843,1.62022,1.1119,0.00987589,0.00987589,0.00987589
52,2925.72,0.96779,1.87294,1.2447,0.83874,0.79936,0.85556,0.67778,0.97445,1.61212,1.12734,0.0098709,0.0098709,0.0098709
53,2981.49,0.95916,1.81492,1.23348,0.755,0.77928,0.83874,0.66839,0.9314,1.62816,1.13261,0.00986581,0.00986581,0.00986581
54,3036.91,0.97796,1.81305,1.2431,0.79859,0.72696,0.83122,0.67481,0.88927,1.69352,1.08692,0.00986063,0.00986063,0.00986063
55,3092.97,0.9891,1.88111,1.25065,0.76572,0.90485,0.87648,0.67929,0.95249,1.59453,1.11139,0.00985534,0.00985534,0.00985534
56,3148.57,0.94738,1.88696,1.2144,0.76257,0.90463,0.85019,0.65361,0.98984,1.60878,1.15788,0.00984996,0.00984996,0.00984996
57,3204.81,0.95579,1.80243,1.21493,0.80697,0.86036,0.86933,0.69085,0.9489,1.54254,1.15392,0.00984449,0.00984449,0.00984449
58,3260.92,0.93499,1.77046,1.19221,0.80192,0.85586,0.87724,0.68794,0.96335,1.59396,1.12958,0.00983891,0.00983891,0.00983891
59,3317.53,0.95079,1.75419,1.21013,0.81885,0.81589,0.8608,0.64001,1.06435,1.60503,1.18414,0.00983324,0.00983324,0.00983324
60,3373.27,0.93725,1.78679,1.21241,0.80252,0.83784,0.86393,0.68271,0.96872,1.57962,1.12373,0.00982748,0.00982748,0.00982748
61,3428.73,0.97066,1.86016,1.22907,0.7538,0.9176,0.86978,0.65645,0.98453,1.59215,1.12921,0.00982162,0.00982162,0.00982162
62,3484.42,0.92127,1.78187,1.20521,0.7809,0.82883,0.85513,0.68688,0.90063,1.597,1.07582,0.00981566,0.00981566,0.00981566
63,3540.39,0.95169,1.87364,1.22151,0.75987,0.87838,0.8616,0.6878,0.86168,1.49073,1.06366,0.0098096,0.0098096,0.0098096
64,3595.99,0.9253,1.76888,1.17885,0.77322,0.85817,0.81825,0.63757,0.88041,1.53792,1.07955,0.00980345,0.00980345,0.00980345
65,3651.82,0.94127,1.82872,1.2138,0.77025,0.88431,0.8597,0.68051,0.92939,1.52875,1.11048,0.00979721,0.00979721,0.00979721
66,3707.75,0.92646,1.69812,1.20507,0.72925,0.90963,0.86537,0.6864,0.9049,1.58737,1.09428,0.00979087,0.00979087,0.00979087
67,3763.77,0.93601,1.77568,1.20857,0.79669,0.86495,0.8599,0.6733,0.94041,1.54033,1.12886,0.00978443,0.00978443,0.00978443
68,3819.62,0.89783,1.66028,1.18334,0.8164,0.82766,0.85165,0.66406,0.97239,1.5531,1.16095,0.0097779,0.0097779,0.0097779
69,3875.38,0.91813,1.90746,1.18558,0.79942,0.81532,0.84166,0.67443,0.89699,1.61411,1.10169,0.00977127,0.00977127,0.00977127
70,3931.7,0.91952,1.74151,1.19774,0.80247,0.8251,0.84887,0.66584,0.94939,1.55417,1.12612,0.00976455,0.00976455,0.00976455
71,3987.23,0.91515,1.76769,1.20722,0.81871,0.83784,0.8534,0.6651,0.91908,1.551,1.09605,0.00975773,0.00975773,0.00975773
72,4043.31,0.90264,1.6653,1.17764,0.81533,0.87883,0.86136,0.6735,0.92585,1.49176,1.1407,0.00975082,0.00975082,0.00975082
73,4099.52,0.92128,1.73056,1.19018,0.81771,0.82274,0.85079,0.68446,0.88391,1.52065,1.10574,0.00974381,0.00974381,0.00974381
74,4156.12,0.9092,1.73425,1.20067,0.77173,0.87185,0.84438,0.66763,0.87093,1.58021,1.08767,0.00973671,0.00973671,0.00973671
75,4212.52,0.91211,1.7077,1.17318,0.80356,0.84685,0.84962,0.66086,0.91918,1.6233,1.11626,0.00972951,0.00972951,0.00972951
76,4268.02,0.92703,1.80608,1.18181,0.76039,0.89759,0.86364,0.69502,0.89612,1.53933,1.10611,0.00972222,0.00972222,0.00972222
77,4323.98,0.8834,1.66276,1.16147,0.76699,0.85135,0.85896,0.67443,0.89314,1.59069,1.0759,0.00971484,0.00971484,0.00971484
78,4378.78,0.90802,1.70561,1.18254,0.79355,0.84685,0.86377,0.71191,0.82147,1.49357,1.03068,0.00970736,0.00970736,0.00970736
79,4433.87,0.89474,1.67857,1.16892,0.77133,0.86856,0.85819,0.69992,0.87908,1.58199,1.07712,0.00969979,0.00969979,0.00969979
80,4488.91,0.9132,1.72145,1.18406,0.77113,0.8865,0.84824,0.68428,0.90657,1.52361,1.10683,0.00969212,0.00969212,0.00969212
81,4544.29,0.93244,1.69509,1.20547,0.74407,0.9061,0.85302,0.68403,0.89033,1.54268,1.0866,0.00968436,0.00968436,0.00968436
82,4600.57,0.92105,1.65284,1.18831,0.80983,0.82117,0.84756,0.67622,0.87907,1.47518,1.09291,0.00967651,0.00967651,0.00967651
83,4655.01,0.90839,1.67031,1.18994,0.79392,0.86127,0.86425,0.69049,0.89373,1.49241,1.114,0.00966856,0.00966856,0.00966856
84,4710.73,0.91081,1.63212,1.19832,0.79171,0.85586,0.88059,0.68926,0.93233,1.44942,1.1007,0.00966053,0.00966053,0.00966053
85,4765.32,0.90209,1.63711,1.16961,0.78303,0.83784,0.85407,0.67781,0.88481,1.4646,1.09909,0.00965239,0.00965239,0.00965239
86,4820.17,0.86791,1.59779,1.14927,0.76428,0.88499,0.86729,0.70269,0.88207,1.48468,1.09011,0.00964417,0.00964417,0.00964417
87,4875.99,0.8828,1.65696,1.16238,0.77599,0.90541,0.86391,0.70329,0.85946,1.43768,1.08919,0.00963585,0.00963585,0.00963585
88,4931.17,0.90119,1.62771,1.1715,0.79364,0.85853,0.87606,0.70306,0.88438,1.45921,1.11146,0.00962744,0.00962744,0.00962744
89,4985.49,0.89316,1.55441,1.18466,0.74635,0.8942,0.84905,0.68904,0.88759,1.54593,1.11386,0.00961894,0.00961894,0.00961894
90,5040.32,0.89641,1.6027,1.16542,0.78547,0.87281,0.86147,0.67667,0.91994,1.51708,1.10762,0.00961035,0.00961035,0.00961035
91,5096.16,0.87506,1.54717,1.14664,0.80908,0.84979,0.86209,0.69106,0.89608,1.55966,1.08476,0.00960166,0.00960166,0.00960166
92,5150.95,0.90273,1.6222,1.18884,0.74974,0.89579,0.85838,0.69719,0.87984,1.58737,1.07864,0.00959289,0.00959289,0.00959289
93,5206.47,0.87329,1.59155,1.15308,0.78318,0.80631,0.84417,0.68546,0.89348,1.56992,1.09667,0.00958402,0.00958402,0.00958402
94,5262.45,0.90474,1.67648,1.17184,0.81108,0.84234,0.84845,0.68405,0.87491,1.52798,1.08187,0.00957506,0.00957506,0.00957506
95,5317.02,0.86591,1.61517,1.15807,0.79182,0.81982,0.84253,0.69847,0.82589,1.44313,1.05602,0.00956601,0.00956601,0.00956601
