epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.521,1.12195,7.01711,1.36379,0.67446,0.8237,0.83007,0.58809,1.1257,3.33078,1.24649,0.00330827,0.00330827,0.00330827
2,131.658,0.97348,3.78028,1.20581,0.75268,0.86244,0.84972,0.61072,1.17351,3.00003,1.35215,0.0066416,0.0066416,0.0066416
3,184.303,1.04336,2.85356,1.25254,0.66166,0.76207,0.70995,0.46852,1.40331,4.0667,1.62117,0.00997493,0.00997493,0.00997493
4,236.985,1.14881,2.61862,1.34828,0.65944,0.71431,0.72549,0.4739,1.33575,4.04226,1.52608,0.00999999,0.00999999,0.00999999
5,290.123,1.09679,2.33686,1.31103,0.84331,0.85689,0.89402,0.67485,1.01341,3.2788,1.196,0.00999998,0.00999998,0.00999998
6,343.029,1.03437,2.18889,1.2759,0.82555,0.83168,0.84779,0.62014,1.15043,2.19858,1.31669,0.00999998,0.00999998,0.00999998
7,395.879,1.02065,2.05071,1.24917,0.81256,0.89435,0.88635,0.69958,0.97116,1.92182,1.16426,0.00999996,0.00999996,0.00999996
8,449.848,0.97901,1.93234,1.22593,0.74393,0.89746,0.85961,0.68348,0.9084,2.08963,1.1238,0.00999995,0.00999995,0.00999995
9,503.69,0.9494,1.90298,1.19524,0.75238,0.90757,0.87795,0.70744,0.89205,1.63746,1.08912,0.00999994,0.00999994,0.00999994
10,556.471,0.96181,1.79989,1.21716,0.77497,0.87287,0.88375,0.68159,0.99403,1.98837,1.17465,0.00999992,0.00999992,0.00999992
11,609.34,0.92991,1.74036,1.19404,0.86648,0.89187,0.89369,0.71434,0.91187,1.52136,1.0905,0.0099999,0.0099999,0.0099999
12,661.973,0.92036,1.75761,1.18981,0.8304,0.88393,0.88929,0.69809,0.97856,1.75305,1.16069,0.00999988,0.00999988,0.00999988
13,714.368,0.89954,1.6761,1.1662,0.84116,0.93667,0.89739,0.7367,0.85811,1.36706,1.08307,0.00999986,0.00999986,0.00999986
14,767.908,0.89533,1.71214,1.17251,0.85293,0.85218,0.90461,0.7295,0.88907,1.54465,1.10754,0.00999983,0.00999983,0.00999983
15,820.364,0.86663,1.62122,1.14382,0.80793,0.92874,0.89796,0.71596,0.87622,1.38376,1.07259,0.00999981,0.00999981,0.00999981
16,872.99,0.85321,1.60198,1.14329,0.86491,0.88674,0.90579,0.72962,0.84674,1.39762,1.05024,0.00999978,0.00999978,0.00999978
17,926.601,0.83846,1.56892,1.12821,0.84471,0.89964,0.89307,0.70404,0.93817,1.46021,1.12698,0.00999975,0.00999975,0.00999975
18,979.371,0.83594,1.5132,1.12308,0.83552,0.92272,0.8949,0.73549,0.85707,1.39132,1.07107,0.00999972,0.00999972,0.00999972
19,1032.72,0.83945,1.52039,1.1262,0.80818,0.9328,0.90171,0.73514,0.84247,1.38207,1.06942,0.00999968,0.00999968,0.00999968
20,1086.49,0.83726,1.49639,1.13034,0.83494,0.87547,0.89047,0.72492,0.84893,1.48703,1.04721,0.00999965,0.00999965,0.00999965
21,1138.95,0.82605,1.49568,1.12393,0.88339,0.87854,0.91453,0.75825,0.84238,1.39698,1.0541,0.00999961,0.00999961,0.00999961
22,1191.33,0.82588,1.45831,1.11892,0.80187,0.92622,0.90598,0.73647,0.8583,1.36893,1.06756,0.00999957,0.00999957,0.00999957
23,1244.15,0.81049,1.47497,1.11197,0.84979,0.91832,0.90941,0.74625,0.82868,1.33563,1.04369,0.00999953,0.00999953,0.00999953
24,1296.12,0.82708,1.41363,1.12537,0.85445,0.90509,0.90117,0.73775,0.83448,1.33764,1.04282,0.00999948,0.00999948,0.00999948
25,1346.28,0.80363,1.42285,1.10545,0.87578,0.87384,0.90391,0.74318,0.85585,1.33482,1.05404,0.00999944,0.00999944,0.00999944
26,1399.06,0.79248,1.44474,1.09754,0.85998,0.88853,0.90686,0.75112,0.81014,1.37867,1.05012,0.00999939,0.00999939,0.00999939
27,1452.72,0.78514,1.43365,1.09575,0.86203,0.87908,0.91142,0.75609,0.78615,1.289,1.02499,0.00999934,0.00999934,0.00999934
28,1507.18,0.78076,1.39099,1.09689,0.85463,0.92642,0.92211,0.76589,0.80889,1.24742,1.02938,0.00999929,0.00999929,0.00999929
29,1560.64,0.79036,1.39664,1.09558,0.86247,0.90509,0.91351,0.76603,0.79602,1.24734,1.03487,0.00999923,0.00999923,0.00999923
30,1614.35,0.77142,1.34337,1.08882,0.86704,0.91748,0.91454,0.75003,0.81565,1.28307,1.0271,0.00999918,0.00999918,0.00999918
31,1667.21,0.76894,1.34825,1.07751,0.84953,0.93043,0.91305,0.75246,0.81087,1.32202,1.02676,0.00999912,0.00999912,0.00999912
32,1720.04,0.77176,1.35434,1.08314,0.85744,0.88416,0.90901,0.75589,0.83109,1.28182,1.03124,0.00999906,0.00999906,0.00999906
33,1773.45,0.76562,1.34124,1.09119,0.88228,0.90669,0.917,0.78169,0.75473,1.1364,0.9951,0.009999,0.009999,0.009999
34,1826.3,0.76943,1.38102,1.09268,0.88971,0.9047,0.93351,0.78589,0.81179,1.23023,1.02807,0.00999894,0.00999894,0.00999894
35,1878.73,0.77701,1.33021,1.10361,0.80303,0.91569,0.89398,0.75277,0.78722,1.41001,1.04051,0.00999887,0.00999887,0.00999887
36,1931.9,0.73851,1.30903,1.07691,0.82774,0.90509,0.93062,0.78229,0.77036,1.16114,1.01229,0.0099988,0.0099988,0.0099988
37,1985.8,0.74892,1.30026,1.06903,0.85791,0.92514,0.9126,0.76722,0.74985,1.18622,0.99566,0.00999873,0.00999873,0.00999873
38,2038.6,0.73151,1.40667,1.06089,0.85926,0.93169,0.90748,0.77033,0.74573,1.17231,0.98437,0.00999866,0.00999866,0.00999866
39,2091.01,0.74009,1.31013,1.06698,0.85014,0.92367,0.91259,0.75255,0.80376,1.21007,1.02949,0.00999859,0.00999859,0.00999859
40,2143.94,0.752,1.32948,1.0797,0.86817,0.90261,0.91258,0.77793,0.73908,1.1892,0.98255,0.00999851,0.00999851,0.00999851
41,2196.86,0.73392,1.26269,1.05345,0.85199,0.90157,0.91076,0.76629,0.79143,1.27814,1.01187,0.00999844,0.00999844,0.00999844
42,2249.5,0.73579,1.30248,1.07047,0.83095,0.93138,0.91986,0.78819,0.76798,1.20613,1.00907,0.00999836,0.00999836,0.00999836
43,2302.98,0.72803,1.32656,1.05489,0.83824,0.91483,0.92395,0.78941,0.76402,1.17654,0.99145,0.00999828,0.00999828,0.00999828
44,2356.37,0.7284,1.26438,1.05487,0.84336,0.91013,0.91823,0.77263,0.77625,1.2263,1.00507,0.00999819,0.00999819,0.00999819
45,2408.85,0.72024,1.29704,1.04922,0.84544,0.93812,0.92483,0.78333,0.7602,1.13611,0.98926,0.00999811,0.00999811,0.00999811
46,2460.75,0.72091,1.23428,1.04936,0.86694,0.92314,0.93411,0.79239,0.74246,1.16497,0.97531,0.00999802,0.00999802,0.00999802
47,2513.29,0.7133,1.27081,1.04947,0.8672,0.91849,0.9321,0.79439,0.73074,1.17173,0.97943,0.00999793,0.00999793,0.00999793
48,2566.5,0.71718,1.21711,1.05313,0.8763,0.91303,0.929,0.79254,0.74096,1.13127,0.98102,0.00999784,0.00999784,0.00999784
49,2620.44,0.71255,1.21028,1.04027,0.88392,0.91584,0.9296,0.79494,0.74598,1.14754,0.99556,0.00999775,0.00999775,0.00999775
50,2673.42,0.71897,1.2298,1.05533,0.88018,0.89484,0.91697,0.77521,0.74706,1.17991,0.99285,0.00999765,0.00999765,0.00999765
51,2725.85,0.70851,1.21939,1.04828,0.89244,0.91038,0.93516,0.79823,0.75273,1.10226,0.99192,0.00999756,0.00999756,0.00999756
52,2779.03,0.71244,1.20376,1.04492,0.87135,0.90648,0.90381,0.76537,0.72413,1.13789,0.97862,0.00999746,0.00999746,0.00999746
53,2833.12,0.69081,1.15829,1.03483,0.86282,0.92284,0.94236,0.80806,0.74623,1.097,0.9922,0.00999736,0.00999736,0.00999736
