Fold,Holdout,Train_mAP50-95,Train_mAP50,Train_Precision,Train_Recall,Val_mAP50-95,Val_mAP50,Val_Precision,Val_Recall,Test_mAP50-95,Test_mAP50,Test_Precision,Test_Recall,Test_Recall_Atypisch,Test_Recall_Normal,Val_Recall_Atypisch,Val_Recall_Normal
1,P1,0.9468497977499185,0.994647330404342,0.9927144202458964,0.9936449444645364,0.8634273448710872,0.9774770619047077,0.9555200298553972,0.9256007512250545,0.5296386912920067,0.6273028704935056,0.8531097558349998,0.5518629986504509,0.8180117115866159,0.2857142857142857,0.9266732005633165,0.9245283018867925
2,P10,0.963640866956643,0.9945869345808431,0.9902473799102478,0.9957526159085986,0.8652998416099044,0.9457768820830581,0.8999018646225803,0.9468673857993284,0.8750762312599681,0.9783333333333333,0.8808449354757472,1.0,1.0,1.0,0.9337347715986568,0.96
3,P11,0.9695316294552955,0.99455938697318,0.99664187389899,0.9989009365969037,0.8582548929168723,0.9427833581304143,0.8976655133085403,0.9525462962962963,0.7952489295647591,0.8989903849160815,0.9286989836260271,0.8161764705882353,0.8823529411764706,0.75,0.9259259259259259,0.9791666666666666
4,P12,0.9492138996905138,0.993940894534362,0.993414321413645,0.9785351998376952,0.860124360971953,0.9565574298003308,0.91071878132769,0.9502160526523804,0.7945623712639023,0.9370102720020315,0.8726528274808691,0.9567487448060206,0.9134974896120412,1.0,0.9743589743589743,0.9260731309457865
5,P13,0.9556061140469803,0.9943172715056157,0.9966024185709416,0.9798622241926134,0.8334832342443365,0.9357613866591757,0.8815350164517224,0.9574437666793747,0.807434107142857,0.8764285714285713,0.8506076749956197,0.9542537249693381,0.9542537249693381,,0.9476744186046512,0.9672131147540983
6,P14,0.9645400778919683,0.994945336910144,0.9941331626507524,0.998149292785693,0.8597695148609048,0.9470930830091335,0.9217840896686652,0.932573044174684,0.9082625,0.995,0.9779320492899402,1.0,1.0,1.0,0.936046511627907,0.9290995767214609
7,P15,0.9499235394869533,0.9934090334937176,0.9896404262805062,0.9827929755761017,0.8223157321329128,0.926140159718492,0.8872653999347448,0.9162404092071611,0.8821131656864681,0.9591672111804329,0.8302216157036277,0.9625372172538352,1.0,0.9250744345076705,0.9411764705882353,0.8913043478260869
8,P2,0.9262306216607351,0.990926038874097,0.9839541279662243,0.9638060698606604,0.7901950842421319,0.912659734099103,0.8084537132935012,0.9524602293747688,0.7980285841717378,0.9256462080187163,0.8399598951061664,0.9210928662152846,0.9523809523809523,0.8898047800496169,0.9245283018867925,0.9803921568627451
9,P3,0.9600115266287862,0.9946891669462519,0.990773660967914,0.9958384865036125,0.8646329572290122,0.9495774257958127,0.909135707748734,0.932049707338266,0.8173671767521655,0.9503677156177155,0.8674285428400794,0.9901960784313726,0.9803921568627451,1.0,0.9481624317061583,0.9159369829703736
10,P4,0.9759794719621686,0.995,0.997962003355263,0.9999596678921137,0.8925890252331753,0.9772314707365737,0.9228057509090606,0.969671165889076,0.7995048502485098,0.9231896450387741,0.7349792438002454,0.8774725880449695,0.754945176089939,1.0,0.9746835443037974,0.9646587874743545
11,P5,0.9385289980881748,0.9920549066785957,0.9874403890152483,0.9678284526663488,0.8507983812847352,0.9447987311315102,0.9073597779078444,0.9457616490769299,0.6167011965811967,0.7174709401709403,0.6622382270387803,0.7976190476190477,0.6666666666666666,0.9285714285714286,0.9261363636363636,0.9653869345174962
12,P6,0.9462998190492126,0.9942375962623475,0.9891255338369325,0.9770739197536866,0.8484014998947991,0.9419657889311247,0.9012322549135815,0.9402786080686494,0.9239625,0.995,0.985611969404776,1.0,1.0,1.0,0.9473684210526315,0.9331887950846672
13,P7,0.9430024166509356,0.9929028479560467,0.9886547501866088,0.9767256788078776,0.8323543113602282,0.9305981479165988,0.8966212675397194,0.9491611886164546,0.8534881758241756,0.995,0.9809334357826398,1.0,1.0,1.0,0.936046511627907,0.9622758656050022
14,P8,0.9238005551606976,0.9870248661365523,0.9854721032949614,0.9570305533261994,0.8438727399994761,0.9418411241347779,0.8741222595756355,0.9457877255659803,0.7935846428790506,0.9646969696969696,0.7264695734822773,0.8807451649947602,1.0,0.7614903299895203,0.9418604651162791,0.9497149860156815
15,P9,0.9482435699957188,0.9946724670182885,0.9939092857581573,0.980929338931189,0.8440665680389354,0.9530192703560785,0.9263946012685005,0.8889985704555337,0.7047899854260222,0.7959632637286002,0.7636646950708044,0.8447123001672834,0.7692307692307693,0.9201938311037975,0.9204545454545454,0.857542595456522
