epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3926,1.21884,7.71142,1.44407,0.72818,0.7243,0.75875,0.57234,1.05736,2.7591,1.25905,0.00330789,0.00330789,0.00330789
2,136.396,1.04132,4.31288,1.28176,0.73344,0.69903,0.75761,0.56729,1.13709,3.96246,1.27965,0.00664122,0.00664122,0.00664122
3,195.932,1.1539,3.33375,1.34567,0.60829,0.62855,0.5722,0.36464,1.93815,4.87614,2.34642,0.00997455,0.00997455,0.00997455
4,255.376,1.27142,3.03668,1.45654,0.56944,0.57596,0.60621,0.39374,1.55757,3.77327,1.6593,0.00999999,0.00999999,0.00999999
5,314.427,1.24926,2.79761,1.42054,0.91339,0.37284,0.49397,0.30443,2.00614,6.74022,2.37353,0.00999998,0.00999998,0.00999998
6,373.506,1.22246,2.59043,1.41038,0.66664,0.55826,0.68021,0.4229,1.5319,4.51775,1.61968,0.00999998,0.00999998,0.00999998
7,431.489,1.17809,2.51352,1.35926,0.59831,0.6082,0.67104,0.49412,1.15855,3.35458,1.33632,0.00999996,0.00999996,0.00999996
8,490.523,1.14155,2.29636,1.3544,0.70137,0.58402,0.64506,0.41923,1.65692,3.55979,1.766,0.00999995,0.00999995,0.00999995
9,549.563,1.14223,2.28236,1.34493,0.71204,0.79058,0.81768,0.56553,1.20359,2.17474,1.33045,0.00999994,0.00999994,0.00999994
10,609.102,1.09662,2.10229,1.31934,0.74953,0.75985,0.77189,0.5533,1.25021,2.98306,1.36486,0.00999992,0.00999992,0.00999992
11,667.92,1.10912,2.09377,1.32578,0.62532,0.75013,0.75585,0.54326,1.23702,2.466,1.33293,0.0099999,0.0099999,0.0099999
12,727.27,1.0708,2.01825,1.29301,0.77406,0.79425,0.83655,0.61124,1.16529,2.09092,1.26486,0.00999988,0.00999988,0.00999988
13,786.069,1.04681,1.95499,1.28289,0.78863,0.86688,0.85513,0.62733,1.15927,1.84937,1.26451,0.00999986,0.00999986,0.00999986
14,844.7,1.04514,1.94231,1.27969,0.73257,0.78623,0.83431,0.51325,1.54056,2.11014,1.5003,0.00999983,0.00999983,0.00999983
15,903.367,1.04639,1.91184,1.27543,0.78212,0.87948,0.8604,0.62091,1.16047,1.796,1.25107,0.00999981,0.00999981,0.00999981
16,962.003,1.03117,1.84902,1.26537,0.78147,0.80905,0.84034,0.58429,1.29232,2.02261,1.34799,0.00999978,0.00999978,0.00999978
17,1020.78,1.00581,1.83266,1.24827,0.80654,0.89591,0.87691,0.63614,1.09865,1.71188,1.1942,0.00999975,0.00999975,0.00999975
18,1079.49,0.99588,1.81519,1.23867,0.79581,0.87285,0.85247,0.64248,1.07513,1.65589,1.18599,0.00999972,0.00999972,0.00999972
19,1137.94,1.00229,1.83705,1.24707,0.80101,0.89066,0.85321,0.62129,1.09706,1.61242,1.18377,0.00999968,0.00999968,0.00999968
20,1197.12,0.99323,1.80249,1.23745,0.77559,0.83224,0.84738,0.66031,0.96093,1.7319,1.14566,0.00999965,0.00999965,0.00999965
21,1256.52,0.97617,1.76764,1.22417,0.84046,0.81703,0.833,0.62039,1.10123,1.74784,1.22834,0.00999961,0.00999961,0.00999961
22,1315.14,0.96894,1.70349,1.22798,0.83846,0.82348,0.8409,0.64839,1.00123,1.66685,1.15328,0.00999957,0.00999957,0.00999957
23,1373.94,0.9762,1.71413,1.22363,0.81378,0.8968,0.86312,0.6559,1.06944,1.57529,1.18088,0.00999953,0.00999953,0.00999953
24,1433.34,0.94043,1.70573,1.20316,0.83067,0.83069,0.87872,0.64798,1.11099,1.65342,1.19009,0.00999948,0.00999948,0.00999948
25,1492.13,0.9435,1.68468,1.21588,0.77728,0.89046,0.86254,0.61256,1.22287,1.71902,1.24089,0.00999944,0.00999944,0.00999944
26,1551.65,0.94202,1.66939,1.20191,0.82453,0.87033,0.88892,0.67851,1.01518,1.54229,1.14843,0.00999939,0.00999939,0.00999939
27,1610.01,0.9469,1.63742,1.2027,0.79358,0.83836,0.8604,0.65245,1.00101,1.70796,1.14309,0.00999934,0.00999934,0.00999934
28,1667.92,0.92032,1.62477,1.18359,0.84407,0.87519,0.89128,0.65939,1.02997,1.63319,1.14605,0.00999929,0.00999929,0.00999929
29,1726.1,0.94003,1.61113,1.20197,0.79013,0.85513,0.84913,0.67544,0.94283,1.66981,1.09695,0.00999923,0.00999923,0.00999923
30,1784.53,0.93296,1.61158,1.19067,0.78694,0.91473,0.88045,0.66551,0.98811,1.42894,1.11938,0.00999918,0.00999918,0.00999918
31,1843.65,0.91645,1.5996,1.18465,0.83745,0.88504,0.87604,0.7147,0.87026,1.40818,1.05927,0.00999912,0.00999912,0.00999912
32,1902.68,0.91085,1.57985,1.18231,0.78238,0.86831,0.8542,0.61222,1.19254,1.75569,1.22092,0.00999906,0.00999906,0.00999906
33,1961.91,0.93103,1.63883,1.19238,0.8077,0.88941,0.87307,0.65499,1.09892,1.58704,1.17811,0.009999,0.009999,0.009999
34,2021.68,0.92273,1.59133,1.19176,0.8266,0.81319,0.86046,0.62766,1.11834,1.67149,1.18072,0.00999894,0.00999894,0.00999894
35,2080.93,0.91542,1.54161,1.17227,0.82095,0.87836,0.8565,0.6423,1.07134,1.55108,1.16033,0.00999887,0.00999887,0.00999887
36,2139.82,0.88902,1.54268,1.17106,0.849,0.8875,0.89939,0.65866,1.19873,1.57153,1.22424,0.0099988,0.0099988,0.0099988
37,2198.92,0.90898,1.53363,1.17087,0.80939,0.86288,0.86928,0.68086,1.00468,1.46064,1.11431,0.00999873,0.00999873,0.00999873
38,2258.52,0.9025,1.50575,1.17474,0.84344,0.90652,0.8828,0.67864,0.96853,1.39837,1.10988,0.00999866,0.00999866,0.00999866
39,2317.87,0.90196,1.51746,1.16908,0.79386,0.86419,0.86021,0.67991,0.98307,1.62684,1.12482,0.00999859,0.00999859,0.00999859
40,2377.21,0.88049,1.50958,1.15435,0.80436,0.87036,0.85879,0.65128,1.06529,1.60644,1.16005,0.00999851,0.00999851,0.00999851
41,2435.78,0.89497,1.47032,1.16897,0.819,0.87007,0.86909,0.63873,1.14164,1.5244,1.20827,0.00999844,0.00999844,0.00999844
42,2494.94,0.89969,1.49128,1.16376,0.75853,0.93822,0.87385,0.69555,0.91955,1.40236,1.07754,0.00999836,0.00999836,0.00999836
43,2552.82,0.88003,1.47493,1.1501,0.80131,0.84926,0.85405,0.66589,0.93333,1.51817,1.08901,0.00999828,0.00999828,0.00999828
44,2611.37,0.89297,1.46049,1.16588,0.82109,0.82749,0.86603,0.68119,0.95351,1.68328,1.10925,0.00999819,0.00999819,0.00999819
45,2670.67,0.8794,1.46403,1.15636,0.84003,0.86899,0.89093,0.70083,0.95827,1.41924,1.10871,0.00999811,0.00999811,0.00999811
46,2730.2,0.87377,1.44836,1.1579,0.78923,0.86921,0.84126,0.64423,0.9964,1.48652,1.13537,0.00999802,0.00999802,0.00999802
47,2788.65,0.88175,1.45067,1.16303,0.77701,0.8789,0.84763,0.67152,0.92675,1.49523,1.0828,0.00999793,0.00999793,0.00999793
48,2847.1,0.87351,1.45509,1.14825,0.81763,0.87399,0.873,0.65768,1.0804,1.48568,1.16131,0.00999784,0.00999784,0.00999784
49,2906.21,0.86085,1.39459,1.1377,0.83256,0.89636,0.88054,0.68768,0.98532,1.44024,1.11564,0.00999775,0.00999775,0.00999775
50,2963.04,0.88385,1.44892,1.15076,0.82865,0.88312,0.86849,0.67142,0.97135,1.40951,1.11675,0.00999765,0.00999765,0.00999765
51,3021.68,0.86945,1.41773,1.13906,0.81864,0.91021,0.88298,0.7088,0.93273,1.36801,1.07952,0.00999756,0.00999756,0.00999756
52,3080.49,0.87129,1.41392,1.15126,0.82202,0.87077,0.87326,0.67447,1.02216,1.41205,1.1117,0.00999746,0.00999746,0.00999746
53,3138.99,0.85668,1.37211,1.14411,0.86711,0.86714,0.87934,0.68925,0.98003,1.34955,1.09662,0.00999736,0.00999736,0.00999736
54,3197.61,0.84922,1.40595,1.13657,0.87527,0.87071,0.89483,0.69553,0.96433,1.38583,1.1054,0.00999726,0.00999726,0.00999726
55,3256.28,0.85762,1.43434,1.14015,0.79904,0.92442,0.87608,0.69244,0.92601,1.39147,1.06563,0.00999715,0.00999715,0.00999715
56,3314.55,0.847,1.42666,1.12691,0.78646,0.90817,0.87252,0.69704,0.90614,1.4049,1.07308,0.00999704,0.00999704,0.00999704
57,3373.36,0.84345,1.38764,1.12009,0.84297,0.90652,0.88244,0.69903,0.91629,1.35565,1.05419,0.00999694,0.00999694,0.00999694
58,3432.5,0.85181,1.34277,1.14284,0.83283,0.90291,0.90013,0.70614,0.97036,1.36156,1.0932,0.00999683,0.00999683,0.00999683
59,3491.09,0.84948,1.35301,1.1301,0.77667,0.93987,0.88419,0.72812,0.84008,1.34007,1.04171,0.00999671,0.00999671,0.00999671
60,3550.31,0.84138,1.36853,1.13061,0.84267,0.89287,0.88985,0.70405,0.92405,1.32795,1.06242,0.0099966,0.0099966,0.0099966
61,3609.63,0.8555,1.36856,1.13321,0.83023,0.89665,0.88304,0.6882,0.97635,1.36183,1.10172,0.00999648,0.00999648,0.00999648
62,3668.65,0.82336,1.32299,1.10698,0.81872,0.95092,0.89241,0.71411,0.92397,1.33944,1.06179,0.00999636,0.00999636,0.00999636
63,3727.89,0.83356,1.34207,1.11937,0.81518,0.91472,0.87355,0.70515,0.856,1.33426,1.03362,0.00999624,0.00999624,0.00999624
64,3786.75,0.83287,1.34296,1.12773,0.82386,0.87099,0.8671,0.69181,0.91392,1.48456,1.06525,0.00999612,0.00999612,0.00999612
65,3846.99,0.83998,1.37048,1.1215,0.84377,0.90641,0.8884,0.69752,0.88519,1.31106,1.04915,0.009996,0.009996,0.009996
66,3906,0.82784,1.35452,1.11809,0.76786,0.89785,0.87239,0.69935,0.91166,1.47709,1.06657,0.00999587,0.00999587,0.00999587
67,3965.25,0.82992,1.3244,1.12435,0.84063,0.8971,0.88631,0.70682,0.88663,1.31412,1.05611,0.00999574,0.00999574,0.00999574
68,4024.42,0.82394,1.34053,1.11876,0.85028,0.84578,0.88188,0.71805,0.83724,1.36307,1.02427,0.00999561,0.00999561,0.00999561
69,4083.66,0.80283,1.30186,1.09017,0.82944,0.87168,0.89188,0.70374,0.90702,1.29877,1.05801,0.00999548,0.00999548,0.00999548
70,4144.31,0.81352,1.30812,1.11225,0.80833,0.92155,0.89779,0.71798,0.87516,1.32977,1.04819,0.00999535,0.00999535,0.00999535
71,4203.37,0.82834,1.31538,1.12069,0.80775,0.87435,0.87113,0.68611,0.92035,1.44734,1.08484,0.00999521,0.00999521,0.00999521
72,4262.02,0.81701,1.28954,1.11005,0.82815,0.86774,0.8969,0.71889,0.92232,1.34874,1.06315,0.00999508,0.00999508,0.00999508
73,4321.24,0.82665,1.32875,1.1162,0.8426,0.94613,0.89299,0.72853,0.84769,1.21527,1.02598,0.00999494,0.00999494,0.00999494
74,4380.59,0.82795,1.31401,1.11604,0.83479,0.90833,0.88279,0.72449,0.85167,1.33358,1.035,0.00999479,0.00999479,0.00999479
75,4440.05,0.80199,1.26227,1.11078,0.80021,0.93408,0.89073,0.71877,0.89562,1.34916,1.04949,0.00999465,0.00999465,0.00999465
76,4499.6,0.80814,1.30294,1.10985,0.8265,0.89346,0.88809,0.70597,0.91794,1.3662,1.05484,0.0099945,0.0099945,0.0099945
77,4560.57,0.81488,1.27092,1.11503,0.82674,0.92532,0.88441,0.72071,0.8645,1.27675,1.0524,0.00999436,0.00999436,0.00999436
78,4619.87,0.79336,1.27769,1.10063,0.84133,0.88574,0.88927,0.72476,0.8386,1.29578,1.02951,0.00999421,0.00999421,0.00999421
79,4678.88,0.79278,1.25726,1.10943,0.83756,0.90526,0.9047,0.74185,0.83126,1.23904,1.0223,0.00999406,0.00999406,0.00999406
80,4737.16,0.79163,1.27371,1.10291,0.85757,0.91493,0.90374,0.73299,0.83474,1.22954,1.02061,0.0099939,0.0099939,0.0099939
81,4796.59,0.81167,1.27068,1.10659,0.8627,0.88994,0.90057,0.73155,0.88641,1.20456,1.04944,0.00999375,0.00999375,0.00999375
82,4855.06,0.78717,1.23842,1.09573,0.81771,0.87377,0.8826,0.72308,0.80672,1.32985,1.00596,0.00999359,0.00999359,0.00999359
83,4913.33,0.79164,1.25122,1.10197,0.82841,0.92033,0.88489,0.72407,0.81303,1.25588,1.01115,0.00999343,0.00999343,0.00999343
84,4972.55,0.79711,1.24014,1.10308,0.84763,0.89309,0.88188,0.72868,0.81785,1.27668,1.00823,0.00999327,0.00999327,0.00999327
85,5032.34,0.81973,1.28384,1.11588,0.82344,0.90866,0.88561,0.72571,0.82264,1.26248,1.00321,0.00999311,0.00999311,0.00999311
86,5091.85,0.81424,1.26254,1.10986,0.80719,0.91783,0.87919,0.7024,0.85404,1.30766,1.0232,0.00999294,0.00999294,0.00999294
87,5150.87,0.78244,1.24016,1.09616,0.83554,0.93241,0.89968,0.73032,0.85755,1.25716,1.02711,0.00999278,0.00999278,0.00999278
88,5209.34,0.80792,1.27483,1.10596,0.83405,0.92004,0.89819,0.73916,0.83555,1.21803,1.01993,0.00999261,0.00999261,0.00999261
89,5268.67,0.80712,1.24046,1.10663,0.83521,0.94344,0.89172,0.74117,0.80179,1.2068,1.01253,0.00999244,0.00999244,0.00999244
90,5327.81,0.77792,1.21935,1.08422,0.82202,0.94003,0.90744,0.74366,0.84958,1.26183,1.02953,0.00999226,0.00999226,0.00999226
91,5386.8,0.7752,1.22435,1.09186,0.85277,0.89972,0.90245,0.74439,0.81589,1.17605,1.01009,0.00999209,0.00999209,0.00999209
92,5445.68,0.78752,1.21907,1.09605,0.86624,0.88701,0.90028,0.74669,0.79085,1.19427,1.0066,0.00999191,0.00999191,0.00999191
93,5504.38,0.78352,1.21535,1.09494,0.85096,0.91309,0.89641,0.74243,0.81768,1.19035,1.02045,0.00999173,0.00999173,0.00999173
94,5563.92,0.78722,1.22665,1.10093,0.8482,0.90101,0.9011,0.74365,0.79752,1.21241,1.00557,0.00999155,0.00999155,0.00999155
95,5621.79,0.80485,1.20447,1.10259,0.86831,0.8843,0.8998,0.73953,0.83302,1.22119,1.02841,0.00999137,0.00999137,0.00999137
96,5681.31,0.78152,1.21571,1.09032,0.8545,0.9312,0.91189,0.76025,0.79377,1.16901,0.99452,0.00999118,0.00999118,0.00999118
97,5739.24,0.77421,1.18261,1.07714,0.8868,0.86352,0.89971,0.74709,0.77535,1.24362,0.99686,0.009991,0.009991,0.009991
98,5798.83,0.78027,1.22278,1.09719,0.8686,0.9124,0.91461,0.7671,0.76962,1.13307,0.98673,0.00999081,0.00999081,0.00999081
99,5857.2,0.7769,1.18875,1.09219,0.82824,0.93728,0.90345,0.75227,0.79852,1.267,1.00792,0.00999062,0.00999062,0.00999062
100,5915.52,0.76802,1.1963,1.08671,0.88978,0.88521,0.90796,0.74283,0.81199,1.21356,1.01742,0.00999043,0.00999043,0.00999043
101,5974.22,0.77508,1.19836,1.09101,0.84074,0.91002,0.90368,0.74265,0.79088,1.20704,1.01507,0.00999023,0.00999023,0.00999023
102,6032.6,0.76042,1.19673,1.06866,0.86857,0.89585,0.90406,0.74828,0.80103,1.18091,1.00461,0.00999004,0.00999004,0.00999004
103,6091.34,0.76134,1.18721,1.07377,0.89363,0.89428,0.90198,0.74645,0.80592,1.15275,1.0114,0.00998984,0.00998984,0.00998984
104,6150.13,0.78,1.17508,1.08194,0.89497,0.90642,0.91114,0.76394,0.79887,1.15042,0.99352,0.00998964,0.00998964,0.00998964
105,6208.88,0.76011,1.17748,1.07492,0.88461,0.9185,0.90433,0.76414,0.76428,1.1336,0.98645,0.00998944,0.00998944,0.00998944
106,6267.14,0.77636,1.20458,1.09359,0.85704,0.91362,0.90611,0.763,0.77634,1.21289,0.9828,0.00998923,0.00998923,0.00998923
107,6324.37,0.76771,1.17387,1.07858,0.86487,0.93878,0.89971,0.75373,0.76885,1.12483,0.97973,0.00998903,0.00998903,0.00998903
108,6383.29,0.76537,1.16022,1.07338,0.87742,0.8961,0.90699,0.75888,0.79003,1.16294,1.00535,0.00998882,0.00998882,0.00998882
109,6442.32,0.75712,1.16461,1.07197,0.88935,0.89031,0.91362,0.77034,0.76645,1.14867,0.97872,0.00998861,0.00998861,0.00998861
110,6500.98,0.76133,1.16502,1.08014,0.84442,0.92479,0.90784,0.75576,0.79892,1.15321,0.99487,0.0099884,0.0099884,0.0099884
111,6559.64,0.76686,1.17822,1.08046,0.85613,0.9197,0.91362,0.76054,0.79879,1.15983,0.99565,0.00998818,0.00998818,0.00998818
112,6617.99,0.75597,1.16709,1.07535,0.86366,0.89271,0.91526,0.77382,0.75178,1.13015,0.97492,0.00998797,0.00998797,0.00998797
113,6676.34,0.76217,1.17294,1.07676,0.8416,0.9133,0.90877,0.75229,0.77195,1.17718,0.99106,0.00998775,0.00998775,0.00998775
114,6735.15,0.76669,1.18062,1.08604,0.86463,0.90253,0.90899,0.75531,0.80457,1.16788,1.00535,0.00998753,0.00998753,0.00998753
115,6793.26,0.75444,1.13363,1.07001,0.86525,0.91641,0.89985,0.74363,0.79457,1.14113,1.00144,0.00998731,0.00998731,0.00998731
116,6851.17,0.75144,1.17162,1.07862,0.85955,0.91352,0.90874,0.75643,0.77997,1.13809,0.99158,0.00998708,0.00998708,0.00998708
117,6908.5,0.73529,1.15855,1.06385,0.82909,0.92037,0.90813,0.7715,0.75869,1.12927,0.98037,0.00998686,0.00998686,0.00998686
118,6967.37,0.7578,1.14846,1.0798,0.85569,0.90448,0.90443,0.76234,0.74496,1.11075,0.97088,0.00998663,0.00998663,0.00998663
119,7026.3,0.76123,1.17141,1.0821,0.87614,0.8832,0.90972,0.77459,0.72249,1.14318,0.95995,0.0099864,0.0099864,0.0099864
120,7085.38,0.75264,1.15296,1.07532,0.88131,0.89689,0.89771,0.74587,0.76711,1.15837,0.98587,0.00998617,0.00998617,0.00998617
121,7145.07,0.75272,1.15836,1.07293,0.84681,0.90359,0.89874,0.7615,0.75083,1.15765,0.97272,0.00998594,0.00998594,0.00998594
122,7204.14,0.74894,1.15261,1.08624,0.8653,0.934,0.90749,0.7641,0.73723,1.1165,0.96737,0.0099857,0.0099857,0.0099857
123,7263.26,0.73827,1.16374,1.06846,0.86224,0.92621,0.90523,0.76778,0.73821,1.10569,0.96283,0.00998546,0.00998546,0.00998546
124,7322.21,0.74132,1.14209,1.06955,0.87887,0.92123,0.90166,0.75297,0.75668,1.14381,0.96495,0.00998522,0.00998522,0.00998522
125,7381.68,0.74532,1.12964,1.06186,0.85847,0.91535,0.91089,0.76429,0.76159,1.11685,0.98052,0.00998498,0.00998498,0.00998498
126,7440.57,0.73135,1.10928,1.07727,0.87133,0.88478,0.91511,0.77635,0.73696,1.11301,0.96349,0.00998474,0.00998474,0.00998474
127,7499.78,0.75008,1.13632,1.07016,0.86764,0.92806,0.91433,0.77612,0.72043,1.078,0.95431,0.0099845,0.0099845,0.0099845
128,7558.63,0.73744,1.12025,1.06826,0.87821,0.91881,0.91148,0.77272,0.7223,1.07821,0.95411,0.00998425,0.00998425,0.00998425
129,7616.76,0.75051,1.1116,1.07192,0.86426,0.93092,0.90933,0.76999,0.72597,1.10969,0.9584,0.009984,0.009984,0.009984
130,7676.2,0.72236,1.1101,1.04723,0.86506,0.94137,0.9003,0.76161,0.73752,1.11282,0.96714,0.00998375,0.00998375,0.00998375
131,7735.65,0.74117,1.12031,1.06297,0.89294,0.91918,0.92469,0.78275,0.74165,1.09168,0.97279,0.0099835,0.0099835,0.0099835
132,7795.34,0.72863,1.10513,1.05426,0.88447,0.92925,0.91925,0.77097,0.72896,1.07555,0.96861,0.00998324,0.00998324,0.00998324
133,7854.45,0.749,1.12321,1.06504,0.87966,0.94647,0.92632,0.77549,0.74098,1.0656,0.97007,0.00998298,0.00998298,0.00998298
134,7912.98,0.71662,1.0943,1.04809,0.86073,0.95028,0.92129,0.77685,0.74364,1.05611,0.96658,0.00998273,0.00998273,0.00998273
135,7972.29,0.75939,1.12127,1.08048,0.86365,0.9405,0.92343,0.78888,0.72907,1.04748,0.96106,0.00998247,0.00998247,0.00998247
136,8031.58,0.73041,1.08463,1.06351,0.87792,0.9053,0.92532,0.78037,0.75091,1.05806,0.96814,0.0099822,0.0099822,0.0099822
137,8090.22,0.74312,1.11695,1.06338,0.88227,0.93316,0.92059,0.77285,0.75668,1.05409,0.97047,0.00998194,0.00998194,0.00998194
138,8148.61,0.7355,1.11901,1.05729,0.87271,0.90841,0.90912,0.77097,0.74414,1.07176,0.97028,0.00998167,0.00998167,0.00998167
139,8206.9,0.72508,1.11201,1.0538,0.87902,0.91534,0.91464,0.77304,0.74615,1.0861,0.97081,0.0099814,0.0099814,0.0099814
140,8265.23,0.72021,1.08261,1.05545,0.87948,0.91025,0.90939,0.76274,0.72915,1.10045,0.96935,0.00998113,0.00998113,0.00998113
141,8324.32,0.73699,1.10424,1.06388,0.87681,0.90946,0.91256,0.76707,0.73967,1.07851,0.96666,0.00998086,0.00998086,0.00998086
142,8383.77,0.73337,1.08206,1.05355,0.88022,0.91392,0.91957,0.76608,0.75157,1.07846,0.97988,0.00998059,0.00998059,0.00998059
143,8442.39,0.72987,1.10359,1.06936,0.87226,0.92972,0.91514,0.76431,0.73894,1.06596,0.97096,0.00998031,0.00998031,0.00998031
144,8500.85,0.7309,1.08768,1.05765,0.88464,0.93025,0.92082,0.77219,0.72472,1.04634,0.9577,0.00998003,0.00998003,0.00998003
145,8559.32,0.74185,1.14675,1.06977,0.88271,0.92272,0.91487,0.76836,0.73749,1.05064,0.96454,0.00997975,0.00997975,0.00997975
146,8618.56,0.72779,1.09752,1.0682,0.88935,0.90584,0.91288,0.77054,0.71327,1.05814,0.95383,0.00997947,0.00997947,0.00997947
