Fold,Holdout,Train_mAP50-95,Train_mAP50,Train_Precision,Train_Recall,Val_mAP50-95,Val_mAP50,Val_Precision,Val_Recall,Test_mAP50-95,Test_mAP50,Test_Precision,Test_Recall,Test_Recall_Atypisch,Test_Recall_Normal,Val_Recall_Atypisch,Val_Recall_Normal
1,P1,0.9529118002155867,0.9949936708860759,0.9991680234938434,0.9997219213444473,0.8549501402348518,0.9717426818158332,0.9443565073199235,0.9234710474951204,0.49556541238804536,0.583490841660933,0.7750380509119059,0.5754896309804696,0.8652649762466535,0.2857142857142857,0.9224137931034483,0.9245283018867925
2,P10,0.9236075781362121,0.9925794130839619,0.9826918921686596,0.9756063756063755,0.8409794953813028,0.9456267710596321,0.897799133401961,0.9297354497354497,0.894507525974026,0.9770833333333333,0.8860348258048913,0.9941594422924032,1.0,0.9883188845848062,0.8994708994708994,0.96
3,P11,0.9373582792790989,0.994111515755717,0.9830402924698336,0.9948632591537523,0.8475005567108888,0.9521030830451889,0.9072724378955812,0.9473536845819942,0.8066261289865027,0.8913893719806762,0.9410861434702285,0.8373589406942086,0.9411764705882353,0.7335414108001818,0.9206349206349206,0.9740724485290678
4,P12,0.9214372236810406,0.9929710952186441,0.9886149413465329,0.9774889140074776,0.8559829647190412,0.9646395158834002,0.9480002047738822,0.9390750642169621,0.8326612869716463,0.9343787859580479,0.848592050323576,0.930587610608115,0.8611752212162299,1.0,0.9358974358974359,0.9422526925364881
5,P13,0.9253744088735683,0.9931813909140605,0.9898480438288011,0.9737391994493928,0.8292620367364132,0.9373037744768853,0.9064994178568753,0.9277966356493583,0.8463214285714283,0.9007142857142856,0.8571428571428571,1.0,1.0,,0.9244186046511628,0.931174666647554
6,P14,0.9464317274886447,0.9946430949879508,0.9907435236331819,0.9990086515079368,0.8373215675288816,0.9411766720018302,0.9145512059704038,0.9093023255813953,0.8889324999999999,0.995,0.9887294096363786,1.0,1.0,1.0,0.9186046511627907,0.9
7,P15,0.916537940758316,0.9925476004921987,0.9863445722206119,0.9806625226378355,0.8123262788860586,0.9259822097982742,0.8914316667075675,0.9181880168642058,0.8854407388804371,0.9542039391344443,0.765582375155416,0.9357931500020937,1.0,0.8715863000041874,0.9411764705882353,0.8951995631401762
8,P2,0.9003887946074801,0.9875431615963532,0.9714908115235432,0.9656684224157714,0.793741524901576,0.9178925414990969,0.8449690055082347,0.9137325446566504,0.7311495144356877,0.8640599144273695,0.8190217760526803,0.8587118829750784,0.9174237659501568,0.8,0.9150943396226415,0.9123707496906595
9,P3,0.9129978741477665,0.9909529593956349,0.9839755224862918,0.9701655579321938,0.8261319205801755,0.9455762488046315,0.9014922699671183,0.9328026465451438,0.7854997287768071,0.9166668700806412,0.7567635497365897,0.9807557288127671,0.9803921568627451,0.9811193007627892,0.9585798816568047,0.9070254114334828
10,P4,0.9110145510997748,0.9889546107138216,0.9829759412597456,0.9627284435177236,0.8581245007384277,0.9721584702815504,0.9348023683193661,0.9384187426254412,0.7946945856221047,0.9332755870338205,0.8347146256809503,0.9127371841993042,0.8254743683986082,1.0,0.9286011745244206,0.9482363107264619
11,P5,0.9339673861640284,0.9922143006636766,0.9918985423980389,0.9741903651009756,0.843764642624358,0.9414391550211949,0.9002012760011817,0.94875,0.5781744722036543,0.6612867238562092,0.5104196726583543,0.6309523809523809,0.3333333333333333,0.9285714285714286,0.9375,0.96
12,P6,0.9327796623996312,0.9947226083000678,0.9842681338131474,0.989081657047232,0.8447643230004888,0.9474171593275904,0.8816452790066267,0.9591074634080128,0.9180166666666667,0.995,0.9850730446835072,1.0,1.0,1.0,0.9649122807017544,0.9533026461142711
13,P7,0.9354223581381481,0.9944105785491496,0.9838982561017537,0.9882014407262449,0.8429848348363997,0.9441075593528165,0.9103499065935656,0.9412375415282392,0.8567927301587301,0.995,0.9851645412047547,1.0,1.0,1.0,0.936046511627907,0.9464285714285714
14,P8,0.9246765137338834,0.9925310860298269,0.9868692930704186,0.9712064718209381,0.840643927289759,0.9433153150621907,0.8834527182728047,0.9513502518655352,0.7702710489993098,0.8802204106280193,0.6486797157587783,0.9117740897042559,1.0,0.8235481794085119,0.9418604651162791,0.9608400386147914
15,P9,0.9144427559151899,0.9940100328926327,0.9903424906556743,0.9755463785914757,0.8311176419812536,0.9493413254340151,0.9100056643040212,0.899755004334639,0.7431684728641593,0.81750107811038,0.7850240757265216,0.8497603664951389,0.7692307692307693,0.9302899637595085,0.9431818181818182,0.8563281904874596
