epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.795,1.2926,9.28959,1.47476,0.76591,0.79379,0.83539,0.52747,1.29138,3.59923,1.3786,0.00331699,0.00331699,0.00331699
2,277.735,1.1725,4.26596,1.3348,0.77869,0.80147,0.84103,0.54839,1.28101,3.35393,1.41844,0.00665033,0.00665033,0.00665033
3,401.786,1.30399,3.29543,1.41772,0.75622,0.7346,0.78849,0.51315,1.43506,5.21131,1.63979,0.00998366,0.00998366,0.00998366
4,526.954,1.37189,3.1165,1.47697,0.71607,0.75439,0.78195,0.4744,1.34539,5.92125,1.57739,0.00999999,0.00999999,0.00999999
5,651.814,1.31327,2.86908,1.44743,0.74643,0.84057,0.82722,0.57139,1.25702,2.85243,1.38614,0.00999998,0.00999998,0.00999998
6,776.718,1.25152,2.68588,1.40309,0.76579,0.80556,0.85512,0.5567,1.2646,2.2151,1.37131,0.00999998,0.00999998,0.00999998
7,900.211,1.18578,2.50884,1.37224,0.74821,0.83825,0.84967,0.58938,1.13456,2.39218,1.27209,0.00999996,0.00999996,0.00999996
8,1024.99,1.14761,2.4476,1.33366,0.79606,0.85552,0.87064,0.61027,1.22984,1.90313,1.3022,0.00999995,0.00999995,0.00999995
9,1149.3,1.15244,2.46024,1.34573,0.83372,0.83356,0.88522,0.61638,1.20297,1.97391,1.27995,0.00999994,0.00999994,0.00999994
10,1274.29,1.10605,2.30215,1.32417,0.78971,0.87694,0.86879,0.62869,1.06314,1.92469,1.2112,0.00999992,0.00999992,0.00999992
11,1398.42,1.0861,2.24153,1.29888,0.82384,0.84823,0.87076,0.64131,1.03954,1.83127,1.18978,0.0099999,0.0099999,0.0099999
12,1523.06,1.07287,2.22835,1.28823,0.79839,0.8448,0.87589,0.63645,1.15136,1.85536,1.24347,0.00999988,0.00999988,0.00999988
13,1647.66,1.08057,2.22132,1.31273,0.8021,0.87872,0.87451,0.63412,1.05241,1.86943,1.20228,0.00999986,0.00999986,0.00999986
14,1771.61,1.06615,2.1575,1.2896,0.78789,0.86896,0.87641,0.68508,0.90789,1.73827,1.10943,0.00999983,0.00999983,0.00999983
15,1895.58,1.03466,2.1477,1.26394,0.8569,0.82664,0.88374,0.62456,1.1075,1.62869,1.22227,0.00999981,0.00999981,0.00999981
16,2021.01,1.0224,2.06687,1.25811,0.82393,0.8375,0.87643,0.64542,1.03196,1.69527,1.16189,0.00999978,0.00999978,0.00999978
17,2144.26,1.01791,2.0103,1.2453,0.79885,0.89791,0.86594,0.65057,0.99578,1.61464,1.14412,0.00999975,0.00999975,0.00999975
18,2268.39,1.00328,1.99752,1.24763,0.84726,0.83441,0.87118,0.65188,1.06218,1.60374,1.17247,0.00999972,0.00999972,0.00999972
19,2392.62,0.98999,1.929,1.22451,0.84306,0.78582,0.86323,0.662,0.98101,1.70629,1.14092,0.00999968,0.00999968,0.00999968
20,2517.68,1.00738,2.00964,1.24287,0.84484,0.84465,0.88657,0.67633,0.99103,1.65685,1.16792,0.00999965,0.00999965,0.00999965
21,2642.51,0.98253,1.92165,1.21497,0.83778,0.83425,0.87001,0.69494,0.9281,1.63546,1.11815,0.00999961,0.00999961,0.00999961
22,2766.33,0.95655,1.91847,1.21322,0.76165,0.8939,0.85593,0.66887,0.93236,1.64837,1.09803,0.00999957,0.00999957,0.00999957
23,2892.41,0.99507,1.9567,1.23135,0.84949,0.83285,0.89426,0.69491,0.92319,1.67908,1.10386,0.00999953,0.00999953,0.00999953
24,3016.77,0.97649,1.95077,1.23059,0.81768,0.86384,0.88592,0.69169,0.95311,1.63263,1.12217,0.00999948,0.00999948,0.00999948
25,3141.77,0.97035,1.94183,1.22974,0.86333,0.82639,0.89007,0.70443,0.95515,1.61348,1.11438,0.00999944,0.00999944,0.00999944
26,3267.75,0.95204,1.8775,1.21069,0.84654,0.86338,0.89468,0.68264,0.98718,1.62335,1.13682,0.00999939,0.00999939,0.00999939
27,3394.05,0.93965,1.8497,1.19324,0.84061,0.85358,0.88182,0.70803,0.87531,1.58999,1.1004,0.00999934,0.00999934,0.00999934
28,3520.18,0.95272,1.8624,1.21973,0.82307,0.86754,0.88249,0.69483,0.94966,1.56598,1.10874,0.00999929,0.00999929,0.00999929
29,3642.71,0.94153,1.80896,1.21215,0.84229,0.8866,0.89694,0.71194,0.87184,1.50185,1.0753,0.00999923,0.00999923,0.00999923
30,3765.24,0.94103,1.83116,1.20312,0.83447,0.86104,0.87872,0.68791,0.90904,1.7109,1.13152,0.00999918,0.00999918,0.00999918
31,3887.81,0.92889,1.81266,1.19907,0.87656,0.87655,0.89005,0.71257,0.89931,1.53607,1.09541,0.00999912,0.00999912,0.00999912
32,4010.31,0.92892,1.75771,1.19377,0.83908,0.88359,0.88917,0.70474,0.90619,1.59101,1.10299,0.00999906,0.00999906,0.00999906
33,4134.11,0.92726,1.78349,1.17247,0.83563,0.87008,0.89623,0.70192,0.96198,1.57879,1.10679,0.009999,0.009999,0.009999
34,4257.08,0.92815,1.79437,1.19091,0.84162,0.85273,0.88609,0.69073,0.92983,1.5967,1.11129,0.00999894,0.00999894,0.00999894
35,4381.54,0.90405,1.74504,1.18995,0.83847,0.83948,0.87246,0.70406,0.88339,1.57048,1.12042,0.00999887,0.00999887,0.00999887
36,4506.96,0.92153,1.73415,1.17576,0.83262,0.888,0.90154,0.72409,0.88036,1.50809,1.09724,0.0099988,0.0099988,0.0099988
37,4631.28,0.92042,1.7565,1.18651,0.86495,0.87336,0.89997,0.71991,0.89298,1.41763,1.07648,0.00999873,0.00999873,0.00999873
38,4754.6,0.89309,1.688,1.15904,0.86332,0.85806,0.88823,0.70106,0.94048,1.49449,1.10056,0.00999866,0.00999866,0.00999866
39,4878.51,0.92343,1.70616,1.18018,0.87758,0.81559,0.89951,0.72097,0.86736,1.46595,1.07695,0.00999859,0.00999859,0.00999859
40,5002.57,0.9124,1.71138,1.18156,0.89637,0.83092,0.89492,0.70275,0.95477,1.50692,1.09978,0.00999851,0.00999851,0.00999851
41,5126.53,0.88694,1.6937,1.16002,0.83274,0.87478,0.90337,0.7244,0.90009,1.52388,1.08984,0.00999844,0.00999844,0.00999844
42,5251.13,0.9118,1.73903,1.17812,0.84985,0.87725,0.90088,0.72574,0.86801,1.53362,1.08578,0.00999836,0.00999836,0.00999836
43,5374.39,0.89822,1.64136,1.16295,0.8722,0.85689,0.90326,0.70494,0.91596,1.41569,1.09492,0.00999828,0.00999828,0.00999828
44,5498.85,0.8945,1.64861,1.16525,0.83844,0.88127,0.89981,0.7137,0.91111,1.48838,1.08116,0.00999819,0.00999819,0.00999819
45,5623.14,0.88695,1.72817,1.16339,0.82378,0.88155,0.89892,0.71456,0.85632,1.46111,1.06635,0.00999811,0.00999811,0.00999811
46,5749.14,0.90209,1.75636,1.17361,0.82983,0.89827,0.90615,0.71522,0.87497,1.40912,1.06926,0.00999802,0.00999802,0.00999802
47,5874.54,0.88741,1.68635,1.15453,0.85818,0.87908,0.90242,0.72752,0.84601,1.38806,1.05619,0.00999793,0.00999793,0.00999793
48,5998.25,0.88386,1.66321,1.15017,0.83608,0.87982,0.88547,0.69498,0.91298,1.50733,1.09413,0.00999784,0.00999784,0.00999784
49,6123.44,0.88214,1.64228,1.15707,0.87741,0.86853,0.90513,0.725,0.86193,1.33255,1.06943,0.00999775,0.00999775,0.00999775
50,6248.78,0.86811,1.65978,1.16177,0.9179,0.8018,0.89396,0.72383,0.86992,1.50067,1.07746,0.00999765,0.00999765,0.00999765
51,6373.27,0.86379,1.58201,1.1311,0.87794,0.8718,0.9056,0.73739,0.81473,1.41108,1.03281,0.00999756,0.00999756,0.00999756
52,6497.53,0.87744,1.66602,1.15656,0.87071,0.85004,0.89877,0.73402,0.84165,1.50105,1.06801,0.00999746,0.00999746,0.00999746
53,6623.11,0.86794,1.63207,1.15227,0.8784,0.87638,0.89492,0.7247,0.83416,1.40889,1.05101,0.00999736,0.00999736,0.00999736
54,6746.18,0.87953,1.6196,1.15673,0.87519,0.87129,0.89562,0.72939,0.84521,1.45358,1.05803,0.00999726,0.00999726,0.00999726
55,6869.11,0.84859,1.55668,1.12373,0.85907,0.88325,0.90667,0.74347,0.82769,1.36713,1.03873,0.00999715,0.00999715,0.00999715
56,6992.57,0.85606,1.60358,1.14186,0.86068,0.84717,0.90054,0.75352,0.81048,1.45555,1.03683,0.00999704,0.00999704,0.00999704
57,7116.16,0.85331,1.5901,1.13716,0.85997,0.87211,0.90441,0.73969,0.82762,1.34352,1.04622,0.00999694,0.00999694,0.00999694
58,7240.01,0.86249,1.56913,1.14841,0.85243,0.87139,0.90444,0.73355,0.83656,1.40018,1.0536,0.00999683,0.00999683,0.00999683
59,7362.57,0.85662,1.56949,1.14981,0.86458,0.85451,0.90365,0.74597,0.80306,1.33114,1.03645,0.00999671,0.00999671,0.00999671
60,7487.03,0.86308,1.52823,1.14591,0.85287,0.87189,0.90114,0.72403,0.87177,1.42928,1.05598,0.0099966,0.0099966,0.0099966
61,7611.31,0.85793,1.58333,1.13815,0.8523,0.88126,0.90547,0.74456,0.82684,1.33182,1.02961,0.00999648,0.00999648,0.00999648
62,7735.3,0.87669,1.5926,1.15191,0.85915,0.8565,0.90259,0.74567,0.8483,1.43337,1.06659,0.00999636,0.00999636,0.00999636
63,7859.22,0.84529,1.54541,1.14041,0.84733,0.88157,0.91623,0.76178,0.78158,1.28409,1.01865,0.00999624,0.00999624,0.00999624
64,7982.76,0.83308,1.52152,1.12343,0.89681,0.83171,0.90882,0.76092,0.80304,1.31617,1.0358,0.00999612,0.00999612,0.00999612
65,8108.09,0.83546,1.54153,1.12997,0.85308,0.86089,0.89691,0.74053,0.80656,1.36228,1.03135,0.009996,0.009996,0.009996
66,8232.13,0.85185,1.50538,1.13921,0.85946,0.82513,0.89506,0.75571,0.78914,1.4256,1.03727,0.00999587,0.00999587,0.00999587
67,8356.78,0.84282,1.51574,1.13383,0.87362,0.87347,0.90186,0.75188,0.8137,1.35448,1.03871,0.00999574,0.00999574,0.00999574
68,8480.64,0.85757,1.54345,1.14568,0.86017,0.90656,0.91381,0.75393,0.79525,1.27662,1.02162,0.00999561,0.00999561,0.00999561
69,8604.58,0.84449,1.50239,1.13839,0.89727,0.84713,0.91111,0.76192,0.7713,1.36408,1.01332,0.00999548,0.00999548,0.00999548
70,8728.45,0.83721,1.567,1.13605,0.83013,0.92907,0.9079,0.75402,0.7762,1.27736,1.01403,0.00999535,0.00999535,0.00999535
71,8849.83,0.86201,1.57443,1.14101,0.89592,0.85967,0.91047,0.75878,0.79845,1.34178,1.02342,0.00999521,0.00999521,0.00999521
72,8970.8,0.8508,1.50541,1.13913,0.88752,0.85266,0.90391,0.75442,0.7821,1.33677,1.01512,0.00999508,0.00999508,0.00999508
73,9093.93,0.82878,1.49231,1.13731,0.8743,0.87376,0.91216,0.761,0.76604,1.29154,1.01026,0.00999494,0.00999494,0.00999494
74,9218.04,0.82481,1.46846,1.12129,0.85513,0.89404,0.91734,0.76161,0.77194,1.23605,1.015,0.00999479,0.00999479,0.00999479
75,9341.49,0.83107,1.49362,1.13794,0.87942,0.85266,0.90998,0.75248,0.80848,1.25364,1.03328,0.00999465,0.00999465,0.00999465
76,9463.58,0.81912,1.49413,1.11953,0.86112,0.86667,0.91557,0.77169,0.76239,1.28223,1.01385,0.0099945,0.0099945,0.0099945
77,9586.18,0.8277,1.50319,1.12972,0.86149,0.87552,0.91108,0.76876,0.74882,1.25811,1.0106,0.00999436,0.00999436,0.00999436
78,9710.29,0.82981,1.4694,1.12954,0.86083,0.87051,0.91505,0.77121,0.76222,1.23959,1.01769,0.00999421,0.00999421,0.00999421
79,9834.54,0.83079,1.48231,1.12911,0.85831,0.87006,0.9091,0.7623,0.76688,1.23283,1.01805,0.00999406,0.00999406,0.00999406
80,9960.63,0.82334,1.45861,1.11093,0.88913,0.83989,0.89537,0.75757,0.74587,1.26955,0.99983,0.0099939,0.0099939,0.0099939
81,10087.6,0.82585,1.45272,1.12017,0.84977,0.8968,0.91586,0.76423,0.75017,1.26063,1.00434,0.00999375,0.00999375,0.00999375
82,10213.3,0.82372,1.47583,1.11274,0.87232,0.86482,0.91529,0.76694,0.76803,1.24585,1.01413,0.00999359,0.00999359,0.00999359
83,10338,0.8176,1.51451,1.11786,0.888,0.83307,0.91137,0.76565,0.76988,1.28296,1.02039,0.00999343,0.00999343,0.00999343
84,10464.4,0.82685,1.45832,1.12704,0.87026,0.85781,0.90844,0.76834,0.75873,1.30368,1.01107,0.00999327,0.00999327,0.00999327
85,10588.9,0.82118,1.4368,1.12525,0.86384,0.88685,0.90212,0.76445,0.75209,1.28276,0.99955,0.00999311,0.00999311,0.00999311
86,10714.6,0.83772,1.44115,1.12743,0.84157,0.9032,0.89873,0.75087,0.77215,1.27469,1.01425,0.00999294,0.00999294,0.00999294
87,10840.2,0.82219,1.43338,1.11531,0.82578,0.89593,0.90498,0.75915,0.76159,1.29045,1.01556,0.00999278,0.00999278,0.00999278
88,10963.9,0.8225,1.45414,1.11967,0.83182,0.89471,0.90836,0.76465,0.77401,1.30094,1.02086,0.00999261,0.00999261,0.00999261
89,11090.2,0.83488,1.5054,1.12337,0.83206,0.90249,0.90931,0.76366,0.77353,1.31257,1.0185,0.00999244,0.00999244,0.00999244
90,11213.4,0.82976,1.46847,1.11586,0.86054,0.8821,0.91523,0.77205,0.76217,1.27506,1.01513,0.00999226,0.00999226,0.00999226
91,11341.6,0.8194,1.41991,1.12542,0.86032,0.87414,0.91298,0.76898,0.78438,1.27946,1.02908,0.00999209,0.00999209,0.00999209
92,11467.2,0.82077,1.4027,1.12128,0.86098,0.87209,0.91541,0.76877,0.75779,1.24201,1.01283,0.00999191,0.00999191,0.00999191
93,11592.7,0.82012,1.4472,1.11255,0.82586,0.89382,0.9168,0.77276,0.74671,1.22321,1.00319,0.00999173,0.00999173,0.00999173
94,11717.9,0.80861,1.41704,1.11524,0.89472,0.84702,0.91897,0.77513,0.73221,1.22997,0.99321,0.00999155,0.00999155,0.00999155
95,11846.7,0.81953,1.383,1.11729,0.89357,0.84856,0.9216,0.77971,0.7377,1.20544,0.99666,0.00999137,0.00999137,0.00999137
96,11973.5,0.80116,1.41713,1.10425,0.86387,0.87876,0.9137,0.77202,0.73788,1.18711,0.99567,0.00999118,0.00999118,0.00999118
97,12098.8,0.80613,1.42512,1.10856,0.87296,0.89741,0.91589,0.76989,0.73078,1.17478,0.98944,0.009991,0.009991,0.009991
98,12220,0.80592,1.35695,1.10733,0.84124,0.90368,0.91554,0.7746,0.72104,1.16098,0.98341,0.00999081,0.00999081,0.00999081
99,12343,0.8032,1.39485,1.10077,0.85487,0.90433,0.91618,0.77462,0.73043,1.1867,0.98952,0.00999062,0.00999062,0.00999062
100,12466.2,0.81095,1.44373,1.11259,0.86252,0.88242,0.91607,0.773,0.72826,1.17913,0.987,0.00999043,0.00999043,0.00999043
101,12589.5,0.81229,1.43757,1.11294,0.8875,0.86041,0.92013,0.77742,0.72017,1.17724,0.98112,0.00999023,0.00999023,0.00999023
102,12711.6,0.79886,1.37654,1.10401,0.88572,0.8674,0.91469,0.77606,0.72541,1.21832,0.99255,0.00999004,0.00999004,0.00999004
103,12834.2,0.78712,1.38607,1.09897,0.8769,0.87,0.91427,0.77183,0.7207,1.19328,0.98954,0.00998984,0.00998984,0.00998984
104,12956.7,0.79582,1.37163,1.10846,0.84713,0.89471,0.91312,0.77099,0.73248,1.18191,0.99199,0.00998964,0.00998964,0.00998964
105,13081.2,0.79488,1.35667,1.0902,0.84988,0.87825,0.91177,0.7712,0.73407,1.18257,0.99154,0.00998944,0.00998944,0.00998944
106,13207.3,0.7929,1.38154,1.10325,0.8348,0.89931,0.9127,0.77616,0.73425,1.19665,0.99132,0.00998923,0.00998923,0.00998923
107,13331.4,0.79555,1.39896,1.09582,0.82772,0.91573,0.91657,0.77889,0.73068,1.20708,0.99536,0.00998903,0.00998903,0.00998903
108,13457.5,0.7903,1.36015,1.09464,0.84522,0.90755,0.91427,0.77781,0.73432,1.23569,0.99848,0.00998882,0.00998882,0.00998882
109,13581.5,0.78696,1.38941,1.10141,0.85434,0.89653,0.91489,0.77311,0.73455,1.203,0.99731,0.00998861,0.00998861,0.00998861
110,13706,0.80219,1.40649,1.10969,0.8626,0.8734,0.91889,0.77867,0.73224,1.20787,0.99241,0.0099884,0.0099884,0.0099884
111,13828.5,0.80126,1.33355,1.10948,0.8755,0.84974,0.9133,0.77372,0.73486,1.20684,0.99045,0.00998818,0.00998818,0.00998818
112,13952.2,0.79949,1.36182,1.10107,0.85794,0.87271,0.91496,0.76886,0.74351,1.21578,0.98991,0.00998797,0.00998797,0.00998797
113,14076,0.79656,1.35992,1.10934,0.86851,0.8763,0.91484,0.77126,0.74349,1.20512,0.98992,0.00998775,0.00998775,0.00998775
114,14198.9,0.79764,1.36287,1.10373,0.86934,0.86416,0.91743,0.77429,0.7376,1.20055,0.98699,0.00998753,0.00998753,0.00998753
115,14324,0.78889,1.35433,1.08513,0.87925,0.86151,0.91741,0.77755,0.72655,1.1858,0.98061,0.00998731,0.00998731,0.00998731
116,14446.6,0.80757,1.40215,1.1011,0.85606,0.87104,0.91947,0.77695,0.72744,1.18898,0.98041,0.00998708,0.00998708,0.00998708
117,14568.7,0.78625,1.34052,1.09061,0.86398,0.86563,0.91742,0.7768,0.72738,1.17107,0.98028,0.00998686,0.00998686,0.00998686
118,14690.5,0.80501,1.34247,1.10408,0.87545,0.86227,0.91882,0.78224,0.72176,1.16514,0.97805,0.00998663,0.00998663,0.00998663
119,14814.7,0.7917,1.3448,1.08601,0.87839,0.87098,0.92079,0.78246,0.71557,1.15726,0.9761,0.0099864,0.0099864,0.0099864
120,14939,0.78644,1.33498,1.097,0.8827,0.86456,0.92227,0.78325,0.71531,1.14457,0.97567,0.00998617,0.00998617,0.00998617
121,15064.4,0.78753,1.36569,1.09535,0.88434,0.85934,0.91937,0.78018,0.71542,1.15868,0.97608,0.00998594,0.00998594,0.00998594
122,15187.9,0.77084,1.30258,1.07795,0.87208,0.87576,0.91914,0.77852,0.71766,1.1576,0.97864,0.0099857,0.0099857,0.0099857
123,15309.8,0.7793,1.28266,1.08749,0.87297,0.87689,0.9187,0.77776,0.72197,1.15417,0.98048,0.00998546,0.00998546,0.00998546
124,15433.7,0.78666,1.34268,1.10219,0.87354,0.88448,0.91922,0.78115,0.72411,1.1546,0.98218,0.00998522,0.00998522,0.00998522
125,15555.5,0.78268,1.31522,1.09082,0.87356,0.8823,0.91939,0.78055,0.72052,1.1498,0.97958,0.00998498,0.00998498,0.00998498
126,15677.6,0.78451,1.30561,1.08689,0.86917,0.88587,0.91813,0.7748,0.72321,1.15992,0.98119,0.00998474,0.00998474,0.00998474
127,15798.8,0.77302,1.28762,1.08809,0.88585,0.86574,0.91743,0.7803,0.72171,1.154,0.98253,0.0099845,0.0099845,0.0099845
128,15921.5,0.77787,1.301,1.08815,0.87813,0.86613,0.91815,0.78574,0.71133,1.14811,0.97896,0.00998425,0.00998425,0.00998425
129,16043.9,0.78381,1.35385,1.08223,0.8576,0.89209,0.91818,0.78246,0.71427,1.14986,0.97969,0.009984,0.009984,0.009984
130,16166.7,0.78533,1.36696,1.08494,0.85604,0.88928,0.91917,0.78278,0.71393,1.14304,0.97981,0.00998375,0.00998375,0.00998375
131,16289.6,0.774,1.30166,1.08177,0.88791,0.86313,0.91952,0.78575,0.71143,1.1358,0.97978,0.0099835,0.0099835,0.0099835
132,16412.9,0.78048,1.29817,1.08121,0.842,0.90259,0.91989,0.78509,0.71487,1.13287,0.98027,0.00998324,0.00998324,0.00998324
133,16535.6,0.76372,1.28857,1.07884,0.84877,0.89456,0.92061,0.78698,0.71569,1.12748,0.98266,0.00998298,0.00998298,0.00998298
134,16660.3,0.78353,1.30511,1.08813,0.85083,0.89517,0.9212,0.7878,0.71288,1.12772,0.98009,0.00998273,0.00998273,0.00998273
135,16781.8,0.78129,1.27269,1.08729,0.86237,0.89471,0.92248,0.78972,0.70985,1.12446,0.97951,0.00998247,0.00998247,0.00998247
136,16904,0.7752,1.30535,1.09065,0.8598,0.89471,0.92304,0.78998,0.70288,1.11931,0.97688,0.0099822,0.0099822,0.0099822
137,17026.2,0.76629,1.33486,1.08746,0.86332,0.89209,0.92312,0.79133,0.70349,1.11731,0.97667,0.00998194,0.00998194,0.00998194
138,17146.2,0.77652,1.31931,1.09388,0.87593,0.88533,0.92041,0.78962,0.70225,1.11739,0.97503,0.00998167,0.00998167,0.00998167
139,17268,0.7693,1.26485,1.08729,0.88241,0.8763,0.92291,0.78958,0.70002,1.11451,0.97345,0.0099814,0.0099814,0.0099814
140,17390.8,0.78228,1.33336,1.08839,0.88359,0.8763,0.92148,0.78789,0.69756,1.12006,0.97282,0.00998113,0.00998113,0.00998113
141,17515.4,0.77755,1.31397,1.08352,0.88218,0.8763,0.92119,0.78905,0.69149,1.12166,0.96922,0.00998086,0.00998086,0.00998086
142,17638.4,0.78476,1.32124,1.09301,0.87365,0.88431,0.92488,0.79424,0.6872,1.11591,0.96621,0.00998059,0.00998059,0.00998059
143,17761.5,0.78246,1.28516,1.10153,0.87422,0.88575,0.92466,0.79569,0.68484,1.11161,0.96582,0.00998031,0.00998031,0.00998031
144,17884.4,0.77418,1.25372,1.08724,0.87586,0.88677,0.92506,0.79742,0.68379,1.1101,0.96612,0.00998003,0.00998003,0.00998003
145,18005.3,0.78902,1.2908,1.08654,0.87662,0.88438,0.92536,0.79564,0.68373,1.11018,0.96671,0.00997975,0.00997975,0.00997975
146,18125.4,0.76195,1.28353,1.08954,0.86626,0.89396,0.92567,0.79594,0.6841,1.11216,0.9682,0.00997947,0.00997947,0.00997947
147,18247.5,0.76179,1.24577,1.07546,0.86984,0.89876,0.92734,0.79707,0.6839,1.11498,0.96887,0.00997919,0.00997919,0.00997919
148,18371.1,0.76049,1.27033,1.07197,0.86469,0.89462,0.92792,0.7959,0.6859,1.1135,0.96959,0.0099789,0.0099789,0.0099789
149,18492.7,0.77936,1.27908,1.08781,0.8597,0.89735,0.92751,0.79503,0.68676,1.11765,0.97059,0.00997861,0.00997861,0.00997861
150,18614.5,0.76578,1.28326,1.08106,0.88476,0.87368,0.92776,0.79478,0.68624,1.12192,0.96998,0.00997832,0.00997832,0.00997832
151,18734.5,0.76761,1.23594,1.07583,0.88313,0.87157,0.92819,0.7958,0.68363,1.12316,0.96777,0.00997803,0.00997803,0.00997803
152,18856,0.76793,1.28275,1.06998,0.88286,0.8725,0.9265,0.79534,0.68274,1.12019,0.96645,0.00997774,0.00997774,0.00997774
153,18977.2,0.7744,1.29614,1.09117,0.87795,0.87834,0.92662,0.79568,0.68209,1.11859,0.96596,0.00997744,0.00997744,0.00997744
154,19097.6,0.75657,1.24938,1.0717,0.87728,0.87892,0.92642,0.79685,0.68289,1.1173,0.96585,0.00997714,0.00997714,0.00997714
155,19221.6,0.77722,1.26259,1.08853,0.87374,0.88415,0.92554,0.7965,0.68417,1.11514,0.96598,0.00997685,0.00997685,0.00997685
156,19343.4,0.78792,1.28184,1.09248,0.87656,0.88415,0.9251,0.79748,0.68338,1.11368,0.96574,0.00997654,0.00997654,0.00997654
157,19465.8,0.76189,1.24148,1.07326,0.87592,0.88415,0.92589,0.80088,0.68123,1.1106,0.96541,0.00997624,0.00997624,0.00997624
158,19587.8,0.78514,1.28482,1.09296,0.87974,0.88129,0.92557,0.79911,0.68017,1.10699,0.96482,0.00997594,0.00997594,0.00997594
159,19708.3,0.76417,1.26141,1.08234,0.88253,0.87892,0.92652,0.79944,0.67965,1.10373,0.96498,0.00997563,0.00997563,0.00997563
160,19829.9,0.7562,1.24853,1.07075,0.88135,0.87892,0.92647,0.79885,0.67952,1.10097,0.96485,0.00997532,0.00997532,0.00997532
161,19952.6,0.76905,1.22623,1.07897,0.8806,0.87892,0.92675,0.79983,0.68076,1.09888,0.96503,0.00997501,0.00997501,0.00997501
162,20075.5,0.75871,1.23006,1.08018,0.87865,0.8805,0.92623,0.80017,0.68097,1.0988,0.96497,0.00997469,0.00997469,0.00997469
163,20198,0.76991,1.21494,1.07907,0.87947,0.87893,0.92574,0.79953,0.68131,1.09932,0.96551,0.00997438,0.00997438,0.00997438
164,20319.9,0.76767,1.27166,1.07335,0.8765,0.87892,0.92611,0.79985,0.6819,1.10052,0.96557,0.00997406,0.00997406,0.00997406
165,20444.1,0.75853,1.20858,1.07593,0.87202,0.88059,0.92586,0.79999,0.68254,1.10228,0.96622,0.00997374,0.00997374,0.00997374
166,20567.3,0.76062,1.25933,1.06974,0.87136,0.8824,0.92558,0.79777,0.68305,1.10097,0.96595,0.00997342,0.00997342,0.00997342
167,20686.8,0.74958,1.24607,1.07239,0.87405,0.88153,0.9252,0.79767,0.68302,1.09737,0.9657,0.0099731,0.0099731,0.0099731
168,20806.9,0.77039,1.27052,1.0816,0.87434,0.88067,0.92489,0.79975,0.68257,1.09426,0.96522,0.00997277,0.00997277,0.00997277
169,20927.7,0.76411,1.24498,1.07869,0.87508,0.88239,0.92481,0.7993,0.68082,1.09185,0.96435,0.00997245,0.00997245,0.00997245
170,21049.3,0.77655,1.26268,1.08961,0.87527,0.88227,0.92497,0.80081,0.67939,1.09121,0.96328,0.00997212,0.00997212,0.00997212
171,21169.5,0.7545,1.22381,1.08281,0.87511,0.88415,0.92532,0.80226,0.67787,1.09244,0.96242,0.00997179,0.00997179,0.00997179
172,21292.6,0.75808,1.22997,1.07726,0.87463,0.88415,0.92521,0.79974,0.67697,1.09474,0.9618,0.00997146,0.00997146,0.00997146
173,21414,0.76457,1.21196,1.06956,0.87407,0.88415,0.92507,0.79924,0.67602,1.09558,0.96125,0.00997112,0.00997112,0.00997112
174,21535.2,0.74166,1.21467,1.06142,0.87269,0.88415,0.92489,0.80252,0.67579,1.09512,0.96075,0.00997079,0.00997079,0.00997079
175,21657,0.75299,1.21742,1.07205,0.8768,0.88152,0.92504,0.80017,0.67535,1.09368,0.96038,0.00997045,0.00997045,0.00997045
