epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.6,1.26569,9.1833,1.45809,0.77672,0.76078,0.78026,0.49045,1.17468,3.57532,1.31284,0.00331699,0.00331699,0.00331699
2,207.074,1.18948,4.26985,1.35186,0.73514,0.75441,0.83552,0.49706,1.28751,2.67087,1.39372,0.00665033,0.00665033,0.00665033
3,293.657,1.31442,3.31871,1.44536,0.44703,0.75781,0.66167,0.36998,1.46564,14.0652,1.70096,0.00998366,0.00998366,0.00998366
4,379.516,1.38137,3.22413,1.50255,0.75694,0.75059,0.77662,0.51572,1.47326,4.17225,1.5564,0.00999999,0.00999999,0.00999999
5,466.288,1.30645,3.01204,1.47722,0.77357,0.77988,0.81218,0.5037,1.3597,2.86517,1.44054,0.00999998,0.00999998,0.00999998
6,552.056,1.27087,2.7008,1.43656,0.75316,0.83548,0.84207,0.58438,1.12449,2.31126,1.27988,0.00999998,0.00999998,0.00999998
7,637.842,1.20225,2.59721,1.36942,0.81707,0.75375,0.82804,0.60438,1.08301,2.43058,1.22033,0.00999996,0.00999996,0.00999996
8,724.367,1.15459,2.51166,1.3527,0.8419,0.81426,0.87539,0.65432,1.0765,1.87285,1.2351,0.00999995,0.00999995,0.00999995
9,808.424,1.1325,2.36426,1.32918,0.72365,0.84109,0.81207,0.61516,1.0549,1.92057,1.22965,0.00999994,0.00999994,0.00999994
10,893.838,1.10781,2.34553,1.31489,0.87003,0.81599,0.88652,0.62548,1.17267,1.84882,1.26111,0.00999992,0.00999992,0.00999992
11,980.242,1.07887,2.22548,1.29407,0.84563,0.83582,0.86888,0.61973,1.08976,1.79275,1.21406,0.0099999,0.0099999,0.0099999
12,1066.39,1.07726,2.19445,1.28766,0.81032,0.85809,0.88049,0.64219,1.12738,1.84463,1.21502,0.00999988,0.00999988,0.00999988
13,1152.77,1.07076,2.17201,1.27965,0.84994,0.86197,0.88848,0.67811,1.04025,1.70515,1.18995,0.00999986,0.00999986,0.00999986
14,1238.84,1.05308,2.12353,1.27158,0.78617,0.88111,0.87712,0.64646,0.9743,1.69929,1.16246,0.00999983,0.00999983,0.00999983
15,1323.85,1.05847,2.12619,1.26727,0.85182,0.86443,0.89603,0.70033,0.91961,1.68521,1.13157,0.00999981,0.00999981,0.00999981
16,1410.41,1.03163,2.087,1.25645,0.85662,0.82564,0.89193,0.6361,1.08341,1.68517,1.22418,0.00999978,0.00999978,0.00999978
17,1495.85,1.01644,2.03483,1.25749,0.87687,0.85671,0.89519,0.68615,0.991,1.5521,1.13809,0.00999975,0.00999975,0.00999975
18,1581.61,1.00954,1.98669,1.23932,0.87933,0.85678,0.8904,0.6887,1.01513,1.65478,1.17004,0.00999972,0.00999972,0.00999972
19,1667.2,1.02435,1.97952,1.24687,0.85985,0.86211,0.89466,0.68928,0.95713,1.58043,1.1229,0.00999968,0.00999968,0.00999968
20,1752.6,0.97429,1.96756,1.22607,0.88906,0.84796,0.90115,0.70307,0.99324,1.63632,1.15526,0.00999965,0.00999965,0.00999965
21,1836.37,0.98912,1.95173,1.227,0.8474,0.89045,0.90165,0.70207,0.99167,1.56824,1.14671,0.00999961,0.00999961,0.00999961
22,1921.39,0.96486,1.92136,1.21419,0.85812,0.89932,0.89468,0.6821,0.97584,1.51496,1.13063,0.00999957,0.00999957,0.00999957
23,2005.75,0.96508,1.87592,1.21383,0.88024,0.85778,0.90786,0.70539,0.92627,1.50701,1.11785,0.00999953,0.00999953,0.00999953
