epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3899,1.27132,9.35932,1.46684,0.65836,0.76129,0.73343,0.49459,1.20009,3.19961,1.35766,0.00331675,0.00331675,0.00331675
2,154.791,1.14825,4.20606,1.325,0.7853,0.74961,0.82851,0.53914,1.20736,2.33598,1.34374,0.00665005,0.00665005,0.00665005
3,229.547,1.24968,3.45796,1.40106,0.73695,0.68688,0.74519,0.37924,1.63807,4.00461,2.02706,0.00998322,0.00998322,0.00998322
4,305.789,1.40659,3.17898,1.51503,0.6758,0.75276,0.70337,0.39349,1.55249,3.99492,1.68417,0.00999955,0.00999955,0.00999955
5,383.48,1.32448,2.85641,1.4636,0.8155,0.82417,0.84969,0.61389,1.13579,2.78811,1.27478,0.0099992,0.0099992,0.0099992
6,462.216,1.21924,2.55822,1.39246,0.79842,0.80411,0.84618,0.55913,1.19512,2.29782,1.30144,0.00999875,0.00999875,0.00999875
7,540.474,1.20521,2.48794,1.3826,0.81596,0.8347,0.85319,0.60176,1.14144,2.09083,1.26702,0.00999821,0.00999821,0.00999821
8,618.469,1.14809,2.39663,1.34306,0.83085,0.77964,0.83651,0.58459,1.1507,2.13349,1.26148,0.00999756,0.00999756,0.00999756
9,696.341,1.13158,2.29503,1.33549,0.82618,0.85194,0.87233,0.55627,1.25669,1.83971,1.31264,0.00999681,0.00999681,0.00999681
10,773.904,1.10699,2.25514,1.30186,0.83732,0.74534,0.84257,0.61559,1.06433,1.92525,1.19999,0.00999596,0.00999596,0.00999596
11,851.864,1.07776,2.19532,1.29423,0.80318,0.80452,0.8669,0.62107,1.00222,1.84132,1.16369,0.00999502,0.00999502,0.00999502
12,930.178,1.05653,2.11599,1.27584,0.83161,0.88955,0.88367,0.66233,0.97819,1.61662,1.14701,0.00999397,0.00999397,0.00999397
13,1007.96,1.04169,2.07916,1.26074,0.7792,0.894,0.8643,0.6513,0.94059,1.75548,1.11495,0.00999282,0.00999282,0.00999282
14,1085.62,1.03604,2.11861,1.26388,0.79984,0.86344,0.87213,0.64512,0.98438,1.63673,1.14664,0.00999158,0.00999158,0.00999158
15,1163.45,1.0197,2.01057,1.25658,0.8088,0.85756,0.86932,0.67145,0.98935,1.75534,1.15028,0.00999023,0.00999023,0.00999023
16,1241.4,1.02638,2.08924,1.24847,0.83064,0.84098,0.8813,0.64759,1.03951,1.74,1.17105,0.00998879,0.00998879,0.00998879
17,1319.05,0.99975,2.04457,1.22026,0.86089,0.82402,0.87557,0.641,1.02948,1.67125,1.17311,0.00998724,0.00998724,0.00998724
18,1396.92,1.00678,1.99081,1.24322,0.81511,0.87387,0.87245,0.67665,0.93507,1.52502,1.09323,0.0099856,0.0099856,0.0099856
19,1474.85,1.00191,2.01181,1.23925,0.82898,0.87974,0.88824,0.65883,0.9959,1.62918,1.11996,0.00998386,0.00998386,0.00998386
20,1552.51,0.96407,1.9197,1.21798,0.85782,0.83217,0.88719,0.68417,0.93237,1.55153,1.09981,0.00998201,0.00998201,0.00998201
21,1630,0.98821,1.89372,1.22564,0.80067,0.89031,0.87053,0.66047,0.98046,1.59136,1.11571,0.00998007,0.00998007,0.00998007
22,1707.3,0.98286,1.91537,1.21108,0.81117,0.85587,0.87913,0.65212,0.98816,1.60308,1.14396,0.00997803,0.00997803,0.00997803
23,1784.16,0.98699,1.90447,1.2228,0.82434,0.86806,0.8752,0.66664,0.91893,1.53201,1.09406,0.00997589,0.00997589,0.00997589
24,1862.11,0.97586,1.9072,1.22163,0.84299,0.88617,0.8892,0.68149,0.98575,1.55241,1.11018,0.00997365,0.00997365,0.00997365
25,1939.32,0.95981,1.82727,1.20852,0.82234,0.89684,0.87748,0.67958,0.9464,1.58853,1.10342,0.00997131,0.00997131,0.00997131
