epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8762,1.32159,10.0133,1.51029,0.63914,0.65883,0.61073,0.40089,1.21962,3.6428,1.2818,0.00331313,0.00331313,0.00331313
2,136.728,1.17015,4.76505,1.3263,0.67922,0.73535,0.72279,0.47606,1.30973,6.77792,1.52958,0.00664643,0.00664643,0.00664643
3,200.034,1.30187,3.53389,1.43156,0.60972,0.77318,0.71179,0.35572,1.73335,5.13028,2.13726,0.0099796,0.0099796,0.0099796
4,263.127,1.40372,3.24333,1.53862,0.54033,0.87546,0.6828,0.38807,1.54592,17.3259,1.67729,0.00999955,0.00999955,0.00999955
5,326.443,1.36387,2.95734,1.4905,0.65542,0.75366,0.79548,0.55337,1.20571,3.44668,1.35538,0.0099992,0.0099992,0.0099992
6,389.767,1.32821,2.85989,1.46639,0.64907,0.73224,0.80425,0.51614,1.36847,2.86926,1.45063,0.00999875,0.00999875,0.00999875
7,452.899,1.26943,2.66549,1.42056,0.80122,0.85531,0.86011,0.58965,1.20417,1.82188,1.28347,0.00999821,0.00999821,0.00999821
8,516.183,1.22446,2.56484,1.40455,0.79567,0.85897,0.88701,0.61699,1.24117,1.99386,1.33281,0.00999756,0.00999756,0.00999756
9,579.154,1.19176,2.42818,1.356,0.78221,0.82639,0.84796,0.59534,1.09718,1.90865,1.20609,0.00999681,0.00999681,0.00999681
10,642.13,1.16353,2.36237,1.33282,0.82695,0.77198,0.85009,0.56529,1.33295,1.9115,1.35754,0.00999596,0.00999596,0.00999596
11,705.419,1.13919,2.32834,1.33123,0.7499,0.84432,0.85374,0.588,1.07978,1.87334,1.21339,0.00999502,0.00999502,0.00999502
12,768.178,1.09238,2.18836,1.2819,0.77363,0.8615,0.83633,0.62426,1.04874,1.64246,1.17764,0.00999397,0.00999397,0.00999397
13,830.757,1.12612,2.22483,1.31114,0.75066,0.91758,0.87598,0.5904,1.24672,1.85023,1.29157,0.00999282,0.00999282,0.00999282
14,893.687,1.10509,2.17798,1.30393,0.78142,0.89884,0.88014,0.58705,1.17659,1.88334,1.24645,0.00999158,0.00999158,0.00999158
15,956.783,1.06783,2.16661,1.26743,0.84808,0.8544,0.89824,0.68852,1.00007,1.47315,1.14371,0.00999023,0.00999023,0.00999023
16,1019.84,1.06712,2.10171,1.27009,0.82505,0.88011,0.88044,0.61157,1.16685,1.52784,1.24367,0.00998879,0.00998879,0.00998879
17,1083.21,1.06654,2.04955,1.26933,0.83537,0.87582,0.87941,0.6669,0.97462,1.54188,1.11212,0.00998724,0.00998724,0.00998724
18,1146.26,1.03632,2.08967,1.2464,0.80802,0.88187,0.89105,0.6667,1.02187,1.56936,1.14918,0.0099856,0.0099856,0.0099856
19,1208.46,1.04543,1.98749,1.23813,0.76451,0.95931,0.89924,0.69423,0.92946,1.4197,1.09764,0.00998386,0.00998386,0.00998386
20,1270.95,1.03797,1.98619,1.24852,0.82933,0.87427,0.88678,0.66116,1.09682,1.60806,1.18491,0.00998201,0.00998201,0.00998201
21,1333.79,1.0195,1.98534,1.23261,0.7957,0.94058,0.89722,0.69566,0.95191,1.38214,1.10035,0.00998007,0.00998007,0.00998007
22,1396.76,1.0052,1.91592,1.22265,0.85268,0.85375,0.88863,0.6735,1.0561,1.47882,1.15517,0.00997803,0.00997803,0.00997803
23,1460.39,1.01695,1.93043,1.23055,0.82881,0.89546,0.90023,0.64435,1.05269,1.47129,1.1765,0.00997589,0.00997589,0.00997589
24,1523.15,0.9864,1.88761,1.21078,0.87118,0.85714,0.90726,0.69014,0.95337,1.42853,1.11836,0.00997365,0.00997365,0.00997365
