epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5151,0.92258,5.31162,1.39675,0.40167,0.39524,0.42156,0.3024,0.55485,1.78251,0.96367,0.00238095,0.00238095,0.00238095
2,40.7151,0.84389,3.6009,1.28886,0.91946,0.38439,0.43396,0.31717,0.53911,1.78593,0.9373,0.00482993,0.00482993,0.00482993
3,54.3139,0.79824,3.34768,1.23784,0.88737,0.40942,0.435,0.31812,0.5505,1.74684,0.95103,0.00727891,0.00727891,0.00727891
4,67.679,0.74694,3.15362,1.17524,0.87888,0.43571,0.44123,0.32905,0.51517,1.69131,0.90153,0.00972788,0.00972788,0.00972788
5,81.3953,0.75957,3.20397,1.1668,0.91894,0.39378,0.43976,0.32373,0.50227,1.87897,0.89747,0.00999998,0.00999998,0.00999998
6,95.4095,0.73793,3.03351,1.13971,0.91889,0.39348,0.44702,0.33107,0.51593,1.69529,0.90422,0.00999998,0.00999998,0.00999998
7,109.118,0.73001,3.0538,1.13408,0.92298,0.39762,0.446,0.32183,0.53292,1.76538,0.9336,0.00999996,0.00999996,0.00999996
8,123.202,0.70738,3.04704,1.10885,0.91954,0.40238,0.44899,0.3337,0.49846,1.59486,0.89103,0.00999995,0.00999995,0.00999995
9,136.991,0.72478,2.97948,1.12693,0.91384,0.39524,0.44863,0.33522,0.49786,1.6361,0.90037,0.00999994,0.00999994,0.00999994
10,150.459,0.70286,2.85498,1.09903,0.93187,0.38333,0.4452,0.32612,0.49993,1.87742,0.90208,0.00999992,0.00999992,0.00999992
11,163.902,0.70898,2.95128,1.11798,0.9399,0.4,0.45941,0.33685,0.49987,1.52675,0.89677,0.0099999,0.0099999,0.0099999
12,177.682,0.69085,2.87825,1.10135,0.93202,0.40714,0.45541,0.33657,0.49617,1.65298,0.90202,0.00999988,0.00999988,0.00999988
13,191.036,0.68921,2.87395,1.1007,0.9317,0.39125,0.44903,0.33034,0.51433,1.64941,0.90951,0.00999986,0.00999986,0.00999986
14,204.819,0.68901,2.82651,1.09265,0.91704,0.4119,0.45915,0.33836,0.48713,1.58769,0.8871,0.00999983,0.00999983,0.00999983
15,218.26,0.67119,2.84546,1.08397,0.93107,0.40238,0.45421,0.33797,0.49013,1.70131,0.88709,0.00999981,0.00999981,0.00999981
