epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5066,0.9518,5.45667,1.43365,0.38457,0.41274,0.4149,0.27981,0.57721,2.01242,0.97933,0.00238095,0.00238095,0.00238095
2,47.1362,0.85127,3.66784,1.29087,0.89489,0.43632,0.43475,0.30067,0.57012,1.93669,0.96694,0.00482993,0.00482993,0.00482993
3,63.2837,0.83209,3.49452,1.27095,0.92214,0.41274,0.45626,0.32476,0.55757,1.7911,0.95484,0.00727891,0.00727891,0.00727891
4,79.0319,0.79287,3.29416,1.21719,0.90774,0.44104,0.46806,0.32617,0.54613,1.78783,0.95163,0.00972788,0.00972788,0.00972788
5,95.0703,0.79521,3.27362,1.19947,0.92235,0.43614,0.49838,0.36978,0.52159,1.76904,0.92321,0.00999998,0.00999998,0.00999998
6,111.175,0.75226,3.12404,1.16926,0.89429,0.43983,0.437,0.31962,0.5271,1.93128,0.93099,0.00999998,0.00999998,0.00999998
7,128.533,1.06245,5.49743,1.52155,0.70054,0.18796,0.116,0.05942,1.12056,5.33525,1.68323,0.00999996,0.00999996,0.00999996
8,165.227,1.07143,6.01511,1.56172,0.69107,0.17453,0.10314,0.05572,1.08018,5.75619,1.60209,0.00999995,0.00999995,0.00999995
9,180.632,1.06421,6.29767,1.5535,0.6881,0.19104,0.12495,0.06423,1.0215,5.86477,1.61127,0.00999994,0.00999994,0.00999994
10,200.592,1.02436,6.23288,1.53049,0.68145,0.17925,0.10759,0.06017,1.02103,6.1213,1.59946,0.00999992,0.00999992,0.00999992
11,215.875,1.03395,6.22861,1.53853,0.70173,0.18632,0.12633,0.06186,1.03096,6.04959,1.66259,0.0099999,0.0099999,0.0099999
12,230.665,1.0075,6.10442,1.5305,0.66942,0.19098,0.11394,0.05978,1.01975,5.84125,1.61545,0.00999988,0.00999988,0.00999988
13,248.191,1.00383,6.17319,1.52769,0.70501,0.19104,0.11672,0.06022,1.02984,6.35074,1.69148,0.00999986,0.00999986,0.00999986
14,263.013,1.02317,6.37566,1.54724,0.70015,0.18419,0.12208,0.06521,0.99793,6.06904,1.6077,0.00999983,0.00999983,0.00999983
15,278.387,1.00779,6.27194,1.52522,0.68359,0.19575,0.10979,0.05701,0.96914,5.84064,1.57552,0.00999981,0.00999981,0.00999981
16,293.207,0.98714,6.11395,1.51423,0.70439,0.1934,0.11746,0.06335,0.98545,6.06695,1.63854,0.00999978,0.00999978,0.00999978
17,308.275,0.99657,6.27106,1.5341,0.69998,0.18632,0.12099,0.0652,1.00132,5.94753,1.63731,0.00999975,0.00999975,0.00999975
18,323.114,1.00457,6.4767,1.55806,0.68699,0.19162,0.11941,0.06307,1.01443,6.15867,1.64416,0.00999972,0.00999972,0.00999972
19,337.681,1.00927,6.26769,1.54906,0.70032,0.18918,0.12106,0.05949,1.00404,5.99617,1.67445,0.00999968,0.00999968,0.00999968
20,352.327,0.98432,6.20074,1.5147,0.68905,0.17925,0.1197,0.05878,1.02879,6.05319,1.70071,0.00999965,0.00999965,0.00999965
21,367.593,0.97872,6.15351,1.49498,0.69183,0.18868,0.11664,0.0595,0.97195,5.96799,1.62732,0.00999961,0.00999961,0.00999961
22,382.363,0.97383,6.13466,1.50426,0.67136,0.18396,0.10429,0.05493,0.97741,6.09949,1.64274,0.00999957,0.00999957,0.00999957
23,397.191,0.97205,6.09618,1.48906,0.68818,0.18396,0.12256,0.0638,1.00888,6.02427,1.65858,0.00999953,0.00999953,0.00999953
24,411.773,0.98144,6.16712,1.50643,0.67479,0.17689,0.11986,0.05728,1.04386,5.97306,1.66572,0.00999948,0.00999948,0.00999948
25,426.475,0.97805,5.98263,1.48745,0.69732,0.19811,0.12989,0.06464,0.97585,5.92515,1.61547,0.00999944,0.00999944,0.00999944
26,441.3,0.96311,5.99571,1.4919,0.68712,0.18868,0.12252,0.06219,1.00101,6.13627,1.69393,0.00999939,0.00999939,0.00999939
27,455.924,0.97777,6.06229,1.49452,0.67909,0.18164,0.12095,0.06107,0.97803,6.17251,1.69461,0.00999934,0.00999934,0.00999934
