epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1839,1.34841,1.56937,1.39968,0.36092,0.39585,0.37828,0.26196,1.12088,0.87085,1.23825,0.00324074,0.00324074,0.00324074
2,45.103,1.26028,1.16792,1.34203,0.89181,0.39619,0.42083,0.29722,1.08656,0.76626,1.21003,0.00657407,0.00657407,0.00657407
3,60.8501,1.1881,1.12687,1.29708,0.87553,0.38559,0.41895,0.294,1.13047,0.80456,1.21793,0.0099074,0.0099074,0.0099074
4,76.2767,1.20518,1.10279,1.29088,0.86933,0.34732,0.39421,0.27337,1.09561,0.93749,1.20399,0.00999999,0.00999999,0.00999999
5,91.5897,1.1827,1.11378,1.28773,0.87609,0.38584,0.41075,0.28702,1.07728,0.83753,1.20177,0.00999998,0.00999998,0.00999998
6,106.95,1.16478,1.11976,1.28579,0.89132,0.4043,0.42675,0.3147,0.97513,0.7177,1.11122,0.00999998,0.00999998,0.00999998
7,122.394,1.12549,1.09919,1.2478,0.8791,0.37288,0.40498,0.27373,1.13729,0.80632,1.24327,0.00999996,0.00999996,0.00999996
8,137.614,1.13877,1.0505,1.25712,0.87039,0.42585,0.43094,0.30089,1.05361,0.71695,1.16471,0.00999995,0.00999995,0.00999995
9,153.031,1.09168,1.05083,1.23378,0.85753,0.44068,0.43064,0.31656,0.97141,0.74354,1.09814,0.00999994,0.00999994,0.00999994
10,168.335,1.09013,1.00934,1.23018,0.87012,0.41737,0.43654,0.31594,1.04328,0.79564,1.1735,0.00999992,0.00999992,0.00999992
11,183.841,1.07875,1.01936,1.21262,0.88326,0.4089,0.42236,0.30068,1.1061,0.72795,1.21435,0.0099999,0.0099999,0.0099999
12,198.918,1.07504,1.03272,1.22298,0.8702,0.37712,0.41463,0.289,1.06309,0.85227,1.18587,0.00999988,0.00999988,0.00999988
13,214.26,1.10221,1.0298,1.22273,0.88557,0.41949,0.42985,0.31805,0.98709,0.70732,1.10391,0.00999986,0.00999986,0.00999986
14,229.796,1.08401,1.02372,1.22755,0.87851,0.40264,0.4239,0.30725,1.01027,0.74587,1.13088,0.00999983,0.00999983,0.00999983
15,245.294,1.08807,1.01619,1.23264,0.87716,0.41737,0.43456,0.32085,1.00783,0.72611,1.14497,0.00999981,0.00999981,0.00999981
16,260.486,1.07223,1.03521,1.21207,0.86974,0.42161,0.4356,0.30793,1.08705,0.77772,1.18675,0.00999978,0.00999978,0.00999978
17,275.674,1.08315,1.00983,1.21984,0.84618,0.42912,0.43215,0.30845,1.07239,0.7764,1.19051,0.00999975,0.00999975,0.00999975
18,290.928,1.06563,0.99184,1.21586,0.86524,0.40254,0.42589,0.30759,1.01998,0.7352,1.12653,0.00999972,0.00999972,0.00999972
19,306.239,1.04462,0.99087,1.19297,0.88054,0.4089,0.43362,0.32337,0.96561,0.6939,1.11031,0.00999968,0.00999968,0.00999968
20,321.944,1.0702,1.02722,1.21856,0.84871,0.43461,0.42829,0.31038,1.0441,0.78786,1.16694,0.00999965,0.00999965,0.00999965
21,337.425,1.04363,1.00035,1.20936,0.85948,0.43358,0.42634,0.31165,0.9903,0.75174,1.12787,0.00999961,0.00999961,0.00999961
22,353.257,1.06819,1.02103,1.21182,0.86118,0.43644,0.43447,0.32489,0.983,0.69908,1.11289,0.00999957,0.00999957,0.00999957
23,368.785,1.04454,0.97307,1.19822,0.89237,0.4089,0.42958,0.31472,1.00676,0.72681,1.14501,0.00999953,0.00999953,0.00999953
24,384.016,1.05853,1.0006,1.20515,0.85357,0.44068,0.44423,0.32598,0.99839,0.73322,1.11705,0.00999948,0.00999948,0.00999948
25,399.315,1.05415,0.98076,1.20437,0.86225,0.43008,0.43671,0.32125,0.97388,0.71593,1.09113,0.00999944,0.00999944,0.00999944
26,414.652,1.02459,0.96448,1.1932,0.87077,0.40678,0.43061,0.3158,1.03942,0.74005,1.16801,0.00999939,0.00999939,0.00999939
27,430.113,1.01709,0.94598,1.17529,0.86865,0.42585,0.44058,0.33137,0.93773,0.70553,1.07434,0.00999934,0.00999934,0.00999934
28,444.599,1.03233,0.9871,1.19606,0.86482,0.43856,0.43685,0.32238,0.97001,0.68978,1.08409,0.00999929,0.00999929,0.00999929
29,458.167,1.03887,0.98432,1.18917,0.89178,0.39831,0.44166,0.32759,0.939,0.69239,1.08896,0.00999923,0.00999923,0.00999923
30,470.816,1.02879,0.96147,1.18367,0.8602,0.4322,0.4362,0.32803,0.95904,0.72502,1.08729,0.00999918,0.00999918,0.00999918
31,483.438,1.02535,0.96753,1.19024,0.86333,0.41679,0.42892,0.31985,1.01872,0.7299,1.14081,0.00999912,0.00999912,0.00999912
32,496.274,1.03107,0.9874,1.19701,0.87621,0.4185,0.45046,0.33732,0.99209,0.69728,1.1002,0.00999906,0.00999906,0.00999906
33,509.174,1.0225,0.9369,1.1869,0.879,0.42473,0.46845,0.34101,1.03824,0.71592,1.15046,0.009999,0.009999,0.009999
34,522.251,1.04043,0.96248,1.20662,0.85131,0.43552,0.52924,0.4029,1.01629,0.8021,1.13985,0.00999894,0.00999894,0.00999894
35,535.14,1.03867,0.98807,1.2058,0.8766,0.40087,0.42672,0.31831,0.99332,0.72921,1.1213,0.00999887,0.00999887,0.00999887
36,548.042,1.02059,0.94007,1.18546,0.8815,0.42373,0.44427,0.32561,1.02169,0.68047,1.12841,0.0099988,0.0099988,0.0099988
37,561.924,1.02454,0.96007,1.18676,0.8749,0.41903,0.44477,0.32968,0.98596,0.69298,1.1169,0.00999873,0.00999873,0.00999873
38,575.954,1.01542,0.93946,1.18436,0.85968,0.43446,0.44907,0.33668,0.94709,0.69671,1.07778,0.00999866,0.00999866,0.00999866
39,589.464,1.0254,0.95295,1.1834,0.90985,0.40456,0.48599,0.36718,0.96296,0.68514,1.08972,0.00999859,0.00999859,0.00999859
40,602.429,0.99228,0.91787,1.16972,0.89081,0.4019,0.46191,0.34805,0.95551,0.69446,1.07273,0.00999851,0.00999851,0.00999851
