epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2302,1.41494,1.63252,1.44708,0.34917,0.42797,0.39854,0.27347,1.06301,0.7876,1.17868,0.00324074,0.00324074,0.00324074
2,37.8986,1.29922,1.22288,1.36275,0.89311,0.4089,0.42845,0.2981,1.05244,0.71244,1.15575,0.00657407,0.00657407,0.00657407
3,50.1931,1.25999,1.19434,1.33881,0.85642,0.41737,0.42988,0.30244,0.97245,0.72202,1.08814,0.0099074,0.0099074,0.0099074
4,62.6553,1.27364,1.16881,1.33872,0.88814,0.41737,0.44545,0.31382,1.01143,0.69543,1.10154,0.00999999,0.00999999,0.00999999
5,75.0988,1.21996,1.16562,1.29935,0.90297,0.41354,0.45398,0.31759,0.99827,0.69518,1.08415,0.00999998,0.00999998,0.00999998
6,87.4296,1.20669,1.15361,1.30379,0.88268,0.41314,0.44217,0.32037,0.9872,0.72211,1.08585,0.00999998,0.00999998,0.00999998
7,99.7742,1.22068,1.16255,1.29801,0.90364,0.39195,0.44295,0.30815,0.98409,0.68995,1.08778,0.00999996,0.00999996,0.00999996
8,111.964,1.19125,1.12779,1.29277,0.89709,0.39831,0.44254,0.30397,1.07532,0.7191,1.14026,0.00999995,0.00999995,0.00999995
9,124.447,1.2031,1.15654,1.29985,0.88706,0.42161,0.44739,0.30929,0.99592,0.70169,1.09773,0.00999994,0.00999994,0.00999994
10,136.851,1.17498,1.12009,1.27537,0.89217,0.40841,0.44497,0.31558,1.00269,0.69316,1.09871,0.00999992,0.00999992,0.00999992
11,149.082,1.19904,1.11113,1.28359,0.89892,0.41807,0.44489,0.31682,0.97581,0.68709,1.07531,0.0099999,0.0099999,0.0099999
