epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4266,1.30543,1.50661,1.37259,0.36426,0.40251,0.40504,0.29984,0.87931,0.79462,1.01282,0.00324074,0.00324074,0.00324074
2,40.7383,1.17064,1.1079,1.28499,0.88707,0.4119,0.4371,0.33587,0.79862,0.67623,0.97395,0.00657407,0.00657407,0.00657407
3,55.1263,1.18052,1.11649,1.29236,0.91275,0.4,0.44436,0.33893,0.80861,0.61696,0.97806,0.0099074,0.0099074,0.0099074
4,70.0079,1.16301,1.1123,1.27071,0.9259,0.40714,0.45575,0.34496,0.82609,0.62585,0.97898,0.00999999,0.00999999,0.00999999
5,85.0085,1.15034,1.10059,1.25398,0.91354,0.4119,0.45546,0.34465,0.82815,0.62417,0.98273,0.00999998,0.00999998,0.00999998
6,100.118,1.13708,1.11142,1.24541,0.93163,0.3908,0.44981,0.34463,0.83724,0.61097,0.98956,0.00999998,0.00999998,0.00999998
7,114.556,1.16233,1.11849,1.26069,0.92743,0.39048,0.44825,0.33933,0.82013,0.6224,0.985,0.00999996,0.00999996,0.00999996
8,129.276,1.1213,1.07398,1.23741,0.91442,0.41429,0.47442,0.36259,0.81644,0.59372,0.98583,0.00999995,0.00999995,0.00999995
9,143.366,1.11108,1.06126,1.24415,0.92114,0.40714,0.46702,0.36222,0.8014,0.58939,0.96054,0.00999994,0.00999994,0.00999994
10,158.013,1.09833,1.05549,1.21745,0.93193,0.39286,0.45572,0.35398,0.81113,0.61251,0.9735,0.00999992,0.00999992,0.00999992
11,172.904,1.12853,1.10593,1.24486,0.94488,0.38571,0.48755,0.37918,0.79737,0.59771,0.96663,0.0099999,0.0099999,0.0099999
12,187.545,1.09427,1.04494,1.22652,0.94114,0.38571,0.45802,0.35426,0.82061,0.60793,0.9709,0.00999988,0.00999988,0.00999988
13,201.941,1.14102,1.08158,1.23036,0.93886,0.39048,0.45976,0.35589,0.81773,0.57293,0.98545,0.00999986,0.00999986,0.00999986
14,216.247,1.09453,1.06076,1.21744,0.93434,0.39374,0.4839,0.37066,0.8279,0.58076,0.96849,0.00999983,0.00999983,0.00999983
15,229.961,1.10012,1.03295,1.22465,0.93711,0.38062,0.48228,0.37677,0.79633,0.58014,0.96055,0.00999981,0.00999981,0.00999981
16,243.241,1.08637,1.04474,1.21514,0.89554,0.43571,0.47337,0.37255,0.77714,0.60201,0.96908,0.00999978,0.00999978,0.00999978
