epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5372,1.28364,1.47969,1.34897,0.89202,0.36306,0.40041,0.28443,0.9281,0.73526,1.07201,0.00327485,0.00327485,0.00327485
2,61.5409,1.1704,1.29691,1.27909,0.9093,0.38262,0.44016,0.3148,0.87388,0.69112,1.03621,0.00660819,0.00660819,0.00660819
3,82.5477,1.14636,1.26531,1.26359,0.87248,0.41087,0.42575,0.30426,0.89232,0.71242,1.05524,0.00994152,0.00994152,0.00994152
4,104.995,1.16683,1.25915,1.26414,0.89562,0.39348,0.43728,0.31004,0.90171,0.73462,1.06488,0.00999999,0.00999999,0.00999999
5,125.82,1.14241,1.24054,1.24334,0.89335,0.41739,0.43513,0.31433,0.87649,0.67239,1.03508,0.00999998,0.00999998,0.00999998
6,146.895,1.17541,1.25495,1.2871,0.89446,0.39001,0.43254,0.31453,0.90929,0.73236,1.06229,0.00999998,0.00999998,0.00999998
7,168.628,1.14275,1.22709,1.25555,0.90838,0.39783,0.43173,0.3088,0.89426,0.67756,1.05309,0.00999996,0.00999996,0.00999996
8,190.489,1.1128,1.18679,1.2307,0.88283,0.39565,0.42777,0.3044,0.88617,0.73136,1.03429,0.00999995,0.00999995,0.00999995
9,212.084,1.11867,1.21127,1.23423,0.90535,0.39565,0.42777,0.31297,0.84975,0.73178,1.00527,0.00999994,0.00999994,0.00999994
10,233.074,1.10746,1.18559,1.23072,0.8817,0.41522,0.43828,0.31257,0.87506,0.69,1.03133,0.00999992,0.00999992,0.00999992
11,254.27,1.13022,1.19428,1.24653,0.88875,0.41019,0.43216,0.31739,0.85925,0.72301,1.02434,0.0099999,0.0099999,0.0099999
12,275.638,1.11905,1.21253,1.24572,0.88715,0.39529,0.42452,0.30788,0.87844,0.71068,1.03275,0.00999988,0.00999988,0.00999988
13,297.886,1.1048,1.23618,1.22431,0.86993,0.42391,0.43339,0.31618,0.87726,0.69776,1.01519,0.00999986,0.00999986,0.00999986
14,319.413,1.08131,1.15859,1.21039,0.88236,0.41957,0.43896,0.31655,0.88401,0.69075,1.05127,0.00999983,0.00999983,0.00999983
15,340.834,1.09183,1.17432,1.21971,0.90031,0.40652,0.43788,0.31668,0.87948,0.65779,1.03009,0.00999981,0.00999981,0.00999981
16,361.426,1.09063,1.17162,1.21744,0.86161,0.4,0.41789,0.30764,0.85384,0.7144,1.01015,0.00999978,0.00999978,0.00999978
17,382.372,1.08907,1.16956,1.22323,0.87475,0.41629,0.45709,0.33787,0.85366,0.65051,1.01416,0.00999975,0.00999975,0.00999975
18,403.675,1.09738,1.15436,1.21681,0.89041,0.41087,0.44319,0.32568,0.85808,0.63746,1.00691,0.00999972,0.00999972,0.00999972
19,424.227,1.08422,1.14323,1.2195,0.88441,0.41207,0.43336,0.31805,0.87209,0.68138,1.03038,0.00999968,0.00999968,0.00999968
20,445.013,1.09437,1.16988,1.22108,0.88531,0.41087,0.43052,0.30658,0.94131,0.72278,1.05662,0.00999965,0.00999965,0.00999965
21,465.513,1.08169,1.15166,1.21712,0.87415,0.42826,0.43278,0.32151,0.84358,0.64536,1.01574,0.00999961,0.00999961,0.00999961
22,486.812,1.07138,1.12605,1.19842,0.90746,0.40202,0.44118,0.32447,0.8598,0.6443,1.01168,0.00999957,0.00999957,0.00999957
