epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0232,0.90434,5.2567,1.36129,0.37298,0.38347,0.38752,0.27539,0.59151,2.2373,0.99884,0.00241379,0.00241379,0.00241379
2,72.4306,0.81671,3.80021,1.27056,0.36875,0.42859,0.40969,0.29588,0.5742,1.99527,0.98277,0.00487069,0.00487069,0.00487069
3,96.6315,0.73037,3.64931,1.17594,0.89115,0.41102,0.42474,0.30013,0.57004,1.994,0.97958,0.00732758,0.00732758,0.00732758
4,120.548,0.74782,3.61975,1.16656,0.87276,0.37862,0.41736,0.30395,0.58332,2.41307,0.99239,0.00978447,0.00978447,0.00978447
5,144.424,0.73142,3.51518,1.14557,0.89168,0.39069,0.41206,0.29761,0.56467,2.18964,0.96878,0.00999998,0.00999998,0.00999998
6,168.347,0.69796,3.42467,1.12163,0.90092,0.37288,0.44635,0.3313,0.55777,2.05621,0.96052,0.00999998,0.00999998,0.00999998
7,192.413,0.6992,3.2791,1.11424,0.86129,0.39831,0.41369,0.27784,0.59305,2.25209,1.02878,0.00999996,0.00999996,0.00999996
8,216.238,0.69309,3.30889,1.11039,0.89276,0.39574,0.42913,0.3154,0.53468,1.99151,0.95072,0.00999995,0.00999995,0.00999995
9,240.058,0.70142,3.28262,1.1184,0.85594,0.42585,0.41853,0.31103,0.53494,2.0707,0.93764,0.00999994,0.00999994,0.00999994
10,263.986,0.6804,3.26847,1.09743,0.88743,0.4089,0.45979,0.34516,0.56151,2.23468,0.9711,0.00999992,0.00999992,0.00999992
11,287.866,0.67021,3.16307,1.08779,0.87581,0.44237,0.43702,0.3226,0.54482,2.11201,0.95968,0.0099999,0.0099999,0.0099999
12,311.599,0.69621,3.18765,1.10854,0.88216,0.39195,0.41662,0.30374,0.55973,2.02142,0.96389,0.00999988,0.00999988,0.00999988
13,335.775,0.66872,3.16143,1.09045,0.88436,0.39434,0.42979,0.31276,0.54025,1.86362,0.94969,0.00999986,0.00999986,0.00999986
14,359.748,0.65687,3.10162,1.08947,0.88802,0.39407,0.44672,0.33979,0.53888,1.91845,0.94306,0.00999983,0.00999983,0.00999983
15,398.068,0.66679,3.10764,1.09063,0.87871,0.38368,0.41656,0.31182,0.53453,2.24201,0.94982,0.00999981,0.00999981,0.00999981
16,421.446,0.65384,2.97245,1.06679,0.87809,0.42797,0.42425,0.31391,0.52011,1.89941,0.92273,0.00999978,0.00999978,0.00999978
17,445.151,0.64384,3.04801,1.06122,0.87521,0.41407,0.44956,0.33223,0.54898,2.19269,0.93293,0.00999975,0.00999975,0.00999975
18,469.022,0.64336,3.03862,1.06848,0.86093,0.35381,0.3973,0.29036,0.54925,2.92194,0.9668,0.00999972,0.00999972,0.00999972
19,494.665,0.64853,3.0113,1.07118,0.88783,0.40254,0.4797,0.3659,0.53692,2.06817,0.93674,0.00999968,0.00999968,0.00999968
20,528.345,0.6406,2.97686,1.05708,0.89097,0.41025,0.42857,0.32151,0.53028,1.86623,0.93044,0.00999965,0.00999965,0.00999965
21,552.398,0.65893,3.03515,1.08006,0.87448,0.42161,0.481,0.35666,0.54114,1.85295,0.92232,0.00999961,0.00999961,0.00999961
22,576.246,0.64958,2.94157,1.06049,0.86594,0.375,0.49134,0.38149,0.54221,2.49982,0.97016,0.00999957,0.00999957,0.00999957
23,599.738,0.65636,2.99086,1.07701,0.87546,0.38983,0.40732,0.28937,0.60913,2.33873,1.00877,0.00999953,0.00999953,0.00999953
24,623.101,0.64505,2.96578,1.0613,0.85286,0.40648,0.43573,0.32319,0.54126,1.955,0.95354,0.00999948,0.00999948,0.00999948
25,646.934,0.63646,2.99963,1.05834,0.88852,0.38395,0.44187,0.31914,0.56994,2.05822,0.98426,0.00999944,0.00999944,0.00999944
26,670.8,0.64112,2.95825,1.05374,0.86087,0.4428,0.52902,0.40828,0.5407,1.86468,0.9424,0.00999939,0.00999939,0.00999939
27,699.011,0.6403,2.85663,1.06217,0.86234,0.43498,0.42431,0.30886,0.53998,1.96777,0.94319,0.00999934,0.00999934,0.00999934
28,722.187,0.64136,2.85313,1.06333,0.87448,0.4089,0.50423,0.39209,0.51427,2.12323,0.91984,0.00999928,0.00999928,0.00999928
29,746.145,0.63513,2.86666,1.06283,0.87499,0.4258,0.44569,0.33121,0.53556,2.08233,0.93211,0.00999923,0.00999923,0.00999923
30,770.889,0.63365,2.80496,1.05423,0.87543,0.42781,0.46022,0.34867,0.4951,1.84842,0.90212,0.00999918,0.00999918,0.00999918
31,794.333,0.62569,2.81038,1.04334,0.87661,0.42585,0.4438,0.32545,0.53653,1.84952,0.95456,0.00999912,0.00999912,0.00999912
32,817.739,0.62496,2.8522,1.0507,0.85758,0.41949,0.42681,0.31806,0.52198,1.89506,0.93177,0.00999906,0.00999906,0.00999906
33,841.004,0.6339,2.8428,1.05235,0.89985,0.40678,0.44589,0.33202,0.51564,1.75952,0.93253,0.009999,0.009999,0.009999
34,864.094,0.6156,2.78947,1.02813,0.86802,0.41102,0.47312,0.35863,0.50929,1.83055,0.906,0.00999893,0.00999893,0.00999893
35,887.556,0.62805,2.81722,1.04648,0.87763,0.41525,0.43845,0.31975,0.55341,1.99104,0.96798,0.00999887,0.00999887,0.00999887
36,914.03,0.62339,2.72712,1.05006,0.86722,0.38983,0.42346,0.32313,0.51543,2.33175,0.93842,0.0099988,0.0099988,0.0099988
37,942.494,0.62775,2.76746,1.03651,0.88051,0.39806,0.48326,0.34826,0.54708,1.9392,0.94926,0.00999873,0.00999873,0.00999873
38,965.834,0.6109,2.71823,1.02496,0.87583,0.42325,0.60644,0.44666,0.52541,1.90789,0.92901,0.00999866,0.00999866,0.00999866
39,989.503,0.6291,2.69508,1.05221,0.86526,0.42373,0.42426,0.31503,0.55205,1.90884,0.96152,0.00999858,0.00999858,0.00999858
40,1012.44,0.61867,2.76401,1.04245,0.90014,0.39899,0.45399,0.33686,0.5316,1.87976,0.91824,0.00999851,0.00999851,0.00999851
41,1035.5,0.61787,2.73953,1.03373,0.87148,0.41102,0.4242,0.32333,0.51892,2.50961,0.93739,0.00999843,0.00999843,0.00999843
42,1057.79,0.62348,2.72317,1.03815,0.88845,0.43527,0.45149,0.34317,0.51036,1.74399,0.90027,0.00999835,0.00999835,0.00999835
43,1080.85,0.61496,2.76558,1.03181,0.8424,0.40678,0.50573,0.37375,0.56001,2.38255,0.98486,0.00999827,0.00999827,0.00999827
44,1104.19,0.62903,2.78459,1.04974,0.89379,0.41737,0.46055,0.34733,0.5291,1.73301,0.94603,0.00999819,0.00999819,0.00999819
45,1126.33,0.61467,2.63804,1.03182,0.85918,0.41737,0.51461,0.40901,0.51338,2.15157,0.93395,0.0099981,0.0099981,0.0099981
46,1152.25,0.62222,2.67113,1.03575,0.90201,0.41525,0.446,0.33875,0.51282,1.8373,0.91405,0.00999801,0.00999801,0.00999801
47,1175.6,0.61791,2.67028,1.02716,0.86476,0.39998,0.43883,0.32275,0.55471,2.0496,0.96463,0.00999792,0.00999792,0.00999792
48,1198.47,0.61528,2.65812,1.03546,0.87774,0.42549,0.50281,0.39089,0.50317,1.86716,0.89185,0.00999783,0.00999783,0.00999783
49,1220.86,0.61253,2.69187,1.0307,0.87729,0.42373,0.46417,0.34225,0.56205,1.82618,0.97087,0.00999774,0.00999774,0.00999774
50,1244,0.61682,2.69118,1.04462,0.86959,0.37712,0.43045,0.32826,0.51936,2.70002,0.92676,0.00999765,0.00999765,0.00999765
51,1266.45,0.61277,2.64451,1.03335,0.88497,0.4467,0.48338,0.36634,0.5116,1.71063,0.91112,0.00999755,0.00999755,0.00999755
52,1303.11,0.60754,2.59154,1.02625,0.88129,0.42585,0.46139,0.349,0.53059,1.81032,0.9281,0.00999745,0.00999745,0.00999745
53,1416.81,0.60856,2.56115,1.03303,0.88829,0.39768,0.45522,0.34733,0.5424,1.97225,0.94172,0.00999735,0.00999735,0.00999735
54,1449.2,0.61556,2.68481,1.03681,0.87481,0.43856,0.46391,0.33652,0.56659,2.13834,0.99294,0.00999724,0.00999724,0.00999724
55,1473.11,0.60276,2.57516,1.0318,0.89272,0.41949,0.51226,0.39136,0.55545,1.83782,0.97941,0.00999714,0.00999714,0.00999714
56,1504.11,0.61364,2.69472,1.0321,0.90559,0.40046,0.47515,0.35698,0.52811,1.79198,0.92966,0.00999703,0.00999703,0.00999703
57,1527.97,0.61113,2.59495,1.03349,0.88304,0.40936,0.4912,0.37557,0.5161,1.81879,0.92726,0.00999692,0.00999692,0.00999692
58,1551.88,0.59201,2.53872,1.00608,0.88057,0.41525,0.50711,0.37995,0.55659,1.79459,0.98596,0.00999681,0.00999681,0.00999681
59,1575.86,0.60735,2.58435,1.02418,0.868,0.44299,0.56688,0.41986,0.5516,1.85308,0.95452,0.0099967,0.0099967,0.0099967
60,1599.81,0.60159,2.54295,1.01937,0.88899,0.43432,0.48193,0.37006,0.53898,1.72315,0.9193,0.00999659,0.00999659,0.00999659
61,1623.66,0.59509,2.56097,1.00697,0.91492,0.39264,0.45695,0.34717,0.52026,1.81411,0.90424,0.00999647,0.00999647,0.00999647
62,1658.49,0.61161,2.6303,1.03404,0.80815,0.4428,0.52721,0.4146,0.54715,1.96057,0.95764,0.00999635,0.00999635,0.00999635
63,1682.43,0.60143,2.58084,1.02541,0.86885,0.43644,0.47015,0.35273,0.54013,1.71807,0.95685,0.00999623,0.00999623,0.00999623
64,1706.57,0.59297,2.53893,1.02056,0.4316,0.72952,0.57217,0.45927,0.54083,2.40862,0.94732,0.00999611,0.00999611,0.00999611
65,1730.36,0.59325,2.56124,1.02119,0.4822,0.75071,0.51284,0.38508,0.53012,2.24424,0.93702,0.00999598,0.00999598,0.00999598
66,1754,0.60047,2.57375,1.02354,0.86543,0.42373,0.45219,0.35,0.51778,1.90249,0.91304,0.00999586,0.00999586,0.00999586
67,1777.31,0.61905,2.56278,1.0287,0.88066,0.4325,0.45015,0.33927,0.52724,1.77607,0.92924,0.00999573,0.00999573,0.00999573
68,1800.88,0.60042,2.52477,1.01645,0.88555,0.42107,0.44233,0.32442,0.54627,1.77281,0.96272,0.0099956,0.0099956,0.0099956
69,1824.38,0.60748,2.60505,1.02311,0.86284,0.40913,0.44981,0.33216,0.57599,2.0384,1.00842,0.00999547,0.00999547,0.00999547
70,1848.01,0.59781,2.55524,1.0179,0.87559,0.40935,0.46242,0.3397,0.53027,2.02031,0.91705,0.00999533,0.00999533,0.00999533
71,1871.77,0.5974,2.59676,1.01771,0.33693,0.46186,0.45366,0.34076,0.54232,1.8504,0.92492,0.00999519,0.00999519,0.00999519
72,1904.04,0.58273,2.49228,1.00153,0.39449,0.72952,0.47074,0.36088,0.52401,2.48385,0.92839,0.00999506,0.00999506,0.00999506
73,1927.22,0.59598,2.45096,1.01423,0.87959,0.43008,0.48931,0.37022,0.5178,1.7578,0.9087,0.00999492,0.00999492,0.00999492
74,1950.58,0.59203,2.4897,1.00141,0.8996,0.39831,0.46573,0.35673,0.50615,1.73456,0.89472,0.00999477,0.00999477,0.00999477
75,1974.42,0.61146,2.54298,1.02759,0.36111,0.64124,0.64918,0.47675,0.56392,1.75718,0.96053,0.00999463,0.00999463,0.00999463
76,2019.45,0.59329,2.47204,1.01562,0.38822,0.58828,0.48522,0.36679,0.54259,2.11873,0.94192,0.00999448,0.00999448,0.00999448
77,2132.5,0.58716,2.4785,1.00179,0.87854,0.4358,0.47359,0.35881,0.52985,1.73761,0.9139,0.00999434,0.00999434,0.00999434
78,2204.29,0.597,2.4877,1.02158,0.35707,0.41737,0.52668,0.40008,0.52167,2.09526,0.92818,0.00999419,0.00999419,0.00999419
79,2243.91,0.59468,2.58476,1.01254,0.90865,0.40755,0.50026,0.38106,0.50427,1.67185,0.88682,0.00999403,0.00999403,0.00999403
80,2308.82,0.58571,2.45254,1.01847,0.37374,0.64124,0.51898,0.38795,0.52992,1.62211,0.95163,0.00999388,0.00999388,0.00999388
81,2332.14,0.59245,2.50771,1.01018,0.54004,0.6137,0.62952,0.46662,0.54196,1.77146,0.94549,0.00999372,0.00999372,0.00999372
82,2355.46,0.58804,2.48727,1.01041,0.40686,0.63489,0.48996,0.37207,0.51105,1.88297,0.90778,0.00999357,0.00999357,0.00999357
83,2382.03,0.59376,2.50184,1.0174,0.52037,0.59683,0.52431,0.38995,0.51697,1.83418,0.90111,0.00999341,0.00999341,0.00999341
84,2405.8,0.59259,2.44349,1.01352,0.37983,0.46287,0.49755,0.36883,0.54122,2.05066,0.93203,0.00999324,0.00999324,0.00999324
85,2429.43,0.60564,2.49314,1.02806,0.50395,0.62006,0.52351,0.39917,0.53276,1.8168,0.94211,0.00999308,0.00999308,0.00999308
86,2453.17,0.5779,2.40448,1.00242,0.54839,0.69562,0.58997,0.44808,0.53702,2.0619,0.94066,0.00999291,0.00999291,0.00999291
87,2480.51,0.59948,2.53411,1.019,0.65989,0.59887,0.64565,0.50099,0.53725,1.83333,0.93016,0.00999275,0.00999275,0.00999275
88,2552.4,0.58112,2.39418,1.00728,0.37378,0.41949,0.49194,0.38295,0.52131,2.42267,0.93673,0.00999258,0.00999258,0.00999258
89,2619.76,0.58214,2.49619,1.0127,0.4042,0.42161,0.4621,0.34566,0.53909,1.77059,0.93264,0.00999241,0.00999241,0.00999241
90,2660.62,0.59606,2.42724,1.01972,0.37158,0.42301,0.46527,0.35452,0.51705,1.93725,0.9136,0.00999223,0.00999223,0.00999223
91,2684.12,0.58647,2.40221,1.00526,0.42821,0.60699,0.48435,0.36967,0.50789,1.77608,0.89474,0.00999206,0.00999206,0.00999206
92,2707.78,0.59685,2.3866,1.01185,0.55208,0.49294,0.50292,0.37047,0.54451,2.12745,0.96164,0.00999188,0.00999188,0.00999188
93,2731.26,0.59211,2.47878,1.00846,0.35944,0.47842,0.45949,0.34858,0.54948,1.94996,0.95814,0.0099917,0.0099917,0.0099917
94,2754.41,0.59972,2.39986,1.0257,0.49414,0.658,0.53956,0.41163,0.54338,2.00824,0.96461,0.00999152,0.00999152,0.00999152
95,2781.29,0.58834,2.36792,1.012,0.50119,0.7846,0.56724,0.44461,0.53431,1.75897,0.94267,0.00999134,0.00999134,0.00999134
96,2804.33,0.58418,2.37768,1.00663,0.49602,0.72246,0.51095,0.39391,0.53698,1.87909,0.92174,0.00999115,0.00999115,0.00999115
97,2826.21,0.58081,2.38114,1.00342,0.52508,0.7125,0.52118,0.40811,0.52427,2.18976,0.92519,0.00999096,0.00999096,0.00999096
98,2848.78,0.57497,2.34939,0.99884,0.52349,0.7528,0.59604,0.46774,0.51628,1.80855,0.91661,0.00999077,0.00999077,0.00999077
99,2871.17,0.58282,2.31356,0.99904,0.53652,0.83263,0.55122,0.42354,0.55165,2.52488,0.95662,0.00999058,0.00999058,0.00999058
100,2893.38,0.59304,2.40636,1.01531,0.49943,0.54167,0.51747,0.40452,0.55379,1.99721,0.95962,0.00999039,0.00999039,0.00999039
101,2915.32,0.5967,2.43332,1.01003,0.54649,0.58828,0.52153,0.38918,0.565,1.76756,0.98414,0.00999019,0.00999019,0.00999019
102,2937.32,0.58125,2.35025,0.98814,0.62868,0.59887,0.59182,0.44472,0.5334,1.79162,0.93815,0.00999,0.00999,0.00999
103,2958.95,0.57983,2.36008,0.98923,0.44533,0.59068,0.50237,0.38441,0.51953,1.79437,0.91358,0.0099898,0.0099898,0.0099898
104,2981.33,0.59255,2.39892,1.01727,0.45763,0.57884,0.50874,0.38064,0.52954,1.67102,0.92738,0.0099896,0.0099896,0.0099896
105,3003.97,0.59336,2.3122,1.00488,0.51901,0.60244,0.5121,0.38018,0.52426,1.74092,0.92372,0.00998939,0.00998939,0.00998939
106,3026.52,0.57606,2.38679,0.99121,0.61814,0.54835,0.5841,0.4405,0.53323,2.26476,0.94037,0.00998919,0.00998919,0.00998919
107,3049.65,0.5747,2.29835,0.99074,0.51777,0.56833,0.50825,0.38096,0.54814,1.75008,0.96236,0.00998898,0.00998898,0.00998898
108,3074.39,0.56503,2.27591,0.9951,0.46037,0.59249,0.50741,0.37972,0.53469,1.80096,0.93384,0.00998877,0.00998877,0.00998877
