epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4039,1.08716,5.22727,1.51387,0.74453,0.70099,0.73694,0.54323,1.05982,2.21642,1.61655,0.00329317,0.00329317,0.00329317
2,135.552,0.93088,2.41194,1.29781,0.86508,0.57073,0.70611,0.47806,1.21771,15.3394,1.59285,0.00662651,0.00662651,0.00662651
3,195.438,1.04506,2.43756,1.38852,0.39712,0.71707,0.41331,0.24238,1.39909,40.7894,2.58742,0.00995984,0.00995984,0.00995984
4,256.703,1.18058,2.48077,1.49053,0.90909,0.30488,0.57252,0.37425,1.59608,13.8289,2.69304,0.00999999,0.00999999,0.00999999
5,315.445,1.10945,2.15984,1.45348,0.71866,0.6689,0.63785,0.41307,1.36164,10.1636,2.04025,0.00999998,0.00999998,0.00999998
6,375.921,1.05719,1.99484,1.40116,0.86108,0.75633,0.80585,0.56133,1.15503,4.98257,1.57128,0.00999998,0.00999998,0.00999998
7,436.727,1.0176,1.8969,1.36817,0.77917,0.7331,0.7755,0.5602,1.05889,2.83776,1.50965,0.00999996,0.00999996,0.00999996
8,498.233,0.98991,1.80091,1.36214,0.57765,0.77733,0.7274,0.48658,1.26826,2.68729,1.60581,0.00999995,0.00999995,0.00999995
9,559.134,0.98118,1.73104,1.35569,0.68228,0.85956,0.86922,0.66831,1.02363,2.15415,1.45201,0.00999994,0.00999994,0.00999994
10,621.238,0.95846,1.59398,1.35096,0.75524,0.78395,0.8703,0.68683,0.97278,1.68046,1.40435,0.00999992,0.00999992,0.00999992
11,682.115,0.90583,1.60159,1.28684,0.8846,0.82512,0.84183,0.67992,0.96899,2.16758,1.41014,0.0099999,0.0099999,0.0099999
12,742.42,0.92573,1.55385,1.32227,0.57157,0.825,0.71963,0.53025,1.00541,2.04525,1.3566,0.00999988,0.00999988,0.00999988
13,800.104,0.89289,1.51367,1.27893,0.81483,0.80036,0.82729,0.6301,0.98735,1.6438,1.46188,0.00999986,0.00999986,0.00999986
14,860.694,0.87813,1.46545,1.27079,0.74756,0.81019,0.83158,0.65848,0.94214,1.6374,1.38055,0.00999983,0.00999983,0.00999983
15,920.029,0.86321,1.47713,1.2665,0.80403,0.82988,0.85686,0.69124,0.96825,1.55074,1.40158,0.00999981,0.00999981,0.00999981
16,980.062,0.85656,1.39999,1.2536,0.74843,0.82378,0.82268,0.65025,0.92965,1.57162,1.38332,0.00999978,0.00999978,0.00999978
17,1035.56,0.85815,1.3674,1.26822,0.73513,0.85941,0.86538,0.70513,0.91239,1.46551,1.34301,0.00999975,0.00999975,0.00999975
18,1094.28,0.82977,1.32011,1.23326,0.76576,0.84545,0.82944,0.65795,0.96949,1.55422,1.50193,0.00999972,0.00999972,0.00999972
19,1155.18,0.80798,1.27516,1.23704,0.92367,0.83216,0.87563,0.70138,0.90792,1.42512,1.38863,0.00999968,0.00999968,0.00999968
20,1211.03,0.81521,1.26957,1.24193,0.90918,0.84012,0.86973,0.70281,0.94151,1.44542,1.40456,0.00999965,0.00999965,0.00999965
21,1268.56,0.80811,1.27712,1.23119,0.90392,0.80122,0.85161,0.69751,0.90965,1.42883,1.32269,0.00999961,0.00999961,0.00999961
22,1329.36,0.78867,1.24293,1.2202,0.9575,0.82506,0.90266,0.7309,0.90386,1.43827,1.35435,0.00999957,0.00999957,0.00999957
23,1385.17,0.79373,1.24328,1.25142,0.83262,0.85897,0.84797,0.68837,0.9162,1.34316,1.33824,0.00999953,0.00999953,0.00999953
24,1446.08,0.77166,1.21947,1.19907,0.93089,0.84118,0.88056,0.72524,0.90371,1.44136,1.34742,0.00999948,0.00999948,0.00999948
25,1506.75,0.78416,1.17576,1.20952,0.80561,0.85615,0.89462,0.74701,0.89145,1.30593,1.34599,0.00999944,0.00999944,0.00999944
26,1564.76,0.77088,1.18776,1.20647,0.85031,0.84399,0.89685,0.73049,0.93909,1.37803,1.36367,0.00999939,0.00999939,0.00999939
27,1627.43,0.73857,1.11733,1.18329,0.95148,0.81449,0.87973,0.71603,0.90127,1.35081,1.35683,0.00999934,0.00999934,0.00999934
28,1688.14,0.74605,1.15143,1.18054,0.89381,0.77988,0.86673,0.70755,0.91587,1.41911,1.33655,0.00999929,0.00999929,0.00999929
29,1743.66,0.75981,1.13566,1.19488,0.91669,0.75864,0.86208,0.67331,0.92222,1.33521,1.36494,0.00999923,0.00999923,0.00999923
30,1801.48,0.74327,1.14168,1.18953,0.86018,0.87561,0.90079,0.74053,0.86449,1.23645,1.29349,0.00999918,0.00999918,0.00999918
31,1861.63,0.73872,1.11652,1.18603,0.88236,0.80704,0.86365,0.69371,0.85497,1.27917,1.30266,0.00999912,0.00999912,0.00999912
32,1914.01,0.73288,1.11141,1.16289,0.87027,0.81512,0.8476,0.67566,0.95842,1.32724,1.40785,0.00999906,0.00999906,0.00999906
33,1975.85,0.7136,1.09722,1.16305,0.84576,0.79207,0.86903,0.69871,0.90222,1.32752,1.34631,0.009999,0.009999,0.009999
34,2037.07,0.73046,1.13532,1.18143,0.90408,0.77413,0.87106,0.70733,0.85584,1.36207,1.29893,0.00999894,0.00999894,0.00999894
35,2095.9,0.70629,1.0707,1.14979,0.87494,0.79254,0.84731,0.70113,0.83981,1.31257,1.2763,0.00999887,0.00999887,0.00999887
36,2156.05,0.69269,1.03663,1.14972,0.90779,0.80427,0.84943,0.68966,0.83284,1.29556,1.26252,0.0099988,0.0099988,0.0099988
37,2214.18,0.68713,1.04928,1.14528,0.74366,0.86512,0.84771,0.71133,0.8354,1.2902,1.28836,0.00999873,0.00999873,0.00999873
38,2276.62,0.69489,1.02642,1.15637,0.89846,0.81358,0.89583,0.7324,0.86344,1.17536,1.33863,0.00999866,0.00999866,0.00999866
39,2339.02,0.69052,1.01449,1.15377,0.91933,0.80312,0.87537,0.71031,0.83631,1.26978,1.2829,0.00999859,0.00999859,0.00999859
40,2400.74,0.67517,1.03986,1.12205,0.83957,0.90078,0.89709,0.73065,0.84802,1.23075,1.24889,0.00999851,0.00999851,0.00999851
41,2460.65,0.68414,1.0318,1.13627,0.8356,0.80489,0.88082,0.73103,0.84013,1.23068,1.31624,0.00999844,0.00999844,0.00999844
42,2524.6,0.68019,1.01869,1.13818,0.9078,0.86919,0.87179,0.73762,0.81514,1.20275,1.27637,0.00999836,0.00999836,0.00999836
43,2585.18,0.67497,0.99341,1.13724,0.91311,0.86166,0.88204,0.73302,0.83698,1.25158,1.22774,0.00999828,0.00999828,0.00999828
44,2641.71,0.6713,0.99463,1.11436,0.89225,0.80222,0.82238,0.68165,0.83588,1.33097,1.3106,0.00999819,0.00999819,0.00999819
45,2705.69,0.68157,0.99967,1.12783,0.91248,0.80773,0.87436,0.72969,0.83057,1.20769,1.27569,0.00999811,0.00999811,0.00999811
