epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5224,1.23267,6.8769,1.47616,0.59615,0.61829,0.72038,0.50916,1.06943,2.81118,1.17886,0.00329545,0.00329545,0.00329545
2,92.0581,1.01408,3.832,1.23055,0.64229,0.71249,0.66205,0.46862,1.18958,2.76964,1.26026,0.00662879,0.00662879,0.00662879
3,126.186,1.07791,2.90803,1.30141,0.38965,0.83643,0.61599,0.36554,1.34112,9.9013,1.59161,0.00996212,0.00996212,0.00996212
4,160.98,1.1727,2.54295,1.36257,0.41863,0.68151,0.66242,0.41513,1.58878,9.20726,1.8148,0.00999999,0.00999999,0.00999999
5,195.194,1.11004,2.16297,1.31201,0.64879,0.64914,0.69518,0.454,1.38669,4.19087,1.48471,0.00999998,0.00999998,0.00999998
6,229.548,1.10237,2.07478,1.30533,0.66246,0.70179,0.76736,0.55259,1.18722,2.40204,1.28886,0.00999998,0.00999998,0.00999998
7,262.677,1.04732,1.86745,1.2735,0.65586,0.70941,0.70748,0.46817,1.30066,2.32213,1.40837,0.00999996,0.00999996,0.00999996
8,297.053,1.04682,1.8273,1.28809,0.6375,0.82388,0.74334,0.52743,1.13139,2.08364,1.2086,0.00999995,0.00999995,0.00999995
9,331.708,1.00438,1.75399,1.24748,0.71005,0.78204,0.74686,0.50879,1.22349,2.44777,1.28991,0.00999994,0.00999994,0.00999994
10,366.607,1.01216,1.69,1.26184,0.65466,0.75751,0.77358,0.4858,1.39438,2.07574,1.39331,0.00999992,0.00999992,0.00999992
11,401.457,0.98149,1.63586,1.22524,0.68486,0.7203,0.72992,0.52558,1.15452,2.05995,1.30055,0.0099999,0.0099999,0.0099999
12,436.436,0.98585,1.61976,1.23058,0.55119,0.79436,0.78174,0.56746,1.10055,1.80219,1.23451,0.00999988,0.00999988,0.00999988
13,471.304,0.957,1.55149,1.2138,0.78131,0.75178,0.77897,0.58878,1.08386,1.67188,1.16672,0.00999986,0.00999986,0.00999986
14,506.584,0.94919,1.51623,1.21084,0.64114,0.77981,0.73552,0.50941,1.28351,1.94732,1.32105,0.00999983,0.00999983,0.00999983
15,540.061,0.95171,1.50678,1.20874,0.6079,0.78508,0.7666,0.56787,1.05653,1.64747,1.16745,0.00999981,0.00999981,0.00999981
16,574.954,0.95428,1.47376,1.21854,0.7272,0.77466,0.78799,0.55912,1.1275,1.60065,1.20268,0.00999978,0.00999978,0.00999978
17,609.539,0.93785,1.45141,1.20881,0.74798,0.73686,0.77878,0.56016,1.17648,1.6271,1.23254,0.00999975,0.00999975,0.00999975
18,644.36,0.92789,1.39966,1.19701,0.75739,0.79751,0.78333,0.58191,1.08654,1.51911,1.17464,0.00999972,0.00999972,0.00999972
19,679.023,0.90049,1.40812,1.18311,0.73576,0.76396,0.77521,0.55066,1.0942,1.57994,1.18563,0.00999968,0.00999968,0.00999968
