epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.938,1.2443,9.17343,1.46812,0.78622,0.75132,0.77862,0.44828,1.38198,3.11348,1.40343,0.00331691,0.00331691,0.00331691
2,194.175,1.15683,4.29781,1.36114,0.75799,0.74567,0.81962,0.56051,1.1415,2.59603,1.30377,0.00665021,0.00665021,0.00665021
3,276.391,1.24993,3.31445,1.42427,0.58655,0.72724,0.61833,0.40143,1.49973,14.7859,1.70193,0.00998338,0.00998338,0.00998338
4,359.356,1.35736,3.20261,1.52997,0.67032,0.75069,0.77259,0.4136,1.66483,4.85066,1.80774,0.00999955,0.00999955,0.00999955
5,442.359,1.27962,2.87585,1.45384,0.78861,0.82082,0.84702,0.55801,1.25275,2.83651,1.37285,0.0099992,0.0099992,0.0099992
6,525.428,1.21343,2.72194,1.42669,0.67626,0.81926,0.71269,0.50403,1.16915,2.67127,1.32995,0.00999875,0.00999875,0.00999875
7,607.551,1.17614,2.59427,1.37361,0.72804,0.87448,0.79927,0.57285,1.16743,2.14134,1.31111,0.00999821,0.00999821,0.00999821
8,689.066,1.14438,2.44314,1.35307,0.82429,0.82196,0.85306,0.62178,1.10595,1.97145,1.24447,0.00999756,0.00999756,0.00999756
9,770.935,1.10681,2.38581,1.31771,0.81069,0.8532,0.87197,0.62469,1.08466,1.88545,1.22847,0.00999681,0.00999681,0.00999681
10,853.265,1.1107,2.39467,1.32809,0.79378,0.83564,0.85712,0.61898,1.16491,1.81877,1.23015,0.00999596,0.00999596,0.00999596
11,935.654,1.10157,2.29018,1.31043,0.81388,0.88762,0.88428,0.65644,1.04247,1.84928,1.17116,0.00999502,0.00999502,0.00999502
