epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.234,1.48523,6.81805,1.70188,0.95711,0.3263,0.50883,0.28796,1.34947,4.64103,1.34562,0.00325758,0.00325758,0.00325758
2,56.4519,1.05242,3.72377,1.29423,0.76882,0.81979,0.86148,0.5709,1.26001,2.66715,1.29425,0.00659091,0.00659091,0.00659091
3,74.3901,1.04402,3.05573,1.29205,0.67605,0.91575,0.83875,0.46631,1.38005,5.81345,1.47338,0.00992424,0.00992424,0.00992424
4,92.5178,1.07821,2.60495,1.31217,0.43533,0.82462,0.61352,0.25616,1.94225,14.362,2.18981,0.00999999,0.00999999,0.00999999
5,110.524,1.09037,2.21067,1.3182,0.70904,0.89388,0.85663,0.54657,1.42181,7.49092,1.56002,0.00999998,0.00999998,0.00999998
6,128.357,1.06568,2.00987,1.31649,0.71764,0.75198,0.88763,0.49959,1.54269,3.6025,1.53817,0.00999998,0.00999998,0.00999998
7,146.189,1.04853,1.85662,1.27973,0.74916,0.81735,0.76926,0.43448,1.63455,2.46205,1.662,0.00999996,0.00999996,0.00999996
8,164.041,1.04072,1.77517,1.25736,0.84006,0.92351,0.93925,0.55927,1.47484,2.77411,1.48118,0.00999995,0.00999995,0.00999995
9,181.736,1.04309,1.78538,1.28475,0.83108,0.85171,0.89618,0.64563,1.22782,2.54356,1.27294,0.00999994,0.00999994,0.00999994
10,199.249,0.97747,1.62439,1.23462,0.85946,0.94388,0.93892,0.62876,1.33511,2.19913,1.33081,0.00999992,0.00999992,0.00999992
11,217.548,0.98104,1.60983,1.23628,0.79186,0.88265,0.90873,0.67027,1.17333,1.93713,1.23663,0.0099999,0.0099999,0.0099999
12,235.245,0.96461,1.52804,1.23225,0.65666,0.83301,0.89918,0.64808,1.1611,1.81305,1.21622,0.00999988,0.00999988,0.00999988
13,253.161,0.96946,1.50454,1.23701,0.86823,0.93878,0.95309,0.6563,1.2945,1.54771,1.23027,0.00999986,0.00999986,0.00999986
14,270.548,0.9299,1.48364,1.19633,0.86838,0.93279,0.94513,0.6906,1.14141,1.92027,1.17101,0.00999983,0.00999983,0.00999983
15,288.563,0.92049,1.41632,1.189,0.67738,0.85147,0.87181,0.57718,1.25953,2.22785,1.28213,0.00999981,0.00999981,0.00999981
16,306.629,0.93334,1.40957,1.19383,0.79591,0.85204,0.9287,0.64618,1.09304,1.83264,1.15806,0.00999978,0.00999978,0.00999978
17,324.888,0.94021,1.40728,1.1967,0.81929,0.9532,0.96425,0.73866,1.12657,1.56541,1.17136,0.00999975,0.00999975,0.00999975
18,342.758,0.89535,1.34075,1.17251,0.86464,0.90816,0.94515,0.67817,1.11673,1.37508,1.14146,0.00999972,0.00999972,0.00999972
19,360.691,0.885,1.32611,1.17636,0.91589,0.8628,0.94743,0.69447,1.07039,1.53382,1.12816,0.00999968,0.00999968,0.00999968
20,378.58,0.87184,1.34164,1.17291,0.87546,0.88878,0.94244,0.72982,1.01286,1.35469,1.07777,0.00999965,0.00999965,0.00999965
21,396.58,0.88132,1.34196,1.17344,0.83401,0.97449,0.93566,0.70601,1.09556,1.53317,1.12583,0.00999961,0.00999961,0.00999961
22,414.366,0.85337,1.26798,1.15645,0.79637,0.84854,0.85648,0.67071,1.00216,1.5173,1.08596,0.00999957,0.00999957,0.00999957
23,432.374,0.85479,1.26951,1.14845,0.90444,0.91577,0.94486,0.70382,1.17864,1.49626,1.14933,0.00999953,0.00999953,0.00999953
24,450.242,0.86593,1.3014,1.16742,0.83862,0.90408,0.92132,0.67425,1.05331,1.35273,1.11823,0.00999948,0.00999948,0.00999948
