epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0511,1.15253,7.29154,1.38891,0.85591,0.5602,0.67341,0.48722,0.96921,3.19336,1.14318,0.00329218,0.00329218,0.00329218
2,78.6913,1.03126,4.20597,1.24329,0.72811,0.72106,0.79978,0.54111,1.15723,2.54892,1.30338,0.00662551,0.00662551,0.00662551
3,111.008,1.11311,3.16285,1.30837,0.72638,0.55558,0.57853,0.34295,1.43963,13.0205,1.93686,0.00995884,0.00995884,0.00995884
4,143.655,1.19303,2.72119,1.35977,0.50681,0.67771,0.64642,0.41485,1.40424,6.89367,1.61747,0.00999999,0.00999999,0.00999999
5,175.658,1.15846,2.30175,1.32336,0.47986,0.71235,0.66572,0.44221,1.35316,6.1873,1.71309,0.00999998,0.00999998,0.00999998
6,207.843,1.11931,2.15952,1.29828,0.64065,0.7884,0.75209,0.49054,1.44246,5.32352,1.51462,0.00999998,0.00999998,0.00999998
7,239.763,1.11095,2.05696,1.27718,0.63444,0.68621,0.70213,0.50631,1.13583,2.16558,1.29124,0.00999996,0.00999996,0.00999996
8,271.4,1.08807,1.96053,1.28954,0.67972,0.75119,0.75708,0.56407,1.08343,1.89072,1.18766,0.00999995,0.00999995,0.00999995
9,303.367,1.05523,1.86521,1.26022,0.81815,0.68976,0.73714,0.51945,1.17834,2.30703,1.28143,0.00999994,0.00999994,0.00999994
10,335.52,1.06175,1.88558,1.28648,0.65452,0.61145,0.67959,0.48529,1.08699,2.62815,1.22959,0.00999992,0.00999992,0.00999992
11,367.165,1.03234,1.78111,1.23449,0.72847,0.78539,0.77335,0.58326,1.07621,1.98687,1.17393,0.0099999,0.0099999,0.0099999
12,399.316,0.99167,1.70597,1.21794,0.81166,0.68675,0.72231,0.54594,1.02093,1.6554,1.15956,0.00999988,0.00999988,0.00999988
13,432.497,1.00401,1.70473,1.23755,0.88913,0.6988,0.77621,0.61285,1.03796,1.67239,1.1627,0.00999986,0.00999986,0.00999986
14,464.066,0.99619,1.64974,1.20805,0.70763,0.71235,0.83357,0.65872,0.9815,1.57575,1.15778,0.00999983,0.00999983,0.00999983
