epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1099,1.06717,4.9574,1.78086,0.36868,0.36027,0.39573,0.29339,0.57623,2.03513,1.19174,0.00043487,0.00043487,0.00043487
2,30.2093,0.87204,3.4006,1.5223,0.865,0.39823,0.41605,0.31369,0.57396,1.92445,1.18969,0.000875893,0.000875893,0.000875893
3,34.7049,0.84659,3.2818,1.52149,0.8772,0.37021,0.40414,0.30898,0.56984,1.96153,1.18144,0.00131398,0.00131398,0.00131398
4,39.4029,0.84641,3.23652,1.51375,0.82636,0.38201,0.39298,0.29671,0.58229,2.32941,1.17997,0.00165046,0.00165046,0.00165046
5,43.8694,0.84838,3.23513,1.50836,0.87123,0.33628,0.38102,0.28168,0.62333,2.28385,1.26107,0.00164495,0.00164495,0.00164495
6,48.3283,0.83492,3.16799,1.48147,0.87872,0.37767,0.41596,0.31313,0.59176,1.98931,1.1974,0.00163944,0.00163944,0.00163944
7,52.7723,0.83337,3.04244,1.50519,0.85826,0.41382,0.41292,0.3082,0.6052,2.14725,1.20095,0.00163393,0.00163393,0.00163393
8,57.2466,0.79481,3.09215,1.47196,0.8484,0.38053,0.40469,0.28291,0.66491,2.0933,1.26334,0.00162841,0.00162841,0.00162841
9,61.6971,0.8266,3.03237,1.50541,0.85218,0.38643,0.4014,0.28991,0.63614,2.10773,1.24096,0.0016229,0.0016229,0.0016229
10,66.1552,0.77758,3.0218,1.42409,0.87708,0.37168,0.41894,0.31587,0.59212,2.03902,1.18942,0.00161739,0.00161739,0.00161739
11,70.5974,0.76997,3.01664,1.42472,0.87872,0.38689,0.42504,0.31869,0.58068,1.9,1.16655,0.00161188,0.00161188,0.00161188
12,75.1661,0.79622,3.08677,1.46239,0.85576,0.38791,0.41365,0.31384,0.56565,2.41664,1.16847,0.00160636,0.00160636,0.00160636
13,79.6629,0.74384,3.10373,1.39873,0.84424,0.4056,0.42012,0.31355,0.61211,2.06755,1.23032,0.00160085,0.00160085,0.00160085
14,84.2009,0.76211,2.74893,1.45621,0.86875,0.38125,0.41474,0.30827,0.59375,2.04997,1.21721,0.00159534,0.00159534,0.00159534
15,88.6528,0.74707,2.81685,1.39381,0.87258,0.40708,0.43608,0.32627,0.58681,1.98404,1.20406,0.00158983,0.00158983,0.00158983
16,93.1492,0.77273,2.76611,1.43754,0.87967,0.37758,0.42313,0.31674,0.59062,1.98756,1.19571,0.00158432,0.00158432,0.00158432
17,97.59,0.72027,2.87649,1.36557,0.86563,0.42773,0.43143,0.32451,0.59673,1.87323,1.17856,0.0015788,0.0015788,0.0015788
18,102.066,0.75437,2.75014,1.42273,0.86191,0.4056,0.4154,0.30648,0.62337,2.20985,1.21045,0.00157329,0.00157329,0.00157329
19,106.677,0.75412,2.86877,1.41608,0.87276,0.39823,0.43198,0.32005,0.59564,1.92116,1.18954,0.00156778,0.00156778,0.00156778
20,111.16,0.7406,2.72446,1.40691,0.85421,0.41003,0.42732,0.31676,0.61167,1.90776,1.22416,0.00156227,0.00156227,0.00156227
21,115.597,0.73831,2.71471,1.37396,0.87451,0.40413,0.44573,0.3379,0.57615,1.86473,1.16263,0.00155675,0.00155675,0.00155675
22,120.092,0.72187,2.66777,1.39603,0.86431,0.39971,0.41825,0.30765,0.5999,1.93239,1.21274,0.00155124,0.00155124,0.00155124
