epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9622,2.61917,4.06812,1.61413,0.02461,0.17241,0.01329,0.00314,3.84533,220.949,7.60159,0.062004,0.00261537,0.00261537
2,37.6867,2.65051,3.02107,1.62653,0.10554,0.34483,0.06094,0.01711,3.02961,564.37,2.21959,0.0235821,0.00524148,0.00524148
3,45.1289,2.62855,2.96774,1.58709,0.12656,0.23234,0.08386,0.01586,3.69646,69.861,2.32309,0.00639742,0.00639742,0.00639742
4,52.4225,2.50558,2.83329,1.50419,0.16845,0.38793,0.12649,0.03449,3.15934,4.94389,2.1453,0.00637612,0.00637612,0.00637612
5,59.9614,2.47665,2.90324,1.46695,0.3176,0.50862,0.35929,0.11983,2.6851,32.2408,1.70652,0.00635483,0.00635483,0.00635483
6,67.3263,2.43592,2.63277,1.42763,0.39113,0.4569,0.38931,0.1154,2.72702,24.7992,1.87997,0.00633354,0.00633354,0.00633354
7,74.7724,2.4537,2.614,1.46269,0.3653,0.44828,0.32137,0.10702,2.6105,4.12559,1.71574,0.00631225,0.00631225,0.00631225
8,82.001,2.4546,2.59081,1.4506,0.38128,0.52064,0.41127,0.13892,2.72306,5.25521,1.76127,0.00629096,0.00629096,0.00629096
9,89.2542,2.28232,2.37734,1.35353,0.39069,0.48276,0.44139,0.16583,2.51437,3.28836,1.61091,0.00626967,0.00626967,0.00626967
10,96.5975,2.31709,2.41277,1.35837,0.44038,0.52586,0.46502,0.15887,2.39253,3.23144,1.55766,0.00624837,0.00624837,0.00624837
11,103.993,2.30549,2.42269,1.38427,0.31391,0.40517,0.2686,0.08611,3.11229,3.61031,2.01062,0.00622708,0.00622708,0.00622708
12,111.239,2.32733,2.67743,1.39753,0.40804,0.43966,0.4146,0.14087,2.58633,16.2758,1.65882,0.00620579,0.00620579,0.00620579
13,118.5,2.1993,2.40907,1.31893,0.39165,0.53835,0.3467,0.12893,2.91658,2.06855,1.85664,0.0061845,0.0061845,0.0061845
14,125.798,2.21079,2.34588,1.33528,0.55454,0.57759,0.5094,0.19181,2.44958,4.6574,1.57974,0.00616321,0.00616321,0.00616321
15,133.21,2.19893,2.27425,1.31355,0.45606,0.52766,0.4937,0.197,2.26379,3.84942,1.55808,0.00614192,0.00614192,0.00614192
16,140.643,2.19069,2.29648,1.31439,0.51039,0.54821,0.58332,0.23195,2.36736,2.91981,1.51881,0.00612062,0.00612062,0.00612062
17,148.023,2.19209,2.23565,1.30234,0.39927,0.47414,0.41144,0.15136,2.68367,2.14898,1.7793,0.00609933,0.00609933,0.00609933
18,155.422,2.18575,2.24397,1.27565,0.55208,0.5,0.48307,0.19233,2.72358,2.24319,1.76818,0.00607804,0.00607804,0.00607804
19,162.906,2.18776,2.18826,1.28437,0.65518,0.46552,0.56616,0.24597,2.30394,2.82706,1.53537,0.00605675,0.00605675,0.00605675
20,170.465,2.14561,2.14454,1.28107,0.68815,0.50862,0.56727,0.24521,2.31901,2.02135,1.57273,0.00603546,0.00603546,0.00603546
