fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.54929,0.0062,0.00798,0.79057,0.00052,3.74767,0.72038,5.01947,1.25282,1.75702,0.01581,0.86485,0.20094,0.0,0.08305,0.75709,0.0,0.0,0.0,0.38881,0.0,0.91639,0.0,0.0,0.0,8
0.51007,0.00613,0.00608,0.89163,0.0006,4.19995,0.72038,5.01947,1.25282,1.75702,0.01921,0.86485,0.17901,0.0,0.06926,0.75709,0.0,0.0,0.0,0.46082,0.0,0.91639,0.0,0.0,0.0,8
0.55091,0.00555,0.00798,0.79057,0.00052,3.74767,0.72038,5.1194,1.25282,1.75702,0.01592,0.86485,0.20094,0.0,0.08305,0.75709,0.0,0.0,0.0,0.44488,0.0,0.70183,0.0,0.0,0.0,6
0.57211,0.00731,0.00798,0.90878,0.0004,4.03923,0.72038,5.1194,1.25282,1.75702,0.02027,0.9,0.20094,0.0,0.08305,0.75709,0.0,0.0,0.0,0.32064,0.0,0.87703,0.0,0.0,0.0,6
0.62762,0.00451,0.00614,0.9055,0.00045,4.07772,0.72038,4.22058,1.31016,1.29255,0.01929,0.89386,0.20094,0.0,0.08343,0.75709,0.0,0.0,0.0,0.30265,0.0,0.68457,0.0,0.0,0.0,7
0.48735,0.00502,0.00643,0.78981,0.00038,4.13128,0.72038,5.00171,1.30701,1.46365,0.01454,0.89359,0.12923,0.0,0.06263,0.61142,0.0,0.0,0.0,0.32484,0.0,0.81659,0.0,0.0,0.0,7
0.54296,0.00718,0.00862,0.86738,0.00052,4.02378,0.72038,5.05794,0.8082,2.10583,0.01901,0.9,0.20094,0.0,0.08305,0.89175,0.0,0.0,0.0,0.36921,0.0,0.81334,0.0,0.0,0.0,10
0.54988,0.00553,0.00921,0.77701,0.00049,3.63546,0.72038,3.32864,0.72396,2.34189,0.0177,0.9,0.18834,0.0,0.08341,0.75061,0.0,0.0,0.0,0.31895,0.0,1.0,0.0,0.0,0.0,10
0.5217,0.00435,0.00864,0.8111,0.00051,3.85903,0.72038,4.94181,1.12536,1.74413,0.01827,0.86061,0.1949,0.0,0.09128,0.75821,0.0,0.0,0.0,0.24988,0.0,0.901,0.0,0.0,0.0,9
0.51954,0.00569,0.00761,0.84576,0.00041,3.73088,0.59342,5.89699,1.18655,1.71043,0.02089,0.9,0.17972,0.0,0.08081,0.86189,0.0,0.0,0.0,0.27642,0.0,0.66107,0.0,0.0,0.0,8
