epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1808,1.0565,4.98747,1.45011,0.72285,0.89317,0.75822,0.59422,0.84315,4.63108,1.27176,0.00329457,0.00329457,0.00329457
2,145.241,0.93285,2.14764,1.23914,0.63068,0.85727,0.77978,0.55873,1.00038,13.2756,1.50151,0.00662791,0.00662791,0.00662791
3,208.754,1.00468,2.26554,1.32889,0.45489,0.81673,0.45219,0.30491,1.194,41.2299,2.41515,0.00996124,0.00996124,0.00996124
4,267.288,1.14008,2.64964,1.43101,0.85227,0.478,0.69575,0.46219,1.19572,19.6685,1.77143,0.00999999,0.00999999,0.00999999
5,328.108,1.08375,2.12663,1.40746,0.42767,0.87087,0.80636,0.54242,1.18633,9.56658,1.76803,0.00999998,0.00999998,0.00999998
6,388.804,1.02215,1.91418,1.36792,0.76521,0.74349,0.79931,0.57869,1.19317,3.70692,1.53795,0.00999998,0.00999998,0.00999998
7,450.262,0.96649,1.8196,1.31642,0.76034,0.74667,0.816,0.61561,1.08795,2.32351,1.52191,0.00999996,0.00999996,0.00999996
8,511.595,0.9501,1.71317,1.30276,0.80392,0.63822,0.84183,0.63275,1.02552,2.11097,1.5107,0.00999995,0.00999995,0.00999995
9,572.155,0.93473,1.6226,1.28498,0.8131,0.79098,0.85153,0.64533,1.05969,1.72416,1.43082,0.00999994,0.00999994,0.00999994
10,635.637,0.90918,1.55565,1.27185,0.79236,0.84221,0.85282,0.62751,1.01782,1.71859,1.48149,0.00999992,0.00999992,0.00999992
11,695.908,0.88828,1.46544,1.26642,0.80686,0.8107,0.79723,0.62463,0.94359,2.07635,1.32891,0.0099999,0.0099999,0.0099999
12,757.51,0.895,1.49554,1.24888,0.87866,0.83953,0.88481,0.69022,0.92755,1.49887,1.3295,0.00999988,0.00999988,0.00999988
13,814.981,0.84836,1.41538,1.23325,0.7448,0.76346,0.85637,0.66084,0.92919,1.70946,1.37255,0.00999986,0.00999986,0.00999986
14,876.123,0.83977,1.39051,1.23227,0.84412,0.87476,0.87505,0.68687,0.95918,1.55092,1.36237,0.00999983,0.00999983,0.00999983
15,937.26,0.81291,1.3615,1.21104,0.84272,0.80744,0.85908,0.68834,0.90709,1.48157,1.33562,0.00999981,0.00999981,0.00999981
16,997.822,0.81202,1.33273,1.22878,0.77471,0.79472,0.84328,0.65777,0.97562,1.56782,1.40753,0.00999978,0.00999978,0.00999978
17,1054.87,0.81641,1.30774,1.21406,0.82421,0.82365,0.86631,0.68543,0.95805,1.47023,1.41792,0.00999975,0.00999975,0.00999975
18,1116.12,0.80095,1.29183,1.21011,0.83975,0.84221,0.87366,0.68411,0.94958,1.48283,1.39402,0.00999972,0.00999972,0.00999972
19,1174.32,0.77618,1.27421,1.19702,0.80909,0.90359,0.90625,0.69684,0.87351,1.33362,1.39008,0.00999968,0.00999968,0.00999968
20,1233.86,0.76476,1.23266,1.19144,0.83067,0.83475,0.85706,0.65857,0.90139,1.39374,1.31979,0.00999965,0.00999965,0.00999965
21,1295.43,0.75773,1.22427,1.1802,0.80544,0.80055,0.88014,0.70573,0.89702,1.44583,1.3314,0.00999961,0.00999961,0.00999961
22,1356.8,0.76136,1.1939,1.1725,0.87191,0.87745,0.87964,0.68811,0.89873,1.40033,1.31883,0.00999957,0.00999957,0.00999957
