epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5405,1.23059,7.2502,1.44508,0.92495,0.37038,0.7366,0.47951,1.16292,4.12222,1.25137,0.00328283,0.00328283,0.00328283
2,73.192,0.97507,4.02091,1.23204,0.50535,0.68135,0.60895,0.3585,1.61871,3.53133,1.57838,0.00661616,0.00661616,0.00661616
3,99.5972,1.01803,3.03628,1.25644,0.49379,0.78138,0.67823,0.48814,1.19816,16.5843,1.42857,0.00994949,0.00994949,0.00994949
4,126.409,1.08714,2.53847,1.32024,0.61484,0.64575,0.73306,0.46075,1.55346,5.04083,1.88512,0.00999999,0.00999999,0.00999999
5,153.456,1.08849,2.20018,1.33367,0.63922,0.77571,0.73978,0.47085,1.50452,5.59375,1.71102,0.00999998,0.00999998,0.00999998
6,179.767,1.0476,1.99031,1.30568,0.63586,0.7915,0.72075,0.45325,1.33021,5.46604,1.47421,0.00999998,0.00999998,0.00999998
7,206.314,1.01389,1.88602,1.27006,0.65892,0.81878,0.7775,0.56244,1.16309,3.25853,1.3991,0.00999996,0.00999996,0.00999996
8,232.825,1.00369,1.78195,1.28241,0.79351,0.73036,0.80902,0.55712,1.21282,2.08113,1.34177,0.00999995,0.00999995,0.00999995
9,259.32,0.98338,1.6987,1.24081,0.77184,0.79038,0.84772,0.57499,1.26917,2.70886,1.36193,0.00999994,0.00999994,0.00999994
10,286.187,0.98567,1.69838,1.25891,0.73025,0.82996,0.80896,0.53906,1.34714,2.44312,1.48743,0.00999992,0.00999992,0.00999992
11,312.797,0.94405,1.56419,1.21719,0.84706,0.77462,0.82178,0.55186,1.20934,2.24775,1.30187,0.0099999,0.0099999,0.0099999
12,339.474,0.9301,1.50444,1.21737,0.80324,0.81774,0.79831,0.59489,1.09172,2.06565,1.21373,0.00999988,0.00999988,0.00999988
13,366.53,0.92719,1.47599,1.22076,0.72907,0.79586,0.78307,0.57408,1.12296,1.96218,1.21235,0.00999986,0.00999986,0.00999986
14,392.786,0.92564,1.5317,1.20377,0.81026,0.74259,0.84317,0.62392,1.1086,2.20627,1.24495,0.00999983,0.00999983,0.00999983
15,419.703,0.89302,1.46859,1.18669,0.70018,0.82395,0.78909,0.56415,1.13042,1.95937,1.22065,0.00999981,0.00999981,0.00999981
