epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2551,1.36214,1.48395,1.40391,0.39733,0.38043,0.40109,0.26793,1.0854,0.76503,1.19763,0.00326241,0.00326241,0.00326241
2,61.3021,1.29517,1.32132,1.36168,0.8824,0.39565,0.40836,0.28103,1.05559,0.7487,1.17603,0.00659574,0.00659574,0.00659574
3,80.2692,1.24299,1.24276,1.31529,0.91177,0.39566,0.4317,0.29735,1.06589,0.72642,1.17809,0.00992907,0.00992907,0.00992907
4,99.5161,1.21882,1.21088,1.31842,0.87316,0.37609,0.42083,0.28783,1.01639,0.8241,1.15931,0.00999999,0.00999999,0.00999999
5,118.731,1.23896,1.23506,1.31367,0.88211,0.40869,0.43173,0.29382,1.03994,0.73193,1.15474,0.00999998,0.00999998,0.00999998
6,137.495,1.20868,1.24397,1.28015,0.90283,0.42391,0.4399,0.30241,1.02298,0.71956,1.16271,0.00999998,0.00999998,0.00999998
7,156.305,1.22795,1.21922,1.3021,0.8655,0.42535,0.45254,0.32021,1.02854,0.75689,1.13884,0.00999996,0.00999996,0.00999996
8,174.823,1.20437,1.20499,1.28973,0.89049,0.4031,0.43536,0.30092,1.0521,0.77147,1.15509,0.00999995,0.00999995,0.00999995
9,194.341,1.2087,1.18585,1.30642,0.88214,0.41585,0.42986,0.29503,1.04448,0.76411,1.15504,0.00999994,0.00999994,0.00999994
10,213.521,1.18062,1.17076,1.27688,0.87918,0.40935,0.43279,0.29686,1.04601,0.75588,1.15673,0.00999992,0.00999992,0.00999992
11,232.817,1.20173,1.18839,1.28491,0.86693,0.4196,0.43017,0.30884,0.97651,0.724,1.11685,0.0099999,0.0099999,0.0099999
12,251.675,1.17799,1.16423,1.28128,0.90547,0.4087,0.43958,0.30733,0.98677,0.6942,1.09886,0.00999988,0.00999988,0.00999988
13,270.939,1.17926,1.16168,1.27087,0.89668,0.42826,0.44425,0.31282,1.02066,0.66644,1.15542,0.00999986,0.00999986,0.00999986
14,289.944,1.18621,1.16226,1.27875,0.9037,0.4192,0.44614,0.31229,1.03377,0.69927,1.14776,0.00999983,0.00999983,0.00999983
15,309.724,1.16795,1.13636,1.25745,0.90544,0.41087,0.43726,0.30939,1.03496,0.70096,1.16812,0.00999981,0.00999981,0.00999981
16,328.986,1.16049,1.15401,1.25377,0.88498,0.42174,0.43359,0.30757,1.02339,0.72651,1.14069,0.00999978,0.00999978,0.00999978
17,348.139,1.13395,1.12365,1.25542,0.88626,0.42083,0.43801,0.30439,1.01698,0.70639,1.14674,0.00999975,0.00999975,0.00999975
