epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1555,1.29673,1.59332,1.39152,0.39329,0.48305,0.46763,0.3692,0.8641,0.78826,1.08621,0.00328638,0.00328638,0.00328638
2,69.292,1.26359,1.65058,1.34407,0.44232,0.45763,0.46732,0.33638,0.97197,0.76619,1.13002,0.00661972,0.00661972,0.00661972
3,95.5334,1.19414,1.39495,1.30149,0.46333,0.44915,0.48118,0.35415,0.91657,0.68733,1.10418,0.00995305,0.00995305,0.00995305
4,120.034,1.29516,1.49842,1.3656,0.44296,0.4661,0.46666,0.31235,1.11065,0.82596,1.20753,0.00999999,0.00999999,0.00999999
5,145.223,1.32836,1.5414,1.37987,0.95719,0.45261,0.47133,0.32839,0.981,0.75587,1.153,0.00999998,0.00999998,0.00999998
6,169.722,1.24601,1.47543,1.33847,0.95751,0.45631,0.5119,0.37959,0.97468,0.74146,1.12102,0.00999998,0.00999998,0.00999998
7,195.611,1.32012,1.55965,1.38017,0.94357,0.46634,0.46794,0.3135,1.09684,0.82262,1.21926,0.00999996,0.00999996,0.00999996
8,221.277,1.30047,1.41556,1.3563,0.94352,0.44915,0.47178,0.3394,0.97401,0.75278,1.13852,0.00999995,0.00999995,0.00999995
9,246.966,1.22784,1.39869,1.29909,0.92906,0.47458,0.49767,0.37161,0.9986,0.89105,1.17946,0.00999994,0.00999994,0.00999994
10,272.479,1.2615,1.436,1.32043,0.94861,0.47458,0.49798,0.35914,1.01626,0.71393,1.15051,0.00999992,0.00999992,0.00999992
11,297.978,1.30668,1.49541,1.36081,0.94862,0.4661,0.46809,0.33436,0.97081,0.7208,1.16107,0.0099999,0.0099999,0.0099999
12,323.974,1.32299,1.43275,1.36855,0.92902,0.461,0.47243,0.3427,0.95257,0.77067,1.11155,0.00999988,0.00999988,0.00999988
13,349.95,1.22632,1.39081,1.31469,0.96578,0.46151,0.47484,0.31249,1.14419,0.77542,1.23713,0.00999986,0.00999986,0.00999986
14,375.981,1.28292,1.38182,1.33542,0.92395,0.47247,0.46945,0.32232,1.1487,0.80376,1.23627,0.00999983,0.00999983,0.00999983
15,401.469,1.22992,1.30881,1.29747,0.94519,0.4661,0.49356,0.36745,0.98463,0.7366,1.13803,0.00999981,0.00999981,0.00999981
16,427.366,1.2489,1.3549,1.30844,0.95996,0.45763,0.48376,0.36136,0.93951,0.71605,1.13588,0.00999978,0.00999978,0.00999978
17,453.486,1.23284,1.35225,1.32028,0.9453,0.48305,0.52356,0.39837,0.89696,0.73605,1.12712,0.00999975,0.00999975,0.00999975
18,478.619,1.27088,1.3736,1.35071,0.95366,0.44915,0.50279,0.36086,0.9656,0.92651,1.18196,0.00999972,0.00999972,0.00999972
19,504.232,1.20815,1.28539,1.28415,0.9549,0.45763,0.50674,0.36575,1.02756,0.73317,1.17744,0.00999968,0.00999968,0.00999968
20,529.933,1.18738,1.24407,1.29329,0.96602,0.48305,0.5388,0.41774,0.90317,0.69223,1.11758,0.00999965,0.00999965,0.00999965
21,554.803,1.2168,1.42897,1.30437,0.93767,0.47604,0.51499,0.39223,0.91513,0.77447,1.09565,0.00999961,0.00999961,0.00999961
22,579.421,1.23036,1.3719,1.32606,0.95138,0.48305,0.51636,0.38329,0.92894,0.68483,1.11497,0.00999957,0.00999957,0.00999957
23,604.644,1.18482,1.33558,1.27255,0.95016,0.4593,0.64999,0.47646,0.90588,0.69507,1.09731,0.00999953,0.00999953,0.00999953
24,629.084,1.21527,1.35577,1.30996,0.93136,0.47935,0.54314,0.4153,0.87835,0.70761,1.09018,0.00999948,0.00999948,0.00999948
25,654.097,1.18665,1.35246,1.29854,0.95748,0.4559,0.56192,0.41657,0.92314,0.69495,1.09539,0.00999944,0.00999944,0.00999944
26,679.273,1.24124,1.35631,1.30393,0.94861,0.4661,0.51336,0.38895,0.86929,0.71748,1.09485,0.00999939,0.00999939,0.00999939
27,703.485,1.19771,1.33573,1.29962,0.91752,0.47458,0.53896,0.41149,0.89586,0.70958,1.07794,0.00999934,0.00999934,0.00999934
28,728.11,1.17418,1.27264,1.27382,0.96655,0.47288,0.51461,0.37805,0.97816,0.69373,1.13859,0.00999929,0.00999929,0.00999929
29,752.433,1.17161,1.29647,1.28645,0.96655,0.47458,0.49629,0.36803,0.97547,0.70023,1.14651,0.00999923,0.00999923,0.00999923
30,777.047,1.20988,1.32528,1.30507,0.93162,0.48305,0.49203,0.36573,0.9123,0.67576,1.11129,0.00999918,0.00999918,0.00999918
31,801.999,1.18193,1.37298,1.27283,0.9376,0.47548,0.48405,0.34921,0.94248,0.69833,1.10934,0.00999912,0.00999912,0.00999912
32,826.527,1.1517,1.19525,1.24883,0.96533,0.4661,0.47524,0.34623,0.89587,0.71392,1.10347,0.00999906,0.00999906,0.00999906
