epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1602,1.33714,10.1944,1.51765,0.49748,0.75103,0.66617,0.3856,1.23653,3.02509,1.30129,0.00330729,0.00330729,0.00330729
2,133.527,1.23419,5.42772,1.35428,0.64335,0.56616,0.57289,0.24071,1.77321,3.11886,1.65408,0.00664059,0.00664059,0.00664059
3,194.765,1.39349,3.74571,1.45057,0.42058,0.56038,0.52893,0.25642,1.67409,5.74483,2.0519,0.00997376,0.00997376,0.00997376
4,255.616,1.54906,3.34372,1.53934,0.7089,0.40793,0.55611,0.30203,1.55913,11.2821,1.73544,0.00999955,0.00999955,0.00999955
5,308.043,1.46965,3.0304,1.4966,0.6999,0.59158,0.61044,0.38064,1.40873,4.5123,1.47151,0.0099992,0.0099992,0.0099992
6,359.817,1.41593,2.8616,1.46954,0.53163,0.82744,0.65118,0.36602,1.53028,2.32228,1.46739,0.00999875,0.00999875,0.00999875
7,411.806,1.36067,2.63179,1.43251,0.62929,0.81195,0.75009,0.44607,1.46481,3.03715,1.41845,0.00999821,0.00999821,0.00999821
8,463.612,1.31186,2.55264,1.38458,0.62075,0.74049,0.68961,0.40751,1.46967,2.36565,1.42903,0.00999756,0.00999756,0.00999756
9,515.682,1.24189,2.35543,1.32368,0.7516,0.72894,0.78409,0.53196,1.28224,1.79199,1.32176,0.00999681,0.00999681,0.00999681
10,568.213,1.27185,2.39909,1.35223,0.72639,0.75824,0.79398,0.54798,1.18438,1.80752,1.21894,0.00999596,0.00999596,0.00999596
11,620.069,1.2209,2.31623,1.32743,0.66773,0.81768,0.77304,0.51314,1.17804,1.77345,1.17707,0.00999502,0.00999502,0.00999502
12,671.561,1.21911,2.31938,1.31907,0.62376,0.799,0.75682,0.5378,1.1275,1.81181,1.18774,0.00999397,0.00999397,0.00999397
13,723.539,1.18081,2.23102,1.29319,0.72342,0.84036,0.81399,0.57996,1.12803,1.69419,1.18327,0.00999282,0.00999282,0.00999282
14,774.415,1.16881,2.12498,1.27544,0.70909,0.86685,0.7997,0.59443,1.06006,1.5721,1.14535,0.00999158,0.00999158,0.00999158
15,824.796,1.14085,2.05373,1.27388,0.73996,0.81084,0.8281,0.57446,1.13408,1.57498,1.16928,0.00999023,0.00999023,0.00999023
16,871.278,1.14716,2.11298,1.27372,0.77054,0.83216,0.7981,0.56952,1.14935,1.55807,1.21559,0.00998879,0.00998879,0.00998879
17,917.749,1.12403,1.98215,1.25991,0.66536,0.83402,0.79952,0.5785,1.06392,1.63062,1.12732,0.00998724,0.00998724,0.00998724
18,969.71,1.10649,2.43127,1.24884,0.83825,0.82629,0.84752,0.61908,1.01793,1.56987,1.10755,0.0099856,0.0099856,0.0099856
19,1021.28,1.09495,2.00137,1.2456,0.69999,0.77505,0.72338,0.49929,1.07385,1.6451,1.13402,0.00998386,0.00998386,0.00998386
20,1073.23,1.08354,1.95872,1.23265,0.68589,0.87006,0.83652,0.56709,1.23945,1.6695,1.21782,0.00998201,0.00998201,0.00998201
21,1124.8,1.06926,1.87537,1.24691,0.665,0.76277,0.78291,0.55974,1.04632,1.59554,1.14182,0.00998007,0.00998007,0.00998007
22,1176.32,1.09396,1.86858,1.24108,0.72437,0.82162,0.84723,0.61982,1.04448,1.45202,1.12156,0.00997803,0.00997803,0.00997803
23,1227.92,1.06987,1.92455,1.22512,0.75787,0.90101,0.83723,0.61894,1.12536,1.46688,1.1671,0.00997589,0.00997589,0.00997589
24,1279.73,1.07219,1.86103,1.2348,0.72018,0.75768,0.79337,0.58671,1.04905,1.51954,1.11983,0.00997365,0.00997365,0.00997365
25,1331.51,1.06797,1.84834,1.22702,0.77609,0.89036,0.84226,0.66528,0.98183,1.54227,1.07168,0.00997131,0.00997131,0.00997131
26,1383.38,1.05817,1.83998,1.21213,0.66834,0.79585,0.76063,0.58729,0.92605,1.61384,1.06542,0.00996888,0.00996888,0.00996888
27,1435.13,1.03295,1.75488,1.19666,0.72012,0.9083,0.80329,0.60332,0.99042,1.49665,1.0933,0.00996634,0.00996634,0.00996634
