epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8536,1.08331,7.0288,1.3362,0.78835,0.83344,0.84559,0.61797,0.97155,2.92496,1.15263,0.00330789,0.00330789,0.00330789
2,126.409,0.97377,3.83294,1.21678,0.87355,0.83604,0.88667,0.69312,0.88048,2.02198,1.11571,0.00664122,0.00664122,0.00664122
3,180.963,1.0505,2.84724,1.26451,0.72952,0.77905,0.77882,0.51546,1.27442,7.71755,1.67066,0.00997455,0.00997455,0.00997455
4,235.595,1.15027,2.61483,1.33084,0.7702,0.81482,0.84134,0.58485,1.12562,3.77204,1.3888,0.00999999,0.00999999,0.00999999
5,289.553,1.09802,2.28218,1.30067,0.84883,0.89183,0.90172,0.6353,1.05974,2.48514,1.2427,0.00999998,0.00999998,0.00999998
6,345.593,1.07157,2.13278,1.28898,0.80719,0.84005,0.88244,0.66024,0.99357,2.44746,1.1939,0.00999998,0.00999998,0.00999998
7,400.346,1.00984,2.03182,1.25231,0.85017,0.85343,0.90973,0.69218,0.92354,1.89477,1.13612,0.00999996,0.00999996,0.00999996
8,455.115,0.99586,1.94056,1.23509,0.83619,0.90567,0.91755,0.69795,0.94372,1.71321,1.15822,0.00999995,0.00999995,0.00999995
9,509.924,0.96179,1.87196,1.2123,0.85308,0.87029,0.91566,0.71597,0.87858,1.59051,1.09667,0.00999994,0.00999994,0.00999994
10,562.909,0.93226,1.79278,1.19891,0.87443,0.83919,0.90458,0.71509,0.88339,1.53007,1.09443,0.00999992,0.00999992,0.00999992
11,617.042,0.92178,1.71326,1.18925,0.83393,0.93774,0.93224,0.72465,0.8975,1.49842,1.10001,0.0099999,0.0099999,0.0099999
12,671.611,0.91587,1.71458,1.17871,0.8361,0.87721,0.91883,0.73151,0.86361,1.48819,1.06436,0.00999988,0.00999988,0.00999988
13,725.872,0.8826,1.6311,1.15235,0.86368,0.91102,0.92325,0.74149,0.81214,1.38712,1.05739,0.00999986,0.00999986,0.00999986
14,778.989,0.88111,1.64426,1.16731,0.89473,0.89701,0.92988,0.76963,0.80046,1.34525,1.03626,0.00999983,0.00999983,0.00999983
15,833.358,0.8964,1.64484,1.17234,0.88532,0.91268,0.93068,0.74688,0.84009,1.36622,1.0648,0.00999981,0.00999981,0.00999981
16,886.808,0.84695,1.53972,1.13686,0.90104,0.87214,0.93268,0.77326,0.76441,1.31497,1.00833,0.00999978,0.00999978,0.00999978
17,939.948,0.8515,1.55026,1.13688,0.88817,0.94947,0.94387,0.75712,0.81468,1.32926,1.03403,0.00999975,0.00999975,0.00999975
18,993.384,0.85047,1.52238,1.14093,0.90454,0.91225,0.93498,0.77718,0.78169,1.29746,1.01957,0.00999972,0.00999972,0.00999972
19,1048.55,0.8385,1.50743,1.12349,0.88895,0.91989,0.93832,0.77179,0.78087,1.25733,1.01153,0.00999968,0.00999968,0.00999968
20,1103.21,0.81843,1.51349,1.11842,0.90099,0.91314,0.93373,0.76567,0.8017,1.24983,1.0389,0.00999965,0.00999965,0.00999965
21,1157.59,0.83068,1.51118,1.13064,0.89242,0.88941,0.92123,0.75916,0.76169,1.34387,1.01998,0.00999961,0.00999961,0.00999961
22,1211.77,0.79109,1.41151,1.10544,0.85323,0.92298,0.87475,0.72903,0.75698,1.26862,1.00378,0.00999957,0.00999957,0.00999957
23,1267.61,0.81086,1.48149,1.11971,0.8774,0.89826,0.94176,0.7783,0.76391,1.26946,1.02778,0.00999953,0.00999953,0.00999953
24,1322.76,0.80562,1.43399,1.11294,0.89192,0.90567,0.93607,0.77672,0.72886,1.21865,1.01136,0.00999948,0.00999948,0.00999948
25,1376.96,0.78679,1.43601,1.0941,0.86854,0.89999,0.93031,0.77073,0.74978,1.25571,1.01873,0.00999944,0.00999944,0.00999944
26,1430.73,0.78918,1.41344,1.10113,0.91948,0.93234,0.95158,0.80182,0.7256,1.12601,0.98217,0.00999939,0.00999939,0.00999939
27,1485.91,0.78478,1.37551,1.08932,0.88177,0.91113,0.9401,0.76977,0.79359,1.2946,1.01667,0.00999934,0.00999934,0.00999934
28,1540.36,0.77658,1.37995,1.08933,0.89159,0.9406,0.93882,0.79483,0.73289,1.13388,1.00567,0.00999929,0.00999929,0.00999929
29,1594.43,0.75425,1.37011,1.07545,0.86656,0.91713,0.93469,0.78722,0.72552,1.21959,0.98493,0.00999923,0.00999923,0.00999923
30,1648.1,0.77716,1.35417,1.09671,0.90428,0.94006,0.93549,0.78611,0.73678,1.14778,0.98224,0.00999918,0.00999918,0.00999918
31,1701.41,0.77168,1.37997,1.08252,0.89283,0.91284,0.93017,0.77967,0.73575,1.19841,0.99025,0.00999912,0.00999912,0.00999912
32,1755.14,0.74185,1.33405,1.06777,0.91011,0.9209,0.94568,0.79291,0.74623,1.13426,0.98683,0.00999906,0.00999906,0.00999906
33,1810.14,0.76049,1.31109,1.07307,0.90518,0.92201,0.94935,0.79864,0.71982,1.19477,0.98082,0.009999,0.009999,0.009999
34,1864.6,0.75553,1.34333,1.07575,0.88209,0.92794,0.93506,0.78976,0.70985,1.17513,0.97582,0.00999894,0.00999894,0.00999894
