Fold,Holdout,Train_mAP50-95,Train_mAP50,Train_Precision,Train_Recall,Val_mAP50-95,Val_mAP50,Val_Precision,Val_Recall,Test_mAP50-95,Test_mAP50,Test_Precision,Test_Recall,Test_Recall_Atypisch,Test_Recall_Normal,Val_Recall_Atypisch,Val_Recall_Normal
1,P1,0.9290897690164304,0.993323948984763,0.9854141834966436,0.9923975897301907,0.8491738430141955,0.9793960620200257,0.9347692363567375,0.9474056745385194,0.4756320379399049,0.5754099856053665,0.7610508196769823,0.5751318806314374,0.8645494755485891,0.2857142857142857,0.9224137931034483,0.9723975559735906
2,P10,0.9208514588131564,0.9916193252637842,0.9863713829965179,0.9723868588568882,0.8305186677855645,0.9425334765265023,0.9019471779787243,0.9382539682539682,0.8674524388144274,0.952531328320802,0.8582529784353576,1.0,1.0,1.0,0.9365079365079365,0.94
3,P11,0.9709153588663109,0.995,0.999891431116942,1.0,0.8663420450698741,0.9475863486937361,0.8848552010273538,0.933936963974339,0.7991796548173753,0.9194555921052632,0.9579158785487518,0.8029131953394988,0.8823529411764706,0.7234734495025271,0.9153439153439153,0.9525300126047627
4,P12,0.9613519843928892,0.995,0.9990512135819354,0.999231555661974,0.8657488921755452,0.9606948775295758,0.9544673436093677,0.9472003317467753,0.8528433953300218,0.9486920020654088,0.93262368777919,0.9756376295112191,0.9512752590224383,1.0,0.9288834221142402,0.9655172413793104
5,P13,0.932905105621602,0.9943403490330944,0.9895672816216385,0.9815842764157341,0.8262029806971294,0.9365227474913729,0.9060430795728212,0.9212063355342857,0.8244642857142855,0.8764285714285713,0.8571428571428571,1.0,1.0,,0.9243798841833253,0.9180327868852459
6,P14,0.9371954254611679,0.994611519484156,0.9945749622698062,0.9792143850706112,0.8259794769175807,0.9414120198029134,0.9043277079125599,0.9603321057202219,0.8732385,0.995,0.9114816606556589,0.9897278015152211,0.9794556030304422,1.0,0.9593023255813954,0.9613618858590485
7,P15,0.9247110589501976,0.9917142873894397,0.9899357017412873,0.9759970860169664,0.8193086715737147,0.9329212609232453,0.8919663920445726,0.9330397637935022,0.8907043210004568,0.9732115008647266,0.9385811262631725,0.940942846269788,0.9387538594827198,0.943131833056856,0.9503559831420247,0.9157235444449797
8,P2,0.9267569493173932,0.9940489016989055,0.9905353287359238,0.9764222355231985,0.7747839297438773,0.8989224572773175,0.8659079578065558,0.9328523862375139,0.8099030609174939,0.926423858243994,0.8550399253086634,0.9118402495438575,0.9682539682539683,0.8554265308337466,0.9245283018867925,0.9411764705882353
9,P3,0.971358029946854,0.995,0.9994552473532192,1.0,0.8750099476820822,0.9582739188995327,0.9391376126836937,0.949808914837033,0.680970775651624,0.8187363048252438,0.8408015641615982,0.8343108450379744,0.8686216900759487,0.8,0.9585798816568047,0.9410379480172611
10,P4,0.8939694808616135,0.979831135123196,0.9756505077444613,0.9603839267533094,0.8512940251754342,0.9617342923367649,0.9407332066143899,0.9532533866311348,0.7710370319746401,0.9287805176642612,0.8392783131345567,0.9561736105469656,0.9123472210939313,1.0,0.9240506329113924,0.9824561403508771
11,P5,0.9649529726132811,0.9949918166939443,0.9971696588566847,1.0,0.8801679461438129,0.9579999142886078,0.8895001172363883,0.9471048712448679,0.5909137403846156,0.6715900000000001,0.6831563601766358,0.6309523809523809,0.3333333333333333,0.9285714285714286,0.9431818181818182,0.9510279243079175
12,P6,0.929186150795956,0.9943075893630003,0.9798536690056803,0.9909947292328358,0.8435537118858571,0.9451092223486041,0.9221823399640889,0.9310139756170086,0.94525,0.995,0.9850293864182043,1.0,1.0,1.0,0.9298245614035088,0.9322033898305084
13,P7,0.9173130407729723,0.9910002420398872,0.9852977229472607,0.9708805796813178,0.8243169188344928,0.9349759946264524,0.907445746288918,0.9543306440682803,0.8706230540293038,0.995,0.9486898862160333,1.0,1.0,1.0,0.9443755738508463,0.9642857142857143
14,P8,0.8759697324797744,0.9919353557069803,0.9867944452305074,0.9660552657392545,0.8049947420873389,0.9391495158215173,0.9074332244811036,0.9477799284202493,0.7492168803418802,0.8706349206349204,0.7283663605962694,0.9307939582362504,1.0,0.8615879164725009,0.9244186046511628,0.9711412521893358
15,P9,0.9341012094892358,0.9941850471899061,0.9947908406587185,0.979310467515833,0.8274203475786944,0.9467687365134843,0.9012319644212097,0.9214015151515151,0.7310368497729997,0.8023469524232069,0.8540351279339442,0.8442476862002835,0.7417498102703893,0.9467455621301775,0.9034090909090909,0.9393939393939394
