epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3288,1.21193,7.24302,1.4398,0.74501,0.73132,0.79493,0.58003,1.05089,2.72258,1.16743,0.00330789,0.00330789,0.00330789
2,133.036,1.03085,3.86194,1.26741,0.81826,0.82164,0.84385,0.6338,0.98947,3.78653,1.19496,0.00664122,0.00664122,0.00664122
3,189.635,1.09736,2.86465,1.32693,0.54817,0.77366,0.73706,0.38715,1.50801,10.2681,1.83388,0.00997455,0.00997455,0.00997455
4,244.771,1.21018,2.63953,1.39767,0.75265,0.82554,0.81226,0.56356,1.20432,4.60357,1.37908,0.00999999,0.00999999,0.00999999
5,300.842,1.1301,2.35672,1.34634,0.78771,0.86586,0.86092,0.59807,1.23831,4.26166,1.38742,0.00999998,0.00999998,0.00999998
6,357.317,1.11241,2.14509,1.33541,0.69341,0.80706,0.82857,0.57153,1.20519,3.01065,1.31707,0.00999998,0.00999998,0.00999998
7,411.689,1.05431,2.05236,1.2944,0.81807,0.81431,0.86964,0.62621,1.07827,2.79392,1.20361,0.00999996,0.00999996,0.00999996
8,464.177,1.06572,1.99396,1.30569,0.8057,0.81806,0.85533,0.59694,1.15642,1.81509,1.25241,0.00999995,0.00999995,0.00999995
9,517.866,1.03529,1.95628,1.28564,0.72582,0.84733,0.81555,0.60784,1.0509,2.06817,1.18627,0.00999994,0.00999994,0.00999994
10,572.315,0.99331,1.85343,1.25905,0.76687,0.85831,0.83625,0.65406,0.92603,1.74656,1.11848,0.00999992,0.00999992,0.00999992
11,626.755,0.99633,1.79199,1.25412,0.76941,0.88299,0.84434,0.61926,1.03916,1.93398,1.17337,0.0099999,0.0099999,0.0099999
12,680.668,0.95911,1.75111,1.23907,0.771,0.9054,0.81957,0.64843,0.97775,1.66673,1.11656,0.00999988,0.00999988,0.00999988
13,734.89,0.94471,1.69698,1.22336,0.74155,0.89061,0.86018,0.66515,0.98363,1.636,1.16007,0.00999986,0.00999986,0.00999986
14,789.147,0.94221,1.63573,1.20613,0.79028,0.85659,0.87206,0.6208,1.12058,1.8824,1.20645,0.00999983,0.00999983,0.00999983
15,843.702,0.94316,1.65148,1.20901,0.83167,0.87801,0.87697,0.65887,1.04035,1.62101,1.15345,0.00999981,0.00999981,0.00999981
16,897.74,0.94905,1.61733,1.21545,0.80946,0.86893,0.87319,0.6618,1.03491,1.67659,1.15794,0.00999978,0.00999978,0.00999978
17,951.405,0.89907,1.57977,1.17566,0.808,0.89182,0.88466,0.70245,0.91031,1.51815,1.10171,0.00999975,0.00999975,0.00999975
18,1004.69,0.89595,1.58181,1.18243,0.8239,0.86918,0.86649,0.67784,0.93889,1.67188,1.12124,0.00999972,0.00999972,0.00999972
19,1055.98,0.8884,1.55448,1.17538,0.80742,0.88389,0.87706,0.68302,0.9817,1.6188,1.1176,0.00999968,0.00999968,0.00999968
20,1110.8,0.87989,1.50529,1.16869,0.8681,0.84293,0.8763,0.70388,0.89473,1.51339,1.08546,0.00999965,0.00999965,0.00999965
21,1163.98,0.88665,1.54675,1.16247,0.83999,0.87742,0.88082,0.68809,0.93459,1.52434,1.10873,0.00999961,0.00999961,0.00999961
22,1216.96,0.88654,1.47603,1.17176,0.76797,0.92857,0.88808,0.71136,0.9035,1.48389,1.08847,0.00999957,0.00999957,0.00999957
23,1269.62,0.87175,1.48465,1.16502,0.81821,0.86714,0.89347,0.71854,0.89908,1.53718,1.07896,0.00999953,0.00999953,0.00999953
24,1322.58,0.85736,1.47767,1.16269,0.80242,0.92327,0.88733,0.68716,0.9627,1.69593,1.10284,0.00999948,0.00999948,0.00999948
25,1375.61,0.85298,1.45444,1.16245,0.83494,0.87633,0.87903,0.70933,0.91212,1.44442,1.08422,0.00999944,0.00999944,0.00999944
26,1429.56,0.87051,1.43385,1.16405,0.81048,0.89271,0.89564,0.72607,0.88023,1.45764,1.06118,0.00999939,0.00999939,0.00999939
27,1482.37,0.8429,1.39705,1.1436,0.85218,0.80891,0.8911,0.70971,0.88942,1.47088,1.06234,0.00999934,0.00999934,0.00999934
28,1535.68,0.83665,1.40754,1.13959,0.82026,0.86304,0.87302,0.68242,0.95502,1.67516,1.10566,0.00999929,0.00999929,0.00999929
29,1588.01,0.83666,1.39873,1.13172,0.81836,0.84656,0.86644,0.70522,0.863,1.5021,1.04687,0.00999923,0.00999923,0.00999923
30,1641,0.82743,1.4035,1.13615,0.80113,0.89857,0.89428,0.72301,0.92191,1.43499,1.07692,0.00999918,0.00999918,0.00999918
31,1694.89,0.81816,1.40031,1.1339,0.81307,0.88831,0.87595,0.72565,0.83194,1.4246,1.03108,0.00999912,0.00999912,0.00999912
32,1747.56,0.81428,1.37237,1.12611,0.77462,0.9133,0.88983,0.7211,0.889,1.41639,1.05418,0.00999906,0.00999906,0.00999906
33,1800.55,0.83107,1.3886,1.13632,0.82091,0.86215,0.88777,0.71343,0.87241,1.38461,1.03606,0.009999,0.009999,0.009999
34,1853.81,0.81837,1.33493,1.13646,0.83104,0.89242,0.89888,0.72258,0.8786,1.38594,1.05839,0.00999894,0.00999894,0.00999894
35,1907.73,0.81206,1.33987,1.11922,0.81567,0.90654,0.89345,0.73897,0.85605,1.39994,1.0545,0.00999887,0.00999887,0.00999887
36,1961.02,0.81329,1.35952,1.13362,0.8477,0.87449,0.88769,0.71847,0.91139,1.3953,1.07039,0.0099988,0.0099988,0.0099988
37,2014.09,0.81721,1.3725,1.1236,0.83653,0.89056,0.89879,0.72351,0.91429,1.42307,1.0614,0.00999873,0.00999873,0.00999873
