epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.868,1.30587,10.7231,1.52639,0.7317,0.79913,0.77253,0.50375,1.12184,3.90272,1.26058,0.00331512,0.00331512,0.00331512
2,227.501,1.17283,4.82724,1.37709,0.71042,0.77832,0.75346,0.49532,1.13883,4.52007,1.31937,0.00664845,0.00664845,0.00664845
3,327.171,1.33529,3.72834,1.49161,0.54125,0.60796,0.64041,0.32729,1.61928,9.28638,1.81949,0.00998178,0.00998178,0.00998178
4,428.173,1.44436,3.76652,1.60074,0.50361,0.82092,0.64318,0.42459,1.2477,5.00101,1.52604,0.00999999,0.00999999,0.00999999
5,527.806,1.37757,3.31654,1.56536,0.72955,0.78853,0.75949,0.43924,1.39941,3.0046,1.56858,0.00999998,0.00999998,0.00999998
6,627.732,1.30798,3.08105,1.50149,0.81059,0.85997,0.8244,0.56306,1.1838,2.42494,1.30194,0.00999998,0.00999998,0.00999998
7,727.551,1.27254,2.97737,1.45634,0.66907,0.70597,0.6888,0.50447,1.06808,3.14172,1.35248,0.00999996,0.00999996,0.00999996
8,826.049,1.2019,2.71871,1.42015,0.70948,0.8647,0.81428,0.57446,1.15628,2.30536,1.3071,0.00999995,0.00999995,0.00999995
9,925.937,1.20082,2.68551,1.40948,0.75047,0.90953,0.83135,0.58784,1.11388,1.88326,1.25407,0.00999994,0.00999994,0.00999994
10,1024.92,1.17214,2.61517,1.39282,0.77026,0.8567,0.83325,0.58957,1.10933,1.90289,1.26695,0.00999992,0.00999992,0.00999992
11,1124.35,1.12919,2.50717,1.35695,0.8187,0.85839,0.84584,0.59585,1.09345,1.89101,1.25435,0.0099999,0.0099999,0.0099999
12,1224,1.13111,2.50536,1.35419,0.82616,0.83429,0.85406,0.63609,0.98846,1.91206,1.15388,0.00999988,0.00999988,0.00999988
13,1324.41,1.11365,2.47228,1.33506,0.82442,0.86002,0.85421,0.59912,1.1447,1.88034,1.25657,0.00999986,0.00999986,0.00999986
14,1423.78,1.07123,2.38664,1.30809,0.83238,0.86671,0.85152,0.60001,1.12192,1.68232,1.21631,0.00999983,0.00999983,0.00999983
15,1523.61,1.08559,2.34607,1.30822,0.80664,0.90847,0.84139,0.62666,0.96663,1.93383,1.13089,0.00999981,0.00999981,0.00999981
16,1623.55,1.06074,2.38838,1.29725,0.80638,0.92038,0.84814,0.58157,1.12198,1.66306,1.25989,0.00999978,0.00999978,0.00999978
17,1722.7,1.07313,2.37246,1.31391,0.76163,0.87731,0.78568,0.59734,0.95896,1.7982,1.16219,0.00999975,0.00999975,0.00999975
18,1822.43,1.04057,2.29414,1.30515,0.79748,0.90534,0.84647,0.64246,0.94997,1.66305,1.15076,0.00999972,0.00999972,0.00999972
19,1921.83,1.04702,2.17145,1.28042,0.81063,0.90809,0.88044,0.66822,0.90303,1.57032,1.10515,0.00999968,0.00999968,0.00999968
20,2022.15,1.05437,2.30804,1.27642,0.80387,0.87369,0.81127,0.63577,0.8919,1.6013,1.12029,0.00999965,0.00999965,0.00999965
21,2122.2,1.04077,2.21627,1.28364,0.8196,0.90438,0.85408,0.65019,0.90593,1.56869,1.11486,0.00999961,0.00999961,0.00999961
22,2221.73,1.00243,2.14737,1.24499,0.79274,0.90714,0.84737,0.62312,0.99739,1.5567,1.15209,0.00999957,0.00999957,0.00999957
23,2321.62,1.02693,2.18993,1.26848,0.77851,0.91808,0.86828,0.66308,0.94202,1.5671,1.11694,0.00999953,0.00999953,0.00999953
24,2421.22,1.02169,2.19391,1.26786,0.84677,0.86034,0.85748,0.65252,0.97205,1.61292,1.12196,0.00999948,0.00999948,0.00999948
25,2521.01,0.98791,2.13477,1.25574,0.82231,0.8967,0.85619,0.66559,0.91319,1.55841,1.1036,0.00999944,0.00999944,0.00999944
26,2621.1,1.00901,2.20279,1.25944,0.81069,0.85888,0.83693,0.64219,0.93458,1.91279,1.09035,0.00999939,0.00999939,0.00999939
27,2720.07,1.01881,2.13887,1.26327,0.80491,0.90341,0.87355,0.68673,0.8895,1.4742,1.09174,0.00999934,0.00999934,0.00999934
28,2820.36,1.00835,2.06607,1.25987,0.80739,0.90504,0.86936,0.6808,0.91258,1.59468,1.09916,0.00999929,0.00999929,0.00999929
29,2921.78,0.98947,2.12008,1.24725,0.83602,0.84681,0.85025,0.64036,0.9604,1.61324,1.1635,0.00999923,0.00999923,0.00999923
30,3021.17,0.99375,2.10727,1.25656,0.83461,0.88654,0.87769,0.66474,0.93528,1.55495,1.1116,0.00999918,0.00999918,0.00999918
31,3121.53,0.98212,2.10993,1.2387,0.77536,0.92614,0.85508,0.66016,0.8914,1.52781,1.08878,0.00999912,0.00999912,0.00999912
32,3221.56,0.95752,2.00883,1.22273,0.8429,0.87021,0.86958,0.65951,0.90915,1.40706,1.09032,0.00999906,0.00999906,0.00999906
33,3321.31,0.94605,2.04577,1.22533,0.79843,0.91716,0.86746,0.68724,0.80473,1.41794,1.04074,0.009999,0.009999,0.009999
34,3420.5,0.93992,1.93705,1.20303,0.80451,0.8618,0.86882,0.66804,0.92544,1.54476,1.10395,0.00999894,0.00999894,0.00999894
35,3520.19,0.97086,2.00698,1.22732,0.82645,0.89466,0.87369,0.69544,0.83529,1.45806,1.06031,0.00999887,0.00999887,0.00999887
36,3619.41,0.95105,2.03951,1.23762,0.81219,0.92731,0.8638,0.6655,0.89844,1.47843,1.09039,0.0099988,0.0099988,0.0099988
37,3718.64,0.95462,2.00782,1.22531,0.81312,0.89222,0.8769,0.68933,0.8531,1.5474,1.05944,0.00999873,0.00999873,0.00999873
38,3818.13,0.95239,1.94563,1.22336,0.7988,0.86554,0.86088,0.68131,0.86707,1.45795,1.09907,0.00999866,0.00999866,0.00999866
39,3918.18,0.91259,1.9485,1.19277,0.79509,0.91712,0.86807,0.66118,0.91771,1.49558,1.10018,0.00999859,0.00999859,0.00999859
40,4017.77,0.9122,1.92523,1.18,0.84838,0.85228,0.88068,0.68966,0.86709,1.4877,1.06758,0.00999851,0.00999851,0.00999851
41,4116.48,0.95342,1.95735,1.21387,0.81555,0.86773,0.86579,0.69586,0.86197,1.54884,1.08219,0.00999844,0.00999844,0.00999844
42,4216.31,0.94196,1.93448,1.22002,0.82946,0.85838,0.85064,0.68339,0.84024,1.44931,1.06248,0.00999836,0.00999836,0.00999836
43,4315.99,0.93178,1.83743,1.20204,0.81086,0.89619,0.88066,0.70812,0.81873,1.4311,1.05357,0.00999828,0.00999828,0.00999828
44,4415.89,0.92137,1.86535,1.20466,0.80818,0.9005,0.86688,0.7041,0.81216,1.44376,1.05661,0.00999819,0.00999819,0.00999819
45,4515.23,0.93719,1.99399,1.20652,0.82961,0.86633,0.86437,0.6906,0.83063,1.50067,1.05071,0.00999811,0.00999811,0.00999811
46,4614.59,0.94244,1.87136,1.20959,0.81321,0.92689,0.87523,0.68121,0.86832,1.42363,1.06107,0.00999802,0.00999802,0.00999802
47,4713.57,0.93237,1.8573,1.21234,0.80994,0.86022,0.86213,0.70409,0.79342,1.46535,1.04175,0.00999793,0.00999793,0.00999793
48,4813.03,0.90367,1.87392,1.19454,0.81266,0.89105,0.86831,0.70265,0.80051,1.44519,1.06795,0.00999784,0.00999784,0.00999784
49,4911.86,0.92647,1.81555,1.19845,0.80558,0.89395,0.87952,0.71576,0.78495,1.3924,1.03439,0.00999775,0.00999775,0.00999775
50,5011.47,0.90787,1.85627,1.18273,0.81889,0.89549,0.86905,0.70378,0.79974,1.45909,1.04512,0.00999765,0.00999765,0.00999765
51,5110.78,0.91912,1.8815,1.20744,0.81299,0.88997,0.86963,0.69311,0.84837,1.46006,1.05859,0.00999756,0.00999756,0.00999756
52,5209.72,0.89488,1.80665,1.17487,0.83878,0.89583,0.87061,0.70614,0.85129,1.51946,1.06643,0.00999746,0.00999746,0.00999746
53,5308.77,0.90717,1.8245,1.18476,0.79893,0.90796,0.86638,0.70281,0.79748,1.49412,1.03406,0.00999736,0.00999736,0.00999736
54,5408.22,0.89707,1.85016,1.1787,0.82694,0.86769,0.87017,0.70524,0.81066,1.40184,1.04219,0.00999726,0.00999726,0.00999726
55,5508.16,0.88401,1.79008,1.16914,0.79362,0.91621,0.87044,0.70401,0.79951,1.3765,1.03102,0.00999715,0.00999715,0.00999715
56,5607.64,0.89953,1.81863,1.18224,0.83576,0.84324,0.86021,0.69068,0.82178,1.40441,1.04533,0.00999704,0.00999704,0.00999704
57,5707.01,0.8804,1.7048,1.16347,0.8306,0.88622,0.87748,0.70986,0.78741,1.40944,1.02575,0.00999694,0.00999694,0.00999694
58,5807.56,0.88391,1.794,1.16596,0.83868,0.88738,0.87271,0.72416,0.73893,1.38995,0.996,0.00999683,0.00999683,0.00999683
59,5906.16,0.88614,1.7342,1.17399,0.8014,0.88892,0.86909,0.72333,0.73777,1.38458,0.99909,0.00999671,0.00999671,0.00999671
60,6005.4,0.86566,1.7503,1.17254,0.81992,0.9076,0.86055,0.70148,0.78957,1.39749,1.0195,0.0099966,0.0099966,0.0099966
61,6103.63,0.8863,1.78195,1.18425,0.7995,0.89356,0.86436,0.71695,0.75915,1.47931,1.01279,0.00999648,0.00999648,0.00999648
62,6202.45,0.91593,1.85422,1.19818,0.83918,0.85612,0.86913,0.70997,0.77326,1.37875,1.01336,0.00999636,0.00999636,0.00999636
63,6301.2,0.87043,1.77133,1.16154,0.85698,0.87081,0.88389,0.74159,0.73978,1.34467,1.0115,0.00999624,0.00999624,0.00999624
