epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.685,1.27288,9.07518,1.47388,0.71383,0.73331,0.72347,0.548,0.98978,3.07666,1.21057,0.00331675,0.00331675,0.00331675
2,436.204,1.16956,4.22019,1.35824,0.73037,0.80714,0.83891,0.59018,1.1277,4.16016,1.32058,0.00665008,0.00665008,0.00665008
3,519.292,1.31497,3.32741,1.44518,0.55649,0.64945,0.68016,0.39266,1.66727,7.6573,1.87242,0.00998341,0.00998341,0.00998341
4,602.684,1.40039,3.19449,1.49038,0.68519,0.82075,0.7848,0.48638,1.45792,4.10363,1.56269,0.00999999,0.00999999,0.00999999
5,684.506,1.30628,2.92557,1.42897,0.78543,0.74275,0.80643,0.52537,1.33661,3.83489,1.43423,0.00999998,0.00999998,0.00999998
6,766.475,1.22618,2.68278,1.39268,0.77133,0.87018,0.85923,0.58585,1.27534,2.08993,1.3347,0.00999998,0.00999998,0.00999998
7,847.507,1.17721,2.51335,1.36725,0.74839,0.86647,0.84995,0.6228,1.09777,2.07952,1.26263,0.00999996,0.00999996,0.00999996
8,928.86,1.17375,2.41642,1.36061,0.82869,0.85041,0.87801,0.61552,1.14519,2.10921,1.24774,0.00999995,0.00999995,0.00999995
9,1011.1,1.14125,2.39013,1.32953,0.77823,0.8328,0.84085,0.62182,1.03488,1.92091,1.17581,0.00999994,0.00999994,0.00999994
10,1091.19,1.10749,2.27953,1.30383,0.7882,0.83665,0.85188,0.61777,1.14107,1.93854,1.2525,0.00999992,0.00999992,0.00999992
11,1171.74,1.09634,2.26006,1.30918,0.81773,0.83383,0.85897,0.64943,1.0237,1.69559,1.18488,0.0099999,0.0099999,0.0099999
12,1254.25,1.09506,2.19943,1.3041,0.84764,0.85213,0.88274,0.62108,1.21021,1.7922,1.26973,0.00999988,0.00999988,0.00999988
13,1335.66,1.07917,2.13702,1.28534,0.80422,0.87545,0.87497,0.63319,1.11893,1.74893,1.22286,0.00999986,0.00999986,0.00999986
14,1417.05,1.02276,2.02736,1.24387,0.82795,0.82091,0.87091,0.68259,0.95295,1.83519,1.12338,0.00999983,0.00999983,0.00999983
15,1498.06,1.04219,2.1042,1.26858,0.87082,0.83404,0.87674,0.67861,0.92298,1.64955,1.12418,0.00999981,0.00999981,0.00999981
16,1579.85,1.02266,2.07075,1.2449,0.83455,0.81291,0.86686,0.6569,1.01132,1.74609,1.17113,0.00999978,0.00999978,0.00999978
17,1660.9,1.03092,1.98361,1.23887,0.82765,0.86224,0.8913,0.69284,0.99359,1.5873,1.14183,0.00999975,0.00999975,0.00999975
18,1742.42,0.98725,1.96065,1.23068,0.83745,0.8514,0.87868,0.69084,0.94131,1.54737,1.10741,0.00999972,0.00999972,0.00999972
19,1823.43,0.98839,1.96323,1.23033,0.84928,0.85389,0.894,0.67208,1.07033,1.58477,1.19009,0.00999968,0.00999968,0.00999968
20,1904.77,0.96984,1.90794,1.20562,0.83785,0.88581,0.89185,0.69775,0.89818,1.54364,1.10535,0.00999965,0.00999965,0.00999965
21,1986.14,0.98616,1.89944,1.21549,0.88846,0.79999,0.88523,0.67557,1.04034,1.60833,1.15478,0.00999961,0.00999961,0.00999961
22,2066.52,0.97822,1.93288,1.2132,0.83328,0.83009,0.88416,0.69813,0.94219,1.59551,1.12745,0.00999957,0.00999957,0.00999957
23,2148.39,0.94334,1.80765,1.19389,0.83316,0.84739,0.89136,0.7096,0.9362,1.59363,1.12271,0.00999953,0.00999953,0.00999953
24,2229.96,0.96977,1.86817,1.22768,0.86105,0.86431,0.88978,0.66401,0.98871,1.65912,1.14255,0.00999948,0.00999948,0.00999948
25,2310.81,0.96812,1.89648,1.2187,0.88306,0.86755,0.89324,0.68644,1.00508,1.58078,1.15825,0.00999944,0.00999944,0.00999944
26,2390.73,0.93139,1.83658,1.19007,0.86587,0.84624,0.88761,0.68622,0.97353,1.48949,1.12666,0.00999939,0.00999939,0.00999939
27,2471.07,0.9498,1.85498,1.19997,0.85659,0.8412,0.89482,0.71048,0.90361,1.51949,1.08863,0.00999934,0.00999934,0.00999934
28,2551.34,0.95368,1.82961,1.20214,0.84291,0.83914,0.87245,0.64597,1.08769,1.49927,1.18475,0.00999929,0.00999929,0.00999929
29,2631.82,0.94201,1.82027,1.20109,0.85904,0.8597,0.89837,0.69113,0.95194,1.52749,1.12279,0.00999923,0.00999923,0.00999923
30,2713.33,0.92349,1.78425,1.19501,0.86493,0.87545,0.89165,0.70214,0.95846,1.53807,1.1397,0.00999918,0.00999918,0.00999918
31,2794.8,0.9145,1.79158,1.17856,0.8314,0.85889,0.87635,0.68905,0.94994,1.60545,1.12508,0.00999912,0.00999912,0.00999912
32,2876.28,0.92891,1.80235,1.19119,0.84641,0.86759,0.90784,0.71782,0.92884,1.47871,1.12608,0.00999906,0.00999906,0.00999906
33,2958.1,0.91805,1.75035,1.18032,0.85082,0.87076,0.90553,0.72809,0.93458,1.48139,1.11076,0.009999,0.009999,0.009999
34,3040.86,0.92055,1.78641,1.18303,0.8459,0.89112,0.90669,0.71753,0.89479,1.51128,1.08984,0.00999894,0.00999894,0.00999894
35,3122.26,0.92522,1.72307,1.18398,0.81215,0.88272,0.88395,0.70897,0.92541,1.55826,1.10691,0.00999887,0.00999887,0.00999887
36,3203.32,0.92323,1.76019,1.18096,0.88382,0.82857,0.8981,0.71178,0.88984,1.48366,1.07462,0.0099988,0.0099988,0.0099988
37,3283.96,0.92008,1.74138,1.18225,0.87787,0.85368,0.90186,0.73957,0.85506,1.38101,1.0768,0.00999873,0.00999873,0.00999873
38,3364.59,0.89836,1.72855,1.15812,0.8214,0.86429,0.885,0.7154,0.90076,1.54689,1.08326,0.00999866,0.00999866,0.00999866
39,3449.31,0.90315,1.72789,1.17047,0.88706,0.84165,0.89223,0.71562,0.87223,1.38749,1.07181,0.00999859,0.00999859,0.00999859
40,3537.18,0.89084,1.6756,1.16446,0.86227,0.88832,0.89843,0.70936,0.89747,1.38258,1.07779,0.00999851,0.00999851,0.00999851
41,3623.78,0.89321,1.69407,1.16496,0.82957,0.89016,0.89684,0.72278,0.86763,1.49915,1.06068,0.00999844,0.00999844,0.00999844
42,3709.37,0.8861,1.66962,1.16739,0.87018,0.86674,0.89298,0.72009,0.86835,1.49612,1.07942,0.00999836,0.00999836,0.00999836
43,3794.21,0.89986,1.63909,1.16543,0.82623,0.89651,0.89842,0.72544,0.86567,1.53339,1.07582,0.00999828,0.00999828,0.00999828
44,3878.48,0.89278,1.60865,1.16464,0.8088,0.90245,0.89743,0.71976,0.90484,1.45218,1.08648,0.00999819,0.00999819,0.00999819
45,3963.02,0.88468,1.62861,1.15401,0.86122,0.88771,0.90512,0.73963,0.84243,1.37101,1.04486,0.00999811,0.00999811,0.00999811
46,4046.42,0.89496,1.62708,1.16374,0.84804,0.8915,0.91348,0.72751,0.88523,1.40378,1.07396,0.00999802,0.00999802,0.00999802
47,4129.79,0.86696,1.61024,1.14966,0.88874,0.86218,0.91006,0.7267,0.83162,1.39796,1.05221,0.00999793,0.00999793,0.00999793
48,4214.07,0.87204,1.60763,1.15063,0.83496,0.87935,0.90441,0.74414,0.79669,1.38166,1.02686,0.00999784,0.00999784,0.00999784
49,4298.77,0.87191,1.61641,1.1521,0.83146,0.89933,0.89781,0.72518,0.89471,1.4132,1.07711,0.00999775,0.00999775,0.00999775
50,4383.94,0.87617,1.60761,1.15241,0.86767,0.8597,0.90304,0.73104,0.82284,1.42489,1.0405,0.00999765,0.00999765,0.00999765
51,4469.5,0.87737,1.60657,1.14697,0.85268,0.88727,0.9044,0.73695,0.85596,1.37306,1.0534,0.00999756,0.00999756,0.00999756
52,4553.93,0.88379,1.6063,1.15351,0.87762,0.83604,0.91169,0.7435,0.85321,1.35389,1.04642,0.00999746,0.00999746,0.00999746
53,4638.35,0.86792,1.58939,1.14458,0.85502,0.88406,0.91569,0.76042,0.83653,1.34182,1.059,0.00999736,0.00999736,0.00999736
54,4721.3,0.86273,1.59889,1.14073,0.87707,0.89087,0.91225,0.74156,0.83152,1.298,1.04307,0.00999726,0.00999726,0.00999726
55,4804.55,0.868,1.55533,1.14847,0.88611,0.87273,0.90323,0.74914,0.81862,1.31976,1.04417,0.00999715,0.00999715,0.00999715
