epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2806,1.23559,9.88038,1.44762,0.70335,0.80898,0.80866,0.56194,1.02353,2.65431,1.18337,0.00331263,0.00331263,0.00331263
2,151.74,1.0816,4.53639,1.28285,0.82633,0.80889,0.90431,0.63453,1.0357,5.03077,1.2049,0.00664593,0.00664593,0.00664593
3,212.98,1.20009,3.24423,1.3553,0.64241,0.90429,0.78185,0.4623,1.44149,10.5763,1.76791,0.0099791,0.0099791,0.0099791
4,274.165,1.36235,3.08371,1.46935,0.59042,0.70129,0.6075,0.33111,1.80131,9.9716,2.19389,0.00999955,0.00999955,0.00999955
5,336.454,1.26397,2.7798,1.40948,0.76405,0.83274,0.86578,0.60004,1.07092,2.42309,1.23353,0.0099992,0.0099992,0.0099992
6,399.01,1.20236,2.54937,1.36213,0.80839,0.8725,0.90315,0.64889,1.02397,2.17999,1.23129,0.00999875,0.00999875,0.00999875
7,461.804,1.12796,2.34062,1.31339,0.85195,0.89453,0.92104,0.59544,1.23011,2.17521,1.3119,0.00999821,0.00999821,0.00999821
8,523.965,1.09216,2.23277,1.32164,0.90806,0.92182,0.95027,0.66063,1.05007,1.52047,1.21242,0.00999756,0.00999756,0.00999756
9,585.809,1.09339,2.14832,1.29745,0.88707,0.90834,0.94759,0.67515,0.96956,1.77197,1.13943,0.00999681,0.00999681,0.00999681
10,648.127,1.03718,2.10943,1.2683,0.87693,0.88098,0.93332,0.66393,1.0332,1.78437,1.17015,0.00999596,0.00999596,0.00999596
11,710.359,1.00794,2.02959,1.24517,0.876,0.95796,0.94366,0.72586,0.86926,1.39172,1.07356,0.00999502,0.00999502,0.00999502
12,772.519,1.01705,2.01782,1.25506,0.89431,0.93655,0.93836,0.65499,1.16909,1.36542,1.25596,0.00999397,0.00999397,0.00999397
13,834.007,0.99986,1.95627,1.24522,0.88674,0.95032,0.95565,0.6644,1.0995,1.33816,1.23362,0.00999282,0.00999282,0.00999282
14,895.285,0.96354,1.86842,1.19818,0.89525,0.93733,0.96157,0.68114,1.02643,1.36573,1.16459,0.00999158,0.00999158,0.00999158
15,955.842,0.9744,1.84387,1.21282,0.90723,0.91232,0.95531,0.68574,1.06114,1.38862,1.17479,0.00999023,0.00999023,0.00999023
16,1016.42,0.94243,1.84015,1.1984,0.89752,0.92787,0.9449,0.74826,0.87949,1.28576,1.07382,0.00998879,0.00998879,0.00998879
17,1077.11,0.94909,1.8224,1.20327,0.89439,0.92996,0.94297,0.70733,0.94914,1.31959,1.10623,0.00998724,0.00998724,0.00998724
18,1138.99,0.95093,1.85521,1.21413,0.93032,0.93371,0.96852,0.73624,0.86276,1.19791,1.06028,0.0099856,0.0099856,0.0099856
19,1200.58,0.92632,1.7314,1.18915,0.89855,0.93183,0.95468,0.73219,0.88416,1.24468,1.08304,0.00998386,0.00998386,0.00998386
20,1262.13,0.92623,1.73925,1.18423,0.93494,0.93627,0.97323,0.74308,0.88239,1.14238,1.07266,0.00998201,0.00998201,0.00998201
21,1323.57,0.91452,1.76135,1.18374,0.87788,0.93996,0.94712,0.71717,0.8997,1.315,1.08157,0.00998007,0.00998007,0.00998007
22,1384.76,0.92553,1.72227,1.18188,0.89988,0.94882,0.9626,0.7339,0.89659,1.14744,1.0701,0.00997803,0.00997803,0.00997803
23,1446.28,0.91658,1.70872,1.18041,0.9163,0.89501,0.95132,0.73269,0.84329,1.26016,1.05818,0.00997589,0.00997589,0.00997589
24,1507.34,0.88003,1.63581,1.15943,0.89278,0.93077,0.96663,0.78313,0.7689,1.18593,1.00279,0.00997365,0.00997365,0.00997365
25,1568.27,0.91209,1.66899,1.17383,0.86196,0.93326,0.95778,0.75388,0.82497,1.28663,1.04291,0.00997131,0.00997131,0.00997131
26,1629.58,0.88784,1.60156,1.16451,0.90604,0.9261,0.95614,0.74293,0.85029,1.1977,1.05132,0.00996888,0.00996888,0.00996888
27,1691.06,0.86214,1.57654,1.1378,0.92202,0.88884,0.9629,0.75785,0.82585,1.21684,1.01931,0.00996634,0.00996634,0.00996634
28,1752.18,0.86122,1.58412,1.14467,0.93905,0.92355,0.97103,0.76955,0.81167,1.03869,1.01571,0.0099637,0.0099637,0.0099637
29,1813.19,0.88965,1.58689,1.15865,0.92702,0.92756,0.96202,0.73973,0.9071,1.12491,1.08718,0.00996097,0.00996097,0.00996097
30,1874.62,0.89687,1.58431,1.17104,0.89489,0.93118,0.9567,0.76806,0.78193,1.11937,0.9986,0.00995813,0.00995813,0.00995813
