epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6958,1.30041,9.66331,1.48711,0.59957,0.7943,0.66676,0.41138,1.20517,5.23173,1.28544,0.00331349,0.00331349,0.00331349
2,146.283,1.21721,4.69901,1.3888,0.67053,0.75706,0.75175,0.41965,1.367,4.07126,1.42197,0.00664679,0.00664679,0.00664679
3,212.405,1.32223,3.45294,1.42514,0.32857,0.69716,0.48694,0.25628,1.91264,15.3514,2.29666,0.00997996,0.00997996,0.00997996
4,278.643,1.43834,3.27453,1.54495,0.44927,0.65373,0.56878,0.37408,1.3074,12.4018,1.49858,0.00999955,0.00999955,0.00999955
5,345.11,1.39069,3.02881,1.49174,0.74005,0.67828,0.71668,0.47117,1.20723,3.60685,1.30995,0.0099992,0.0099992,0.0099992
6,412.857,1.34415,2.84113,1.47985,0.69624,0.70782,0.71867,0.41728,1.55417,2.75108,1.53157,0.00999875,0.00999875,0.00999875
7,479.714,1.27193,2.70818,1.42524,0.74043,0.73288,0.81994,0.53347,1.30011,2.24922,1.34896,0.00999821,0.00999821,0.00999821
8,546.677,1.23247,2.49812,1.40795,0.75883,0.83297,0.83353,0.55116,1.32701,2.23364,1.35533,0.00999756,0.00999756,0.00999756
9,613.942,1.17779,2.41106,1.34568,0.78813,0.80804,0.82186,0.53423,1.23212,2.01364,1.33351,0.00999681,0.00999681,0.00999681
10,681.104,1.16447,2.37332,1.36156,0.80829,0.80291,0.85407,0.60054,1.21713,1.91811,1.26772,0.00999596,0.00999596,0.00999596
11,748.079,1.14506,2.30387,1.32597,0.7537,0.86987,0.83105,0.57014,1.23383,2.11178,1.26813,0.00999502,0.00999502,0.00999502
12,814.503,1.13106,2.28801,1.31654,0.80322,0.77978,0.84874,0.61318,1.09478,1.84678,1.19557,0.00999397,0.00999397,0.00999397
13,881.475,1.11607,2.24559,1.30733,0.77001,0.88661,0.84334,0.63508,0.97928,1.71938,1.12345,0.00999282,0.00999282,0.00999282
14,947.751,1.09869,2.09712,1.28663,0.79317,0.83413,0.84245,0.65441,1.009,1.7157,1.13247,0.00999158,0.00999158,0.00999158
15,1013.65,1.09215,2.13851,1.29137,0.80355,0.89251,0.85889,0.65084,0.98025,1.68905,1.12195,0.00999023,0.00999023,0.00999023
16,1079.33,1.08271,2.0849,1.29411,0.78645,0.83915,0.84078,0.62829,1.02074,1.79574,1.13436,0.00998879,0.00998879,0.00998879
17,1145.23,1.07867,2.08758,1.28808,0.78824,0.84097,0.88425,0.60963,1.2409,1.8161,1.25142,0.00998724,0.00998724,0.00998724
18,1210.84,1.07082,2.06884,1.26824,0.78502,0.87222,0.82685,0.59807,1.20533,1.74719,1.24384,0.0099856,0.0099856,0.0099856
19,1276.96,1.05091,2.06751,1.26457,0.81088,0.89424,0.86629,0.61729,1.0961,1.6699,1.17849,0.00998386,0.00998386,0.00998386
20,1343.76,1.05901,1.95326,1.2688,0.82918,0.8242,0.84972,0.60751,1.07601,1.79013,1.18077,0.00998201,0.00998201,0.00998201
21,1409.76,1.04074,2.02705,1.25538,0.7884,0.91815,0.86381,0.64166,1.07234,1.6259,1.14327,0.00998007,0.00998007,0.00998007
22,1475.85,1.00429,1.93668,1.22646,0.82027,0.85902,0.85073,0.64344,0.97599,1.59247,1.1154,0.00997803,0.00997803,0.00997803
23,1541.96,1.01551,1.88191,1.22808,0.74584,0.88269,0.86433,0.6508,1.04786,1.67474,1.13689,0.00997589,0.00997589,0.00997589
24,1607.9,1.01222,1.8962,1.2267,0.77462,0.9141,0.85722,0.6665,0.93178,1.55747,1.09108,0.00997365,0.00997365,0.00997365
25,1673.8,1.01635,1.88282,1.24047,0.82859,0.82891,0.86748,0.67399,0.95014,1.49806,1.08953,0.00997131,0.00997131,0.00997131
26,1740.01,1.03187,1.85575,1.24533,0.78318,0.89305,0.85067,0.59829,1.09728,1.61546,1.18776,0.00996888,0.00996888,0.00996888
27,1805.84,0.98334,1.8413,1.21218,0.81389,0.83807,0.85966,0.63434,1.00748,1.70927,1.12184,0.00996634,0.00996634,0.00996634
28,1871.25,0.98386,1.81443,1.21066,0.85178,0.85187,0.87219,0.67388,0.93745,1.55708,1.08946,0.0099637,0.0099637,0.0099637
29,1937.12,1.00965,1.90374,1.2262,0.81568,0.87775,0.8616,0.68131,0.89946,1.49214,1.06805,0.00996097,0.00996097,0.00996097
30,2003.11,0.97331,1.76989,1.20473,0.81572,0.85004,0.86152,0.67633,0.92062,1.60296,1.06555,0.00995813,0.00995813,0.00995813
31,2069.17,0.97205,1.79259,1.19648,0.83751,0.8728,0.88414,0.69078,0.90447,1.47055,1.07037,0.0099552,0.0099552,0.0099552
32,2135.09,0.97925,1.85937,1.22283,0.81227,0.87597,0.8618,0.6644,1.01051,1.50261,1.12132,0.00995217,0.00995217,0.00995217
33,2201.02,0.9613,1.79113,1.19646,0.77143,0.90711,0.83956,0.64489,0.93498,1.50534,1.07455,0.00994904,0.00994904,0.00994904
34,2267.11,0.97527,1.77526,1.21429,0.84891,0.83849,0.85428,0.67098,0.9122,1.52386,1.06024,0.00994581,0.00994581,0.00994581
35,2333.37,0.93153,1.71824,1.17699,0.83329,0.88937,0.86791,0.64458,0.99718,1.54443,1.11106,0.00994248,0.00994248,0.00994248
36,2401.02,0.94921,1.72907,1.19728,0.83317,0.90229,0.86285,0.66065,0.94276,1.44789,1.08363,0.00993906,0.00993906,0.00993906
37,2468.06,0.95104,1.75932,1.18289,0.80806,0.91539,0.84982,0.64053,0.98305,1.52952,1.112,0.00993553,0.00993553,0.00993553
38,2534.47,0.95767,1.7093,1.19266,0.84462,0.84846,0.85831,0.66324,0.97781,1.56012,1.09324,0.00993191,0.00993191,0.00993191
39,2641.08,0.93431,1.70047,1.17082,0.7586,0.90331,0.84991,0.64942,0.99381,1.49483,1.09337,0.00992819,0.00992819,0.00992819
40,2712.93,0.96185,1.8055,1.21632,0.83631,0.87832,0.85323,0.66607,0.90469,1.40937,1.05932,0.00992437,0.00992437,0.00992437
41,2794.92,0.94119,1.65226,1.18404,0.82455,0.85621,0.88472,0.70853,0.87086,1.39446,1.04168,0.00992045,0.00992045,0.00992045
42,2866.85,0.95406,1.69987,1.19572,0.81936,0.88661,0.85638,0.67828,0.92025,1.44724,1.05495,0.00991644,0.00991644,0.00991644
43,2932.61,0.92941,1.68544,1.18167,0.7915,0.91105,0.87401,0.68823,0.90658,1.52563,1.05563,0.00991232,0.00991232,0.00991232
44,2998.53,0.942,1.71422,1.19844,0.83837,0.83515,0.87737,0.67909,0.91196,1.46136,1.05753,0.00990811,0.00990811,0.00990811
45,3063.99,0.93513,1.76606,1.18848,0.83031,0.89367,0.86121,0.67163,0.92657,1.40291,1.08265,0.0099038,0.0099038,0.0099038
46,3129.42,0.9045,1.59944,1.15083,0.83842,0.84954,0.85624,0.66395,0.92013,1.448,1.05032,0.00989939,0.00989939,0.00989939
