epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.806,1.27212,9.10393,1.46548,0.73453,0.73805,0.7763,0.44686,1.24537,4.49624,1.33594,0.00331699,0.00331699,0.00331699
2,193.175,1.1767,4.33812,1.34712,0.74602,0.80228,0.81708,0.56686,1.15908,3.39775,1.33371,0.00665029,0.00665029,0.00665029
3,274.228,1.29623,3.35993,1.41522,0.61103,0.65107,0.62313,0.38494,1.6616,6.76254,2.12459,0.00998346,0.00998346,0.00998346
4,356.499,1.40357,3.15294,1.4873,0.739,0.79336,0.80019,0.50634,1.53355,3.17724,1.61559,0.00999955,0.00999955,0.00999955
5,439.427,1.32938,2.88224,1.43823,0.72612,0.8392,0.82827,0.56661,1.32803,2.59315,1.4333,0.0099992,0.0099992,0.0099992
6,521.372,1.24987,2.70807,1.3913,0.80988,0.75316,0.80878,0.53235,1.37392,2.48775,1.41505,0.00999875,0.00999875,0.00999875
7,603.936,1.17753,2.55818,1.35652,0.71728,0.8576,0.8526,0.62327,1.12438,2.10108,1.2464,0.00999821,0.00999821,0.00999821
8,686.248,1.17557,2.42578,1.35382,0.82213,0.79018,0.8423,0.57705,1.2241,2.04037,1.2952,0.00999756,0.00999756,0.00999756
9,768.42,1.13091,2.36236,1.31563,0.80935,0.82321,0.85217,0.6047,1.20212,1.96255,1.27147,0.00999681,0.00999681,0.00999681
10,850.601,1.12686,2.28669,1.31362,0.85838,0.80171,0.85018,0.62603,1.07385,1.80892,1.22251,0.00999596,0.00999596,0.00999596
11,932.902,1.11361,2.29673,1.31044,0.84507,0.85969,0.86986,0.60951,1.17034,1.89737,1.25497,0.00999502,0.00999502,0.00999502
12,1015.8,1.07512,2.18292,1.27619,0.83251,0.82985,0.86677,0.62487,1.18023,1.81229,1.24759,0.00999397,0.00999397,0.00999397
13,1097.95,1.0795,2.15979,1.27602,0.87216,0.75595,0.86475,0.66449,0.97639,1.76528,1.13894,0.00999282,0.00999282,0.00999282
14,1179.63,1.05871,2.15293,1.26413,0.84537,0.87746,0.89258,0.70146,0.95219,1.6568,1.13097,0.00999158,0.00999158,0.00999158
15,1261.91,1.03408,2.07789,1.25866,0.82845,0.86182,0.86701,0.62926,1.12697,1.74268,1.22697,0.00999023,0.00999023,0.00999023
16,1344.8,1.02449,2.04153,1.25569,0.85271,0.79786,0.87888,0.63153,1.13453,1.73723,1.23268,0.00998879,0.00998879,0.00998879
17,1428,1.01739,2.03916,1.24529,0.85316,0.82681,0.8782,0.65033,1.08526,1.76046,1.20407,0.00998724,0.00998724,0.00998724
18,1510.84,1.00705,2.01209,1.24053,0.824,0.89252,0.85588,0.66939,0.9906,1.6961,1.1389,0.0099856,0.0099856,0.0099856
19,1594.36,0.99554,1.94907,1.21739,0.83204,0.86596,0.87842,0.64551,1.11121,1.72015,1.19333,0.00998386,0.00998386,0.00998386
20,1677.41,1.02821,2.00754,1.23818,0.8387,0.87663,0.88494,0.67707,0.99792,1.62732,1.14033,0.00998201,0.00998201,0.00998201
21,1759.73,0.96291,2.02673,1.19501,0.80859,0.8974,0.87054,0.67886,0.97653,1.54548,1.13273,0.00998007,0.00998007,0.00998007
22,1842.27,0.96435,1.90304,1.21009,0.78416,0.89794,0.8693,0.6793,0.93383,1.60547,1.11083,0.00997803,0.00997803,0.00997803
23,1924.9,0.98916,1.8813,1.20413,0.87462,0.87944,0.88541,0.67889,0.92533,1.54438,1.12936,0.00997589,0.00997589,0.00997589
24,2008.4,0.96738,1.89028,1.20626,0.82307,0.89148,0.87583,0.65293,1.00365,1.6296,1.13639,0.00997365,0.00997365,0.00997365
25,2091.44,0.94773,1.86429,1.18978,0.85788,0.83664,0.86911,0.66345,1.05532,1.74602,1.16933,0.00997131,0.00997131,0.00997131
26,2172.44,0.96266,1.87289,1.21794,0.8509,0.86637,0.88647,0.67465,0.97896,1.66845,1.11873,0.00996888,0.00996888,0.00996888
27,2253.87,0.93809,1.83749,1.19325,0.83495,0.93717,0.89542,0.71794,0.94798,1.51798,1.11458,0.00996634,0.00996634,0.00996634
28,2335.29,0.9429,1.82913,1.19978,0.84268,0.88717,0.88952,0.68004,0.99248,1.50208,1.13058,0.0099637,0.0099637,0.0099637
29,2415.47,0.93823,1.78406,1.18095,0.84249,0.90601,0.88737,0.71126,0.92389,1.57166,1.09569,0.00996097,0.00996097,0.00996097
