epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.242,0.89474,5.31905,1.34788,0.35772,0.39949,0.39817,0.27614,0.57561,2.05821,0.94733,0.00238095,0.00238095,0.00238095
2,40.3562,0.80929,3.52033,1.25398,0.89837,0.38983,0.42916,0.30111,0.56753,1.88894,0.94308,0.00482993,0.00482993,0.00482993
3,53.9366,0.78078,3.3874,1.22389,0.92261,0.38179,0.44886,0.31594,0.55724,1.82338,0.94447,0.00727891,0.00727891,0.00727891
4,67.6761,0.74028,3.2201,1.17389,0.89052,0.41314,0.44519,0.32221,0.54856,1.93305,0.93523,0.00972788,0.00972788,0.00972788
5,81.2312,0.74301,3.2491,1.15163,0.8814,0.42241,0.47669,0.32953,0.55925,1.84869,0.92787,0.00999998,0.00999998,0.00999998
6,94.5074,0.71461,3.07046,1.13217,0.88898,0.4089,0.54319,0.39946,0.55515,1.94054,0.93003,0.00999998,0.00999998,0.00999998
7,107.672,0.69988,3.04187,1.10478,0.89167,0.41102,0.45322,0.33239,0.53813,1.73301,0.93082,0.00999996,0.00999996,0.00999996
8,120.759,0.70471,2.96371,1.11788,0.89216,0.4322,0.46119,0.33455,0.5639,1.73333,0.9408,0.00999995,0.00999995,0.00999995
9,133.911,0.7116,2.99626,1.11296,0.86032,0.4089,0.47423,0.32771,0.5596,1.8437,0.94195,0.00999994,0.00999994,0.00999994
10,147.051,0.68241,2.92228,1.0865,0.88367,0.41949,0.45123,0.32487,0.54321,1.8014,0.92438,0.00999992,0.00999992,0.00999992
11,160.135,0.69365,2.92113,1.10166,0.90702,0.42161,0.45445,0.32819,0.5556,1.71102,0.94081,0.0099999,0.0099999,0.0099999
12,173.297,0.66088,2.85056,1.08167,0.89738,0.41737,0.4482,0.31698,0.57452,1.79741,0.96422,0.00999988,0.00999988,0.00999988
13,186.248,0.67497,2.91901,1.08941,0.89401,0.44106,0.4583,0.33277,0.5318,1.74145,0.90916,0.00999986,0.00999986,0.00999986
14,199.197,0.67469,2.83969,1.0766,0.8823,0.4322,0.47442,0.32698,0.58553,2.01605,0.98865,0.00999983,0.00999983,0.00999983
15,212.338,0.67988,2.86782,1.09704,0.86717,0.46265,0.47658,0.34005,0.5593,1.80431,0.95575,0.00999981,0.00999981,0.00999981
16,225.456,0.66067,2.77904,1.0801,0.91554,0.39619,0.45087,0.32524,0.54359,1.88188,0.92775,0.00999978,0.00999978,0.00999978
17,238.706,0.67654,2.79547,1.08774,0.8707,0.41737,0.4467,0.32305,0.55748,1.92813,0.94039,0.00999975,0.00999975,0.00999975
18,251.64,0.65167,2.79249,1.07578,0.91156,0.3845,0.44276,0.31203,0.57958,1.94261,0.99095,0.00999972,0.00999972,0.00999972
19,264.551,0.67069,2.8163,1.08555,0.89888,0.41949,0.47042,0.34322,0.5465,1.7068,0.95009,0.00999968,0.00999968,0.00999968
20,277.852,0.65911,2.76181,1.0772,0.91302,0.39831,0.44809,0.32119,0.5697,1.83363,0.98281,0.00999965,0.00999965,0.00999965
21,291.265,0.64571,2.77956,1.06366,0.91604,0.39893,0.44885,0.32422,0.55866,1.8643,0.94513,0.00999961,0.00999961,0.00999961
22,304.711,0.65183,2.7297,1.06978,0.8906,0.41102,0.44011,0.32361,0.53735,1.84787,0.92514,0.00999957,0.00999957,0.00999957
23,318.069,0.65107,2.65224,1.06882,0.91643,0.4089,0.46115,0.32716,0.56984,1.75206,0.94805,0.00999953,0.00999953,0.00999953
24,331.13,0.66579,2.68811,1.06929,0.88969,0.40678,0.44709,0.321,0.54992,1.76413,0.9321,0.00999948,0.00999948,0.00999948
25,344.771,0.64574,2.65405,1.05185,0.86146,0.43008,0.45204,0.3324,0.51189,1.83624,0.88798,0.00999944,0.00999944,0.00999944
26,358.375,0.65592,2.70675,1.07556,0.89321,0.42125,0.44904,0.32764,0.53382,1.76431,0.93093,0.00999939,0.00999939,0.00999939
27,372.009,0.65166,2.67959,1.05492,0.91126,0.41314,0.47025,0.34051,0.52627,1.7638,0.90911,0.00999934,0.00999934,0.00999934
28,385.727,0.63778,2.67841,1.04627,0.8651,0.4322,0.44582,0.31859,0.5876,1.83604,0.97885,0.00999928,0.00999928,0.00999928
29,399.298,0.62706,2.58977,1.04818,0.91979,0.40042,0.45787,0.3289,0.54775,1.745,0.94015,0.00999923,0.00999923,0.00999923
30,413.099,0.6421,2.61042,1.06111,0.90282,0.404,0.45074,0.32578,0.56766,1.71756,0.9577,0.00999918,0.00999918,0.00999918
31,426.6,0.63767,2.6147,1.0427,0.92367,0.39981,0.46293,0.34325,0.54935,1.65976,0.92376,0.00999912,0.00999912,0.00999912
32,440.085,0.62615,2.60425,1.03717,0.89479,0.41314,0.44847,0.32641,0.54082,1.78498,0.92442,0.00999906,0.00999906,0.00999906
33,453.788,0.6354,2.59817,1.04725,0.89809,0.42208,0.45356,0.32869,0.55475,1.78099,0.95735,0.009999,0.009999,0.009999
34,467.47,0.62983,2.60558,1.04697,0.8582,0.4322,0.44603,0.32623,0.54504,1.89337,0.94096,0.00999893,0.00999893,0.00999893
35,481.05,0.63443,2.56827,1.03519,0.89204,0.41102,0.46142,0.33237,0.55277,1.8271,0.94936,0.00999887,0.00999887,0.00999887
36,494.745,0.63479,2.55415,1.04195,0.92533,0.39826,0.46115,0.33358,0.56724,1.73186,0.98071,0.0099988,0.0099988,0.0099988
37,508.434,0.61929,2.56227,1.03954,0.89623,0.41737,0.46152,0.33746,0.55944,1.79122,0.97167,0.00999873,0.00999873,0.00999873
38,521.883,0.64072,2.58752,1.04171,0.87467,0.42434,0.48916,0.36455,0.53749,1.75485,0.93357,0.00999866,0.00999866,0.00999866
39,535.607,0.62428,2.50462,1.04213,0.85027,0.44915,0.454,0.33302,0.54,1.76874,0.93702,0.00999858,0.00999858,0.00999858
40,548.697,0.6247,2.53779,1.03919,0.87889,0.42585,0.45197,0.32949,0.55447,1.69302,0.9524,0.00999851,0.00999851,0.00999851
