epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6717,0.92126,5.05932,1.39356,0.38863,0.34534,0.38576,0.26299,0.6454,2.26802,1.06236,0.00238095,0.00238095,0.00238095
2,48.487,0.87767,3.79288,1.33482,0.84629,0.42003,0.40534,0.27346,0.63824,2.11268,1.05085,0.00482993,0.00482993,0.00482993
3,65.8998,0.83638,3.39531,1.27648,0.87237,0.40795,0.41791,0.28895,0.60404,1.98865,1.00427,0.00727891,0.00727891,0.00727891
4,83.6123,0.78372,3.19695,1.21386,0.86821,0.3966,0.41467,0.2882,0.59377,2.03591,0.98528,0.00972788,0.00972788,0.00972788
5,101.059,0.78397,3.19404,1.20465,0.87964,0.4089,0.4146,0.29122,0.60538,2.14014,1.01135,0.00999998,0.00999998,0.00999998
6,120.775,0.96879,4.70879,1.44372,0.67079,0.16926,0.11035,0.05948,1.12788,5.27216,1.70721,0.00999998,0.00999998,0.00999998
7,161.943,1.10668,6.06436,1.5996,0.67044,0.15042,0.12246,0.06951,1.07517,5.55576,1.63103,0.00999996,0.00999996,0.00999996
8,185.1,1.06214,6.26729,1.58146,0.66318,0.18644,0.11311,0.06493,1.04808,5.57394,1.61142,0.00999995,0.00999995,0.00999995
9,201.504,1.07201,6.43773,1.59447,0.6788,0.15254,0.10808,0.06605,1.03563,6.30637,1.69355,0.00999994,0.00999994,0.00999994
10,218.119,1.05956,6.40575,1.5863,0.67425,0.16999,0.10885,0.06281,1.01194,5.93679,1.65238,0.00999992,0.00999992,0.00999992
11,237.591,1.0427,6.38597,1.56862,0.67653,0.17373,0.10791,0.06221,0.99082,6.02072,1.62486,0.0099999,0.0099999,0.0099999
12,254.398,1.02372,6.36182,1.57241,0.66667,0.16739,0.11005,0.06285,1.04094,5.81042,1.61853,0.00999988,0.00999988,0.00999988
13,270.822,1.00087,6.27563,1.55185,0.66164,0.18008,0.10611,0.05927,0.98635,5.84348,1.60916,0.00999986,0.00999986,0.00999986
14,287.353,1.01344,6.33321,1.54906,0.65859,0.16949,0.11638,0.06638,1.02048,5.883,1.6348,0.00999983,0.00999983,0.00999983
15,304.178,1.00761,6.27812,1.54083,0.66842,0.17585,0.11918,0.0681,0.97545,5.79401,1.59636,0.00999981,0.00999981,0.00999981
16,320.731,0.97876,6.15672,1.52503,0.68631,0.15678,0.12336,0.07083,0.98504,5.86152,1.57891,0.00999978,0.00999978,0.00999978
17,337.162,1.00663,6.24214,1.53343,0.66399,0.17585,0.11184,0.05919,1.06356,5.92272,1.64422,0.00999975,0.00999975,0.00999975
