epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2661,1.1742,12.2098,2.15476,0.00287,0.90789,0.45846,0.22161,0.91771,11.2671,2.13716,0.0026,0.0026,0.0026
2,60.0265,1.05047,8.14563,1.83255,0.69254,0.40789,0.50373,0.28363,0.937,7.98008,1.81895,0.00526667,0.00526667,0.00526667
3,79.3418,1.00574,6.84278,1.7568,0.62672,0.59211,0.56848,0.29455,1.06868,6.53839,1.94441,0.00793333,0.00793333,0.00793333
4,97.6206,1.02178,6.24901,1.73058,0.7005,0.49246,0.53918,0.22812,1.23267,6.87723,2.34068,0.00999999,0.00999999,0.00999999
5,115.896,1.04329,5.74972,1.75676,0.4754,0.40789,0.34133,0.12219,1.32084,8.49387,2.54514,0.00999998,0.00999998,0.00999998
6,134.498,1.02944,5.37206,1.72351,0.65028,0.53947,0.59229,0.26807,1.16439,4.82206,2.01267,0.00999998,0.00999998,0.00999998
7,152.676,1.03484,5.10172,1.71439,0.77064,0.52632,0.55294,0.31066,1.09944,3.9955,2.09919,0.00999996,0.00999996,0.00999996
8,171.287,0.98929,4.49592,1.70145,0.7891,0.5908,0.64148,0.36838,0.97518,3.46662,1.86009,0.00999995,0.00999995,0.00999995
9,189.408,1.01721,4.43968,1.73177,0.73322,0.27632,0.31732,0.14509,1.32793,6.43222,2.61865,0.00999994,0.00999994,0.00999994
10,207.866,1.02255,4.30433,1.76443,0.18306,0.40789,0.19911,0.10109,1.06764,9.22293,1.95952,0.00999992,0.00999992,0.00999992
11,225.929,0.97898,4.15545,1.67462,0.54973,0.55263,0.55005,0.28556,1.09902,6.75527,1.98277,0.0099999,0.0099999,0.0099999
12,243.911,1.00175,4.12374,1.70703,0.72455,0.47368,0.5427,0.32274,1.08538,3.51518,2.04042,0.00999988,0.00999988,0.00999988
13,261.84,0.99977,4.1147,1.70787,0.60189,0.51316,0.5627,0.31545,1.0716,3.57638,1.99423,0.00999986,0.00999986,0.00999986
14,280.062,0.99395,3.99009,1.69338,0.64952,0.56089,0.62654,0.36572,0.93143,4.23566,1.79871,0.00999983,0.00999983,0.00999983
15,298.132,0.96472,3.81155,1.66497,0.54014,0.10526,0.1743,0.08938,1.51325,8.29343,2.99714,0.00999981,0.00999981,0.00999981
16,315.991,0.98867,3.76505,1.67045,0.7095,0.54636,0.60401,0.29061,1.1668,3.87224,2.02193,0.00999978,0.00999978,0.00999978
17,334.774,0.98584,3.69554,1.6798,0.63123,0.51808,0.6049,0.3752,0.92452,3.28598,1.8075,0.00999975,0.00999975,0.00999975
18,353.669,0.99556,3.70335,1.71694,0.63545,0.64223,0.70215,0.38774,1.02415,3.86795,1.84397,0.00999972,0.00999972,0.00999972
19,372.052,0.98139,3.84885,1.71443,0.64258,0.59141,0.63903,0.35866,0.97181,4.38169,1.86657,0.00999968,0.00999968,0.00999968
20,389.723,0.96094,3.57229,1.67231,0.76102,0.62855,0.73966,0.41721,0.91693,4.58021,1.80298,0.00999965,0.00999965,0.00999965
21,408.003,0.9894,3.57124,1.68156,0.70686,0.53937,0.63318,0.36108,0.99106,3.34394,1.82255,0.00999961,0.00999961,0.00999961
22,425.975,0.97816,3.48072,1.6843,0.6765,0.68791,0.69526,0.42392,1.01164,2.79693,1.90878,0.00999957,0.00999957,0.00999957
23,444.151,0.96964,3.54268,1.67145,0.7007,0.61613,0.62688,0.35542,0.95595,2.99428,1.83036,0.00999953,0.00999953,0.00999953
24,462.287,0.93934,3.26555,1.60818,0.62946,0.72368,0.7303,0.43941,0.91767,2.68485,1.79782,0.00999948,0.00999948,0.00999948
25,480.899,0.98531,3.36284,1.66979,0.69816,0.42105,0.48668,0.25172,1.10351,4.75382,2.14907,0.00999944,0.00999944,0.00999944
26,499.097,0.9615,3.33092,1.6479,0.83527,0.67105,0.77047,0.45367,0.92174,2.55416,1.77049,0.00999939,0.00999939,0.00999939
27,517.349,0.90154,3.24107,1.60181,0.71153,0.60526,0.66889,0.35007,1.13183,3.41077,2.07675,0.00999934,0.00999934,0.00999934
28,535.432,0.93681,3.32825,1.64743,0.67319,0.67765,0.6898,0.40304,0.9803,3.32156,1.84941,0.00999929,0.00999929,0.00999929
29,553.92,0.92588,3.18332,1.59891,0.5443,0.56579,0.57254,0.303,1.01012,3.92832,1.96738,0.00999923,0.00999923,0.00999923
30,572.168,0.95729,3.27727,1.65285,0.81856,0.61842,0.73263,0.3967,1.08731,2.68142,1.97888,0.00999918,0.00999918,0.00999918
31,590.317,0.90122,3.1611,1.60525,0.65296,0.69737,0.76215,0.46123,0.93493,3.54002,1.78129,0.00999912,0.00999912,0.00999912
32,609.288,0.93086,3.12676,1.63663,0.74526,0.69737,0.71554,0.41633,0.9764,3.08249,1.79864,0.00999906,0.00999906,0.00999906
