epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9997,1.30404,1.43329,1.35694,0.40937,0.38008,0.41524,0.29298,0.94901,0.75963,1.05433,0.00324074,0.00324074,0.00324074
2,39.3557,1.22671,1.19547,1.31504,0.91485,0.39837,0.46187,0.34259,0.90421,0.66879,1.03618,0.00657407,0.00657407,0.00657407
3,52.2201,1.18976,1.16474,1.29216,0.91967,0.40447,0.43997,0.32657,0.87663,0.64035,1.00214,0.0099074,0.0099074,0.0099074
4,65.7413,1.18223,1.12232,1.28546,0.91088,0.41463,0.50535,0.39289,0.87177,0.64678,1.00963,0.00999999,0.00999999,0.00999999
5,78.5211,1.16467,1.1356,1.27712,0.90335,0.42683,0.44286,0.33089,0.86515,0.62894,0.99282,0.00999998,0.00999998,0.00999998
6,91.7366,1.16154,1.09523,1.26812,0.90728,0.39634,0.441,0.32567,0.85728,0.64145,0.97663,0.00999998,0.00999998,0.00999998
7,105.357,1.12619,1.077,1.23648,0.91452,0.41396,0.46681,0.34653,0.85769,0.66921,0.9957,0.00999996,0.00999996,0.00999996
8,118.294,1.14072,1.10596,1.24757,0.91368,0.41667,0.61005,0.47797,0.86012,0.63309,0.98566,0.00999995,0.00999995,0.00999995
9,131.675,1.1226,1.07373,1.24147,0.90804,0.42389,0.57038,0.45496,0.88265,0.69441,0.9823,0.00999994,0.00999994,0.00999994
10,145.237,1.11673,1.06791,1.22994,0.89942,0.41057,0.48249,0.35616,0.8837,0.67582,0.99347,0.00999992,0.00999992,0.00999992
11,158.479,1.12309,1.0932,1.23076,0.91519,0.42786,0.46306,0.34526,0.86054,0.63012,0.97471,0.0099999,0.0099999,0.0099999
12,171.514,1.09748,1.07819,1.23187,0.87865,0.4376,0.69523,0.55093,0.8592,0.64303,0.97173,0.00999988,0.00999988,0.00999988
13,184.358,1.10547,1.05181,1.2261,0.89815,0.44512,0.45072,0.33984,0.82374,0.60685,0.95269,0.00999986,0.00999986,0.00999986
14,197.643,1.08843,1.06597,1.21673,0.88117,0.43699,0.44245,0.33225,0.86677,0.66471,0.98348,0.00999983,0.00999983,0.00999983
15,211.018,1.10258,1.07083,1.22429,0.90685,0.43089,0.61296,0.48296,0.85583,0.67206,0.98886,0.00999981,0.00999981,0.00999981
16,224.749,1.10153,1.05368,1.21932,0.90098,0.43623,0.69727,0.56086,0.85013,0.62123,0.9688,0.00999978,0.00999978,0.00999978
17,238.283,1.09384,1.03027,1.2179,0.8852,0.45011,0.45791,0.33941,0.85702,0.62847,0.97585,0.00999975,0.00999975,0.00999975
18,251.945,1.09529,1.05843,1.2234,0.88419,0.44512,0.44968,0.33794,0.84014,0.63346,0.96299,0.00999972,0.00999972,0.00999972
19,264.958,1.10298,1.08115,1.22519,0.89683,0.41057,0.44162,0.32637,0.86538,0.67031,0.9862,0.00999968,0.00999968,0.00999968
20,278.571,1.07974,1.05378,1.2182,0.90327,0.43215,0.52014,0.40622,0.85674,0.61299,0.97188,0.00999965,0.00999965,0.00999965
21,292.281,1.07523,1.0657,1.21111,0.89726,0.43226,0.45564,0.34437,0.84899,0.65015,0.97435,0.00999961,0.00999961,0.00999961
22,305.465,1.07272,1.03108,1.20923,0.88529,0.43694,0.45165,0.33979,0.8948,0.64222,1.01253,0.00999957,0.00999957,0.00999957
23,318.895,1.05824,1.01481,1.19549,0.91932,0.4065,0.45248,0.34373,0.8607,0.6034,0.97497,0.00999953,0.00999953,0.00999953
24,332.165,1.07942,1.04858,1.21342,0.89273,0.44919,0.46832,0.35209,0.85364,0.61545,0.98778,0.00999948,0.00999948,0.00999948
25,345.468,1.05828,1.04643,1.20197,0.90153,0.43902,0.45419,0.34146,0.84606,0.61545,0.9735,0.00999944,0.00999944,0.00999944
26,358.536,1.05382,1.02099,1.21027,0.89398,0.46073,0.4637,0.34952,0.84769,0.61675,0.97564,0.00999939,0.00999939,0.00999939
27,371.62,1.06914,1.0042,1.19777,0.88929,0.44512,0.46371,0.35344,0.81916,0.5937,0.95908,0.00999934,0.00999934,0.00999934
28,385.059,1.0331,1.00235,1.17634,0.89132,0.43911,0.47112,0.3608,0.84518,0.63223,0.98538,0.00999929,0.00999929,0.00999929
29,398.297,1.06477,1.01053,1.20196,0.88275,0.43089,0.47324,0.3699,0.84972,0.65653,0.97685,0.00999923,0.00999923,0.00999923
30,411.177,1.05112,1.00017,1.18668,0.89513,0.44106,0.46563,0.35853,0.83728,0.61063,0.97045,0.00999918,0.00999918,0.00999918
31,424.242,1.04968,1.02214,1.18614,0.90939,0.42886,0.46368,0.35015,0.84212,0.61253,0.97555,0.00999912,0.00999912,0.00999912
32,437.408,1.06089,1.01337,1.18918,0.90697,0.4446,0.4621,0.34393,0.84033,0.60841,0.96556,0.00999906,0.00999906,0.00999906
33,450.445,1.06858,1.00353,1.1983,0.89742,0.45674,0.46449,0.34386,0.85903,0.62595,0.99618,0.009999,0.009999,0.009999
34,463.534,1.06159,1.04268,1.19855,0.90235,0.42711,0.4576,0.34272,0.87668,0.61421,0.98491,0.00999894,0.00999894,0.00999894
35,476.532,1.05663,1.01762,1.19427,0.89792,0.45955,0.47295,0.35241,0.90462,0.63808,1.00003,0.00999887,0.00999887,0.00999887
36,490.012,1.06292,0.98792,1.20512,0.90458,0.44816,0.50262,0.39007,0.85541,0.63653,0.97947,0.0099988,0.0099988,0.0099988
37,503.022,1.0572,1.00956,1.20979,0.91471,0.44474,0.47139,0.35599,0.85473,0.6046,0.97398,0.00999873,0.00999873,0.00999873
38,516.177,1.03753,1.00694,1.18815,0.90781,0.43157,0.46291,0.3356,0.92181,0.60653,1.00822,0.00999866,0.00999866,0.00999866
39,529.594,1.04601,0.99979,1.18556,0.90297,0.43893,0.45973,0.34879,0.86866,0.63109,0.98003,0.00999859,0.00999859,0.00999859
40,542.525,1.04565,1.0003,1.19137,0.9009,0.43699,0.45763,0.34218,0.8357,0.60557,0.96128,0.00999851,0.00999851,0.00999851
41,555.529,1.04495,1.00228,1.19384,0.89482,0.45935,0.46253,0.34713,0.86811,0.60599,0.96921,0.00999844,0.00999844,0.00999844
42,568.994,1.04836,0.99117,1.18596,0.89605,0.44919,0.46496,0.34852,0.84814,0.65869,0.95736,0.00999836,0.00999836,0.00999836
43,582.172,1.0546,1.00013,1.19624,0.90108,0.43902,0.46473,0.35164,0.84859,0.60672,0.96989,0.00999828,0.00999828,0.00999828
44,594.958,1.04025,0.97971,1.18795,0.90062,0.46341,0.4711,0.35212,0.8571,0.59271,0.96608,0.00999819,0.00999819,0.00999819
45,608.079,1.03627,0.9808,1.17981,0.89644,0.45131,0.49174,0.36627,0.83071,0.61443,0.9463,0.00999811,0.00999811,0.00999811
46,621.548,1.04277,1.0025,1.19169,0.90367,0.44715,0.47948,0.36281,0.87234,0.58215,0.96761,0.00999802,0.00999802,0.00999802
47,635,1.06688,0.98594,1.18823,0.91336,0.43902,0.47291,0.36158,0.86491,0.64532,0.95688,0.00999793,0.00999793,0.00999793
48,648.37,1.0073,0.95785,1.16246,0.90137,0.45325,0.4634,0.34734,0.87352,0.59999,0.9766,0.00999784,0.00999784,0.00999784
49,662.033,1.0328,0.97012,1.19083,0.89585,0.43089,0.48585,0.37185,0.84048,0.65843,0.95903,0.00999775,0.00999775,0.00999775
50,675.683,1.00767,0.93562,1.17657,0.91967,0.4187,0.4553,0.34405,0.88563,0.61338,0.99399,0.00999765,0.00999765,0.00999765
51,689.016,1.03129,0.96387,1.18296,0.89071,0.45122,0.48157,0.36538,0.85698,0.66948,0.97648,0.00999756,0.00999756,0.00999756
52,702.343,1.013,0.96859,1.16674,0.89585,0.44715,0.94792,0.83631,0.84376,0.75693,0.97103,0.00999746,0.00999746,0.00999746
53,716.408,1.00585,0.94874,1.15899,0.87517,0.45204,0.47301,0.35904,0.84263,0.58007,0.96202,0.00999736,0.00999736,0.00999736
54,730.102,1.02482,0.96383,1.17712,0.90153,0.43927,0.46678,0.35215,0.84166,0.59185,0.95486,0.00999726,0.00999726,0.00999726
55,743.534,1.04646,0.98816,1.18866,0.90029,0.44919,0.45707,0.34242,0.86579,0.59804,0.96465,0.00999715,0.00999715,0.00999715
56,756.603,1.03514,0.99258,1.18042,0.9174,0.4187,0.46982,0.36232,0.8288,0.58144,0.95023,0.00999704,0.00999704,0.00999704
57,770.291,1.00196,0.94408,1.16066,0.90211,0.45087,0.46426,0.34484,0.85041,0.58831,0.9839,0.00999694,0.00999694,0.00999694
58,783.708,1.03664,0.98029,1.19072,0.90512,0.43699,0.46431,0.35197,0.8269,0.594,0.96307,0.00999683,0.00999683,0.00999683
59,796.939,1.00172,0.94508,1.15823,0.90457,0.43293,0.46367,0.34684,0.86118,0.59697,0.96324,0.00999671,0.00999671,0.00999671
60,810.295,1.00412,0.94753,1.16971,0.881,0.4425,0.45649,0.34704,0.82556,0.59589,0.94394,0.0099966,0.0099966,0.0099966
61,823.736,0.98968,0.94677,1.15738,0.90731,0.43699,0.48842,0.37119,0.86443,0.62208,0.96572,0.00999648,0.00999648,0.00999648
62,836.809,1.00766,0.96312,1.1633,0.40996,0.97561,0.58193,0.45845,0.84207,0.62198,0.95973,0.00999636,0.00999636,0.00999636
63,850.312,1.01436,0.94669,1.16976,0.34789,0.48374,0.51012,0.38922,0.85726,0.59092,0.98144,0.00999624,0.00999624,0.00999624
64,864.057,0.99901,0.91839,1.15844,0.32697,0.48009,0.55549,0.44672,0.8481,0.60154,0.95736,0.00999612,0.00999612,0.00999612
65,877.695,1.01441,0.96003,1.16521,0.89249,0.43699,0.46085,0.34619,0.88656,0.6307,0.99647,0.009996,0.009996,0.009996
66,891.184,1.0025,0.97079,1.15705,0.38395,0.44106,0.48352,0.36704,0.84814,0.62389,0.96719,0.00999587,0.00999587,0.00999587
67,904.7,1.02071,0.96377,1.18129,0.90906,0.43699,0.47964,0.36725,0.84761,0.56293,0.96085,0.00999574,0.00999574,0.00999574
68,918.176,0.97648,0.90331,1.15285,0.4409,0.97764,0.62418,0.51235,0.83405,0.5841,0.96739,0.00999561,0.00999561,0.00999561
69,931.599,1.00761,0.93861,1.1618,0.54008,0.94409,0.60513,0.47425,0.87631,0.6626,0.98757,0.00999548,0.00999548,0.00999548
70,944.977,0.99917,0.92906,1.17036,0.38109,0.97764,0.48616,0.36872,0.86603,0.61436,0.96718,0.00999535,0.00999535,0.00999535
71,958.421,0.99135,0.94347,1.15682,0.36825,0.99187,0.52687,0.40787,0.84207,0.5663,0.95566,0.00999521,0.00999521,0.00999521
72,971.818,1.00105,0.92272,1.15532,0.3329,0.47967,0.52925,0.41413,0.84446,0.626,0.96,0.00999508,0.00999508,0.00999508
73,985.243,0.99563,0.95188,1.15966,0.39835,0.44512,0.48796,0.36869,0.86594,0.61045,0.96057,0.00999494,0.00999494,0.00999494
74,998.761,1.0042,0.94822,1.17659,0.89257,0.46048,0.47183,0.35725,0.86084,0.60225,0.95846,0.00999479,0.00999479,0.00999479
75,1012.14,0.98531,0.94909,1.15942,0.90358,0.43699,0.47523,0.36635,0.83649,0.6023,0.93683,0.00999465,0.00999465,0.00999465
76,1025.25,0.97644,0.94077,1.13976,0.40386,0.43496,0.47071,0.36277,0.84654,0.60405,0.94658,0.0099945,0.0099945,0.0099945
