epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0136,1.34828,1.53951,1.40434,0.37825,0.39675,0.40259,0.27622,0.97635,0.71018,1.11028,0.00324074,0.00324074,0.00324074
2,37.4111,1.24189,1.1528,1.33955,0.87994,0.42424,0.61077,0.41364,0.97048,0.67965,1.10124,0.00657407,0.00657407,0.00657407
3,50.3642,1.2211,1.16858,1.3149,0.87696,0.43723,0.46237,0.33533,0.94567,0.64442,1.09178,0.0099074,0.0099074,0.0099074
4,62.3492,1.19467,1.10782,1.29891,0.88503,0.42641,0.45948,0.33022,0.93101,0.64515,1.07044,0.00999999,0.00999999,0.00999999
5,74.9435,1.19467,1.12067,1.28636,0.89677,0.4243,0.45891,0.33609,0.91705,0.62942,1.05723,0.00999998,0.00999998,0.00999998
6,87.486,1.18541,1.14116,1.28951,0.89113,0.42857,0.50821,0.37523,0.91324,0.64199,1.06575,0.00999998,0.00999998,0.00999998
7,99.5137,1.16578,1.12647,1.27953,0.91278,0.41999,0.62877,0.40578,0.91611,0.62601,1.05567,0.00999996,0.00999996,0.00999996
8,111.55,1.13407,1.12145,1.2515,0.90023,0.44284,0.46455,0.33703,0.91854,0.62929,1.06047,0.00999995,0.00999995,0.00999995
9,124.147,1.1602,1.10948,1.27196,0.91741,0.41571,0.46268,0.33446,0.92702,0.6255,1.05241,0.00999994,0.00999994,0.00999994
10,136.472,1.14716,1.09267,1.26748,0.89223,0.44805,0.46125,0.34033,0.89241,0.62797,1.05434,0.00999992,0.00999992,0.00999992
11,150.316,1.14489,1.1203,1.26454,0.89693,0.43348,0.46385,0.34134,0.93831,0.62439,1.0724,0.0099999,0.0099999,0.0099999
12,162.577,1.12194,1.09306,1.25652,0.92045,0.41558,0.46096,0.34059,0.88961,0.65924,1.03404,0.00999988,0.00999988,0.00999988
13,175.223,1.15051,1.08686,1.25951,0.93584,0.41126,0.47192,0.34606,0.89119,0.6041,1.02717,0.00999986,0.00999986,0.00999986
14,187.463,1.12595,1.07812,1.24925,0.90039,0.44156,0.46408,0.33998,0.89195,0.62476,1.04819,0.00999983,0.00999983,0.00999983
15,200.243,1.1358,1.08395,1.25169,0.91624,0.42424,0.46812,0.34436,0.8916,0.63953,1.03328,0.00999981,0.00999981,0.00999981
16,213.737,1.11565,1.06141,1.24238,0.90804,0.4226,0.48659,0.35511,0.86482,0.60759,1.0201,0.00999978,0.00999978,0.00999978
17,227.303,1.1078,1.11155,1.23667,0.89278,0.44589,0.47679,0.35461,0.88326,0.60878,1.02999,0.00999975,0.00999975,0.00999975
18,240.871,1.13642,1.051,1.25382,0.91811,0.43939,0.47378,0.34981,0.92027,0.59691,1.04231,0.00999972,0.00999972,0.00999972
19,254.246,1.09368,1.02892,1.2298,0.91621,0.43074,0.468,0.34468,0.92645,0.62244,1.06923,0.00999968,0.00999968,0.00999968
20,267.678,1.10281,1.0592,1.23443,0.91714,0.43074,0.47144,0.3482,0.8675,0.60642,1.02788,0.00999965,0.00999965,0.00999965
21,280.077,1.09179,1.05691,1.24312,0.89324,0.46244,0.47115,0.35252,0.87669,0.58687,1.02363,0.00999961,0.00999961,0.00999961
